-0.183185-0j -0.20693-0j -0.168957-0j -0.170708-0j -0.147838-0j -0.12196-0j -0.0389668-0j 0.12005-0j -0.0266307-0j -0.0210534-0j -0.0140356-0j -0.0212716-0j -0.0245623-0j -0.00868409-0j -0.014328-0j -0.0151972-0j -0.00886501-0j -0.00231266-0j -0.0157022-0j -0.00226642-0j 0.0854988-0j 0.0123407-0j -0.0132736-0j -0.00191588-0j -0.0134111-0j -0.0121171-0j -0.00193573-0j -0.00174895-0j -0.0149941-0j -0.00999607-0j -0.00216421-0j -0.00874656-0j -0.00865685-0j -0.00144281-0j -0.00126246-0j -0.00124951-0j -0.0123695-0j -0.00618475-0j -0.00178538-0j -0.00510216-0j -0.00624885-0j -0.000892692-0j -0.000736434-0j -0.000901943-0j -0.00282353-0j -0.000407541-0j -0.00062253-0j -8.98544e-05-0j 
0.0244024-0j 0.0275654-0j 0.022507-0j 0.0227403-0j 0.0196937-0j 0.0162464-0j 0.00519082-0j -0.151129-0j -0.167269-0j -0.132238-0j -0.0881585-0j -0.133608-0j -0.154277-0j -0.0545453-0j -0.0899951-0j -0.0954542-0j -0.0556816-0j -0.0145259-0j -0.0125704-0j 0.172914-0j 0.00228273-0j -0.0314005-0j 0.00176819-0j -0.0243227-0j 0.00178652-0j 0.00161413-0j -0.0245747-0j -0.0222035-0j 0.00199739-0j 0.00133159-0j -0.0274754-0j 0.00116514-0j 0.00115319-0j -0.0183169-0j -0.0160273-0j -0.0158629-0j 0.00164776-0j 0.00082388-0j -0.022666-0j 0.000679666-0j 0.000832418-0j -0.011333-0j -0.00934927-0j -0.0114505-0j 0.000376126-0j -0.00517387-0j 8.29281e-05-0j -0.00114073-0j 
-0.0266307-0j -0.000521206-0j -0.0245623-0j 0.0239569-0j -0.000372368-0j 0.0345385-0j 0.0221686-0j -0.822897-0j 0.00316272-0j 0.144313-0j 0.0962088-0j -0.140756-0j 0.00291707-0j 0.0595262-0j -0.191321-0j -0.100561-0j -0.178088-0j -0.077614-0j -0.00228273-0j 0.0314005-0j 0.000215351-0j -0.0029623-0j -0.00192966-0j 0.0265438-0j 0.0018821-0j -0.00176153-0j -0.0258895-0j 0.024231-0j -3.77666e-05-0j -2.51777e-05-0j 0.000519504-0j 0.00247699-0j -0.0012585-0j 0.000346336-0j -0.0340726-0j 0.0173115-0j 0.00173592-0j -1.55779e-05-0j -0.0238787-0j 0.00217379-0j 0.00176965-0j 0.000214285-0j -0.0299019-0j -0.0243427-0j 0.00160633-0j -0.0220962-0j 0.000532029-0j -0.00731841-0j 
0.0820069-0j -0.0233019-0j 0.0184843-0j -0.0192231-0j 0.0489951-0j 0.0133427-0j -0.00438796-0j 0.127754-0j -0.562126-0j -0.108602-0j 0.074523-0j 0.112943-0j -0.126703-0j -0.226606-0j 0.0760756-0j -0.237477-0j -0.0457294-0j 0.0122792-0j -0.00176819-0j 0.0243227-0j -0.00192966-0j 0.0265438-0j -0.00577305-0j 0.0794122-0j 0.00600379-0j -0.00136448-0j -0.0825862-0j 0.0187693-0j 0.00164039-0j -0.00112563-0j -0.0225646-0j -0.00098493-0j 0.00286898-0j 0.0154839-0j 0.0135484-0j -0.0394648-0j 0.00135325-0j 0.00342278-0j -0.0186148-0j -0.000574543-0j 0.00207094-0j -0.0470826-0j 0.00790322-0j -0.0284872-0j 0.0003089-0j -0.00424912-0j -7.01016e-05-0j 0.000964295-0j 
-0.0828567-0j -0.0227275-0j 0.0192231-0j -0.0194106-0j -0.0162373-0j 0.0124585-0j 0.0464899-0j -0.129078-0j -0.548271-0j -0.112943-0j -0.0752953-0j 0.114045-0j 0.127201-0j -0.0465866-0j -0.069012-0j 0.0814776-0j -0.224774-0j -0.225517-0j 0.00178652-0j -0.0245747-0j -0.0018821-0j 0.0258895-0j -0.00600379-0j 0.0825862-0j 0.00606237-0j 0.00137862-0j -0.083392-0j -0.0189638-0j -0.00164684-0j -0.00109789-0j 0.0226533-0j 0.00089348-0j 0.00098493-0j 0.0151022-0j -0.0122904-0j -0.0135484-0j -0.00140649-0j -0.000679285-0j 0.0193472-0j 0.00274365-0j 0.000638333-0j 0.00934402-0j -0.0377408-0j -0.00878069-0j 0.00336866-0j -0.0463382-0j 0.00196901-0j -0.027085-0j 
-0.0188307-0j 0.0631323-0j 0.0341563-0j 0.0345103-0j -0.0151972-0j -0.012537-0j -0.00400564-0j 0.116623-0j 0.129078-0j -0.302861-0j -0.335606-0j -0.305999-0j -0.234129-0j 0.0420914-0j -0.136575-0j 0.0736599-0j 0.0429683-0j 0.0112093-0j -0.00161413-0j 0.0222035-0j -0.00176153-0j 0.024231-0j -0.00136448-0j 0.0187693-0j -0.00137862-0j -0.00727016-0j 0.0189638-0j 0.100006-0j 0.00457457-0j 0.00506916-0j -0.0629262-0j 0.0026685-0j 0.00175007-0j -0.0697297-0j -0.036707-0j -0.0240733-0j 0.00250061-0j -0.00063577-0j -0.0343976-0j 0.00103145-0j -0.000642358-0j 0.00874544-0j -0.0141883-0j 0.00883607-0j -0.000290248-0j 0.00399256-0j -6.39937e-05-0j 0.000880277-0j 
0.0233019-0j -0.00135353-0j -0.0208802-0j -0.0209623-0j -0.000958914-0j 0.0293608-0j -0.0193975-0j -0.144313-0j -0.00276738-0j -0.364102-0j -0.0841827-0j -0.365534-0j 0.00247978-0j 0.255979-0j 0.167406-0j -0.258963-0j -0.151391-0j 0.0679122-0j 0.00199739-0j -0.0274754-0j 3.77666e-05-0j -0.000519504-0j -0.00164039-0j 0.0225646-0j -0.00164684-0j -0.00457457-0j 0.0226533-0j 0.0629262-0j 9.5285e-05-0j 2.20305e-05-0j -0.00131071-0j 0.00643256-0j -0.00324086-0j -0.000303044-0j -0.0884841-0j 0.0445802-0j 0.00147569-0j -6.69893e-05-0j -0.0202991-0j -0.00190207-0j 0.00455716-0j 0.000921482-0j 0.0261642-0j -0.0626868-0j 0.00136553-0j -0.0187838-0j -0.000465525-0j 0.00640361-0j 
0.0155346-0j 0.000304037-0j -0.0706831-0j 0.0689409-0j 0.000217214-0j -0.0201474-0j -0.0129317-0j -0.0962088-0j -0.00184492-0j -0.0841827-0j -0.377984-0j 0.0821078-0j 0.00839448-0j -0.0347236-0j -0.550567-0j 0.0586607-0j 0.103884-0j 0.0452748-0j 0.00133159-0j -0.0183169-0j 2.51777e-05-0j -0.000346336-0j 0.00112563-0j -0.0154839-0j -0.00109789-0j -0.00506916-0j 0.0151022-0j 0.0697297-0j 2.20305e-05-0j 9.89178e-05-0j -0.000303044-0j -0.00144491-0j -0.00362158-0j -0.00136068-0j 0.0198757-0j 0.0498173-0j 0.00499546-0j 9.08712e-06-0j -0.0687158-0j 0.00625552-0j -0.00103229-0j -0.000124999-0j -0.0860489-0j 0.0141999-0j -0.000937028-0j 0.0128894-0j -0.00031035-0j 0.00426907-0j 
-0.0135928-0j -0.088774-0j -0.012537-0j -0.011373-0j 0.0213696-0j -0.0347879-0j 0.0368259-0j 0.0841827-0j -0.181504-0j -0.218616-0j 0.0491066-0j -0.198318-0j -0.167406-0j 0.0303832-0j 0.192703-0j 0.0477389-0j 0.0371334-0j -0.353185-0j -0.00116514-0j 0.0160273-0j 0.00247699-0j -0.0340726-0j -0.00098493-0j 0.0135484-0j -0.00089348-0j 0.0026685-0j 0.0122904-0j -0.036707-0j -0.00643256-0j 0.00144491-0j 0.0884841-0j 0.00740459-0j -0.000642358-0j -0.0198757-0j -0.101855-0j 0.00883607-0j -0.000824084-0j 0.000893992-0j 0.0113358-0j -0.000453261-0j -0.00178243-0j -0.0122975-0j 0.00623491-0j 0.0245185-0j 0.00266841-0j -0.0367057-0j 0.00449169-0j -0.0617862-0j 
0.0134533-0j 0.0151972-0j 0.071818-0j -0.0246553-0j 0.00963864-0j -0.0263607-0j 0.00286177-0j -0.0833193-0j -0.0922176-0j 0.214562-0j 0.239768-0j -0.0736599-0j -0.492286-0j -0.375667-0j 0.097574-0j -0.046718-0j 0.0903462-0j -0.00800833-0j 0.00115319-0j -0.0158629-0j 0.0012585-0j -0.0173115-0j -0.00286898-0j 0.0394648-0j 0.00098493-0j -0.00175007-0j -0.0135484-0j 0.0240733-0j -0.00324086-0j -0.00362158-0j 0.0445802-0j 0.000642358-0j -0.00110996-0j 0.0498173-0j -0.00883607-0j 0.0152682-0j 0.00525786-0j 0.00567427-0j -0.0723254-0j -0.000736904-0j 0.000407409-0j -0.0780533-0j 0.0101366-0j -0.00560418-0j -0.000610284-0j 0.00839486-0j 4.57193e-05-0j -0.0006289-0j 
-0.0192231-0j 0.0209623-0j -0.0338753-0j -0.0352081-0j -0.0440759-0j 0.0111637-0j -0.0428791-0j 0.119052-0j -0.127201-0j -0.101205-0j -0.342598-0j -0.105187-0j -0.224156-0j -0.211172-0j -0.125178-0j 0.221169-0j -0.201414-0j 0.208001-0j -0.00164776-0j 0.022666-0j 0.00173592-0j -0.0238787-0j 0.00135325-0j -0.0186148-0j 0.00140649-0j 0.00250061-0j -0.0193472-0j -0.0343976-0j -0.00147569-0j -0.00499546-0j 0.0202991-0j -0.000824084-0j -0.00525786-0j 0.0687158-0j 0.0113358-0j 0.0723254-0j 0.00247855-0j -0.00307912-0j -0.0340941-0j 0.0049766-0j 0.00173274-0j 0.0423554-0j -0.0684565-0j -0.023835-0j 0.00301857-0j -0.0415224-0j -0.00181608-0j 0.0249813-0j 
-0.00961153-0j -0.000188113-0j 0.043568-0j 0.00864651-0j -0.00167892-0j -0.0612634-0j 0.00800106-0j 0.0595262-0j 0.00114149-0j -0.255979-0j 0.0347236-0j -0.0508016-0j -0.00517422-0j 0.155583-0j -0.0690516-0j -0.453406-0j 0.315887-0j -0.0280124-0j -0.00082388-0j 0.011333-0j -1.55779e-05-0j 0.000214285-0j 0.00342278-0j -0.0470826-0j 0.000679285-0j -0.00063577-0j -0.00934402-0j 0.00874544-0j 6.69893e-05-0j -9.08712e-06-0j -0.000921482-0j 0.000893992-0j -0.00567427-0j 0.000124999-0j -0.0122975-0j 0.0780533-0j -0.00307912-0j -4.07158e-05-0j 0.0423554-0j 0.000784562-0j 0.00797891-0j 0.000560073-0j -0.0107922-0j -0.109755-0j -0.00284927-0j 0.0391936-0j 0.000192019-0j -0.00264135-0j 
0.00792911-0j -0.0262499-0j -0.0143823-0j -0.0686807-0j -0.0187538-0j 0.00632016-0j -0.0314035-0j -0.0491066-0j 0.159286-0j -0.0429683-0j 0.141314-0j -0.205189-0j -0.288923-0j -0.0177235-0j 0.0688502-0j -0.146594-0j 0.25172-0j -0.148412-0j 0.000679666-0j -0.00934927-0j -0.00217379-0j 0.0299019-0j 0.000574543-0j -0.00790322-0j 0.00274365-0j -0.00103145-0j -0.0377408-0j 0.0141883-0j -0.00190207-0j 0.00625552-0j 0.0261642-0j 0.000453261-0j -0.000736904-0j -0.0860489-0j -0.00623491-0j 0.0101366-0j -0.0049766-0j -0.000784562-0j 0.0684565-0j 0.00604252-0j 0.000323825-0j 0.0107922-0j -0.0831189-0j -0.00445443-0j -0.00227549-0j 0.0313009-0j 0.00547053-0j -0.0752508-0j 
0.00971113-0j -0.0213696-0j -0.0263607-0j 0.00812524-0j -0.0135534-0j -0.073146-0j -0.0263097-0j -0.060143-0j 0.129672-0j 0.154879-0j -0.0350834-0j -0.0477389-0j -0.351993-0j -0.271171-0j -0.137674-0j -0.0302779-0j 0.0780777-0j 0.252328-0j 0.000832418-0j -0.0114505-0j -0.00176965-0j 0.0243427-0j -0.00207094-0j 0.0284872-0j 0.000638333-0j 0.000642358-0j -0.00878069-0j -0.00883607-0j 0.00455716-0j -0.00103229-0j -0.0626868-0j 0.00178243-0j 0.000407409-0j 0.0141999-0j -0.0245185-0j -0.00560418-0j -0.00173274-0j -0.00797891-0j 0.023835-0j 0.000323825-0j 0.00113049-0j 0.109755-0j -0.00445443-0j -0.0155506-0j 0.00561066-0j -0.0771784-0j -0.00320902-0j 0.0441422-0j 
-0.00438796-0j 0.0193975-0j 0.00393193-0j -0.0428791-0j -0.0407857-0j -0.0361484-0j -0.046427-0j 0.0271755-0j -0.117706-0j -0.0231017-0j 0.0158524-0j 0.251932-0j 0.105473-0j -0.0482032-0j -0.206107-0j -0.529718-0j 0.181113-0j 0.368869-0j -0.000376126-0j 0.00517387-0j 0.00160633-0j -0.0220962-0j 0.0003089-0j -0.00424912-0j -0.00336866-0j -0.000290248-0j 0.0463382-0j 0.00399256-0j -0.00136553-0j 0.000937028-0j 0.0187838-0j 0.00266841-0j 0.000610284-0j -0.0128894-0j -0.0367057-0j -0.00839486-0j 0.00301857-0j -0.00284927-0j -0.0415224-0j 0.00227549-0j -0.00561066-0j 0.0391936-0j -0.0313009-0j 0.0771784-0j 0.00326833-0j -0.0449581-0j 0.000197944-0j -0.00272285-0j 
0.000967453-0j -0.00642459-0j 0.000892312-0j 0.0250632-0j -0.00458995-0j -0.062631-0j -0.00273177-0j -0.00599164-0j 0.0389849-0j -0.00524268-0j -0.00349512-0j -0.147256-0j 0.035957-0j -0.0021625-0j 0.346936-0j -0.105205-0j -0.448173-0j 0.567076-0j 8.29281e-05-0j -0.00114073-0j -0.000532029-0j 0.00731841-0j 7.01016e-05-0j -0.000964295-0j 0.00196901-0j 6.39937e-05-0j -0.027085-0j -0.000880277-0j -0.000465525-0j -0.00031035-0j 0.00640361-0j -0.00449169-0j 4.57193e-05-0j 0.00426907-0j 0.0617862-0j -0.0006289-0j 0.00181608-0j -0.000192019-0j -0.0249813-0j 0.00547053-0j -0.00320902-0j 0.00264135-0j -0.0752508-0j 0.0441422-0j -0.000197944-0j 0.00272285-0j 0.000201227-0j -0.00276802-0j 
0.01609-0j 0.0181756-0j 0.0148403-0j 0.0149941-0j 0.0129853-0j 0.0107123-0j 0.00342263-0j 0.0021134-0j 0.0023391-0j 0.00184922-0j 0.00123281-0j 0.00186838-0j 0.00215742-0j 0.000762765-0j 0.0012585-0j 0.00133484-0j 0.000778656-0j 0.000203131-0j -0.131859-0j 0.000199071-0j -0.1439-0j 0.000217249-0j -0.111464-0j 0.000168281-0j -0.112619-0j -0.101752-0j 0.000170024-0j 0.000153618-0j -0.125912-0j -0.0839415-0j 0.000190093-0j -0.0734488-0j -0.0726955-0j 0.000126729-0j 0.000110888-0j 0.00010975-0j -0.103872-0j -0.0519361-0j 0.000156819-0j -0.0428451-0j -0.0524744-0j 7.84094e-05-0j 6.46844e-05-0j 7.92219e-05-0j -0.0237104-0j 3.57963e-05-0j -0.00522766-0j 7.89234e-06-0j 
-0.00232239-0j -0.00262342-0j -0.00214202-0j -0.00216421-0j -0.00187426-0j -0.00154619-0j -0.000494015-0j 0.0290712-0j 0.0321759-0j 0.0254373-0j 0.0169582-0j 0.0257009-0j 0.0296768-0j 0.0104923-0j 0.0173115-0j 0.0183616-0j 0.0107109-0j 0.00279421-0j -0.000199071-0j -0.127733-0j -0.000217249-0j -0.139397-0j -0.000168281-0j -0.107976-0j -0.000170024-0j -0.000153618-0j -0.109095-0j -0.0985683-0j -0.000190093-0j -0.000126729-0j -0.121972-0j -0.000110888-0j -0.00010975-0j -0.0813147-0j -0.0711504-0j -0.0704206-0j -0.000156819-0j -7.84094e-05-0j -0.100622-0j -6.46844e-05-0j -7.92219e-05-0j -0.0503109-0j -0.0415044-0j -0.0508323-0j -3.57963e-05-0j -0.0229685-0j -7.89234e-06-0j -0.00506407-0j 
-0.0173792-0j -0.000340139-0j -0.0160294-0j 0.0156343-0j -0.000243007-0j 0.0225398-0j 0.0144672-0j -0.00228273-0j -4.3774e-05-0j -0.00199739-0j -0.00133159-0j 0.00194816-0j -4.03742e-05-0j -0.00082388-0j 0.00264801-0j 0.00139183-0j 0.00246485-0j 0.00107423-0j -0.855911-0j 0.00129219-0j 0.00269295-0j -4.06561e-06-0j 0.120395-0j -0.000181764-0j -0.117428-0j 0.109905-0j 0.000177284-0j -0.000165927-0j 0.00235633-0j 0.00157089-0j -3.55741e-06-0j -0.154544-0j 0.0785201-0j -2.37161e-06-0j 0.000233319-0j -0.000118544-0j -0.108307-0j 0.000971936-0j 0.000163514-0j -0.135627-0j -0.110412-0j -1.46736e-06-0j 0.00020476-0j 0.000166691-0j -0.100222-0j 0.000151308-0j -0.0331943-0j 5.01143e-05-0j 
0.00250847-0j 4.90949e-05-0j 0.00231364-0j -0.00225661-0j 3.50751e-05-0j -0.00325334-0j -0.00208816-0j -0.0314005-0j -0.000602141-0j -0.0274754-0j -0.0183169-0j 0.0267982-0j -0.000555374-0j -0.011333-0j 0.0364252-0j 0.0191455-0j 0.0339056-0j 0.0147767-0j -0.00129219-0j -0.829127-0j 4.06561e-06-0j 0.00260868-0j 0.000181764-0j 0.116628-0j -0.000177284-0j 0.000165927-0j -0.113753-0j 0.106466-0j 3.55741e-06-0j 2.37161e-06-0j 0.00228259-0j -0.000233319-0j 0.000118544-0j 0.00152173-0j -0.149708-0j 0.076063-0j -0.000163514-0j 1.46736e-06-0j -0.104918-0j -0.00020476-0j -0.000166691-0j 0.000941521-0j -0.131383-0j -0.106956-0j -0.000151308-0j -0.097086-0j -5.01143e-05-0j -0.0321555-0j 
-0.0132736-0j -0.0149941-0j 0.0118941-0j -0.0123695-0j 0.031527-0j 0.00858563-0j -0.00282353-0j 0.00869882-0j -0.00192966-0j 0.0014821-0j -0.00101702-0j -0.00154134-0j 0.00172912-0j 0.0030925-0j -0.00103821-0j 0.00324086-0j 0.000624072-0j -0.000167575-0j 0.108778-0j -0.000164225-0j -0.592296-0j 0.000894206-0j -0.0893356-0j 0.000134872-0j 0.0929062-0j 0.0839415-0j -0.000140263-0j -0.000126729-0j -0.100915-0j 0.0692482-0j 0.000152355-0j 0.0605922-0j -0.176498-0j -0.000104546-0j -9.14776e-05-0j 0.000266463-0j -0.0832509-0j -0.210567-0j 0.000125686-0j 0.0353454-0j -0.127403-0j 0.000317898-0j -5.33619e-05-0j 0.000192343-0j -0.0190033-0j 2.86898e-05-0j 0.0043126-0j -6.51085e-06-0j 
