0.012306-0.0122886j 0.0763621+0.0844347j 0.137282-0.37813j -5.79705e-05+0.010461j 0.000123931+0.0503253j 0.0370889-0.017662j 0.0450781-0.200392j 0.121578+0.769078j 0.00969993-0.00584212j -0.00724936-0.0189275j -0.00661977-0.00215939j 0.0283545+0.00552977j 0.00748563+0.041157j -0.046151-0.0194042j 0.0141543+0.0807857j 0.0842686+0.00130217j -0.0148446+0.0844404j 0.185779-0.0308018j 0.186559-0.131745j 0.230409-0.0496671j -0.229837-0.233755j -0.0500343+0.353266j 
-0.142685+0.215144j -0.0474155-0.0244523j -0.0155886+0.0165783j 0.030772+0.0832286j 0.0174964-0.0270685j 0.0019992-0.00755846j -0.00497193-0.00199762j -0.00211442+0.00203912j -0.0609017-0.420159j 0.15098-0.0650889j 0.580097+0.0282403j -0.0426572+0.0949203j 0.0310092+0.00551375j 0.00855819+0.0301297j 0.0533713+0.0219267j -0.0179838+0.013491j -0.0234507-0.0121978j 0.00551959-0.0135779j -0.0112671+0.00489234j 0.0161715-0.00163241j 0.000576596-0.0112173j 0.00216334-0.00902694j 
-0.0128622+0.0138008j -0.0152801-0.0144607j -0.13241+0.0564369j -0.0051382+0.00145943j 0.00170309+0.0161055j 0.00910024+0.0108738j 0.0205972+0.026009j -0.0515642-0.12028j 0.006862-0.000438314j 0.0133722+0.00993631j -0.00673273+0.00654342j 0.0111019-0.012228j 0.00458004-0.00187559j -1.90737e-05-0.0145492j 0.00749357-0.0136785j 0.00277547+0.0316673j 0.0290253+0.0187468j 0.0270164+0.0125231j 0.103585+0.0128753j -0.223262-0.100091j 0.0389414+0.19337j -0.17793+0.211712j 
0.0260272-0.00449829j -0.104631+0.0737289j -0.0545995-0.0107303j 0.00243497+0.0103761j 0.0250292-0.00757958j 0.00441394-0.0119135j -0.0277981-0.102185j 0.0686578-0.117097j -0.00930624-0.00910765j 0.0178403-0.0090945j 0.00454647-0.00191209j -0.0201316-0.0361501j -0.0347903-0.00215991j 0.000778741+0.0253411j -0.0565755+0.00716447j 0.0310967-0.0569628j 0.0251385+0.00845122j -0.0920212-0.00625376j -0.144758-0.187091j -0.08507-0.103705j 0.223649-0.103351j -0.119457+0.193022j 
-0.00356172-0.0188771j -0.00891482+0.00330605j -0.080225-0.116786j 0.00187564+0.00891821j 0.0280952-0.0133329j 0.0150172-0.0269946j 0.0462371-0.0943046j -0.131326+0.0437902j -0.00100697-0.00748793j 0.00787808-0.0114982j 0.00378748+0.0034402j -0.00916813-0.00899519j -0.00655429-0.00804186j -0.0125421+0.00960585j -0.0120936+0.0011807j 0.0222824-0.0166521j 0.0156229-0.0249459j 0.0153739-0.0377296j -0.00482113-0.125535j -0.0846599+0.0603959j 0.256992-0.0460538j 0.149981+0.198529j 
-0.000247035-0.0348823j 0.0284953-0.0081942j -0.0501822+0.0783557j -0.00856554-0.0105051j -0.00411692-0.00491909j 0.00272201-0.0420098j 0.162971-0.097662j 0.100209-0.068415j 0.00156706+0.00631017j -0.0350169+0.00612187j 0.00561302-0.00954136j 0.00823642+0.0334446j -0.00320045-0.0103974j -0.0209404+0.0260026j 0.0237452+0.0232501j -0.0289572-0.0313675j -0.0809307-0.093523j 0.079717-0.107783j -0.0394568-0.0553459j 0.167882-0.115375j 0.123414+0.0157355j -0.202003-0.0919469j 
-0.000890823+0.000786479j -0.0763231-0.132212j -0.0105763-0.0292545j 0.0152588-0.0188026j -0.0122908-0.0675689j -0.0155096-0.0649097j -0.0231596-0.0197063j -0.121346-0.0852861j -0.0129192+0.0121342j -0.0321562-0.0233856j 0.00818969-0.00708412j -0.0379628+0.0444861j -0.0307672+0.0267823j 0.0121627+0.0235636j -0.00973411+0.0775205j -0.0586084-0.0792975j -0.041521-0.148125j 0.0795206-0.0654312j -0.288248-0.0209539j 0.0183743-0.0155437j 0.048275-0.260963j 0.149714+0.00478189j 
-0.0336978+0.0734761j -0.0431128-0.014846j -0.00491694+0.0710262j 0.0083306+0.012065j 0.0569487-0.00325708j 0.135842-0.0429113j 0.0969864+0.0366282j 0.0821531-0.0752404j 0.00902284-0.017628j 0.0358694-0.0112239j 0.00572005+0.0191788j 0.00321399-0.0174668j 0.0241558+0.00931688j 0.00473185-0.0238484j -0.0431033-0.0475041j 0.0854282-0.0505941j 0.0592579-0.0858032j 0.235909-0.0145967j 0.118061-0.0644407j 0.0692821+0.0927764j 0.148568+0.175358j 0.00879165-0.0491074j 
0.041585-0.109013j -0.07949+0.0401741j 0.0809132-0.0224283j 0.0341416-0.0231816j 0.00906061-0.122986j 0.0399957+0.0577067j 0.0651629-0.00121242j 0.205553+0.000597529j -0.0234398+0.00938335j -0.041233-0.045205j 0.00892542-0.00822914j -0.0274048+0.0388132j 0.0163725-0.0368446j -0.0168216-0.0678265j -0.0192701+0.150811j -0.144885+0.0619382j 0.189215+0.0902887j -0.105284+0.112682j -0.0021469-0.0826653j -0.0400476+0.0287914j 0.0852157-0.0622321j 0.0432484+0.0873876j 
-0.0539847-0.0144193j -0.0118768+0.143109j -0.0237985-0.0831524j 0.00905964+0.00241025j 0.00271451-0.00933571j -0.116171-0.146431j 0.111152+0.160511j -0.0198639-0.0283122j -0.0128394-0.00445574j 0.0154793-0.0292598j -0.00596246+0.0056654j -0.0263193-0.0382824j -0.0307075-0.0350235j -0.0287187+0.0516251j 0.0314634-0.0279561j 0.0948257+0.104047j 0.101262+0.0992386j -0.141282+0.112366j 0.0857427-0.120627j 0.032842-0.000258096j 0.0588654+0.0102619j -0.0148643-0.0225482j 
0.0851042+0.0058436j 0.0113006-0.0644695j 0.00972684+0.104701j -0.0238053-0.0201552j -0.123716+0.0570027j 0.105112-0.0963355j -0.113229+0.0653671j -0.0298576-0.213583j -0.00322448+0.0237775j -0.0282161+0.0235371j -0.0141016-0.0179444j 0.0225449-0.00924749j -0.00512122-0.0556971j -0.0966744-0.00869578j 0.0997941+0.0375356j 0.0638744+0.104338j 0.0620779-0.0379921j -0.00483336+0.0856616j -0.0353938+0.019718j -0.0164864+0.0569483j -0.0577226-0.0334548j 0.0871395-0.0411581j 
0.0525025-0.00887509j -0.145998-0.00497135j 0.11601-0.0154566j -0.00771527-0.0159198j -0.0588131+0.0199801j -0.0611774+0.168899j 0.105774-0.125596j 0.0116177-0.0306364j 0.00346999+0.0217298j -0.0231565+0.0114434j -0.00576451-0.00360183j -0.0100647+0.026905j -0.0260374+0.0403112j 0.00161083+0.00382126j 0.0670512-0.0428941j 0.142159+0.0399671j 0.195431-0.0469842j 0.0903111+0.193544j -0.103682-0.0259674j -0.0309896+0.0227638j -0.0550609-0.0053936j 0.039047+0.0014131j 
0.125516+0.113506j 0.0232274+0.0236629j -0.0952269-0.114172j -0.0211995-0.0231502j 0.0804452-0.0560064j 0.0753302-0.0894444j 0.0848635-0.0271798j -0.0176922-0.0183805j 0.0415715+0.00736568j -0.0376902+0.0486271j 0.0248203+0.00352489j -0.0163005+0.0959968j -0.0563055+0.115212j 0.119103-0.0231871j 0.105473+0.165521j -0.189369+0.0498484j 0.0409768-0.0841333j 0.100744-0.0361315j -0.102469+0.0708514j -0.0262029-0.00971631j -0.0123469-0.0444264j 0.016954+0.0324512j 
0.0956748-0.113552j 0.0242293-0.0227851j -0.125921+0.114061j -0.0208972+0.0212903j 0.0791147+0.0259105j 0.0757234+0.0917489j 0.0803779+0.0537552j -0.0201131+0.023622j -0.0157878+0.0314128j 0.0194006-0.0426073j -0.0292841+0.0106182j -0.0975264-0.0751512j -0.101234-0.0373315j 0.0394361+0.0824516j -0.187948-0.0539474j 0.10968-0.164999j 0.119313+0.0228211j 0.0590865+0.112274j -0.0118322-0.0994829j 0.023812-0.00178493j 0.0404405+0.0549827j -0.04237+0.00778521j 
0.116406+0.0134048j 0.1425-0.00609959j 0.0563507+0.00871572j -0.00856326-0.0293295j -0.104346-0.12825j 0.0595381+0.171462j 0.0576718+0.0196997j 0.010289-0.0132162j 0.0376582-0.00183091j -0.0579694+0.00621175j 0.0324126+0.0207794j 0.103796-0.0197816j 0.0908595-0.193303j -0.193491-0.0468926j -0.143404+0.0411803j -0.0687974-0.0432542j -0.000956377+0.00680624j -0.0287813-0.0395089j 0.0107849+0.0278227j 0.00532005-0.00418195j -0.0236596-0.0127557j 0.00330453-0.0208484j 
-0.00878582+0.109011j 0.0134001+0.062507j -0.0816871+0.00590526j -0.0299312+0.213505j -0.114078-0.0605884j 0.104344+0.0969468j -0.126805-0.0613233j -0.0256567+0.0191531j -0.0847736-0.0424638j 0.0560828-0.0303562j -0.016357-0.0557328j -0.0319372-0.0209738j 0.0064819+0.0847911j 0.0595956+0.0361685j 0.0674433-0.104781j 0.10024-0.0339944j -0.0997024+0.00682773j 0.00666991-0.0574753j 0.0230414+0.0139242j -0.0156345+0.017387j 0.0243224+0.0233279j 0.00296567+0.0229062j 
0.021707-0.08502j -0.0166417-0.139894j 0.0530577-0.0180729j -0.0185521+0.0318077j 0.114427-0.159534j -0.116144+0.145429j 0.00462028+0.00878991j 0.00831227+7.48415e-05j 0.0115235-0.0217858j -0.0631748+0.00706765j 0.0341811-0.00174955j 0.0785854+0.12214j 0.140586+0.116447j 0.105979-0.0975703j 0.0925656-0.104141j 0.0301546+0.0249234j -0.0310347-0.0506579j 0.0305444-0.0342692j -0.0305928+0.038668j -0.0051029-0.00680036j -0.0153468-0.0316601j 0.0128728-0.00420311j 
0.0815769+0.0204456j 0.0794645+0.0339921j 0.0443215+0.107519j -0.204764-0.00352234j -0.0691858-0.000755993j -0.0443342+0.0586467j -0.00927292-0.123234j -0.0348235-0.0267366j 0.0465899-0.0858861j 0.0831676+0.0651576j 0.0398942+0.0283961j 0.00966151-0.0761787j -0.097933-0.113106j -0.188898+0.0862944j 0.148161+0.0592393j 0.0221561+0.153244j 0.0172766-0.0691658j 0.015736+0.0390389j 0.0261234+0.040841j -0.00896094-0.00850946j -0.0438957+0.0425374j -0.0226389-0.010583j 
-0.00557463-0.0705653j 0.0446332-0.0150969j -0.031358-0.0762826j -0.0759118-0.0744871j -0.0956562+0.0354072j -0.137983-0.0424209j -0.0592274-0.000814694j -0.00908768+0.0121443j 0.0149561+0.046008j 0.144448-0.173109j -0.0646847+0.0966654j -0.118826-0.0625591j 0.237302+0.0102367j -0.0610057-0.088569j -0.0880776-0.0552001j 0.0453617-0.0468314j -0.00812805-0.021755j 0.0202566-0.0139884j -0.000689627-0.017843j -0.00537186+0.0184965j 0.0363662+0.0111846j 0.00833495+0.0167511j 
-0.00554121+0.0257127j 0.0762562-0.133481j 0.00134163-0.00557064j 0.12384-0.0842312j 0.031392-0.0184717j 0.0163308-0.0638607j 0.0128626-0.0656892j -0.0149165-0.0202369j 0.151234+0.00374219j 0.0294902+0.260387j -0.0196782-0.0162511j 0.287145-0.0105753j 0.0862188+0.0630992j 0.0430016-0.147063j 0.0619363-0.0770598j 0.00533884+0.0778941j -0.0154036+0.0228819j -0.0282902-0.0283567j 0.037131+0.0482886j -0.0079113-0.00759457j -0.0343228+0.0211096j -0.0123862-0.012928j 
-0.0515232-0.0779148j -0.0264674-0.011485j -0.00208082+0.0338195j -0.0953589-0.0667663j -0.166999-0.0982749j -0.00431073-0.0442699j 0.00139377-0.00804734j 0.00876632-0.0112805j -0.194183+0.0931387j 0.125509-0.0158573j -0.170708-0.111072j 0.0377034-0.0589201j 0.0896199+0.109407j 0.0791484-0.0994772j 0.0302446-0.0335811j -0.0236798+0.025371j 0.0184889+0.0252619j -0.00372696+0.0087244j -0.00768963+0.0357764j -0.00568038-0.00863947j -0.0345461-0.00648902j 0.00229439-0.00639497j 
0.0807584-0.117757j -0.0123313+0.00176575j 0.00370683-0.019277j -0.135585-0.0426035j 0.0441508+0.0931585j 0.0146+0.0276248j 0.029645+0.0162745j 0.0023571-0.00849786j -0.157931+0.198786j -0.255774-0.0560635j -0.0845599-0.0624004j -0.0149225+0.12444j -0.0166798-0.0347988j 0.0156312+0.0278318j 0.0186183+0.0206345j -0.0140481-0.00490828j -0.0108179-0.0102628j 0.00776202-0.00579287j -0.0122782+0.00800849j 0.00414691-0.00338411j -0.00778283-0.0125129j 0.00159409-0.00709156j 
-0.0511834+0.0113752j 0.103791+0.0742203j 0.0279502+0.00688408j -0.0715992-0.115396j 0.0249528-0.106307j -0.00476966-0.0131539j -0.0248258-0.00934449j -0.00299539+0.0105899j -0.114314-0.185439j 0.225859+0.110532j 0.0722515-0.102003j 0.152296-0.189149j -0.0855511+0.0052231j -0.0222128+0.00422999j -0.0282741-0.0595536j 0.0551038+0.0104604j 0.00014544+0.0261865j -0.0333003+0.000738412j 0.0230372-0.0337179j -0.00543767-0.00263693j 0.016178+0.010942j -0.00992502+0.00883946j 
-0.132425-0.0574675j 0.0198531-0.0124548j -0.0125162-0.0146127j 0.0504936-0.123267j -0.0186927+0.0237512j -0.00875424+0.0106938j -0.00227784+0.0172896j 0.00531851+0.00176801j -0.179384-0.214631j 0.0471183-0.188828j 0.221718-0.101263j -0.0970593+0.0050115j 0.0196245-0.0120739j -0.0283102+0.0191841j -0.0068768+0.0295265j -0.00415669-0.0152257j 0.00100033-0.0133743j 0.00259931+0.00245409j -0.011326-0.0147898j 0.00661617+0.00654883j 0.0141149-0.00992434j 0.00657167+0.000838949j 
