-0.113169+0.41867j -0.000221008+0.178873j 0.0592459+0.810115j -0.0472712-0.0242459j -0.0334116+0.131345j 0.206635-0.238267j 0.153908+0.171588j 0.352977-0.0123484j 0.0700728+0.363177j -0.0255486+0.0124727j -0.0923462-0.0586086j -0.0483557-0.0468548j -0.0589722+0.037473j -0.0825209+0.208065j 0.0593407-0.062136j 0.092178+0.0643086j 0.21341+0.0135821j 0.107432+0.111733j -0.162842+0.00751808j -0.0176933+0.0617849j -0.0216275+0.17777j -0.0584278-0.155039j -0.055289+0.135522j -0.15204+0.00443631j 
0.0365596-0.0130379j -0.0597716+0.00577816j 0.201715+0.0246908j 0.131835-0.195019j 0.186893+0.0706143j 0.115833-0.0751311j -0.166282-0.0215782j -0.0748175+0.0372645j 0.0260118+0.0368231j -0.00124652+0.0180713j 0.116205-0.0895257j 0.0462241-0.123411j 0.199663+0.0710381j -0.0439367+0.193255j -0.115773-0.101028j -0.040899-0.101353j 0.0317878-0.0964791j -0.215606-0.0570615j -0.0172096-0.0247893j 0.0289243-0.0806237j -0.104602-0.0478327j -0.0294631+0.00862096j 0.00126008+0.0132306j -0.00611076+0.00330455j 
0.104179-0.0872263j 0.0333643+0.00144699j -0.0139609+0.132798j 0.0947753+0.243364j -0.273777+0.0846122j 0.197228+0.00671126j -0.0138134-0.205372j -0.0121757-0.097774j -0.0519817-0.0179435j -0.137476+0.0784105j 0.114146+0.0464758j -0.219417-0.14258j 0.148575-0.0470499j 0.106242+0.0194541j -0.232164+0.161236j -0.0970961+0.000666008j -0.0138188+0.00581394j 0.0498194+0.202299j -0.0388795+0.0197934j 0.0124282-0.0488129j -0.0399438-0.00601476j 0.0205833+0.00596299j 0.0171929+0.00609684j 0.00110434+0.00610395j 
0.069288-0.042519j 0.197984+0.10696j -0.00691161-0.0603963j -0.20322+0.0579087j -0.0695965-0.0668897j -0.126259-0.0558361j -0.029829+0.0941983j -0.010831+0.0561614j 0.0243922+0.0182346j -0.19585+0.0973663j 0.182503+0.132082j -0.00972047-0.244805j -0.0580298+0.0207073j -0.170992+0.0365505j -0.206802-0.100607j 0.0377604-0.0636813j 0.0208459-0.0320356j -0.0418912-0.125385j 0.0202208-0.0209358j 0.00556855+0.0235829j -0.00690997-0.00828171j -0.0140367-0.00875643j -0.0176432-0.0030334j 0.00182968-0.00202148j 
-0.108067-0.11782j -0.0261861+0.159812j -0.0198185-0.0232284j -0.272055-0.129979j 0.117055-0.24705j 0.0534665+0.031994j 0.0512901+0.0183896j 0.0229774-0.00606242j 0.00180959-0.0119109j 0.105871+0.0225446j 0.188884-0.0654253j -0.277377+0.0965937j 4.94088e-05+0.0298065j 0.044715+0.11903j 0.0483942+0.335548j -0.0285809+0.0393427j -0.013821-0.0135347j 0.0260022-0.0260567j 0.00482163+3.4165e-05j -0.0201984+0.00645282j -0.0156849+0.0151866j -0.00756629-0.00119874j -0.00211749+0.0027916j 0.00325217+0.000771024j 
0.0648635+0.0435324j -0.032647+0.000566487j 0.156674-0.0430162j -0.00595701+0.00269982j 0.000357397-0.00223219j 0.0149476+0.00856773j -0.0201695+0.0103161j 0.0983704-0.0220993j 0.0174646+0.0147945j -0.00446334-0.000207004j 0.00898071+0.00520387j 0.00549196-0.0105579j -0.0129156+0.0146606j -0.00589596-0.00614998j -0.00184493-0.0026084j 0.0163927+0.0249353j 0.00418702+0.0294812j 0.021054-0.00979352j -0.0764431+0.0760555j -0.0585407+0.00408315j 0.064196+0.039233j 0.151645+0.143079j 0.0361642-0.257339j -0.295747+0.0845153j 
-0.00470705+0.0269983j 0.0756013-0.023761j -0.0310016-0.0663923j -0.016714-0.00650883j 0.0212244+0.00755509j -0.0685865-0.0180167j 0.00787511+0.0179952j -0.0473506-0.0980034j 0.0827019-0.0280966j -0.00450654-0.000726823j -0.00355034+0.0123147j 0.0178922+0.00326342j -0.0599519-0.0173913j 0.0160117-0.0376754j 0.018331-0.00323225j -0.0722013+0.0772035j -0.0289935+0.0225197j 0.0457089-0.0152719j -0.0650874-0.0534965j -0.06199-0.125575j -0.0218539+0.233504j 0.0463784+0.00707326j 0.226425+0.0848649j 0.304733+0.00531809j 
0.0691664-0.114937j 0.0383359+0.00371345j -0.00293214-0.0177451j -0.0266664-0.0145638j 0.00850101+0.0146265j -0.0670105-0.0152348j 0.0150017-0.0549612j 0.00420313+0.0385035j -0.062155+0.0417492j 0.00827653-0.00502215j -0.00236589-0.0194927j -0.00189646-0.0236798j -0.0091476+0.0109684j -0.020758-0.0208915j 0.00847049-0.00218904j 0.0274664+0.0360929j -0.021057+0.0208456j 0.0398246-0.0263044j 0.0849133+0.113833j 0.050872+0.0150034j -0.0770624+0.0904432j 0.162457-0.0205278j 0.259454+0.145633j 0.0516183-0.209788j 
0.0262266+0.0278609j 0.0483415-0.0995057j 0.0177369-0.00275633j 0.00499786+0.0231517j 0.0130066-0.0225941j 0.00389295+0.122911j -0.0885462+0.0250264j -0.0626798+0.0660197j -0.110397-0.0284012j -0.0027203-0.0118378j -0.0565026+0.0394747j -0.0151326+0.0566676j -0.0225748-0.111319j -0.000561964+0.0105832j 0.0108835+0.00794243j -0.0943081-0.133569j -0.00622831-0.0866279j 0.0109899+0.0149021j 0.0539814+0.0611349j -0.0351541-0.0139321j -0.0738311+0.0460677j -0.13925-0.109488j -0.0721321-0.00577344j -0.115891-0.242261j 
0.0111228-0.0253106j -0.0873996+0.114266j 0.0240632-0.0399811j -0.0106958-0.00330845j 0.0041057+0.0195091j 0.0014984-0.0363978j 0.0350073+0.028924j -0.0918749+0.0613753j -0.0265896-0.0692875j -0.0153064-0.0148418j -0.00534673-0.0194294j -0.0288291-0.0248946j -0.0575813+0.078405j 0.000291374-0.0024408j 0.00982948+0.02102j -0.0471988-0.00438651j -0.048394+0.135753j -0.031762+0.0107449j -0.0529667+0.121051j 0.15689-0.00453482j 0.138005+0.1587j 0.265313-0.00615556j 0.177473-0.0490797j -0.0496662-0.0443674j 
0.102153+0.0341055j -0.0204815+0.0494885j -0.104137+0.0575841j -0.0014595+0.0178256j 0.00483706-0.00377337j 0.0172477+0.0377254j -0.0634807+0.0239829j 0.00556185-0.0335741j 0.0336+0.0533193j -0.00234797-0.0128069j -0.0208479-0.00572678j -0.0284156+0.00512051j 0.00230997-0.0178472j -0.0151185+0.030302j 0.00198556+0.00539341j 0.00225745-0.119689j -0.0180046+0.0311745j -0.0136536-0.0157384j 0.214777-0.0267269j 0.188905-0.0188174j -0.0425528+0.0784038j -0.0169443-0.167853j 0.0810471-0.0011827j -0.0953742+0.0403879j 
0.0475773-0.0233679j -0.0816199+0.0555554j -0.0503737+0.000781723j 0.0906199+0.0318834j 0.0182805-0.0780243j -0.0397646+0.0474896j -0.0370734-0.0574796j -0.0938026+0.0942849j -0.051626-0.0771429j 0.00139275+0.0429747j -0.00931191+0.0440523j 0.0372616+0.0573639j 0.0645693-0.0807892j 0.0914705-0.0509832j -0.0302594-0.00770069j -0.0227161-0.0655385j -0.0490623+0.138712j 0.236534+0.146569j -0.0971206+0.0369977j 0.107349-0.0252133j 0.0301991-0.00868815j 0.00309084-0.0214671j -0.125964-0.0321424j 0.0018365+0.0767665j 
-0.0618118-0.0495139j -0.00900879-0.0620819j -0.0465407-0.0298286j 0.0534045-0.0101433j -0.00666142-0.00198764j 0.0680809-0.0249609j 0.0551353+0.0835249j -0.0204284-0.0458791j 0.0637082-0.0578671j 0.0152795-0.0218984j -0.0562406-0.0329537j 0.00600868-0.0244046j 0.06572+0.0491135j -0.0289852-0.150248j 0.00640154+0.0232622j -0.0266102+0.0550256j -0.024668-0.087294j 0.0916505+0.0820449j 0.0502619-0.104843j 0.139988+0.105742j -0.0077898-0.118416j -0.0718268+0.100181j 0.00608514+0.192174j -0.0544582+0.0897282j 
0.0220403+0.0278792j 0.0647705-0.0808016j -0.059093-0.00697658j 0.0253751+0.0171659j 0.0198371-0.00894226j 0.0247307-0.0483303j 0.0217729+0.0212274j 0.0657172+0.0464399j -0.0375315+0.0855445j -0.0253675+0.000606345j -0.0185078+0.0829107j 0.0066166+0.0900042j -0.0414557-0.0547153j 0.0356645+0.0468198j 0.0279421+0.00274849j -0.231078+0.00236405j -0.0326088+0.0197518j 0.0459333+0.0311454j 0.187314-0.102628j 0.0485664-0.17094j -0.0393133+0.0979835j -0.140503-0.0796377j 0.0508375+0.0383164j -0.0417728+0.102943j 
-0.0637117-0.0914014j 0.025332+0.0257469j 0.0327893+0.13054j -0.0833969+0.103029j 0.0535668+0.0511289j 0.0467802+0.0463621j -0.0434436+0.0203834j -0.0506518-0.0413865j 0.0306782-0.0296122j 0.0195412+0.0142784j 0.0479243+0.09892j -0.0140058+0.0440111j 0.0566413-0.0718873j 0.0399678+0.000180363j -0.00217261+0.100355j 0.000281627+0.0841767j 0.00741411-0.117509j 0.212426+0.0454019j 0.060604+0.0293446j -0.235066-0.00170389j -0.181103-0.000373596j -0.027595-6.17328e-05j -0.0199852+0.00401378j -0.0294865+0.0137729j 
6.52592e-05+0.0130837j -0.0149508-0.0155566j -0.0152813+0.013607j -0.0291417-0.102366j -0.111266+0.0957082j 0.0341647+0.0133859j 0.0350231-0.0175524j 0.11133+0.0974587j -0.0324697+0.101412j 0.0734814-0.0550223j -0.0210965-0.0610108j 0.015744-0.0489875j 0.0885721-0.152055j 0.0113707+0.0423772j -0.0280108+0.0114334j 0.0872091+0.0684649j 0.000331303+0.113851j 0.0889599-0.0677456j -0.0295687-0.0129992j 0.0139872-0.0449742j -0.0862521-0.153817j 0.0139415+0.0499885j -0.0220242+0.0626719j 0.0747044+0.0585534j 
-0.0629625+0.0933847j -0.0330907+0.129841j -0.025295+0.0258315j -0.0312481-0.032214j -0.0529724+0.0427281j 0.041936+0.0206188j -0.0477331+0.0444366j 0.0563374-0.0496267j 0.0820947+0.104762j 0.0306696+0.0128084j 0.0159947+0.00489545j 0.0222729+0.00212638j -0.180714-0.000836554j 0.231622+0.00103174j -0.0669648+0.0319954j -0.212103+0.0456554j 0.00730902+0.12077j -0.000710608+0.084041j 0.00645454+0.0975291j -0.0367616-0.00746364j 0.0582195+0.0704562j 0.0132084+0.0378923j -0.0464808+0.0988229j -0.0193574+0.0167182j 
0.0188846-0.0270327j 0.0576744-0.00865886j -0.0657615-0.0805648j 0.0382518+0.0861067j 0.0655965-0.0472123j -0.023355+0.021913j -0.0262701-0.0491325j 0.0188314+0.00787364j -0.0253497+0.0165248j 0.0391548+0.10509j -0.0494856+0.0436943j 0.139087-0.0719312j -0.0398792-0.0970374j -0.0475477-0.174411j -0.181556-0.0955072j -0.0489442+0.0351793j -0.0313288-0.0198629j 0.237398+0.010028j -0.0298107+0.00329015j -0.0371906+0.0433999j -0.0428885+0.0544063j -0.0112526+0.0891162j 0.0163107+0.0863923j 0.0254787+0.00345067j 
-0.0571456+0.0518097j 0.0499723-0.0319035j 0.015376-0.0571215j -0.0577532-0.0640096j -0.0283803+0.0365719j -0.0538987+0.0792601j -0.062088-0.0229513j -0.00667242+0.0087624j -0.0609656-0.00965981j 0.0528603+0.0898743j 0.00109221+0.190068j 0.0683981+0.101861j -0.00418164+0.11678j -0.149697+0.103369j -0.0372604-0.102164j -0.108765+0.0908475j -0.0312321+0.0762979j 0.0270528+0.0506695j -0.00337324+0.017129j 0.0232913-0.156372j 0.0703088-0.0415415j -0.010312-0.0231893j 0.0572711-0.0334331j -0.0162913-0.0194575j 
-0.0508772-0.0208677j -0.0457245-0.00274161j -0.0799112-0.0591195j -0.0562861+0.0704473j 0.0895802+0.0975808j -0.0422536+0.0656075j -0.046557-0.0499j -0.019593-0.0764709j 0.0866511-0.0315985j 0.00839647-0.0706931j -0.125316+0.0442047j 0.00774158+0.0235559j -0.0291416-0.00289066j 0.0890921+0.0305209j -0.103583-0.0467804j 0.232165-0.140872j 0.0508981+0.144488j -0.0195094+0.0662366j -0.0302761+0.0133777j 0.0938076+0.0380381j -0.0620743-0.0856736j 0.0397588-0.0579371j -0.00443364-0.0473156j 0.00275333-0.0454313j 
0.101944-0.035258j 0.106336+0.0578728j 0.0189382+0.0469009j -0.0342226+0.0545275j 0.00733171+0.0351024j 0.0632992+0.0237562j -0.0182065+0.03772j 0.0056315+0.00564115j -0.000483942+0.0193037j 0.0967106+0.0470051j -0.0750879+0.0017421j 0.0237471-0.168632j -0.0446638-0.0776661j -0.194507-0.0231524j -0.212211-0.0302403j 0.014011-0.0115251j -0.0193286-0.0316081j 0.00461713-0.11989j -0.001599+0.00804066j 0.0113786+0.0307347j 0.00193085+0.0197364j 0.0286341+0.00930115j 0.0222464-0.00256003j 0.00300594-0.0127263j 
-0.0136619-0.0224086j 0.0227287+0.0376374j -0.0883176-0.114756j -0.0283166+0.0697146j 0.092295+0.0622199j 0.0346482-0.0284385j 0.00206759+0.0326746j -0.00245018+0.017601j -0.00938512+0.00310503j -0.0573295+0.0420167j 0.168599+0.0546192j 0.262921+0.00939103j -0.139541+0.158176j 0.159857+0.00125714j -0.0567611-0.121897j -0.0366643-0.0104824j 0.0504345+0.137148j -0.0476709+0.0103382j 0.0110786-0.0198755j -0.000450792-0.00170504j 0.0581168+0.0777017j -0.029484+0.0227191j -0.00582871+0.0191906j -0.0169342+0.0155869j 
0.0268685-0.0287077j -0.0190237-0.0033366j -0.0476972-0.100221j 0.110321-0.0303324j -0.0608843-0.0632678j 0.0918058+0.0254185j -0.0049201+0.123435j 0.0139828+0.0248285j -0.00514666+0.0245268j 0.113502-0.239317j 0.0715553-0.00842083j 0.143364-0.111037j -0.0733687-0.0475605j 0.0364989-0.0152516j -0.0545745+0.0598724j -0.0124434+0.0131009j -0.00456435+0.085512j 0.095381-0.134856j -0.0114751+0.00923249j 0.000183541+0.00986748j -0.0231051+0.112444j 0.0134962+0.0574447j 0.0560298+0.0421525j 0.00355357-0.0115107j 
0.069686+0.114986j 0.00183409-0.0167663j -0.0372891+0.00488521j 0.0628954+0.0408883j 0.00779558-0.041777j -0.0155817-0.0537599j 0.0663712-0.0127928j 0.0084978-0.0150694j 0.0284334-0.0145735j -0.0406483-0.212308j -0.258104+0.140363j -0.168257-0.0197553j -0.077005-0.0906119j -0.0577849+0.0189968j -0.0840009+0.116488j -0.0343454-0.0287595j -0.0216051-0.0223328j -0.026565+0.0317634j -0.00617632-0.00348727j 0.0218591-0.0180762j -0.0107002-0.0111481j 0.0036061-0.0242197j 0.00376946-0.0204888j -0.00833763-0.00575863j 
-0.00283055-0.0256919j 0.0294941-0.0665501j -0.0752138-0.0230061j -0.0857346-0.028566j -0.0449779+0.0966805j -0.0104329+0.0153405j 0.0700841-0.0174542j 0.022192-0.00707825j 0.0183325-0.00603421j -0.299397+0.00447722j -0.23274+0.0816389j -0.0590385+0.0106284j -0.0214889-0.236175j 0.0616244-0.126331j 0.0641671-0.0438254j -0.0461383-0.0157313j -0.0291184-0.0252678j 0.0701008+0.0767421j -0.0184704-0.00572086j -0.0142196-0.0367287j -0.0606149+0.0158703j -0.0183972+0.00205406j 0.00270476+0.0127219j 0.00456537-0.00096096j 
0.0652313-0.0426504j -0.156829-0.0429817j 0.0346955+0.00106045j -0.014471+0.0160187j 0.0993094+0.0239992j 0.0183161+0.00948129j -0.0179146+0.00838497j -0.000683474+0.00248051j 0.00568398+0.00344742j 0.300254+0.0870542j -0.0292947-0.260151j -0.147004+0.140252j 0.0654758-0.0332477j 0.059095+0.0074633j 0.0736769+0.0715729j -0.0180188-0.0111786j 0.00513189-0.0285465j -0.018618+0.0240828j 0.00303295-0.00362904j 0.00714733-0.00448211j -0.0121936-0.0165616j -0.00529185-0.0107755j -0.00943022+0.00534201j 0.00437888-0.000264508j 
