-1.10679+0.000154802j -0.290163-0.263095j 0.290903-0.261899j 0.106477-0.0840763j -0.130639-0.054271j -0.149989-0.20003j 0.15304-0.198868j -0.130459+0.0511358j -0.105625-0.0848823j -0.0144702-0.0443568j -0.0157042-0.0393203j -0.122097+0.0684028j 0.0402104+0.0428364j 0.00947558+0.0690009j -0.1334-0.0880939j -0.0633516-0.13134j -0.0322005+0.000263361j 0.067888-0.12996j 0.13452-0.0814082j -0.0149786+0.0709068j 0.0420382-0.0425621j 0.119707+0.0713293j 0.017688-0.0383j 0.0152001-0.0442875j 
0.0538668-0.0980474j -0.0421586+0.0240309j -0.0207894-0.115816j -0.129629-0.421435j -0.0930337+0.0752007j 0.226915-0.0747494j -0.00350568+0.0385959j -0.0849105+0.0517761j 0.0309245-0.0168115j 0.0697478-0.0569796j 0.025178-0.209977j -0.0411116-0.184482j -0.0325769-0.0674647j 0.00223244+0.200548j -0.00020252-0.084423j -0.275744+0.211813j 0.00867969-0.0139984j 0.00290258+0.0071945j -0.017205+0.115729j -0.0344783+0.0526123j 0.0403632-0.025699j 0.0175773-0.0351996j -0.00874984+0.0238792j 0.00234058-0.00783436j 
-0.0378139+0.0349551j 0.0473236-0.0300762j -0.021716+0.09132j -0.00885894+0.00165017j 0.0164545-0.0120739j -0.0448198+0.0245886j 0.11022-0.100797j 0.0355735-0.0308373j 0.0333501+0.0734818j -0.00803591-0.00401255j 0.00442389-0.00734881j -0.00912227+0.000859515j -0.0221979-0.0473372j -0.0186442-0.0310825j 0.0153191-0.00766869j 0.00248452+0.00242232j 0.0276918-0.0558143j -0.10321-0.120103j 0.00374738+0.0479936j 0.0238291-0.108817j 0.03257-0.0441592j -0.114704+0.0261923j -0.129798-0.141834j 0.209559-0.352084j 
0.0242172-0.0639167j 0.00994864+0.0855143j -0.0798088-0.0578439j 0.00569999-0.0550879j 0.0177893-0.0802972j -0.0542658+0.0081293j 0.0595587+0.0757198j -0.00245495-0.00258019j -0.0334406-0.0671909j 0.00200207+0.00787257j -0.0535511-0.0366076j 0.0149954+0.00574847j -0.117981-0.073235j -0.100509-0.00677623j -0.0433138+0.0128129j 0.0085073-0.00203912j -0.00229808-0.0678204j -0.0699681+0.058508j 0.00685341-0.0187942j 0.0774246-0.0368403j 0.209939+0.0337834j 0.1016+0.00235904j -0.072774+0.227896j 0.143837-0.248864j 
0.0441853+0.0421091j 0.0535605+0.0167251j -0.0259649+0.0681932j -0.00273984-0.0021157j -0.0507771-0.0640788j 0.0418171-0.0159394j -0.00338753+0.00107515j -0.0247924-0.00526134j -0.0401227-0.0503704j -0.0186708+0.00768516j 0.064177-0.00613899j 0.029341+0.0279513j 0.0694051+0.00602925j 0.0222227-0.0403515j -0.103533-0.0302316j 0.0108244+0.00954665j -0.0671859+0.120396j -0.0656422+0.0318429j -0.0286477+0.0211872j 0.174502+0.0222002j 0.053096+0.0140576j -0.0599392+0.23897j 0.174956-0.147945j 0.0257698+0.182444j 
0.0214147-0.0982025j 0.00737914-0.00346172j -0.0339801+0.015791j -0.0263395+0.0982598j -0.0421963+0.0152125j -0.00375666+0.113405j 0.0334807-0.0572416j -0.0429217-0.0845247j -0.0260574+0.131084j -0.0777325-0.00749196j 0.141079+0.00419812j -0.0538861+0.034704j 0.109548-0.0385326j 0.0527321-0.0230638j 0.0263955-0.0453179j 0.0269182+0.00162879j -0.135789-0.0854561j -0.0248992+0.0134326j 0.0363757+0.00818926j -0.059711-0.120641j -0.01247+0.0968962j -0.0404516-0.0459872j -0.057033-0.102525j -0.177116-0.00587781j 
0.0846791+0.000818426j -0.0755661+0.0395563j -0.0784784+0.00295378j 0.0392265+0.00929912j -0.0152378+0.0318036j -0.0396325-0.0881457j 0.00910627-0.127799j 0.0174963+0.00192274j 0.0137347+0.0685233j 0.0132797-0.027839j -0.0258405+0.011261j -0.0633222+0.00726255j -0.0567392-0.05422j 0.0141079-0.0127834j 0.075181-0.0704759j -0.02221+0.0142317j -0.0133184-0.000208556j -4.36329e-05+0.0786238j -0.00210924+0.047971j 0.081899+0.012659j 0.127945-0.0368985j 0.139638-0.188995j 0.0158153+0.205453j -0.0626315-0.0140472j 
0.0166732+0.0355437j 0.0825667+0.0125703j 0.0108568-0.0894121j 0.0218942+0.0253435j -0.0814358-0.038938j 0.00741554-0.0809071j -0.0136735+0.0119981j -0.0379998-0.041953j -0.0225545-0.0480737j -0.0202922+0.000270069j 0.00304754+0.0210763j -0.0286711+0.0284673j 0.012377+0.00659729j 0.0200582+0.0340724j 0.00332213+0.0290958j -0.00983265+0.0145027j -0.0348982-0.131118j 0.0766438-0.0848791j 0.0695455+0.032416j -0.159038+0.0347224j -0.0787086+0.0753708j -0.137165-0.154481j -0.0421217+0.0353369j 0.0188669-0.0243297j 
-0.0424641-0.0206522j -0.0795886+0.0246433j -0.0615401+0.0594912j -0.00130461+0.0510526j 0.0577538+0.025079j 0.0567834-0.0530117j 0.0853549-0.140568j 0.0560926-0.0409494j 0.0486106+0.0255282j -0.0306085+0.0267746j 0.0459071-0.012565j 0.0754328+0.0327792j -0.0207312+0.0203977j -0.0152779-0.0606439j -0.037986+0.0211095j 0.0528056+0.0269362j -0.0097829-0.0188113j 0.0434961+0.00602748j 0.115428-0.173704j 0.0794313-0.0220608j 0.0231048+0.104195j -0.0341779+0.0518176j 0.0594996+0.0138319j 0.0709907+0.109225j 
-0.0470529-0.0467282j 0.0679552+0.0383037j -0.0300256-0.0683631j -0.0327492-0.0261304j -0.134692-0.0532752j 0.0156504-0.00580461j -0.122299-0.0418685j -0.0291478+0.00624811j -0.0614685-0.0417393j 0.000945037+0.00538095j 0.0409138+0.0176874j 0.0724822-0.00824777j -0.0160408+0.00765307j 0.0192312-0.0905176j 0.0483432+0.0155462j 0.0504548+0.0325532j 0.0646429+0.0520135j -0.0286305-0.0173242j 0.126519-0.163319j 0.110009-0.116454j -0.036262-0.0265054j 0.0291996+0.0622909j -0.0219903-0.124829j 0.0615972-0.0228478j 
0.018372-0.0826435j -0.0542674+0.0270968j 0.0462617+0.034696j 0.0411333+0.00552829j -0.0641491-0.0693393j 0.0949277-0.0312878j 0.022172+0.0721729j -0.119706+0.0160581j -0.0124936-0.0826341j 0.0913496-0.0669295j -0.0466939+0.0816785j 0.0449396-0.0311017j 0.0846559-0.0692681j 0.0202117-0.00792028j 0.0300102+0.0219696j 0.0224406+0.015983j -0.0743811+0.034419j -0.004425-0.0880759j 0.0473658-0.0320861j -0.109804+0.0585875j -0.121685+0.0425645j -0.0488456+0.00347264j -0.180857-0.0202272j 0.0841353-0.0590403j 
-0.0116654+0.0522581j -0.053886-0.0226132j 0.0153251-0.015498j 0.094374+0.0903484j -0.0701825-0.0511862j -0.00512671+0.114817j 0.185947+0.079202j -0.14355-0.0957921j -0.0638567+0.0388704j 0.000953599+0.00182262j -0.0733307-0.0537792j 0.0137112+0.0395524j -0.0915206+0.0464635j -0.0521211-0.00724597j 0.0604207-0.0653167j 0.00864287-0.0312031j 0.213401+0.0935002j -0.00954695+0.0503077j -0.0418916-0.0090629j 0.123665+0.0143025j -0.0187395-0.149545j 0.0891408-0.002057j 0.0503571+0.0302973j -0.0136955+0.0937511j 
-0.148477+0.00120562j -0.0765892-0.0548314j 0.0769633-0.0540493j 0.0446994-0.000741336j -0.0375616+0.00579511j -0.0747113-0.0518628j 0.0778577-0.050647j -0.0390729-0.00745749j -0.0431176-0.00208777j 0.00466881+0.0153325j -0.061287+0.00591489j 0.000540667+0.0214648j 0.0231472+0.00906557j 0.0309601+0.12311j -0.00533829+0.137042j -0.037953-0.0101631j -0.0529782-0.00179269j 0.0383669-0.00999254j 0.00244342+0.143381j -0.0334694+0.120415j 0.0227365-0.00714176j -0.0041317+0.0183671j 0.0609772+0.00859548j -0.00524399+0.0168271j 
0.00184449-0.0193872j -0.0415902+0.0291296j -0.0326451-0.0391209j -0.0380955-0.00558531j -0.00615748-0.00208897j 0.00288018+0.037727j 0.0126974-0.0354777j 0.00746869-0.000427901j -0.0377551-0.00454788j -0.00631346+0.0379506j -0.021353-0.00546695j 0.107598-0.0170933j -0.0199068+0.0321104j -0.018612+0.0454567j 0.0498134+0.185676j 0.0483051-0.00417149j 0.00185304-0.0152441j 0.0464462+0.0126067j 0.096398-0.16867j -0.00879025-0.0438904j 0.0116561+0.0352488j 0.0968193+0.0462407j -0.0203743-0.00102548j 0.00513263-0.037218j 
-0.0344025-0.000247844j -0.0157354-0.044653j 0.0161855-0.0450917j -0.0592708-0.0626629j 0.0322211-0.0317401j 0.138273-0.134588j -0.141255-0.133133j 0.0336507+0.0298348j 0.0582008-0.0622081j 0.0618893-0.0620288j -0.00738253-0.0301755j -0.100331-0.0308438j -0.0298823+0.109251j -0.0394997-0.029625j 0.09589+0.0287379j 0.0318127+0.0231077j 0.138597+0.00143214j -0.0329764+0.0222368j -0.0927436+0.0256173j 0.0445795-0.0295475j -0.0292978-0.110655j 0.103721-0.0284159j 0.00902482-0.0323011j -0.0582967-0.0633105j 
0.00028624+0.0483257j 0.0111582+0.0214927j 0.00861365-0.0228508j -0.148761+0.0117114j -0.051759-0.097656j 0.0659954-0.0134099j 0.0677281+0.0154117j 0.0512399-0.0987909j -0.147426-0.00848056j -0.11777+0.0381021j 0.0197948+0.00343289j -0.00662388+0.0624972j -0.0144149-0.0320804j 0.00635904+0.074075j 0.0393169-0.0541742j -0.0230731-0.0433382j 0.000424126-0.0577643j -0.0222096+0.044434j 0.0396046+0.0525486j 0.00377109-0.075831j 0.0142754-0.0338106j -0.00607083-0.0631551j 0.0225395-0.00581798j -0.119401-0.0357827j 
-0.00073543-0.000420834j -0.0380809+0.111501j 0.0387824+0.11039j 0.0473393-0.0319475j -0.105693+0.00523007j 0.00420181+0.129491j -0.00413794+0.1299j -0.104857-0.00245519j -0.0481828-0.0306256j -0.0089934-0.0608163j 0.0038951+0.0182174j -0.0403467-0.0957058j 0.0834033-0.0218864j 0.0165828-0.10374j -0.0380844+0.0319376j -0.0275948+0.0440655j -0.201341+0.000373492j 0.0278544+0.0422128j 0.0389369+0.0250765j -0.0203632-0.103925j 0.0838461+0.0217724j 0.038551-0.0961652j -0.00369205+0.0163865j 0.00949078-0.0630308j 
-0.012342-0.0518828j -0.015364-0.0187411j 0.0523033-0.0232124j 0.0665206+0.0388102j -0.146494+0.0974582j -0.18357+0.0787565j 0.0107048+0.110301j -0.0745947+0.0522913j -0.094747+0.0922401j 0.0145664+0.0924362j -0.0482184+0.0313265j -0.085046-0.00321141j -0.0209254+0.149029j -0.119103+0.0144179j 0.0441332-0.0107689j 0.00948652+0.0475244j 0.216614-0.0910173j -0.00877008-0.0314164j -0.0597346-0.0645412j 0.0569532-0.0055599j -0.0938831-0.0472418j -0.0119509+0.0426338j 0.0726357-0.0532461j 7.41405e-05+0.00365717j 
-0.00563935-0.0845917j 0.049412-0.0292546j -0.0514649-0.0359074j -0.0227971+0.0796931j 0.11725+0.0353229j 0.0315474-0.0627177j 0.0860461+0.0474654j 0.0749237-0.057247j 0.0440222+0.00138469j 0.0770179+0.0699898j -0.17813-0.00978407j -0.0486927-0.00808831j 0.112706+0.0638287j -0.0961955-0.0735812j 0.0441074+0.0435369j -0.016287+0.0854269j 0.0694944+0.0458186j 0.0266477-0.0137712j 0.0335238-0.0166444j 0.0183105+0.0130904j -0.0714426-0.0818835j 0.0395345+0.0398911j -0.0317433-0.0889115j 0.080558+0.0816095j 
0.0458452-0.0485656j -0.0300406+0.0664729j 0.066587-0.0389845j -0.0585107+0.0406921j 0.0277764+0.00716491j -0.126775+0.0431569j 0.0154803+0.0040588j 0.132307-0.0505221j -0.0347424+0.0269292j 0.0592906+0.0242402j -0.0241858+0.125259j 0.0329373-0.0581309j 0.0376934-0.0262079j 0.113982+0.124577j 0.121798+0.162414j -0.0296396+0.0134833j -0.0668544+0.0505122j 0.0502921-0.0358764j 0.0503551-0.0116042j 0.016399+0.0945861j 0.0167294+0.00877258j 0.0687034+0.011582j 0.0435003-0.01709j 0.00254593-0.00428513j 
0.042563-0.0203927j -0.063655-0.0584659j -0.0785377-0.0231834j 0.0493654-0.0285775j -0.0567486-0.0389415j 0.0875758+0.140643j 0.0554203+0.0513683j -0.0579251+0.0280755j -0.000684097-0.050467j 0.0696798-0.109858j 0.0617096-0.0155599j -0.0313826-0.0534354j -0.0232002+0.105523j 0.0842308+0.0265254j 0.115667+0.171105j 0.0419855-0.00855231j 0.00717737-0.0190548j 0.0507806-0.0307877j -0.0401536-0.0202405j -0.0138397+0.0617662j 0.0218998+0.0221591j 0.0739322-0.0323887j 0.0470566+0.013225j -0.0296833-0.0282355j 
-0.015059+0.0348497j 0.0112394+0.0900514j 0.0838047-0.0136141j -0.0232495+0.0505491j 0.0370546-0.03892j -0.0190104-0.00894168j 0.00633402+0.0842059j 0.0826568-0.0387758j 0.0212325-0.0223528j 0.0226235+0.0222027j -0.0378975-0.0345308j -0.136879+0.150959j 0.0782248+0.0779228j -0.156703-0.0360883j 0.0771766-0.0311442j 0.077453+0.0833119j 0.0384848-0.130293j -0.0110146-0.0168896j 0.000397027-0.0331589j 0.0220511-0.0347956j -0.0145396+0.00556439j -0.0265272-0.0270416j 0.0032387-0.0225931j -0.0203278-0.00173208j 
0.0842084-0.00466332j 0.0788594-0.000320986j 0.0760288+0.0365043j -0.0108957+0.071329j 0.0184389-0.00558201j -0.0138229-0.127948j 0.036895-0.0887842j -0.0156535-0.0348395j -0.0381726+0.00980905j 0.0641327-0.0156796j -0.00652331+0.208212j -0.146427-0.179776j 0.130186+0.031063j -0.082601+0.0161626j 0.0076041+0.0508056j 0.00301681+0.0798192j -0.011916+0.00150454j 0.0220637+0.0109484j -0.0763509-0.0704967j -0.0139525-0.0098586j -0.0562102+0.0557322j 0.0646922+0.0052639j 0.026105+0.00902343j -0.0124822-0.0265526j 
0.021802+0.0981268j 0.0329541+0.0143172j -0.00719931-0.00317144j 0.0290224+0.13064j -0.0429652+0.0847246j -0.0309702-0.0549267j 0.00281224+0.112261j -0.0419265-0.0147015j 0.0239391+0.0988989j 0.178234-0.00224504j 0.0563095-0.0987302j 0.0441836-0.0468061j -0.0118411-0.0972574j 0.0603719-0.118292j -0.0382616+0.0129957j 0.0226146+0.0135931j -0.136515+0.087778j -0.0267446+0.00212071j -0.0259235-0.0477225j -0.0539448-0.0193864j 0.112004+0.03715j 0.0537582+0.0354373j -0.139843+0.00567986j 0.0758722-0.00652247j 
-0.0429347+0.0421795j -0.0258512-0.0685314j 0.0536715-0.0152444j -0.0402186+0.0480302j 0.0235478-0.007137j -0.00276152+0.00113193j 0.0402254+0.0166015j 0.0515171-0.0637396j -0.00194641+0.0030363j 0.0272765-0.178928j 0.175876+0.152968j -0.0584324-0.238993j -0.0547907+0.00959669j 0.175927-0.0237278j -0.0325655-0.0166133j -0.0672711-0.0290618j 0.0630855+0.122189j 0.0113045-0.00871131j -0.098818+0.0314334j 0.0260159+0.0414599j -0.069436+0.00630379j 0.0306771-0.0270688j 0.0644854+0.00580821j -0.0167389-0.00743153j 
0.0229405+0.0640801j 0.0801875-0.0548652j -0.012284+0.0855408j 0.0340667-0.0702352j -0.00280673+0.00118384j -0.0602646+0.0736606j 0.0535537+0.00921176j 0.014425+0.0811557j -0.00376804-0.0555284j -0.141184-0.252962j 0.0695092+0.226185j -0.10185+0.000995395j 0.209589-0.0340412j -0.0765219-0.0375642j -0.00512453-0.0155565j 0.0723285+0.059102j -0.00343667+0.0665009j -0.00812373-0.00184681j 0.0443885+0.0106687j 0.0978737-0.005116j -0.117726+0.0715985j -0.0140069+0.00600251j 0.0527167-0.0353113j -0.000686727+0.0064824j 
-0.0377361-0.0345906j 0.0212465+0.0914124j -0.0467239-0.0321367j -0.0335618+0.0699293j 0.033737+0.0313089j -0.107561-0.103154j 0.0442539+0.0265336j 0.0159937+0.011706j 0.00901503+0.00229188j -0.208731-0.353484j 0.129081-0.145851j 0.116078+0.0177659j 0.0319382+0.0433602j -0.0215708-0.107167j -0.0037087+0.0479234j 0.0986051-0.119116j 0.0274423+0.0593433j -0.0028765+0.00351881j -0.0168958-0.00747448j 0.0184696-0.0298039j -0.0207813+0.0466622j 0.0104592-0.000273353j -0.0049205-0.00631375j 0.00902846-0.00484887j 
