0.00409795-0.0398372j 0.087023+0.204748j 0.118124-0.311679j -0.118597-0.334643j 0.269044-0.273529j 0.308261-0.591225j -0.120167+0.250496j -0.0131716-0.00850501j -0.0383873+0.059696j -0.114035+0.0620389j 0.0593903-0.123372j -0.0372091-0.0409323j -0.15767-0.012965j 0.105699+0.119973j 0.215182-0.000601547j 0.0633237-0.166143j -0.129234+0.108408j -0.00709023+0.12864j 
-0.203093-0.314674j 0.100504+0.0332984j -0.146291-0.112422j -0.0679018+0.0769765j 0.0503068-0.0966699j 0.0707272-0.0108862j -0.0154739+9.89075e-05j -0.186184-0.24014j 0.284451+0.401339j 0.152516+0.089072j -0.0398266+0.277059j -0.0358539+0.176503j 0.243934+0.164598j 0.0615108+0.0268145j -0.0368121-0.178315j -0.0230592-0.145286j 0.00880149-0.061033j -0.0370519+0.033421j 
0.00638023-0.00832472j 0.000848968-0.02113j -0.0426919+0.0137928j -0.0349021+0.0259621j 0.0245655-0.0542416j 0.0382502-0.00719008j 0.0328226-0.0582716j 0.0519697+0.00181225j 0.000289148-0.00674655j -0.084531-0.065423j 0.0643586+0.0855319j 0.0110956-0.0482723j 0.0704693-0.124111j -0.0179162-0.0844135j -0.00434479-0.0658603j -0.241428+0.0898923j -0.135912+0.0723957j -0.218602+0.293657j 
-0.00558308-0.0161118j -0.02556+0.0451844j 0.0190539+0.0370905j 0.0214903+0.00230226j -0.0732657-0.0385639j 0.0449522-0.0164887j -0.0110725-0.121431j 0.000233691+0.00244049j 0.150745+0.0113758j 0.107975+0.085049j -0.0915832+0.0261097j -0.0214597-0.0415252j -0.0821602-0.0782596j -0.138118+0.0161015j 0.0602293-0.254156j 0.0705601+0.0425969j 0.0315558-0.143203j 0.111795-0.0837056j 
-0.0109152-0.013864j -0.0378476-0.0310548j -0.0138319+0.0815278j 0.0263849+0.091483j -0.0486796-0.0618056j -0.0175162-0.0813455j -0.0834245-0.0348487j 0.00437301+0.00799842j -0.00767326-0.0169652j -0.000786524-0.0332193j -0.00837253+0.00887258j 0.0103379+0.017214j 0.0327295+0.0627572j 0.0499319-0.00610465j 0.0166097+0.0715766j -0.000841759-0.106305j -0.00376167-0.0270562j -0.0438591-0.101574j 
0.00564006-0.0167182j -0.043011-0.0176072j -0.059431+0.035891j 0.0142982+0.036508j 0.116924-0.0798579j -0.034902+0.0227346j 0.157879+0.0565129j 0.0667309-0.0368622j 0.11854-0.0773205j -0.0555912-0.00377357j 0.0167003+0.0428362j -0.0372687-0.0458352j -0.0454853+0.0531244j -0.0431896-0.0597432j 0.0430746+0.073898j 4.24994e-05-0.119958j 0.0362711+0.000417971j 0.198918-0.0843365j 
-0.0428448-0.0188946j 0.0695691+0.0769353j 0.00961475+0.0357158j 0.00556964-0.00457819j -0.0142346+0.00320871j -0.00775283-0.099697j -0.119092-0.105544j 0.0577655-0.0178838j 0.0494066-0.0172826j -0.11656-0.00923672j 0.0376401+0.00411187j -0.0100748-0.0463945j 0.0257898+0.0493265j -0.00313182-0.11745j 0.106169+0.179301j -0.0625536-0.126761j 0.0536477+0.0772944j 0.136872+0.000382316j 
0.020692-0.0280239j -0.056039+0.000788497j -0.0416628-0.0898955j -0.0628133-0.00511008j 0.02957+0.111086j 0.0826914-0.00617439j 0.0444163+0.0353057j 0.040841-0.0910779j 0.0208068-0.0166169j -0.0818227+0.053076j -0.0302803+0.0325452j 0.0130102+0.0363071j 0.0760458-0.0240869j 0.135701+0.0112828j 0.0685303+0.0640617j -0.036665+0.0514767j 0.123542-0.0676533j 0.0598616-0.094816j 
0.0556489+0.0104905j 0.0250895-0.0246084j 0.0198833-0.0186914j -0.0212346-0.0778863j 0.0266129+0.0539846j 0.138253+0.0345908j -0.0373553-0.0204148j -0.061953+0.0278151j -0.0685747-0.0469924j 0.0167754-0.0135264j -0.0114249-0.0016831j -0.108168-0.145408j -0.00688202+0.0954139j -0.155891+0.0427062j -0.0917548+0.0591434j -0.106702-0.193056j -0.0330429+0.215939j 0.0348546-0.10777j 
0.0388577-0.0227681j 0.013969+0.00660433j -0.0253696-0.055865j 0.0211056+0.054339j -0.0456774+0.0753899j -0.00273577+0.0900725j 0.0570316+0.0525333j 0.0087109+0.0218063j 0.0400443-0.043239j 0.0181841-0.0327511j 0.143451-0.106437j 0.0666515+0.0164532j -0.0753092+0.0366067j -0.244636-0.261658j 0.210857-0.0433527j -0.0189242-0.102505j -0.107844-0.0239294j 0.0168562+0.0513158j 
0.0291776-0.0107411j 0.00300704-0.0702421j 0.05908-0.0484669j -0.138037-0.0422671j 0.000704526-0.0553117j 0.0864157-0.129752j -0.11565+0.0259092j 0.0171596-0.0745809j 0.0263025+0.00306594j -0.0138336-0.0140686j 0.01066-0.0662712j 0.121871+0.0397474j -0.00800369-0.0258095j 0.00231354-0.102899j 0.0683732-0.04839j 0.0709027+0.00769846j -0.0328038-0.0769555j 0.0594725+0.0174249j 
-0.0229733+0.0264521j -0.0327458+0.0522126j 0.0409207+0.00978442j -0.0797655+0.00990942j 0.0117856-0.0970621j -0.112555-0.0537555j -0.00548537+0.02314j 0.00763561+0.0398401j -0.019611-0.0294808j 0.00168532-0.036062j 0.0285112-0.0955402j -0.00223313-0.0375476j -0.0167634+0.0758645j -0.233738-0.00900171j 0.0506967-0.0557398j -0.0899707-0.0783692j -0.0392647+0.0994992j 0.0188668+0.00943165j 
-0.105328+0.0499397j -0.0446151-0.0494125j -0.0807551-0.0948384j 0.0146715+0.109904j -0.129984+0.0286222j 0.0336838+0.0145516j 0.0230829-0.108085j -0.00988603-0.0790822j -0.0907961+0.0296789j 0.0152389-0.0495164j 0.00283383-0.0819067j 0.0611186+0.0383784j 0.0483191+0.0396289j 0.0445181-0.0384411j -0.0403475+0.0760791j -0.0127058-0.0807238j 0.0531972+0.109605j 0.0700448-0.0718399j 
-0.0267699-0.109911j 0.0287814-0.0199459j 0.131314+0.0245043j 0.0179382-0.109999j 0.0789666-0.0931164j -0.0417682+0.0486796j 0.108527+0.047959j -0.070662-0.0676244j -0.0527221+0.111873j 0.0165109-0.0826539j -0.0411795-0.0781973j 0.0455203+0.0400003j 0.0478697-0.0372055j 0.0614707-0.0362416j 0.000693788+0.0797743j -0.0111391-0.051134j 0.0893169+0.028279j 0.00672493-0.0783404j 
-0.0095016-0.0205429j 0.112032-0.0547682j 0.0125159+0.0965437j 0.0806091+0.00910668j 0.040823-0.00975235j 0.0305578+0.0535111j -0.0228712-0.0279144j 0.0173177-0.0130369j -0.0407159-0.0982018j -0.0870656+0.0786803j -0.0468033-0.0566683j 0.233106-0.00773074j 0.0181934+0.0742065j 0.00151894-0.0387113j -0.0282409-0.0938499j 0.00295257+0.0378375j -0.0187661+0.0270754j 0.00811474-0.040726j 
-0.110505-0.0222316j -0.0916524-0.131989j -0.00112475+0.0535088j 0.136497-0.0417313j 0.0590178+0.0496541j 0.00266237-0.0701103j 0.0284175+0.0120422j 0.0609739-0.0128943j -0.0326627+0.0746449j 0.0714117-0.0065049j -0.066826-0.0461434j -0.00234677-0.10277j 0.00781376-0.0246465j -0.123093+0.0388586j -0.0104937-0.0686713j -0.0142032+0.0141125j 0.0243488-0.000557703j 0.0157899+0.0757192j 
-0.0579288+0.0557667j -0.0034689-0.0894932j 0.0449949+0.074289j 0.0199523-0.0557455j 0.0251773-0.0568181j 0.0124081-0.00508131j -0.0390279-0.0227254j -0.0148012+0.048012j 0.107621-0.025301j 0.0151566-0.101401j 0.206901+0.0460535j -0.248812+0.26003j -0.075955-0.0357687j 0.0677559-0.0143927j 0.143622+0.107108j -0.0218665-0.0331386j -0.0379034-0.0425515j -0.00679986+0.0218349j 
-0.0312814+0.0198033j -0.14046+0.0376056j 0.0248995-0.052858j 0.0191931-0.075744j 0.0194583+0.0196178j -0.0182253-0.0291704j 0.0552541-0.00982921j 0.0315466+0.103056j -0.0338863-0.216795j -0.107524+0.196204j 0.0951908+0.0594027j 0.152069+0.0431835j 0.00594809+0.093018j 0.108778-0.144231j 0.0122963+0.00286102j 0.0182602+0.015431j -0.0704681+0.0434817j -0.0585559-0.0290822j 
0.0490191-0.0350254j -0.0812123-0.00715382j 0.0284377-0.108697j 0.0603645-0.00311667j -0.0415347+0.0903333j 0.0612955-0.000525409j 0.0173823+0.0260809j 0.0648609+0.0963289j 0.122636+0.0668936j -0.0377573-0.0559977j -0.0683284+0.0640319j -0.136778+0.0141245j -0.0748544-0.023187j -0.0117854+0.0390376j 0.0296627+0.0329407j -0.0845674-0.0539503j 0.0242852+0.0218254j 0.0417149+0.091019j 
-0.120634+0.10867j 0.000204202-0.0932354j -0.0170405-0.00942243j -0.000883713-0.0122443j 0.0111908-0.0303685j -0.0736271+0.0786669j -0.0388689+0.0153047j 0.137168-0.00606096j 0.0478613-0.077526j -0.0650189+0.121802j -0.10502+0.173351j 0.0076741-0.120441j -0.0220009+0.0456015j 0.0120632-0.0471261j -0.0400171+0.00693249j -0.113768+0.00796562j 0.0506994+0.0178089j 0.0538481+0.0174419j 
0.154302-0.0516569j 0.0378902+0.017505j 0.113732+0.0823605j -0.0181443+0.0374369j -0.0573016-0.0403977j 0.0413799-0.0129845j 0.00272568+0.0177247j 0.204704+0.0870615j 0.0326654-0.00321955j -0.00144244+0.122672j -0.0440314+0.0748653j 0.0467253-0.0629173j 0.0493807+0.0531807j 0.038373-0.0478163j -0.0169574+0.0452603j -0.0521274+0.00336026j 0.123057+0.0776224j 0.0626419+0.033461j 
0.0871669-0.0399844j -0.0166982+0.0861368j 0.0503772-0.0609659j 0.0263674-0.0895405j 0.0122254+0.0817149j -0.0350924+0.0243147j 0.0133295-0.0159687j 0.0417178-0.100367j 0.000730277-0.0246802j 0.00252642-0.107109j 0.0204699-0.0757976j 0.0497767+0.00940267j 0.0329454-0.062093j 0.0099299-0.0156125j -0.00808991-0.00875013j 0.00351285-0.0330585j 0.00646439-0.014855j -0.00535122+0.00840007j 
0.0112219-0.119869j 0.0431917+0.0159115j 0.0749222-0.0340536j 0.0217265+0.000177753j -0.022209+0.0345813j -0.0222619-0.0470975j 0.00596245-0.0141487j -0.114261-0.0918347j -0.0308665-0.144382j -0.0777925+0.0459662j 0.0587107+0.250386j -0.134836-0.0227997j -0.0827018+0.0731506j -0.0226407+0.0380144j -0.0915294-0.0191974j -0.112679+0.0885013j -0.143458+0.010289j 0.00784264+0.00177407j 
-0.03245-0.0571436j 0.0380841+0.00633985j -0.020768-0.0551904j -0.0326676-0.0265137j 0.0409338+0.0163677j -0.00165554+0.0190163j -0.00585314-0.00962775j 0.220337+0.294564j 0.131036+0.0594291j 0.237856+0.089587j 0.000140469+0.0740794j -0.022553+0.0810122j 0.0637882+0.126967j 0.0105666+0.0485165j 0.0610537-0.0867088j 0.081211-0.0600144j -0.00858172-0.00384339j -0.0524667+0.00192294j 
