0.00887174+0.00315024j 0.00815053-0.0514434j -0.00975123-0.0124032j 0.0380466+0.0260662j 0.00747566-0.00486304j -0.0215332-0.0340737j -0.0124734-0.0568658j -0.0132029-0.0226025j 0.00332904-0.0204425j 0.00801919-0.0156559j -0.00273271-0.00511656j -0.00838083+0.0217193j -0.0103949-0.0260887j 0.00471731-0.0156722j 0.0158348-0.0080086j -0.00571981+0.0455152j -0.0190031+0.00575888j -0.0260581-0.0069191j 0.00734541+0.00208964j 0.0043147+0.0300281j 0.00139128+0.0064672j -0.0109029+0.00401219j 0.00813431+0.00763417j 0.00339699+0.00832987j -0.0131128-0.000542263j 0.00763612-0.00420133j -9.25342e-05+0.0215871j -0.0210346-0.00617996j -0.00950814+0.0264004j -0.00685533+0.0129822j 0.0113003+0.00576658j 0.00463346-0.0132003j -0.00876351+0.00710931j -0.0192876-0.0111885j -0.0087028-0.0205644j 0.00663715-0.0103773j 0.0100819+0.00556856j -0.0203337+0.0265398j -0.00429511-0.00861795j 0.0014971-0.010416j 0.0129359+0.0193163j 0.0162612-0.0359683j -0.00140875+0.00779529j 0.001185-0.0073506j -0.00565471+0.0102523j 0.0249885-0.0123328j -0.0172245+0.00933919j -0.00144565+0.00561194j -0.00405403+0.0500861j 0.00357093+0.0100591j 0.0294197-0.0195547j 0.0132888-0.0194532j 0.0149398-0.00443139j 0.0190848+0.00585399j 0.0129318-0.00859665j -0.00412951+0.048129j -0.0130861+0.0643062j 0.0385405+0.00284169j 0.00574661-0.0102132j 0.0140425+0.0355988j 0.00942528+0.0174226j 0.0340638-0.0347144j 0.0428669-0.0301726j 0.0158385-0.00128071j 0.00366927-0.0210344j 0.0354857-0.052025j -0.00324922+0.0173017j -0.0634911+0.00135115j -0.0568483+0.0735956j 0.0352779-0.00392688j -0.0875426+0.141446j -0.0494943-0.00617683j 
-0.00530036-0.0291396j -0.0250602+0.00270706j 0.00564039+0.0163047j 0.0172569-0.00318053j 0.000728042+0.023743j 0.0218021-0.00164728j -0.00987402-0.00110699j 0.00587321-0.0296288j 0.0473602+0.000923992j 0.0272551+0.0970389j 0.00269283-0.0359954j -0.0314946+0.0121778j -0.0191298-0.0173321j -0.061454+0.00475295j 0.0177248-0.0495037j -0.0824262-0.0104933j -0.0275107+0.0402043j 0.0386975-0.0394683j 0.103645+0.0214042j -0.0369233+0.0279053j -0.0230504-0.0902669j -0.0114912-0.0434231j -0.0625778-0.00670716j 0.0727074+0.0314629j -0.00557517-0.0329895j -0.0035523+0.00176053j 0.000355984-0.0130914j 0.0353787+0.0332155j 0.0234487-0.0195538j 0.00989118-0.00276992j 0.00552014+0.0976039j 0.0423363-0.0170579j -0.00677124-0.0212265j 0.0159316-0.0173071j 0.0068473-0.0085082j 0.0168176-0.0561027j 0.0227622-0.0311776j 0.0427657+0.00103209j -0.0363438-0.0644087j 0.047073-0.0194456j -0.0406068+0.0519676j -0.00975255+0.0773871j 0.00795563+0.00512962j 0.0549167+0.0767379j 0.0483999-0.00591803j 0.0142423-0.0552463j -0.0161096-0.0130444j 0.0850607-0.00663003j -0.0412567-0.0405963j 0.0114315-0.0299173j -0.0455523+0.0430297j 0.0302756+0.0871463j -0.06661-0.0459482j 0.0072773-0.054704j 0.0274833+0.0184651j 0.0292699-0.00854753j -0.00735105-0.0295191j -0.0542273-0.00836836j 0.0497968-0.0277542j -0.0077557+0.000459112j -0.0282639+0.00145895j -0.00315407-0.00819461j 0.0658047-0.0242876j 0.0153332+0.0684643j -0.0075676+0.0563976j -0.0205113-0.0299132j 0.0644944-0.0141056j 0.0156368+0.034461j 0.043022-0.016325j -0.00721756-0.0340591j 0.0372734-0.0279958j 0.00181829+0.0315947j 
0.00860268+0.0397369j 0.0189783-0.0023874j -0.0257707-0.00892012j -0.0428668+0.000573449j -0.00765219-0.00925131j -0.0296966-0.019819j 0.00580353-0.000773645j 0.049605+0.0125016j 0.0200814+0.0454584j -0.0341523+0.0108618j -0.0197456-0.00301886j -0.0144741+0.0120054j 0.00292517-0.0308613j -0.0160165-0.0499214j 0.035437-0.0396553j 0.0296789+0.0189736j -0.0308721-0.0440948j -0.0129229+0.0208287j 0.0489637+0.0123545j -0.0505015+0.0352968j 0.0566305+0.0593241j -0.0270234+0.0534634j 0.0258462+0.0448158j -0.0192546-0.0926819j 0.028579+0.0272758j 0.0533726-0.0051969j -0.0163375+0.0642035j 0.0371952-0.0664491j -0.00825654+0.0320929j 0.0323069+0.015631j 0.0148811-0.0158489j 0.00609385-0.0570578j 0.0757193-0.0207655j 0.00352736+0.130182j -0.069585+0.0638704j 0.00912661+0.109485j -0.0381748+0.00991629j -0.00829907-0.0190007j 0.0191785-0.0149136j 6.75276e-05-0.0235644j -0.0166443-0.0462971j -0.0143371+0.0312572j -0.0232182+0.0393747j 0.031668+0.0579301j -0.0376102+0.00861513j -0.0338635-0.107792j -0.00797237-0.0121109j -0.0560783-0.0401537j 0.00571306-0.0297677j -0.0472961-0.00045365j -0.0283646-0.0470756j -0.0183971-0.00870367j -0.0194651+0.0286274j 0.064231-0.0257424j -0.0316541-0.0334673j 0.0399192+0.0475017j 0.0156417+0.0977544j 0.00488873+0.0340663j 0.0360027+0.0244083j 0.0057761+0.00921587j -0.0091495-0.0326699j -0.0307681+0.0347791j 0.0398615+0.000813548j -0.0429554+0.0362775j 0.0354376+0.0264976j -0.0233702-0.0583121j -0.000638239-0.025541j 0.0473323-0.00618666j -0.0188357-0.00766768j -0.00883185-0.00827619j -0.00709106-0.00120244j 0.0059797-0.0404844j 
0.00401539+0.024503j 0.00820948+0.0261943j 0.0148266-0.00865533j -0.0542204-0.00525232j -0.0128061-0.00489496j 0.030573+0.0243138j 0.00539991+0.0509811j 0.0324487+0.045663j -0.0192072-0.0187526j -0.00041517-0.0376957j -0.0190485+0.0170034j 0.038808+0.0427847j 0.0244262+0.0205078j 0.0583208+0.0184977j 0.00388705+0.00306185j 0.0382295-0.030127j 0.00139242-0.0360972j 0.00802375+0.0435513j -0.0316375-0.071561j -0.0079657+0.0222339j -0.0426771+0.0343304j -0.0174748+0.135029j 0.0656506-0.0934271j -0.0146489+0.00838121j 0.0259917+0.0150728j -0.0844057-0.0926601j -0.049329-0.066806j -2.67281e-05-0.0583715j -0.0409622+0.0135546j 0.0485407+0.0518802j -0.131343-0.0251957j -0.0929919+0.158626j 0.110618-0.0305805j 0.00685411-0.126391j -0.161163+0.0599426j 0.0320735-0.0169553j 0.0425029-0.0753144j 0.0122762+0.00675781j -0.0308012-0.0121744j -0.0644066+0.0432685j 0.0109283+0.0366012j 0.0621821-0.0443741j -0.0552674-0.0445777j 0.00127119+0.0409963j 0.0558468-0.148785j -0.0333209+0.138826j -0.00414266+0.0208694j -0.0174157-0.109671j -0.0722029+0.0119766j -0.0117694+0.00800769j 0.0547376-0.110673j -0.0420805-0.0470381j 0.0426719+0.0166217j -0.0692442+0.0150233j 0.00988139-0.0145563j -0.0587488-0.0286163j -0.0185452+0.000106053j -0.0201136-0.0252815j 0.023596-0.0132654j -0.0319869+0.0189099j -0.0379065-0.0152432j -0.000277474-0.0352193j -0.0048972-0.0183998j 0.00794781-0.0388j 0.00174052-0.00223179j -0.00254188-0.00234208j -0.00683549+0.0207545j 0.0286803+0.0264122j 0.0212845-0.0151964j -0.0218731-0.0118436j 0.014153-0.0436941j -0.0030874-0.0127585j 
-0.0207493-0.00403397j -0.00688967-0.0229303j -0.0196698+0.0124404j 0.0388951-0.0107574j -0.0039058-0.00574267j -0.0217831-0.0101428j 0.0220077-0.00468444j -0.00413699-0.0192129j 0.0141196+0.0581584j -0.0134836-0.000673737j -0.0180228-0.0192837j -0.045922-0.0320392j -0.028525-0.0252649j -0.0250579-0.0122706j 0.0467972-0.0177201j -0.127754-0.0482829j 0.0291032+0.030045j -0.0390953+0.0319429j 0.0237172-0.0358781j 0.0506329-0.02737j 0.0148725-0.00453928j -0.0310272+0.0561898j -0.000518391-0.0239047j 0.02719+0.0301808j 0.0250379+0.027069j 0.0302641-0.0206049j -0.0615403+0.0337179j 0.0302353-0.0186442j 0.0358986-0.0507424j 0.0274267+0.0137834j -0.0502687+0.137817j 0.0144632+0.0116825j 0.0287396+0.0148654j 0.0570269-0.101016j -0.067989-0.0472974j -0.0135924-0.183788j 0.137902-0.0359454j -0.00502214-0.0260054j -0.0585682-0.0876745j 0.0187125+0.0609015j -0.0432805+0.0178863j 0.0479438-0.115243j -0.00361927+0.00864297j -0.0199297+0.0482878j 0.0276431-0.105875j -0.0355071+0.000120679j -0.0562133+0.0589613j 0.066547-0.0944467j 0.0698376-0.0816398j -0.0469216-0.0419244j 0.0463855-0.098705j 0.0482337+0.0675293j -0.106568-0.017997j 0.0580281-0.0371859j 0.0288157-0.0363185j 0.0800205-0.0291271j 0.0577025-0.0361063j -0.0239304-0.0629616j -0.0458023-0.041995j 0.0391326-0.0307873j 0.00046384-0.00197216j -0.0324957-0.0171996j -0.0696772+0.0290442j 0.0157081-0.0966015j 0.0620113-0.0724223j -0.00191863+0.0100854j 0.000758993-0.0334011j -0.0195867-0.0275537j -0.0507709-0.00984333j -0.00357266+0.0324287j -0.0218723+0.0330506j 0.0204221-0.021577j 
-0.00282754-0.034033j -0.00091058+0.00457997j 0.0143682+0.00699365j 0.0389797-0.00489335j 0.0314489-0.0118777j -0.0133754+0.0251885j -0.0460793-0.0488303j -0.0150207+0.0186357j 0.0287262+0.0331862j 0.0106988+0.0161918j 0.0159246+0.0408477j 0.0252391+9.75985e-05j -0.0145491+0.0174094j 0.0376103+0.0120808j -0.0154373-0.0155007j -0.023498+0.0347278j -0.0242568+0.00042695j 0.0257771-0.011913j 0.0103-0.0136318j 0.0187948+0.00573582j 0.0371159+0.0227613j 0.104477+0.00241113j 0.000237791+0.0171087j -0.00297897+0.0112018j 0.0245342-0.0314276j -0.0856312-0.0187517j 0.0394243+0.0572677j -0.00123183+0.0117648j -0.0172674-0.0405584j 0.00456058+0.0145241j 0.0314387+0.00617581j 0.0262994-0.04049j -0.0152735-0.0173629j -0.0216929+0.0144961j -0.0093704-0.0802966j 0.0104989+0.0542132j 0.040792+0.0798381j -0.0834763-0.0752041j -0.0275698+0.0504226j 0.0594739-0.012001j -0.010322+0.00564889j 0.00511431-0.0949999j -0.00269649+0.000789137j -0.0252419-0.0869382j 0.00689194-0.0144747j 0.025433-0.0610615j 0.00719949+0.00963558j 0.0254585-0.0107958j 0.0026261+0.011311j -0.0340169+0.00626145j -0.00975074+0.0735149j 0.0143022+0.0147575j -0.00221642-0.00417308j 0.0105616-0.0254081j 0.0148883+0.0028398j 0.0254823+0.0181634j -0.0360032-0.0406839j -0.011799-0.014798j -0.0685069+0.0370485j 5.55602e-05+0.0256944j 0.00874342+0.019272j -0.0119344+0.0124748j -0.0539143+0.0152944j 0.0286172-0.0661853j -0.0262981-0.0638686j 0.00224281+0.0818j -0.0200607-0.000752158j -0.0598586-0.0352911j -0.00189891+0.0332206j 0.0243593+0.0278729j -0.0144285+0.0141188j -0.00494405+0.0403953j 
-0.00115337+0.0160595j 0.000104866+0.0044549j -0.00985021-0.0108191j -0.0243282-0.0118512j -0.0169116+0.00607213j -0.0324056-0.0380061j 0.0225873+0.044117j -0.0196972-0.017797j 0.00683768-0.00163536j 0.00035391+0.0398008j 0.00240775+0.035183j -0.0165211-0.0207251j -0.0239531-0.003939j -0.047942+0.0538598j -0.0556994-0.0132829j -0.0349267-0.00510731j 0.0750187-0.01173j -0.0127441-0.0161809j 0.0112957-0.00154531j 0.00415269-0.104511j -0.0138413-0.0195344j -0.0886239-0.0627172j -0.0472531-0.0163219j -0.0158317-0.00892251j -0.013664-0.00394522j 0.0892957+0.0217023j -0.053125-0.0907594j 0.0950336-0.0316006j 0.0397016+0.0896098j 0.055121-0.0764522j -0.0686795+0.10385j 0.122715-0.0442032j -0.0115207-0.00281131j 0.00391083+0.0477754j -0.0654802-0.0205759j 0.0661316-0.110559j -0.0643434-0.0235481j 0.0520527+0.079248j -0.0576072-0.17199j 0.0778518-0.029438j 0.00727142-0.0700014j 0.0223943+0.00839383j 0.0104309+0.0753622j -0.00803012+0.103346j -0.0809054-0.029183j 0.00427402-0.0329307j 0.00117272+0.00332103j -0.0513346+0.0282327j 0.0211484+0.00389337j 0.0451754-0.0221448j -0.0192963-0.0192422j 0.0208988+0.00139185j -0.0902732-0.0624269j 0.03705-0.0166114j -0.0148705+0.0597227j 0.0187403-0.0458958j 0.0753651-0.0883879j -0.00661685+0.00093801j 0.05611+0.0392309j -0.0159201-0.0326926j -0.0121183-0.0242039j -0.0748649-0.0200735j -0.00627208+0.0661712j -0.0746378-0.0284219j -0.0326812+0.00151438j 0.00458516-0.030599j -0.0307524+0.0252721j 0.0389351-0.00225917j -0.0279498-0.041604j -0.0415954+0.0120628j -0.00571503-0.0214028j 0.0404219-0.0501082j 
-0.00341357+0.0166492j 0.00740532+0.0148087j -0.00620695-0.016086j -0.0117413-0.000111944j 0.00922807-0.0142j 0.0134585-0.0230136j 0.0227698-0.00568927j 0.00702845-0.0382555j 0.0181491-0.0195989j 0.0121261-0.0250028j 0.0358024-0.00517374j -0.00475055-0.0148183j 0.0216029-0.00647341j -0.00525734-0.0438103j 0.0268318+0.0131002j 0.0237642+0.00414873j -0.039547-0.0119742j -0.000672692-0.0192818j 0.0386302-0.0502305j -0.0629905+0.0528764j -0.0339809-0.0186108j -0.0218953-0.00325026j -0.00290698-0.0663381j 0.0209691+0.0425592j -0.100258-0.0128911j -0.0203341+0.0221017j -0.0276777-0.0264062j 0.032938+0.00920963j -0.0223281-0.0125625j 0.02438-0.0110115j 0.0463277-0.0518167j -0.102548+0.0965207j 0.03886-0.0550856j 0.0366596-0.0146055j -0.051367+0.0860104j 0.0396649-0.0455192j -0.0579708-0.0755196j 0.0503478+0.033306j -0.0122107+0.0326815j -0.104678+0.0114521j -0.0431211+0.0447031j 0.0373582-0.0953375j -0.000162452-0.00535593j -0.000233985+0.0761425j 0.0417255-0.00271349j 0.0235089-0.0229662j -0.0105273+0.0301383j 0.0185895-0.0011008j 0.0378353-0.0159876j -0.0648384+0.0669314j 0.0658526-0.0151976j -0.0169287-0.0195355j -0.0203943+0.0668949j 0.0330086-0.0139901j -0.0211205-0.0402371j 0.0755899+0.0490482j -0.0186764+0.0306131j 0.0627129-0.0572197j -0.0298994+0.00604993j 0.0574663+0.026695j 0.018281+0.00607065j 0.0464118+0.00836197j -0.0362229+0.00696249j -0.00232823-0.0375885j 0.00940169-0.0561864j 0.0135621+0.0780858j -0.0866604+0.0353075j -0.0739894-0.0489292j -0.0146789+0.0462277j 0.00192081+0.0308796j -0.0381676+0.0259569j -0.0119601-0.0233315j 
-0.0239887-0.000808895j -0.00653198-0.0107278j 0.0202338+0.0147414j 0.0119047-0.0024504j -0.0178756+0.0093815j 0.00160731+0.0105016j -0.0101001+0.0408354j -0.00404631-0.0205609j -0.0571509-0.0706015j 0.0352641-0.0561357j -0.0449375-0.026911j -0.017058-0.00575912j -0.028371-0.00242623j 0.00853295+0.00339094j -0.0243825+0.0544518j 0.0404003-0.0655489j 0.0650574-0.0312284j -0.0770319-0.0135652j -0.0746987+0.00030792j 0.0930461-0.0455233j 0.0512617-0.0935482j -0.00866516-0.086045j -0.00565178-0.0232186j -0.022042+0.0745955j -0.0151106-0.0348097j 0.118316+0.0176596j 0.0109889-0.0320965j -0.0115283+0.0450472j 0.0551695-0.0412174j -0.0790137+0.0341247j 0.155318+0.0133766j 0.0821987-0.0337357j -0.122886-0.00536555j 0.088367-0.0625271j 0.237105-0.0307591j -0.149563-0.0907021j -0.0388065-0.0764079j -0.128281+0.0873252j 0.123851+0.00495713j -0.0409345-0.0525555j 0.0865159+0.0155108j 0.0670985-0.0758809j 0.00814158-0.0872942j -0.0167005-0.0200999j -0.0787411+0.0206113j -0.158636-0.0182571j -0.0207984-0.00224666j -0.0422935-0.0197112j 0.0126192-0.0291965j -0.115215+0.0148669j 0.0878865+0.00488401j -0.0319717+0.0348697j -0.0289596-0.00495768j 0.0441499+0.0599725j -0.0184851-0.0241452j 0.0531385+0.00624418j 0.0912646+0.000942753j 0.0464827+0.00788297j 0.0197145-0.0551711j 0.0200926+0.0481188j -0.00624126+0.0391396j -0.0257404+0.0112323j -0.0853843+0.0203767j -0.0183004-0.0608494j 0.0462059-0.0224867j 0.0445562-0.0104056j 0.00153568+0.00320929j -0.0180695-0.00280595j -0.0592405+0.0083104j 0.0176456+0.0237224j -0.037737+0.0201605j -0.00162418-0.0140437j 
0.0215355-0.00620343j 0.00190363-0.0131722j -0.0163953-0.0150496j -0.00321945+0.0162384j -0.0390883-0.00535914j 0.00168624+0.0206829j -0.0272569+0.0296273j -0.034285-2.6673e-05j -0.0558277+0.0245168j 0.00174702-0.0175934j -0.0391792+0.0355241j 0.0571628-0.00318347j 0.0247519-0.0108967j -0.0237993+0.0953857j -0.0204218+0.0274309j -0.0107033-0.0181262j -0.0261954+0.0037434j -0.00836902-0.0647007j -0.115814-0.0345265j 0.00276976-0.00469479j 0.0147663+0.0436957j -0.0312688-0.036487j 0.00586955+0.0215826j -0.0243607-0.108595j -0.0392482+0.0605758j 0.0277798-0.0344385j -0.035775-0.049761j 0.074003-0.139293j -0.00837967+0.0531643j 0.0113291-0.0344398j -0.12666-0.0945506j 0.126536-0.0468992j -0.137077+0.0443416j 0.0341036+0.164161j -0.154183-0.0898448j 0.173931-0.01745j -0.0591738+0.179923j -0.0537303+0.079761j -0.124561-0.179951j 0.121316-0.0962648j 0.0464537-0.0921956j -0.115801+0.000715919j -0.0561541+0.000930273j -0.0182744+0.014355j -0.0579477-0.0327634j -0.0484112-0.0247859j 0.0391451+0.000824629j -0.0705007-0.0196303j -0.108485+0.0525347j 0.017593+0.0400365j -0.00234668+0.0517784j 0.090579+0.025674j -0.00497269+0.0776312j -0.0407645-0.0515863j 0.0039701+0.0327358j 0.0769235-0.0388257j 0.000558856+0.0644868j 0.0107197+0.00845699j -0.0559621+0.0240791j 0.0434036+0.0165776j -0.00445466-0.0164155j 0.029661+0.0408348j -0.039577-0.00671651j 0.00800953+0.0241474j -0.0175477-0.0439228j -0.0281672+0.0793277j -0.0778204+0.000789569j -0.055622-0.0300522j 0.00262627+0.0277549j -0.00436505+0.0173865j -0.0156012+0.0071013j -0.0104561+0.00536714j 
-0.00897574-0.0230892j -0.0108836-0.00675015j 0.00551777+0.0159572j 0.0320057+0.00942208j 0.0142627+0.0121583j -0.00755864+0.0125525j -0.0319422-0.0197967j -0.0150449-0.0344515j -0.0106493-0.0140769j 0.0172467-0.00385245j -0.059643-0.0210467j -0.0264562+0.00974049j -0.00297387-0.0271051j 0.00426443+0.0468913j 0.0312229-0.00302158j 0.0163311+0.0209042j -0.0191657-0.00625434j 0.0126971-0.0219033j -0.0347021+0.0921772j 0.0106808+0.0408822j -0.0677029-0.0172896j 0.0242665+0.0110346j 0.0057324-0.0343925j -0.0499886+0.0586943j -0.0738013-0.074396j 0.0245361-0.0288834j -0.0727621-0.0383054j 0.0179257+0.056904j -0.0703033+0.121044j 0.0249999-0.0986954j -0.0390098-0.0210746j -0.0249928-0.0134573j 0.0490666+0.0992023j -0.0819325-0.026404j 0.049095-0.00703627j -0.0287345-0.115072j -0.00864508-0.0451497j 0.073894+0.0764082j -0.137029+0.0610586j 0.0717321+0.0364976j 0.0235964-0.0586334j 0.0320245+0.0734812j 0.0874536-0.0689023j 0.0696373+0.0371004j -0.0157322+0.103905j 0.0894566+0.0533913j 0.0715914+0.0267181j 0.0389556+0.1289j 0.0349031-0.114468j -0.0946796-0.0553262j -0.0846117+0.0617974j -0.0617839-0.07347j 0.150246+0.00360577j -0.00372712+0.074914j -0.0442553-0.0410538j 0.0981766+0.14679j 0.0333866-0.0485107j 0.140847-0.0380236j -0.0203879+0.165696j -0.116187+0.0728036j 0.0416684-0.001647j -0.00921815-0.0161772j -0.038569-0.02422j 0.0652662-0.0805707j -0.0330395-0.0249816j 0.0792745+0.0735976j -0.0595182+0.0679424j -0.0734293-0.0276036j -0.0485366+0.0610162j 0.0192005+0.0297692j -0.0408491+0.0315513j -0.00568599+0.00638898j 
0.00302281+0.0282557j 0.0110506+0.0129973j -0.00513389-0.0167466j -0.0280641-0.00315891j -0.00318474-0.0167852j 0.00222816+0.00508036j 0.0265297+0.0148502j 0.0179+0.00865683j -0.0147059+0.0108078j 0.000167143-0.00354202j 0.0250675+0.0163291j -0.00484795-0.0184648j 0.015175+0.0499548j 0.00247705+0.0230499j -0.0187475+0.00235632j -0.0103201+0.00826776j 0.0215806+0.0433312j -0.0133719+0.0212349j -0.0603474+0.0043274j 0.0285334+0.00835106j -0.00506093+0.0156724j 0.0365861-0.0250789j 0.00729865+0.0390618j -0.0026453+0.0554122j -0.0617208+0.0137383j 0.070965+0.0268251j 0.0186567+0.0406712j -0.0103864+0.110325j 0.0169275+0.0255211j -0.0751134-0.0268394j 0.0388499+0.00337096j 0.050318-0.096793j -0.140452+0.0730209j -0.0785516-0.00696393j 0.0912461-0.0945373j 0.0416454-0.129134j 0.142974+0.00449468j 0.0188682-0.016834j -0.0404236-0.0276797j 0.058001-0.0156848j 0.00056506-0.0191891j -0.0694782+0.0580745j 0.10799-0.0035573j 0.0679122+0.0563141j -0.0391238+0.181045j 0.127773+0.0558162j -0.0252988+0.00767998j 0.00865835+0.133956j -0.0270277-0.0537177j 0.0274536+0.0530007j -0.0783623+0.0902418j -0.0279982-0.0217517j 0.0599762-0.0321873j 0.00478671-0.027362j -0.0222686-0.00244901j 0.00797852+0.0442743j -0.0460375-0.0109216j 0.025932-0.0399269j -0.0651554-0.027959j -0.0721277-0.0340328j -0.00745158-0.0394478j 0.0303837-0.0136093j 0.00211107+0.0160562j 0.04735-0.0434287j 0.00912807-0.00702004j 0.029355+0.00498677j -0.0165818+0.030577j -0.0256561+0.00221424j 0.00632531+0.0048596j 0.00527295+0.00175258j -0.0135936+0.00340098j -0.0171118-0.0239636j 
0.0229157+0.0244983j 0.00885624+0.00219248j -0.0302949-0.0208422j -0.0142515-0.00105727j 0.0262416-0.0435245j -0.025553+0.0134177j 0.0165732-0.000959987j 0.00457033+0.0096183j -0.0171541-0.00725158j -0.0438289-0.0191688j 0.00391508+0.0064815j 0.00480062-0.0240128j -0.00396149+0.00239538j 0.0447112-0.0203087j -0.013489+0.000196524j 0.0649565-0.0328465j -0.0372088+0.00682215j -0.0411896+0.0212316j -0.0485853-0.0624316j 0.0823012+0.0456733j -0.0490131-0.0793512j -0.0246351-0.0333425j 0.0226834-0.0381273j 0.0690815+0.0991982j 0.026201-0.0388756j 0.13457+0.0245494j 0.092618-0.0439023j -0.0408045-0.0364917j 0.000927258+0.00798685j -0.120233-0.0252304j 0.137948-0.0366731j -0.0161643-0.0303749j -0.0105338+0.060938j 0.0948407-0.00991532j 0.114055+0.0317464j -0.0295916-0.0194622j -0.104809-0.0797056j 0.0443353+0.0710965j 0.0916571-0.0102439j -0.0047953-0.0191629j 0.0672459+0.0247895j -0.0223184+0.0539911j 0.00431484+0.0163232j 0.00927157-0.0683496j -0.0481498+0.042166j -0.0107596+0.0646841j -0.026759-0.0206951j 0.0045656+0.0851506j 0.013942+0.01641j 0.0828756+0.0209273j 0.00492546+0.00721875j -0.00432218-0.00969444j -0.0187547-0.0819514j -0.035043-0.0145646j 0.0294452+0.0591052j -0.094286-0.0498617j -0.0537911-0.0867451j -0.0866163+0.0282746j 0.00411044-0.0167333j -0.00160734-0.0470756j -0.0518883+0.0118381j -0.03127-0.0670672j -0.0335135-0.0160393j 0.0018436-0.0996376j -0.00513393-0.0256872j -0.0243809-0.0174195j 0.000911805-0.00578195j 0.0389033+0.010233j 0.00800379-0.0365713j -0.040138-0.00226079j 0.0204623-0.017011j 0.0160477-0.0147588j 
0.00491313-0.0106983j 0.0196428+0.028635j 0.0160903-0.0193388j -0.0164632-0.0221624j 0.044368-0.00922729j 0.00719306+0.0130832j 0.00975553+0.0017112j -0.00844182-0.00445682j -0.00299704+0.0272226j -0.0120842+0.0256362j 0.0120201-0.0126952j -0.00416888-0.0138329j 0.0288175-0.0154976j -0.00831575+0.0277991j 0.0196692-0.0285767j 0.0518564+0.00294091j -0.0242139-0.0509841j -0.00480631-0.0777325j -0.0189971-0.0059032j -0.0190225+0.0569991j 0.041477-0.00852492j -0.00400234+0.0106531j -0.01782-0.0888577j 0.0686676-0.010708j 0.00454108-0.0471887j 0.0570779-0.0779204j 0.0072735-0.056827j 0.0496973-0.0900272j -0.0352992+0.0101789j -0.010251-0.0624972j -0.0265254+0.0154497j 0.0486023-0.00169053j 0.0634454+0.0462018j 0.109524+0.0505981j -0.112832+0.0201388j 0.0537605-0.0150449j -0.114545-0.0221508j -0.00101978+0.0283977j 0.0133046-0.0677567j 0.0379725+0.0208647j -0.00573505-0.0474644j 0.00819831-0.0687011j -0.00216102+0.0078785j 0.075159+0.0296131j -0.0494896-0.0838315j 0.033114-0.0509385j -0.0076848+0.0229297j 0.0884889+0.0452652j 0.0084139+0.0120562j -0.00155993+0.0252209j 0.0578152+0.0365684j -0.0307696+0.0860474j -0.042991-0.0266533j -0.0693875+0.0232455j 0.0412757+0.0678123j -0.040903-0.033187j -0.0758374-0.139719j -0.076058-0.0632385j -0.030634-0.0276007j -0.0333781+0.00908549j -0.077658-0.0208578j -0.010738-0.0240217j -0.0213292-0.0459198j -0.00404235-0.0432458j -0.0374206-0.0278332j -0.0587572+0.0630546j -0.0218474+0.0230722j -0.00832296+0.0296668j 0.0908719-0.00713646j -0.0202466-0.0326704j 0.0238563-0.0205384j -0.0106926+0.0360234j 
-0.00915968+0.00228619j -0.0267399-0.0205902j -0.0228131+0.0119544j 0.0513966+0.0255462j 0.00691536-0.0133893j -0.0498184-0.000897267j -0.0493404-0.0474963j -0.0317727+0.0198998j -0.0446357-0.1049j 0.0826003-0.00793181j 0.0104156-0.0116428j 0.00446715+0.00886209j 0.019975+0.0717216j 0.00361171+0.0102267j -0.0350355+0.00970046j 0.0481884+0.00232995j -0.0197186-0.0514236j 0.0237222+0.0265782j 0.0439912-0.118265j -0.0296374+0.0130352j -0.0301815+0.0620849j 0.0332053-0.0127308j 0.0119699+0.0124984j -0.0494995+0.0273933j -0.0754794-0.00764504j -0.161168+0.0762076j 0.0325142-0.0296428j 0.0285338-0.0234237j -0.0081487+0.0213863j 0.0356428-0.0389542j 0.000134952-0.06024j -0.0993835-0.0216159j -0.0188928-0.107435j -0.137173-0.0834546j -0.12892-0.0195601j 0.166215+0.0576281j 0.0367877+0.0267992j 0.0340437-0.0287813j -0.0195458-0.0185376j -0.00760025+0.0364669j -0.0282209+0.0217102j -0.0413801-0.0483894j -0.0246805+0.0107306j -0.0245221-0.0710822j -0.0247291-0.00208294j 0.11219+0.0227844j 0.0575176-0.0331475j -0.0186654+0.0579092j -0.043458+0.000289869j 0.110524-0.00350825j -0.0184429-0.0483481j 0.046498-0.0264835j -0.0196413-0.0423707j -0.0542664+0.026341j -0.0194969+0.0780874j -0.0637093-0.00484102j -0.00612031-0.0846219j 0.0367702+0.0816462j 0.0618541-0.0411361j 0.0661895-0.0632255j 0.0682876+0.0736869j 0.0271348-0.0155108j -0.0228897+0.0401211j 0.021415-0.0465678j 0.0127318+0.00990483j 0.0880066-0.0662986j 0.0715292+0.0268544j 0.0652835+0.0439174j -0.0675078-0.0281996j -0.00157233+0.0190674j 5.85063e-05+0.00214753j 0.0131563-0.00827931j 
