0.185351+0.089658j 0.257135+0.201468j -0.112617-0.0680813j 0.0157769+0.0342746j -0.061613-0.00869208j 0.0238674-0.0407301j 0.137545+0.04432j 0.00572133-0.146581j -0.0268206-0.00792481j 0.00231973-0.00603297j 0.0297021+0.021124j 0.0195375+0.0299564j 0.00299657+0.00159013j 0.0204045+0.00254294j -0.00954775+0.0144522j -0.0501221+0.0107528j -0.0284989-0.0367452j -0.00800118-0.0489038j -0.00731185-0.0133131j 0.0830872+0.0422588j -0.0240082-0.000771178j 0.0150137-0.108315j 
-0.0365052-0.0566699j -0.0257483-0.0228152j -0.007402-0.00268041j -0.000524476+0.18901j 0.371038-0.182331j -0.0568515-0.0479091j -0.110316-0.0313269j -0.0111616-0.0949154j -0.0214819-0.0181039j -0.0100555+0.016062j -0.0337227+0.0454683j 0.0253758-0.0335697j -0.00448593-0.0151123j -0.015224-0.00229261j 0.00458642+0.0152667j 0.00463595-0.0102401j -0.0136173-0.0179127j -0.00691609-0.00320803j 0.0183641-0.00181415j -0.0175477+0.0481912j -0.00618102+0.0357583j -0.0374404+0.0423251j 
0.0128343-0.017478j 0.00567712-0.0181016j 0.0490932-0.00329089j -0.0784635-0.0635684j -0.131282-0.0511419j 0.0608887-0.0291435j 0.250339+0.0842869j -0.0398959-0.227631j -0.0417805-0.000470932j 0.00911541+0.00270295j 0.0582216-0.0365881j -0.0271007+0.0212004j -0.0214425+0.00639562j 0.0219433-0.0159762j 0.0200155-0.0115961j 0.0454562-0.0205181j 0.0261282-0.0229383j -0.072278+0.0780061j 0.00670545-0.0224561j -0.300989-0.0810829j -0.000209416-0.0466365j -0.0205923+0.290514j 
-0.0139595-0.0214071j -0.0137226-0.0151753j 0.0073088-0.0464308j 0.020206+0.0302189j 0.0506667-0.00523116j -0.0188217-0.00186984j -0.0530022-0.0041381j 0.00867677+0.0394765j 0.00905205-0.00980486j -0.00933642-0.03845j -0.0411012+0.0331373j -0.0367097+0.0279197j 0.0317596-0.0210362j -0.0743226-0.00271633j 0.024547-0.00588432j -0.0943914+0.121963j 0.0460995+0.00292836j -0.0920385+0.0428909j -0.379527-0.140769j -0.0669026+0.00328156j 0.0219227-0.437998j -0.0270938+0.00766685j 
-0.0267173-0.0211606j -0.0178804-0.013132j -0.0024133-0.0110905j 0.024565+0.142991j 0.0162558+0.0672415j -0.0424287-0.0170905j 0.0857291+0.0642052j 0.0263144+0.187285j 0.0963142+0.0358263j -0.0342618-0.00979919j -0.190829-0.0630255j 0.122875+0.0320649j 0.0426885-0.0214038j -0.143679-0.0822587j -0.0712128+0.0150409j -0.0530779-0.0319644j -0.28728-0.153231j 0.0756854+0.0471332j -0.00491255+0.00370091j -0.050579+0.00466657j -0.0221331-0.00192819j 0.0386868-0.128875j 
0.0213969-0.00683765j 0.0248024+0.000204068j -0.00323768-0.00615863j -0.000688774+0.0148629j 0.00744675+0.00292009j -0.00117501-0.0100303j 0.0626098+0.00985342j 0.00434932-0.00577141j 0.042385+0.00570146j 0.101961-0.0327279j -0.127168-0.0507083j -0.215572-0.0963936j 0.0785908-0.00183164j -0.2703-0.175325j 0.0108009-0.0632869j -0.0477834-0.0330903j 0.195904+0.135748j -0.0132555+0.00324657j 0.100502+0.00980136j -0.0747178-0.0211707j 0.0472755-0.158687j -0.0141363+0.0567222j 
-0.0180098-0.00598248j -0.00372793-0.0149137j -0.00404523+0.0124828j 0.0333417+0.0795861j -0.00453213+0.0411597j -0.0281797+0.00119165j -0.104075-0.00659008j 0.0262304+0.0793251j 0.00412022-0.0774934j 0.019866+0.0460867j -0.0354754+0.0469577j -0.0439911-0.0585423j -0.00342836-0.0487669j -0.0414676-0.0524961j 0.0259678+0.036207j -0.0122812+0.0165789j 0.0747205+0.000571611j 0.00141795-0.111348j 0.018758+0.0248315j 0.369351+0.186669j 0.0112711+0.0514307j 0.0227484-0.434621j 
-0.00359736-0.0164933j 0.0107543+0.0134675j 0.00301088+0.0178346j -0.0475554+0.0650857j 0.042268-0.0901318j -0.0623381-0.0870599j -0.0148614+0.129818j 0.00440109+0.0492024j 0.0769195+0.0735633j -0.0693502-0.0325395j -0.0929158-0.159001j 0.0961192+0.133423j -0.0139213-0.200915j -0.00778651-0.0850097j -0.0263681+0.230783j 0.0633404-0.0523955j 0.112561-0.209263j -0.257619-0.0126747j 0.0514886+0.017281j -0.0369259-0.00694571j -0.0696608+0.10068j 0.220028-0.165685j 
0.0263827-0.0365471j 0.0270397+0.0118577j -0.0171552+0.0157008j -0.0226184+0.019187j -0.0623013-0.0153028j 0.0122253+0.0384382j -0.0423602+0.0199042j -0.0305366+0.0543227j 0.053614-0.0223537j -0.0579423-0.0983606j -0.0890476-0.0338815j 0.0942922+0.0843021j -0.017584+0.0270115j 0.0371537-0.00874007j -0.0178543-0.214478j -0.0123665+0.103861j 0.0874101-0.0440156j 0.161323+0.00373483j -0.348445-0.155777j -0.0127811-0.110898j 0.0388193-0.337299j -0.0410154-0.210482j 
-0.00361955+0.0235776j -0.0147006-0.0211536j 0.00455489+0.0325423j -0.0486479-0.00767159j -0.0953066-0.0223005j 0.0434098+0.0615333j 0.00540741+0.00230431j -0.0597422+0.00856385j 0.0466332+0.0383071j -0.0291161+0.0430917j -0.0956349-0.0579879j 0.136372+0.0474354j 0.00324759+0.180353j -0.00726307+0.0449463j -0.00585603-0.225577j -9.59106e-05-0.0692652j 0.172337-0.0607824j 0.325499-0.0438983j 0.203908+0.10941j -0.00961006-0.146672j 0.0186513+0.351517j -0.0688841-0.152063j 
0.0125233-0.00674535j -0.0449777-0.0209151j -0.0253769+0.00752662j -0.00941603+0.0243168j 0.0203787-0.0317405j -0.0346501-0.0394628j -0.00804625+0.0553722j -0.00378336+0.0120611j 0.0555966+0.0445233j 0.0936547+0.0505971j -0.0535502-0.138651j -0.0529794-0.250493j 0.00235047-0.274474j 0.0636738-0.152741j 0.0282125-0.23935j 0.31786-0.012643j -0.0361592+0.0626786j 0.0260349+0.00998303j 0.0320153+0.025883j 0.00376733+0.0178203j 0.239461-0.130151j 0.0621189-0.0441082j 
0.00284783+0.0213368j 0.0212191+0.0260206j 0.00797521-0.0493429j -0.00645983-0.00466784j -0.063359+0.00922647j 0.00866172+0.0156548j -0.0123613+0.0358648j -0.0427462+0.00933213j 0.0387125+0.0140433j 0.146266+0.01338j -0.14636-0.0548391j -0.0948516-0.175505j 0.0283251+0.258886j 0.16266-0.0944003j 0.107016+0.150411j -0.304357+0.0515069j 0.219485+0.0331849j -0.130085+0.00886412j 0.0535177+0.248735j -0.00658109+0.0826099j -0.00257233-0.233914j -0.0531313-0.114339j 
-0.00154331+0.0119934j 0.00514679-0.00311648j -0.00309186+0.0222321j 0.0772022-0.0308734j -0.000473092+0.0874927j -0.0354966-0.00718726j -0.0127809+0.0079298j -0.0204811-0.0213399j -0.087474+0.0231706j 0.0522303-0.0610116j 0.0381958+0.156106j 0.121168-0.207551j -0.0880476-0.0445613j -0.139698+0.0680846j 0.171089-0.0614632j 0.112869-0.0100388j 0.548245+0.0240264j -0.202991-0.0170434j 0.0013663+0.0614421j 0.0469502+0.238419j 0.096886+0.125759j -0.0932778+0.019662j 
-0.0163668-0.0232631j -0.0129949-0.0148591j 0.00586727-0.0093066j 0.0445638-0.020197j -0.022409+0.0919172j -0.0368513+0.0166757j -0.017752+0.00996814j -0.0309489-0.00246689j -0.0988715+0.0149169j -0.0959427+0.0833692j -0.0488323+0.249358j -0.0256729+0.0860724j -0.231816+0.0201887j 0.580091-0.0121067j 0.0988147+0.0129668j 0.188198+0.050227j -0.0716415-0.0317043j -0.0755296+0.0345853j -0.0967747-0.237596j 0.00856163+0.174902j -0.0713411-0.0361406j -0.106083-0.0350972j 
0.00864689+0.0358605j 0.00718517-0.0245265j -0.0242592+0.00930454j 0.0437616-0.0319131j 0.0130622-0.026029j 0.0199703-0.0176126j 0.000910494+0.026272j -0.0257286+0.0159286j -0.0289592+0.0538937j 0.0717323-0.233933j -0.00981995+0.0664705j -0.0233985+0.22009j -0.138191-0.018566j 0.11712-0.0200189j -0.384509-0.067086j 0.0897395-0.227261j 0.168855+0.0560494j 0.0430864-0.309692j 0.107102-0.0975784j 0.127539-0.027666j -0.10784+0.00161076j 0.0308819-0.0217787j 
-0.00909615+0.00137973j -0.030567+0.0262764j 0.00991035+0.0260411j -0.0524246-0.0162643j 0.000180062+0.0120067j -0.0337118+0.0145755j -0.0109686+0.00769368j -0.00762433+0.0100183j 0.0153386+0.0230853j -0.224589-0.220545j -0.0307434+0.0103913j -0.0207119+0.0784707j 0.00971656-0.0194119j -0.0674979-0.0990018j 0.221001-0.00883875j 0.0300486+0.184419j 0.122533+0.151109j 0.0199855+0.211053j 0.10702-0.274575j 0.0550945-0.148799j -0.129996+0.0554893j 0.0532698-0.0340283j 
-0.00975868+0.0241509j 0.0230629-0.0319865j 0.0199691+0.025381j -0.0520423+0.00107631j -0.00200618+0.0608404j -0.0450213+0.0380239j -0.00528961-0.00786935j 0.0158837+0.00193536j 0.0642206-0.109542j 0.015312-0.400757j 0.0425124+0.059648j 0.288681-0.168473j -0.287421-0.0316315j -0.120445-0.00673261j 0.0205375-0.0895492j -0.00911187-0.162515j -0.0288756+0.0493095j -0.0225194+0.200515j 0.0732507+0.0237613j -0.0778369+0.036829j 0.00715957-0.0810025j -0.044045+0.0501805j 
-0.0428471+0.0133322j 0.000270446+0.00710468j 0.0200577+0.026341j 0.0843097-0.0872478j -0.00960008-0.0694825j 0.0656077-0.060802j 0.032899+0.00840524j -0.0027391+0.0175855j -0.130357+0.100488j -0.0541186-0.252112j 0.0100015-0.142338j 0.277946-0.102753j 0.312263+0.0118675j 0.105322-0.0377461j -0.0442081-0.086697j -0.000102313+0.340035j 0.0571895-0.0359229j -0.00215996-0.174767j -0.068682+0.0247263j 0.0825469+0.0251211j 0.0263023-0.0711173j 0.0344828+0.015059j 
0.00991407+0.00949077j 0.0024149-0.00150373j -0.00358033-0.0130691j -0.0923788-0.0881737j 0.0435361-0.0273118j -0.0325461+0.0190626j -0.0161249+0.0213746j -0.0101736-0.00489844j 0.166499+0.25384j 0.0183902+0.0261067j -0.00180192-0.103466j 0.0206684+0.00708958j -0.0870672+0.0208975j 0.183313+0.194787j 0.0539901+0.0206882j -0.0351693-0.0698402j 0.0749855+0.0939169j -0.00467817+0.126911j -0.114907+0.163625j 0.123991-0.248951j 0.0799085-0.0586521j 0.144845-0.0605451j 
-0.0124274-0.0160917j -0.00208064-0.0149986j 0.00681849+0.000914118j 0.0294303+0.187296j 0.0110592-0.0182439j 0.0235022-0.00849138j -0.055692-0.00893539j -0.0189661-0.0120325j -0.00561267-0.410502j -0.00781609+0.0129329j 0.373505-0.180921j -0.0160496-0.00526336j 0.0068417-0.123542j -0.0720576-0.0117084j 0.00440905+0.0256825j -0.0220787+0.0328637j 0.037501-0.0753659j 0.00568047-0.0612165j -0.0570169+0.0515024j -0.0172713-0.0383606j 0.0236028-0.0385337j 0.0239128-0.123223j 
-0.000487274+0.0138161j 0.00429994-0.0250221j 0.0120219-0.0287251j 0.00845378-0.0344668j -0.0264544+0.0266401j -0.00252206+0.0103865j 0.0109553-0.00777093j 0.0123544+0.00503796j 0.0129154+0.0653149j 0.0543101+0.15106j -0.055642+0.0427647j 0.108852-0.0245612j 0.00773037+0.00670982j -0.234306+0.154769j 0.0449558-0.0320108j -0.0180333-0.0634888j 0.236895-0.158002j -0.0695438-0.0028382j -0.229266+0.0994763j -0.123001+0.0595135j 0.100858+0.0356032j -0.0474467+0.0186809j 
-0.00130914+0.0202985j -0.0104384+0.0133659j -0.0141238+0.0135007j 0.0423532+0.0198217j 0.00288716+0.0220127j -0.00187639+0.0036302j -0.0211215-0.0114441j -0.0251661+0.0159835j -0.0576294-0.144565j -0.017572-0.185107j -0.027488+0.00343029j 0.192077-0.0657636j -0.143675+0.0287744j 0.241653-0.152701j 0.0116645-0.094722j 0.0837876+0.00873158j 0.136588-0.121871j -0.0275244-0.0225062j 0.114398-0.0227253j -0.202238+0.101422j -0.0243793-0.010909j -0.0901404-0.0242428j 
-0.00058529-0.0571931j 0.0174894-0.0173574j 0.0110348-0.00601989j 0.0196106+0.0303j 0.00990125+0.013007j -0.00881682+0.00501626j -0.0151325-0.00570529j -0.0168405+0.0128813j -0.00775607+0.0172368j 0.0186754+0.397234j -0.155681+0.0493417j -0.313053+0.119481j 0.0426436+0.0678278j 0.0769912-0.087489j 0.103388+0.083018j 0.0169245-0.00789301j 0.166939-0.0785687j -0.0472721-0.0368993j 0.00945453-0.0550708j -0.146651+0.0346829j -0.0225673+0.0386833j -0.0511829-0.0290976j 
0.00969721+0.0360599j 0.0159075+0.00130839j 0.0128882-2.09081e-05j -0.0525096-0.233032j -0.107216-0.0112398j 0.013317+0.0174334j 0.0371252+0.00886498j 0.0303298+0.00117363j 0.00562201+0.384528j 0.0240284-0.0594554j -0.361833+0.13111j 0.112752-0.00461712j 0.0778629+0.135155j -0.0496935+0.0343373j -0.063784-0.0617102j -0.035146-0.00743158j -0.0503584+0.0181523j 0.0367622+0.0137929j -0.0196432-0.00829356j 0.0396628+0.0445684j -0.00158018+0.00449593j -0.0204119+0.0456304j 
