0.144286+0.0022915j -0.00705386-0.0701597j 0.0138516-0.0753282j -0.0106231+0.012308j -0.0173256-0.0152894j 0.0404236-0.0264317j 0.0247662+0.0473035j -0.0269909+0.0104255j 0.0175687+0.0159918j 0.00534332-0.000869025j -0.00647394-0.00838061j 0.0187385+0.00229354j -0.000749386+0.00288479j 0.00985529-0.00901941j 0.00179279+0.0347713j 0.0291737-0.0113976j -0.000127545-8.80099e-05j 0.0317552+0.0149488j 0.00636697-0.0313528j -0.00395117+0.000242623j 0.00692526+0.00729214j -0.0179412+0.00248521j -0.00542741+0.00542258j 0.00198813-0.000436538j 
0.00844123-0.013655j -0.0400308+0.0304374j -0.035128+0.0407904j 0.0106175-0.0170645j 0.0242679+0.00364732j -0.0131031+0.021005j -0.0452561+0.00204144j 5.21353e-05-0.0363232j -0.0102131+0.0057867j 0.00403873-0.00480797j -0.00712198-0.00522375j 0.00791379+0.00436692j -0.16168-0.0404763j -0.0298087-0.0187667j 0.013259+0.00524519j 0.014874+0.000845595j 0.323899+0.206712j 0.00953337+0.00597961j -0.0354306-0.0143743j -0.105777-0.0449352j -0.0399478+0.0362981j -0.0206317-0.0331437j 0.0500088+0.0473611j -0.0270756+0.0332222j 
-0.00235624+0.00215436j -0.00729434-0.00348975j 0.022071-0.0167456j -0.0194772-0.03218j -0.00957428+0.0131522j -0.0281182-0.0611819j -0.0272205-0.00243363j -0.0297479-0.189957j 0.106192-0.063387j -0.00973681-0.0213443j 0.0199155-0.00326728j -0.00321861+0.0466711j 0.00775875+0.0101789j 0.000581663+0.00756887j 0.0182674+0.0121399j 0.0287279-0.042822j -0.0430525-0.0195004j -0.00413957-0.0472637j -0.106477+0.0405199j 0.0701267-0.0792615j -0.288904+0.327394j -0.156126-0.211732j 0.412295+0.373632j -0.224927+0.294079j 
0.0255913-0.00236996j 0.0247836+0.0106117j 0.000276677+0.00917992j 0.0167567+0.0628486j -0.0514995-0.0048653j 0.0744393+0.0454838j -0.0312384+0.044768j 0.0631213-0.0529918j -0.0361445-0.057406j 0.0237308+0.0604494j 0.0334548+0.00801788j 0.00524697-0.0569178j 0.0231881+0.0212044j -0.028385-0.0129042j 0.147508+0.0537422j 0.136213+0.17379j -0.0186268-0.0164101j 0.024531+0.102937j 0.130693-0.193209j 0.00964701-0.0318837j -0.0385491+0.25438j -0.0500296-0.185053j -0.182876-0.124255j -0.064898+0.0621672j 
0.00466262-0.0278286j 0.0022179-0.00345445j -0.0262053+0.00509219j 0.00360033-0.0196546j 0.00680095+0.0102482j 0.00830719-0.00699703j 0.00978612+0.00887478j 0.03695-0.00166943j 0.0383242-0.054335j -0.0269908-0.0385913j -0.00840533-0.00348792j 0.0241117+0.0622669j -0.00439932+0.00937285j -0.00286598-0.0159839j -0.0457907+0.0310716j -0.0842707-0.0657893j -0.0131909-0.00387738j 0.0560682-0.0471763j -0.0893647+0.249683j 0.0610256-0.0635983j -0.223775+0.225526j 0.218251+0.0747442j -0.148835-0.135956j -0.18634+0.235814j 
-0.00371001-0.000770608j 0.00612427+0.0104657j -0.000310614-0.0225708j -0.00882604+0.0529169j -0.0601604+0.0176936j 0.017893+0.0398104j -0.0429967+0.0282591j 0.0093469+0.0138258j 0.00661679-0.00113606j -0.0657567+0.0138962j 0.0460431+0.0387859j 0.150069+0.0153151j 0.0251002+0.00300609j -0.0774681-0.00821623j 0.242145+0.106153j -0.0603581-0.161589j -0.00156263-0.0028382j 0.177251-0.0563906j -0.140274+0.0035886j 0.00324077+0.0262518j 0.0434716-0.0845232j 0.0492833+0.0963341j 0.0252794+0.0106138j 0.0412978-0.0464356j 
0.0213768+0.0153849j -0.0229325-0.0189977j -0.0299654-0.00310716j 0.0122762+0.0102372j 0.0124583-0.0260869j 0.0475626+0.0446377j 0.0179413-0.0131939j -0.0294219+0.00647393j 0.010273+0.0282398j -0.000526187+0.00636068j -0.00756713+0.0113357j -0.00186674-0.0425222j 0.168178+0.270643j 0.0219213+0.0270047j -0.000151976+0.0145023j -0.0761233+0.156859j 0.208619-0.25577j 0.0787626+0.0697136j -0.227559-0.0536517j 0.19383+0.225964j 0.0768042+0.10118j 0.0478901-0.148193j 0.029548-0.0473975j -0.0061078-0.0100137j 
-0.00679651-0.0102392j 0.0231382-0.00567365j 0.019572+0.011967j 0.0442407+0.052502j 0.016576-0.0370523j 0.0336527+0.0655916j 0.0450836-0.0798574j -0.0104007+0.0373j -0.00100592+0.0234122j 0.00354987+0.0363816j -0.0239846+0.0122098j 0.0290994-0.0597088j -0.0757125-0.110269j -0.0325769-0.0710056j 0.0146316+0.0618702j -0.158657+0.375621j -0.0858377+0.117792j 0.168888+0.156911j -0.500684-0.153548j -0.0705531-0.137255j 0.0899452+0.10947j 0.126477-0.317786j 0.0497683-0.11214j -0.0117165-0.0471084j 
-0.00169641+0.00135683j -0.00214417-0.0197842j -0.0106679-0.0322928j -0.00140432+0.0144506j 0.0113122-0.0156864j -0.0222878-0.0337485j -0.0242196+0.0422075j 0.0214852+0.0231194j -0.00197836+0.00149883j -0.0104617-0.0110756j -0.00611778-0.0195338j 0.0340263+0.0586242j -0.0357657-0.427945j -0.00134189-0.101744j -0.0149621+0.0609742j 0.0607846-0.030135j 0.619415-0.000256612j 0.0605173+0.0451865j 0.000995352-0.0579132j 0.0365814-0.437576j 0.012268-0.0593242j -0.0196008+0.0422792j -0.0109677+0.0129736j -0.000882591+0.00720342j 
0.0142045-0.00609068j -0.00538269-0.0127576j 0.00150078+0.00105346j 0.000114508-0.00925001j 0.0236809-0.0258222j -0.00292217-0.0302263j 0.0250838-0.0104008j 0.00541705-0.00453367j -0.029819+0.00171249j 0.0670547+0.0322836j -0.0155427-0.00657113j -0.12007-0.163644j -0.012422-0.109074j 0.0191133+0.00336847j 0.0776318-0.186859j -0.229115+0.212709j 0.133462-0.0115112j -0.260196-0.151785j 0.0921186+0.157259j 0.0176489-0.107089j -0.0268942-0.0463059j 0.0971024-0.175721j 0.0481562-0.0381356j 0.0263884-0.0448056j 
-0.0180919-0.0216161j -0.0106145+0.012557j 0.009518+0.014816j -0.0419378-0.0120756j 0.00976607-0.0221214j -0.0387008+0.0255623j -0.0222726-0.0363592j -0.0016785+0.0264548j 0.0332963+0.00492936j -0.0287868-0.000914423j -0.0079881-0.0455108j 0.136433+0.169291j 0.0244753+0.000250307j 0.07342+0.018819j -0.0842854+0.166595j -0.0617056+0.216926j -0.0146415-0.0507517j 0.0652238+0.216915j 0.0420406+0.173946j 0.0612081-0.0143725j -0.156538-0.0924174j 0.090281-0.0669481j 0.202657-0.111397j -0.0498344-0.0729522j 
-0.00609915+0.0093855j -0.0177743+0.0311091j -0.00735274-0.00244132j 0.0429935+0.109062j -0.104497+0.0510843j 0.0134181-0.0353754j 0.0269729+0.00906559j -0.0027392-0.0129669j -0.0276882+0.002018j -0.0939629+0.109548j 0.267693+0.0738107j -0.00583234+0.0993564j -0.0131972-0.0177962j -0.106396+0.159195j -0.101595-0.0775287j -0.0196616+0.089959j 0.0495826+0.0251303j -0.0721426+0.0367892j 0.00643206-0.000340836j -0.0183473-0.00450846j 0.0357849-0.00643365j 0.0113996-0.0676556j -0.0225317-0.00772977j 0.0297088-0.0194211j 
-0.0133949+0.000859527j 0.00822903+0.00482219j 0.0298835+0.0238484j 0.0355523+0.019628j -0.0240193+0.0276275j 0.0479124-0.0227322j 0.00795787+0.0534314j -0.0109867-0.0258061j 0.0231188-0.0143941j -0.00637991+0.0178345j 0.0703838+0.0337907j -0.0868847-0.0694967j 0.00459086-0.0412654j -0.0760468+0.0296085j 0.0664432-0.164326j -0.0790629-0.132646j 0.0520313-0.0063008j -0.029524-0.159522j -0.264442+0.0180185j 0.0501377-0.026653j -0.0936317+0.0021533j -0.0198581+0.12664j 0.113735-0.0451432j -0.14715+0.00409966j 
0.0150441-0.0102582j 0.0185732-0.00177582j 0.00689458-0.00848968j -0.0444603-0.0547862j -0.0129166+0.0457902j -0.00862242-0.0357445j -0.00687034+0.0479568j 0.0176292-0.0109336j -0.0135286-0.00894124j 0.0177836-0.0557734j -0.0480617-0.072788j 0.0856534+0.285717j -0.107992+0.171978j -0.0905855+0.121126j 0.459072-0.0780757j -0.0730036+0.102166j 0.146436+0.180233j 0.069444+0.319481j 0.00604932+0.113112j -0.11934+0.191228j -0.0390503-0.00936422j 0.0156409+0.0642568j -0.00863896+0.0338576j 0.0057201+0.0277235j 
-0.00964028+0.0179119j -0.0128102+0.0257685j -0.0211642+0.0193832j -0.0287542-0.0262675j -0.0234077+0.0474453j 0.000273557-0.0363114j -0.0153054+0.0514137j 0.00593772-0.00968054j -0.0206503-0.00042238j 0.00668478-0.0347035j -0.0312308-0.0563063j 0.05046+0.243252j 0.172953-0.199182j -0.040898+0.0402807j 0.402975-0.078879j -0.0598842+0.0620988j -0.178554-0.205719j 0.0567152+0.244014j 0.0181222+0.0384317j 0.133547-0.222194j 0.0416734-0.073687j -0.00556286+0.0704608j -0.0377973+0.0433224j 0.028774+0.0144795j 
0.0103512-0.0234424j -0.00951451-0.00171015j -0.0135061-0.00129844j 0.0332422-0.0238145j 0.0336976-0.00881585j 0.00913208-0.0379581j 0.054227-0.0106929j 0.0110513-0.0051815j -0.0384253-0.015171j 0.150784+0.151226j 0.0198424-0.119132j 0.180389-0.184409j -0.0100776-0.007776j 0.160664+0.0683368j 0.240388+0.192356j -0.133993-0.0236441j 0.0118456-0.0013147j 0.0787496-0.201712j -0.0299499+0.0264852j -0.0133968+0.00237851j 0.0531515-0.0211717j 0.0944589-0.0845651j -0.010545+0.00319849j 0.0609745-0.0246046j 
-0.010854-0.0111937j -0.0235137-0.0142832j 0.0342475+0.0174131j 0.0643238-0.0372189j 0.0132697+0.0734109j -0.000823184-0.0106889j -0.0148996+0.0286698j -0.016343-0.0156857j 0.0194774+0.00601422j 0.12271+0.0604386j 0.158563-0.263027j 0.0917518-0.0474156j -0.0158033-0.010265j 0.184034+0.0553576j -0.0796181+0.102695j 0.137542-0.0958653j 0.0260589-0.0159006j -0.0164786+0.0164838j 0.0979894-0.0467541j 0.0222707-0.0110924j -0.109135+0.0387459j -0.127392+0.0597804j 0.0256134-0.0200433j -0.0958499+0.0173734j 
-0.0160467+0.0116538j 0.0159727+0.0226677j 0.0106215+7.57157e-05j 0.0601886-0.0127441j 0.0435274+0.0102664j -0.0368237-0.00905286j -0.00647569-0.0212972j 0.00729279+0.0161755j -0.00138624+0.010899j 0.145065+0.154052j -0.00819521-0.0792899j -0.0428039+0.191146j 0.0318151-0.053354j 0.170179+0.289571j -0.0580281-0.0964972j -0.0602928+0.0277353j 0.142638-0.100531j -0.0782358+0.115638j -0.135739+0.0640194j 0.0636515-0.0338646j 0.112801-0.0230426j 0.0248055+0.0447686j -0.0694341+0.0644435j 0.0397346+0.0343043j 
0.00154236-0.0025311j -0.00139482+0.0244043j 0.0108708-0.00534236j 0.0347732+0.0865501j 0.0121981-0.1323j -0.0276482-0.021548j -0.0329484+0.0120605j -0.00206256-0.0117069j 0.0275676-0.00583571j 0.195521+0.295085j -0.494823+0.319102j -0.0920866+0.113199j -0.0259358-0.0398837j 0.223364+0.319338j 0.0635812+0.113872j 0.0397853-0.059288j 0.0223694-0.00236881j -0.00251508-0.117973j 0.0670136-0.0691266j -0.000619641-0.00849092j -0.045864+0.0255797j -0.0472334-0.0383434j 0.0280489-0.0431126j -0.037781-0.0119586j 
-0.0191106-0.0102043j -0.0294094-0.0373874j -0.0295322-0.0406623j 0.0390824-0.0168402j 0.0255506+0.00945462j 0.00508781+0.00781761j -9.11663e-05+0.00289968j -0.0140609+0.00626165j 0.0171476+0.00889826j 0.096931+0.0915307j -0.0305956-0.044482j -0.0162551+0.0944648j -0.113342+0.0132758j 0.083808+0.170535j -0.0184736-0.0435069j -0.028371+0.0139127j -0.295778+0.184323j -0.0440465+0.0584851j -0.0786498+0.0383721j -0.149721+0.0297722j -0.00361348-0.00344795j 0.00429541+0.0267737j -0.0148106+0.0194921j -0.00772131+0.0119191j 
-0.0168232-0.00313737j 0.0332645-0.0033239j -0.00228732+0.00314146j 0.0377707-0.0368576j 0.0674729-0.00382903j 0.0630079+0.00108989j 0.0428132+0.0275033j 0.013721-0.00684746j -0.024057-0.031084j -0.112542+0.166521j 0.201404+0.173269j 0.120902+0.00766699j 0.00347544-0.0212875j -0.0724717+0.127184j -0.21332+0.188131j -0.0176271-0.0115364j -0.0112552+0.00470021j 0.0922893-0.0934676j -0.0113175+0.0029398j -0.011001-0.00783157j 0.0524192-0.0211683j 0.08046-0.0615142j 0.00669554-0.00235672j 0.049477-0.0208048j 
-0.00238301+0.016323j -0.0316962-0.032146j 0.00614506+0.00366164j 0.0376675-0.0184443j 0.0152581+0.0595017j -0.038192-0.0253104j -0.00732768+0.00624709j -0.0176-0.0079432j -0.00177509+0.0148852j -0.0562687+0.134701j 0.0969184+0.173674j -0.00744784+0.127247j 0.0276838-0.0382929j -0.1413+0.214862j 0.219137-0.0849008j 0.0224806-0.0104929j 0.0118659-0.0102123j -0.0482382-0.0105681j 0.0751752-0.0498897j 0.0218453-0.0171436j -0.0842361+0.0227857j -0.0812602+0.0139361j 0.00480335-0.0342118j -0.0580586+0.0052396j 
-5.45511e-05-0.00598447j 0.0294972+0.0220004j -0.0228311-0.00953657j -0.111902-0.0313714j -0.0131893-0.0398375j -0.0155559-0.00787809j 0.00543114-0.0328405j -0.0124997+0.00741517j -0.00362294+0.0271287j -0.0101854-0.0616798j 0.328808-0.255413j 0.0698417-0.0792432j -0.00470903+0.00578606j -0.0130597-0.0197941j 0.0830065-0.0429951j 0.0239215+0.00414878j -0.0131147+0.0092006j -0.0361584+0.0239133j 0.00686778-0.013379j -0.00177807+0.00314197j -0.0351118+0.0129239j -0.0386403+0.0204468j -0.01504-0.00604821j -0.0191558+0.00594827j 
