-6.87756e-15-0.0940107j -3.60726e-15-0.23473j -3.71293e-16-0.115374j 1.19612e-15+0.120846j -1.0191e-14-0.191901j -1.26045e-15+0.0815614j 3.73859e-15+0.245897j 5.13154e-15-0.244223j -8.74763e-15+0.154982j -1.12107e-14+0.0209826j 3.73841e-14-0.309908j 1.94802e-15+0.0784754j -1.62629e-14-0.0484402j 1.03956e-14-0.197642j -5.97672e-15+0.170559j 8.38898e-15+0.277198j -5.73853e-13+0.116714j 1.69467e-14+0.166175j 1.6905e-14-0.143505j -1.26938e-14-0.238288j 3.13915e-14+0.0467315j -1.32166e-14-0.175076j -1.75577e-14-0.0729266j -8.22811e-14-0.285615j -1.63923e-15+0.0833066j -1.42377e-15+0.0182058j 1.56412e-15+0.206376j 1.87906e-15-0.0890421j 1.28619e-13+0.0721576j -3.55867e-13-0.153323j 2.41145e-13-0.0769943j 4.06843e-14-0.339938j 6.9061e-16+0.0331631j -2.11375e-16+0.0071345j 1.45407e-16-0.0303197j -4.63319e-16-0.0087204j 3.57998e-16+0.00825716j -1.15096e-16-0.00234934j 3.49301e-16+0.000804108j -2.3195e-16-0.00419552j 6.42853e-16+0.0144147j -6.65332e-16+0.0137045j 1.20648e-15+0.00748582j -4.73159e-15-0.014133j 1.17228e-16+0.00062495j -2.22744e-15+0.0114657j -8.38517e-16+0.00666728j -4.48989e-16-0.0133237j -6.39779e-16-0.000353815j -2.2992e-15-0.0157287j -3.16612e-13+0.00561642j -8.91888e-16+0.00542701j -4.14223e-15+0.00803402j -8.73517e-16+0.00517648j 2.52039e-16-0.0237987j 4.64731e-16+0.00348142j 2.53753e-16+0.00876899j -5.61098e-16-0.00849042j -9.98452e-16-0.000887699j -6.65433e-16-0.0165366j -4.89923e-16+0.00209783j -3.22326e-16+0.0227617j 2.18241e-16-0.0152398j 2.55599e-16-0.0081633j 6.48497e-17+0.00719473j 3.15401e-16+0.0457488j -9.26838e-17+0.00462833j -5.25587e-16-0.0115055j 3.23685e-17-0.0357339j -1.48543e-16+0.00478952j -1.42528e-15-0.0829636j 1.8573e-15+0.00852148j 
3.10533e-17+0.000507437j -1.06841e-16+0.00139987j -4.4039e-17+0.000535302j 1.58565e-16-0.000713012j -6.10076e-17+0.00109066j 9.38494e-18-0.000390966j 2.36789e-16-0.000837417j -1.3804e-16+0.000740004j 1.73365e-16-0.000240636j -2.95102e-16-0.000587254j -3.21628e-16+0.00103521j -6.19112e-18-0.00061558j -4.03459e-17+0.000104359j -1.5359e-16+0.000903348j 1.90867e-16-0.000381783j 2.33292e-16-0.000784648j 7.93426e-16-0.00013421j 3.36895e-18-0.000753797j -1.37308e-16+0.000783586j -1.6489e-16+0.000746837j 1.63342e-16+0.000241111j -8.51586e-17+0.00100881j -1.11141e-16+0.000252539j 4.39568e-17+0.000835892j 1.11099e-16-6.46194e-05j 7.67842e-17+0.000228723j 1.20924e-16-0.000917626j -7.58916e-17-0.000187091j -2.82383e-16-0.000653315j 5.50077e-16+0.000139844j -6.5657e-16+0.000255872j -4.01332e-16+0.000494179j 9.08997e-17-0.000988964j -1.71756e-17+0.000376022j -7.71885e-17-3.46665e-05j -2.77255e-17+0.00133817j -3.67797e-17+0.00201055j -1.47635e-16+0.0014723j 1.20934e-16-0.00184601j -9.71543e-17+0.00120784j 1.06918e-16-0.000732406j -7.48273e-17+0.00239141j -1.35701e-16+0.000478464j 6.6612e-16+0.00151628j -2.73997e-16-0.00270532j 8.37706e-17-0.000164174j -2.3578e-16+0.00176229j -1.70028e-16+0.000585523j 4.43642e-17-0.00239087j 1.7753e-16+0.00259016j 3.16546e-14-0.000563557j 1.69961e-16+0.0011082j 1.41507e-15-0.00279026j -8.50323e-16+0.00223014j 5.42889e-17-0.000426103j 8.91e-17-0.0016712j -9.80669e-17+0.000102194j -1.42069e-16+0.00230727j -3.8802e-17-0.00185999j -3.93985e-18+8.68345e-05j -1.82278e-16+0.00227196j -1.03149e-16+0.000742655j 4.00766e-17-0.00104918j 1.10338e-16-0.00183082j -1.27447e-16+0.00168425j 9.57931e-18-0.00194556j -5.05753e-17+0.00046135j -6.04876e-17+0.000883082j -5.60356e-17+0.00122414j -7.04333e-17-0.000160784j 6.57675e-17+0.0012115j -1.56065e-17-0.000111092j 
-3.50795e-17-0.000242224j -4.0973e-16-0.00024749j -1.09458e-16-6.1195e-05j 4.75887e-16-0.000302925j -2.66238e-16-0.000103325j 7.33193e-17+0.000119938j 7.10373e-16-0.000510649j -3.77281e-16+9.39979e-05j 2.79856e-16-0.000247902j 8.08179e-17+0.000419596j -6.05886e-16+0.000249002j -1.28607e-17+0.000249516j -2.05007e-16+0.00027882j -3.18866e-16+6.95414e-06j 5.1078e-16-0.000440909j 6.57244e-16-0.000490156j 2.26432e-15-0.000387706j 1.9505e-16+9.5595e-05j -1.16152e-16-0.000137512j -4.99275e-16+0.000344577j 6.23474e-17-0.000436655j -3.85666e-16+7.33323e-05j -3.70872e-16+0.000408614j -4.40564e-16+0.000323j 2.65289e-16-0.00031614j 1.79975e-16-0.000300258j 3.65717e-16-9.69605e-05j -2.94039e-16+0.000448326j -3.59172e-16+0.000398683j 4.44507e-16+0.000640777j -4.29647e-16+2.38993e-05j -8.49596e-16+0.000810252j 3.13639e-16-4.79245e-06j -4.30089e-17-3.87583e-05j -2.347e-16+0.000353359j -9.8931e-17-0.000386272j -1.70251e-16-0.000641992j -4.38651e-16+0.000112793j 3.51394e-16+0.000212607j -3.32134e-16-5.83893e-06j 2.94489e-16-0.000190224j -2.98035e-16-0.000526071j -1.13639e-16+0.000152949j -2.80989e-16-0.000753741j 3.05416e-16+0.00084845j -2.77251e-16+0.000321013j -4.49122e-16-0.000106101j -1.39465e-16+3.95165e-05j 5.27088e-16+0.00018313j -3.72953e-16-0.000744779j -1.92931e-14+0.000342189j -2.01814e-16-0.000271376j -4.3007e-16+0.00107462j -2.16826e-16-0.000319725j 2.37171e-16-0.000205025j 6.13847e-17+0.000503996j -1.1129e-16+0.000112625j -3.18571e-16-0.000540247j 1.37775e-16+0.000650973j 2.44802e-16-0.000447151j -4.48022e-16-0.000250414j -2.25932e-16+0.000122274j 1.55449e-16+0.00015771j 3.48705e-16+0.000210649j -3.65463e-16-5.1741e-05j 8.78951e-17+0.000765508j -1.71141e-16+4.11311e-05j -2.41384e-16-7.9582e-05j -1.68417e-16-0.00025734j -2.25895e-16+0.000366928j 5.51909e-17-0.000799353j 7.90541e-17+2.4699e-05j 
-4.12346e-17-0.00122986j 3.95288e-18-0.00164557j 1.71976e-17-0.00118603j -7.69986e-18+7.38098e-06j -2.83579e-17-0.00158989j 5.67549e-17+0.000932036j -5.83119e-17+0.000636592j 3.03708e-17-0.00159615j -1.15037e-16+0.000690715j 3.32529e-16+0.000876723j 2.59285e-16-0.00175978j 2.13479e-17+0.00104775j 7.13887e-17+0.000289008j 9.75356e-17-0.00137428j -4.33702e-17+0.000357001j -2.17595e-17+0.00102829j -6.72418e-16+0.000130174j 1.34555e-16+0.0013777j 1.84315e-16-0.00124245j 4.68658e-18-0.00109077j -2.01394e-16-0.000473543j -5.01466e-17-0.000968592j -2.67362e-17+0.000422861j -3.82471e-16-0.00153712j -4.07732e-17+7.1137e-05j -3.4948e-17-0.000354175j 1.93431e-18+0.00116986j -1.48228e-17+6.19354e-05j 1.32086e-16+0.000872952j -3.57878e-16+0.000124912j 1.50138e-15-0.000621013j 3.03175e-16-0.00118128j 2.30562e-17-0.000469816j 8.63308e-18-0.000218241j -1.93367e-17+0.0006573j 1.98575e-17-0.000647344j -2.01622e-17-0.000184627j -1.513e-17+0.00065041j 1.02206e-17-0.000144752j -2.10758e-17+0.000492047j 1.47571e-17-0.000361158j -2.17229e-17-0.000273424j 9.60257e-17+0.0001451j -3.79565e-16-0.00102968j 8.3166e-17+0.000801822j -2.97994e-16+0.00108966j -8.12019e-17+0.00112129j -5.04953e-17-0.000166796j -4.98941e-17-0.000598091j -3.83379e-17-0.000215342j -2.11686e-14+0.000376099j -5.59914e-17-4.81774e-05j -6.67576e-16+0.00138681j 8.92091e-17-7.55226e-05j 4.6496e-17-0.000852935j -3.9618e-17+0.00112967j -2.07287e-17+0.00070301j -3.40748e-17+5.29113e-05j -4.53435e-17+0.000311501j -6.73578e-18-0.000994584j -2.79216e-17+0.000392491j -1.70653e-17+0.000495418j -9.73248e-18-5.20677e-06j 1.22584e-17-0.00028738j -1.85445e-18+0.000212355j -1.33987e-17+0.00118717j -1.80684e-17+0.000574619j -2.07931e-17+0.000510964j 1.1446e-17-0.000584535j -3.33897e-17+0.00120068j 4.68486e-18-0.00153362j 3.35955e-17-0.000315333j 
-4.37687e-17-0.000852409j 9.24565e-17-0.000569963j -2.82357e-17-0.000770738j -5.93329e-17-0.000216823j -7.64881e-18-0.000758648j 5.37046e-17+0.000553587j -9.07363e-17+0.000154482j 4.75033e-17-0.000491785j -6.97434e-17+0.000120894j 1.68724e-16+0.000376021j 1.31388e-16-0.000587015j 9.8306e-18+0.000408114j 6.18003e-17+0.000154083j 5.8681e-17-0.000507579j -5.7515e-17+9.68423e-06j -6.6984e-17+0.000253057j 1.23988e-16-3.30458e-05j 4.27631e-17+0.000500427j 8.86753e-17-0.000360972j 4.27458e-17-0.000349745j -1.51818e-16-0.000289036j 2.1224e-17-0.000344602j 4.15816e-17+0.000287836j -7.71783e-17-0.000485149j -1.89676e-17+1.8578e-05j -5.41152e-18+6.40929e-06j -5.56439e-17+9.50125e-05j 7.34195e-19+0.000254843j -2.84018e-16+0.000187472j 6.5685e-16+0.000371777j 1.12812e-15-0.000584105j 2.47901e-16-0.000284681j -8.59841e-17-0.000764706j -6.0868e-17-0.000600149j 4.51757e-17+0.000843426j -3.23648e-17-0.000923287j 6.31319e-17-1.91031e-05j 3.30024e-18+0.000289612j -8.79561e-19+0.000190186j 2.79053e-17+0.000354266j 2.64219e-17-7.73067e-05j -3.7924e-17-0.000708321j -3.79177e-18-0.000374385j -2.96543e-16-0.00087243j 1.01186e-16+0.000991494j -2.49422e-16+0.00126119j 1.05047e-16+0.00132917j -1.29112e-16-0.000519332j -1.07357e-16-0.000312552j 1.32692e-16+8.6443e-05j -1.04655e-14+0.000185893j -2.8793e-17-0.000134607j -7.17051e-16+0.00153156j 1.87121e-16-0.000597233j 8.40381e-18-0.000653507j 9.21755e-17+0.00176411j 7.14507e-17+0.000888574j 6.65692e-17+0.000193993j -1.33194e-16+0.000116701j -2.61336e-17-0.000724286j 2.50653e-17+0.000104172j -3.74776e-17+4.97448e-05j 1.36813e-17+0.000349479j -1.24877e-17+2.19504e-05j -4.76149e-17-0.000373101j -2.32921e-17+0.000970178j 5.89688e-17+0.000675495j 9.46673e-17+0.000761647j -2.49038e-17-0.000703529j 8.87156e-17+0.00139681j 7.67569e-17-0.00078587j -7.76878e-17-0.00063878j 
-1.32598e-17-0.000186005j -6.26261e-17+0.00147245j 4.109e-19-0.000946247j 1.32832e-17-0.000885744j 4.46417e-18-0.000657921j 1.19901e-16+0.000537881j -1.78451e-17-0.0013458j -6.05773e-17-0.000100011j -4.95872e-17-0.000217973j 4.90408e-16+0.000976873j -2.07268e-17+0.000110471j 8.75259e-18+0.00101342j 2.6068e-16+0.000976273j 1.93126e-17-0.000275778j 4.97726e-17-0.000777931j -6.44143e-18-0.000744392j 2.95529e-15-0.000600312j 5.84318e-17+0.000541984j 1.23173e-16-0.000730474j 4.75924e-17+0.000180283j -4.40566e-16-0.000901819j -2.62434e-17+0.000111556j 3.35415e-17+0.00115581j -2.73878e-17-0.000176768j -1.58684e-17-0.000349942j -8.47032e-18-0.00079277j 5.54867e-18+0.00045198j 1.94572e-17-5.84842e-06j -6.60185e-16-0.000780807j 1.9741e-15+0.000715438j -6.09022e-16+0.000293427j -8.95514e-17+0.000194639j 6.06066e-18-0.00089085j -2.5703e-18-0.0006658j 1.84257e-17+0.000335288j -2.3763e-17-0.000392957j -5.02148e-17+0.00088553j 1.98141e-17-0.000227075j 1.43e-17-1.27774e-05j 5.93335e-18+0.00034278j -1.19352e-17+0.000389278j -3.34892e-17-0.000155536j -3.41941e-17-0.000914042j 1.89727e-16+0.000488642j 1.29156e-17-0.000292171j -1.53941e-16+0.000761879j -4.81296e-17+0.00154745j -8.85634e-17-0.000721638j -4.52994e-17-0.000400245j 1.13009e-16+0.00148342j 2.93623e-14-0.000520344j 4.66528e-17+0.00029859j 1.46111e-16-0.000145337j 5.27049e-17-0.00043226j -1.03402e-17-8.67237e-05j 1.85326e-17+0.00128053j -1.23901e-17+0.000777362j -8.68263e-17+0.0011827j -1.51156e-17-0.00102173j -8.74128e-17+0.000198228j -2.82955e-17+0.000354925j 1.47416e-17-0.000563168j -7.30293e-18+0.000304492j 1.32244e-17-0.000128949j 7.61778e-18-0.000763058j 6.68626e-17-0.000482366j 3.72616e-18+0.000657212j -1.11036e-17+0.00118467j -2.38983e-17-0.000273674j 1.95763e-17+0.00103901j -5.15137e-17+0.00127021j -4.00476e-17-0.000983681j 
-4.57662e-17-0.0002904j -5.84372e-17-0.000347942j -2.99758e-18-2.61656e-05j -3.90873e-19-0.000403883j 4.45199e-18-6.64445e-05j 4.49052e-17+0.000130659j -1.95431e-17-0.00058235j -2.24932e-18+3.51441e-05j -4.34051e-17-0.000219123j 2.50696e-16+0.000437398j -1.06005e-17+0.000242901j 3.14383e-19+0.000253751j 8.01905e-17+0.000320223j 2.46453e-18+1.26979e-05j 1.10938e-18-0.000483074j -4.24538e-17-0.000530009j 2.04527e-15-0.000420543j 9.29099e-18+0.000121011j 4.2294e-17-0.000148099j 5.17439e-17+0.000386693j -2.50884e-16-0.000465206j 7.31723e-18+0.000136415j 5.04593e-17+0.000496085j 1.37203e-16+0.000338591j -2.12086e-17-0.000355466j 1.81781e-18-0.000329258j -2.90301e-17-0.000115774j 1.55092e-17+0.000477436j -3.42325e-16+0.000532982j 1.07992e-15+0.000716086j -3.26776e-16+2.27661e-05j 7.23216e-18+0.000869482j 6.25725e-18-0.000111874j -2.57164e-17+0.000101614j 4.1991e-17+0.000399219j -7.21799e-17-0.000188817j -9.5878e-17-0.000486359j -2.26091e-17+0.000488622j 6.78898e-17-0.000127653j -3.20484e-17+0.000229031j 4.32535e-18-0.000434619j -1.19774e-16-0.000142878j 5.87544e-17+0.000397524j -4.03541e-16-0.000721191j 2.11317e-16+0.000553074j -4.06208e-17+0.000332989j -4.01269e-17+0.000119553j -2.24291e-17+0.000234251j 4.67956e-17-0.00025106j -1.78291e-16-0.000560346j -2.13225e-14+0.000379324j -1.00679e-16-0.000133076j -2.16266e-16+0.000830182j -6.30733e-17+0.000110702j -1.40398e-18-0.000379633j 1.02836e-16+0.000190196j 2.36813e-17+0.000112646j -8.67827e-17-0.000316525j 8.88806e-17+0.000542089j -3.8108e-17-0.000608467j -7.68441e-17+0.000143464j -1.16114e-17+0.000393478j 4.38143e-17-6.55828e-05j 6.25339e-17-0.000123359j -5.01858e-17+0.000373008j 1.1269e-16+0.000672681j 9.48428e-19+0.000104561j -1.77454e-17-1.79556e-05j -5.7225e-17-8.07606e-05j 4.60167e-17+0.000372962j -1.08383e-16-0.000977525j 1.67777e-17+9.72478e-05j 
4.69529e-17-0.00023686j 2.48066e-16-0.000194815j -5.05566e-17-0.00025109j -1.60984e-17-0.000210174j -6.87866e-18-0.000293161j 2.85469e-17+0.000219684j -9.99117e-17-0.00011956j 9.3511e-17-0.000402295j -8.83539e-17+0.000174512j 1.24964e-16+0.00027093j 1.37556e-16-0.000338768j 3.0587e-17+0.000309841j 9.46677e-17+0.000216023j 5.84142e-17-0.000276208j -4.54419e-17-4.68038e-05j -7.63621e-17+8.6079e-05j 2.5631e-16-5.87091e-05j 3.8536e-19+0.000349496j 6.74929e-17-0.000338807j 3.80994e-17-0.000151498j -1.20154e-16-0.000194194j 6.29031e-18-7.58898e-05j 1.83143e-17+0.00030622j -3.80149e-17-0.000321371j -1.08695e-17-5.85603e-05j -2.23596e-17-0.000203795j -1.69287e-17+0.000299049j -2.4491e-17-2.6572e-05j -2.23675e-16+0.00020253j 1.04249e-16+0.000122558j 1.49577e-16-2.71426e-05j 4.33881e-17-0.00020431j -1.60549e-17-0.000290383j -1.37648e-16+0.000130225j -1.27762e-17+0.000116897j -1.22226e-16+0.000232892j 1.20522e-17+0.000379909j -2.47537e-16+0.00059249j 1.94576e-16-0.000559872j -1.13252e-16+0.000447091j 1.87047e-16-0.000337192j -2.16999e-16+0.000600972j -2.17704e-16+0.000272615j 1.0822e-16+7.83532e-05j 4.37129e-17-0.000495436j 1.27171e-17+0.000179643j -4.57031e-17+0.00064058j -2.09886e-16+0.00019148j 1.70356e-16-0.000784209j 9.83938e-17+0.00049922j -7.51691e-17-4.57975e-07j -1.01572e-17+0.000273935j 2.65657e-16-0.000363582j -4.56912e-16+0.000634775j 1.17498e-16-0.000345072j 2.7236e-16-0.000276475j 3.60376e-17+0.000147891j -2.2547e-17+0.000534635j -7.89706e-17-0.000318855j 1.17673e-16-0.000281038j -2.08191e-16+0.000708215j -2.27334e-16+0.000390218j 1.4894e-16-0.000331477j 1.80739e-16-0.000578761j -3.11769e-16+0.000585482j -4.18699e-17-0.000140613j 9.31061e-18+0.000225194j 6.34027e-17+0.000288138j -1.01699e-16+0.000193635j 5.12919e-17+0.000214738j 2.7492e-16-0.00022193j -1.2035e-16-3.55249e-05j 
-4.53886e-17+0.000447492j -1.564e-16-0.000454251j 1.16764e-17+0.000679325j 1.2453e-17+0.000259118j -8.55927e-18+0.000463951j -2.74871e-17-0.000368111j 7.95231e-17+0.000231485j -5.32903e-17-0.000114154j 5.24504e-17+0.000213228j -1.69994e-16-0.00028072j -5.75651e-17-2.56228e-05j -1.42359e-17-0.000284178j -7.74594e-17-0.000206975j -3.6727e-17+0.000131317j 3.39731e-17+0.000216481j 6.68334e-17+0.000188343j -7.57828e-16+0.000159296j 5.03228e-18-0.000127448j -3.25494e-17+9.07432e-05j -4.91677e-17+2.14215e-05j 1.55846e-16+0.000295264j -1.67749e-17+0.0001127j -3.03196e-17-0.000265618j -3.66082e-17+4.14673e-05j 5.85571e-18+1.64327e-05j 2.35726e-17-8.47122e-06j 8.28393e-18+0.000184053j 1.87221e-17-0.000207743j 5.11344e-16+0.000501676j -1.13731e-15-0.00039068j -6.4378e-16+0.000347364j -1.37569e-16-5.97158e-05j -1.46913e-17+0.000671522j 6.29106e-17+0.000958047j 3.43882e-17-0.000678621j 4.12852e-17+0.00119833j 1.10562e-18+3.68019e-05j 1.48499e-16+0.000608709j -1.01108e-16-0.000839946j 7.52023e-17+0.000118968j -1.12992e-16-0.000545319j 1.18552e-16+0.00136633j 1.11456e-16+0.00107249j 1.15416e-16+0.000538057j -1.70248e-16-0.00124177j 3.33319e-16-0.00112793j 4.02442e-17-0.000989818j 1.411e-16+0.000993058j -1.16613e-16-0.00053267j -7.3075e-17-0.000167354j -5.90076e-15+0.000104624j 7.04998e-17+0.000304003j 7.74088e-16-0.00156636j -2.86315e-16+0.00145479j -1.09713e-16+0.000127374j -5.98756e-17-0.00233109j -1.78964e-17-0.000882929j 3.15174e-17-5.84494e-05j 7.9843e-17+1.18131e-05j -8.84962e-17+0.00011743j 1.09993e-16+0.000627035j 1.23966e-16+0.000707085j -6.66266e-17-0.00083075j -1.03897e-16-0.000672334j 1.70119e-16+0.00137304j 4.27252e-17-0.000692822j 1.08726e-17-0.000562162j -1.63887e-17-0.000794027j 4.3567e-17+0.000919476j 5.96132e-18-0.00130605j -1.92177e-16-0.000264243j 8.26278e-17+0.000917262j 
1.44497e-16+0.000611125j 4.26414e-16+0.00149651j -5.71972e-17+8.28776e-05j -3.70589e-17+1.36208e-05j 3.37507e-17+0.000345033j -2.00882e-17-0.00025062j -1.86358e-16-0.000487774j 1.93235e-16+0.000813716j -1.18414e-16-0.000442453j 5.80158e-17-0.000110426j 1.00794e-16+0.000790426j 3.46465e-17-0.000124246j 1.00354e-16+7.14343e-05j 6.28222e-17+0.000470838j -1.08339e-16-0.00027019j -1.98975e-16-0.000547884j 6.35147e-16-0.000144763j -1.39632e-16-0.000479795j -2.16058e-17+0.000316102j 1.30787e-16+0.000383708j -8.33747e-17-1.75269e-06j 6.03956e-17+0.000255094j 6.6168e-17-6.75697e-05j 2.78469e-16+0.000532822j -2.5142e-17-1.92158e-05j -5.23637e-17-1.98075e-05j -5.37405e-17-0.000282004j 2.93098e-17-0.000130644j -5.0076e-16-0.0010445j 6.8466e-16-6.08682e-05j -6.86731e-16+0.000364728j 1.57636e-17+0.000360206j 2.55465e-17+0.000224001j -2.28685e-16-0.000547621j -1.47471e-17-0.000316803j -2.56751e-16-0.000434294j -8.948e-17-7.17893e-05j -4.62149e-16-0.00148059j 3.84415e-16+0.0010685j -2.33894e-16-0.000797454j 3.12707e-16+0.00102087j -4.48316e-16-0.0010652j -4.65912e-16-0.00110289j 2.55368e-16+0.00052713j 3.43653e-16+0.000418417j 6.25624e-17-0.000255301j -6.84389e-17-0.000632681j -2.53402e-16-0.000753682j 5.47607e-16+0.00141421j -2.03486e-17+5.77029e-05j 2.55822e-14-0.000455351j -1.36119e-16-0.000284953j 1.63997e-16+5.91736e-05j -1.99097e-16-0.00138965j 2.12544e-16+0.000862478j 4.40895e-16+0.000869423j 7.96786e-17-4.33134e-05j -1.28016e-16-0.000280506j 4.37417e-17-0.000167958j 2.53892e-16+0.000985628j -4.03061e-16-0.00121902j -3.73678e-16-0.00121359j 2.98231e-16+0.000766525j 3.79697e-16+0.00107172j -5.72949e-16-0.00161399j 2.05021e-17-0.000411508j -1.66063e-17-0.00021625j 4.58391e-17-4.11368e-06j -2.04597e-16-0.000363344j 8.02181e-17-0.000193553j 4.22317e-16+0.00163313j -2.228e-16-0.000411766j 
1.21309e-16+0.000523678j 1.70384e-16+0.00116392j -6.73929e-18-0.000143252j 4.54457e-17+0.000123638j 4.70989e-18-8.20232e-05j -1.03506e-17-7.19429e-05j -4.74969e-18-0.000326708j 1.7497e-17+0.000271852j -1.37353e-17-0.000160672j 1.04008e-16+0.000184013j -1.50484e-17+0.000220978j 1.72413e-17+0.000258869j 6.32016e-17+0.00019436j 6.71693e-18+3.1337e-05j 2.80427e-17-0.000120874j 4.15097e-18-0.000189653j 4.11903e-16-7.93448e-05j -2.93324e-17-2.1717e-05j -4.97718e-18-0.000183006j -8.66575e-18+9.09557e-06j -3.90132e-17-0.000122208j -2.58239e-17-5.39648e-05j -2.91293e-17+3.55177e-05j -3.13283e-17-2.15168e-05j 1.72044e-17+8.91758e-07j -2.85402e-17-0.000272658j 6.59688e-17+0.000352164j -4.79236e-17-0.000302947j -1.63374e-16-0.00082645j 5.22025e-17-0.000231071j -7.044e-16+0.000449058j -1.92164e-16-0.000136711j 7.91744e-17+0.000430634j -3.9307e-17-0.000360381j -1.00618e-16-0.000529341j -1.39006e-17-0.00023387j 9.90633e-18-8.37931e-05j -2.08392e-16-0.0014535j 1.16996e-16+0.000941838j -1.11073e-16-0.000800355j 1.39227e-16+0.000991245j -7.53219e-17-0.000827072j -2.17406e-16-0.000933179j 3.80184e-16+0.000633859j 8.88631e-18+0.000192729j -1.42088e-17-0.000462032j -8.13611e-17-0.000829105j -3.35149e-17-0.000618107j 2.77278e-16+0.00137113j 3.8063e-17+1.23992e-05j 2.55428e-14-0.000454321j -1.80078e-17-0.000214907j -2.54661e-17-0.000224857j 1.30091e-16-0.00116948j 1.30409e-16+0.000890077j -1.54302e-18+0.000473656j -3.04778e-17-0.000192785j -2.37078e-17-0.000302611j -9.40491e-18-0.000179561j 1.9228e-16+0.00102038j -1.34345e-16-0.0011365j -1.4298e-16-0.00111206j 7.94106e-17+0.000609039j 1.29534e-16+0.000968359j -1.90436e-16-0.00143309j -9.68985e-17-0.00048131j -5.65313e-17-0.000316705j -3.55186e-17-0.000140116j -2.09992e-17-0.000267679j -8.95653e-17-0.000405434j 2.61796e-16+0.00154086j -5.95953e-17-0.000266988j 
3.00069e-17-0.000184376j 4.3959e-17-0.000750216j 1.65243e-17+0.000178772j 1.6059e-17+0.000187158j 2.35894e-19+9.66773e-05j -4.78702e-17-4.96316e-05j -7.04423e-18+0.000536149j 3.89767e-17-0.00018391j 2.90974e-18+0.000192906j -1.66466e-16-0.000314285j 5.09301e-17-0.000251876j 5.30142e-18-0.000301452j -8.32304e-17-0.000313311j 6.14858e-18-2.93383e-05j -2.49921e-17+0.00031562j -3.01723e-18+0.00038089j -1.20329e-15+0.00024305j -5.20612e-18-5.04515e-05j -3.25013e-17+0.000185926j -1.43934e-17-0.000174009j 1.42115e-16+0.000297823j 7.2918e-19-6.60625e-05j -2.5524e-17-0.000308028j -2.50769e-17-0.000109643j -3.28066e-19+0.000146826j -1.30184e-17+0.000317771j 1.74258e-17-0.000153955j -1.71115e-17+2.10982e-05j 2.04994e-16+0.000408698j -6.70356e-16-0.000184577j 6.14833e-16-0.000280146j 1.0584e-16-0.000234497j 5.86946e-17-4.14236e-05j 7.39936e-18+0.000243876j -4.98136e-17+0.000110616j 1.15105e-17+0.000199551j -3.29845e-17+1.1897e-05j -8.54736e-17+0.000610228j 5.42777e-17-0.000409489j -6.28425e-17+0.000275547j 4.98146e-17-0.000425721j -3.98358e-17+0.000438347j 1.23402e-17+0.000487119j -6.2736e-17-0.000225232j -9.31615e-18-0.00015697j -5.99193e-17+4.2831e-05j -1.27037e-16+0.000141712j -1.58934e-17+0.000339833j 6.78117e-17-0.000529589j -6.36698e-17-0.000111374j -1.19661e-14+0.000211882j -1.95448e-17+8.46002e-05j 9.68275e-18-3.71207e-05j -1.91755e-16+0.000584344j 6.4301e-17-0.000332417j -1.69348e-17-0.000439736j -4.91641e-17-4.16093e-05j -5.17936e-17+3.14113e-05j 1.1154e-17+0.000121784j 5.67619e-17-0.000385986j -8.40708e-17+0.000448696j -5.76641e-17+0.00052565j 2.23794e-17-0.000317365j 5.93384e-17-0.000408748j -6.01856e-17+0.000703017j -2.95943e-17+0.000171833j -4.56033e-17+3.34603e-05j -4.72223e-17-0.000104864j 2.32447e-18+0.000169404j -6.76515e-17-3.38512e-05j 5.82843e-17-0.000727156j 3.71448e-17+0.000248348j 
