-0.0824341-0.0407561j -0.054567+0.0597519j 0.0157868-0.0337502j 0.0059383-0.19817j 0.244267-0.0118691j -0.0338-0.11046j -0.00702054-0.111415j 0.0856812-0.000182241j -0.12023+0.0825287j 0.199981+0.0988608j 0.0923097-0.121012j -0.18287-0.173381j -0.0493434+0.0144448j 0.0573932-0.109996j -0.0260698-0.0493475j 0.0365651-0.140151j -0.0342916+0.202835j -0.0595996+0.13763j -0.107784+0.128451j 0.0866053+0.138826j -0.391664+0.015665j -0.0117476-0.31266j 
0.00289464+0.00301579j 0.00871153-0.0073864j -0.0094383-0.00332721j 0.0162138+0.0108763j -0.00886028-0.0174599j -0.010253+0.00406076j -0.0108631-0.0192289j 0.000217734+0.001404j -0.00525094-0.00109857j 0.00318371-0.0170741j -0.0211321-0.00561658j -0.0278281-0.0119948j 0.0195049-0.0185056j 0.00363127-0.0170572j -0.0102663-0.0133795j 0.0261688+0.0201985j 0.0111985+0.0132864j -0.00354335+0.0133388j -0.00306072+0.00909231j 0.00832523-0.000438071j -0.00668608-0.018451j 0.0189833+0.000905176j 
-0.00756993+0.00431495j -0.00214818+0.00399145j -0.0076168-0.012944j -0.0241129-0.0192269j 0.0154606-0.00537694j -0.0063459-0.00145432j 0.023721-0.0112783j -0.00394527+0.0047643j 0.0125794+0.00891651j 0.0234684+0.00181502j 0.00574326+0.00679443j 0.0072915+0.00676718j -0.00105069+0.0163839j -0.00659161-0.00639265j 0.00846905-0.0100657j -0.00361379-0.0133971j -0.0132316+0.00411914j 0.0108086-0.0054931j -0.0106212-0.0115371j -0.00750582-0.00395345j 0.00227336-0.00921897j 0.00570906-0.0011617j 
-0.00494852-0.00383732j 0.00502447-0.00613594j 0.0133646+0.0134638j 0.00531155+0.0211364j -0.0183198+0.00861581j -0.00484899-0.00920869j 0.00414961+0.0158304j -0.00894028-0.00348383j -0.00252536-0.0151253j -0.00727792+0.00175606j 0.000605271-0.0118621j 0.00888157-0.00151747j -0.00201071+0.0222086j -0.0202038+0.0142629j 0.00132198+0.0398278j -0.0220877-0.00016042j -0.00834883-0.0327707j -0.0252064-0.00614364j 0.0171626+0.000257031j 0.00946029+0.00969592j 0.0270099+0.0112008j 0.00106792+0.01478j 
-0.0178393+0.0021578j 0.0079907-0.0144449j -0.00264079-0.0223055j -0.00668284-0.0111286j -0.0146089+0.0156578j -0.00857999-0.012621j 0.0134056+0.0145351j -0.0161597-0.00464925j -0.00945375+0.00700824j -0.0120718-0.0168757j -0.00923096+0.00265188j 0.0191088+0.00768367j 0.00445905-0.00343847j -0.0250067-0.0064947j 0.0066165-0.0198756j 0.00507437+0.0234164j 0.0148776-0.0288445j 0.00702594-0.00219266j -0.0079029-0.00682939j -0.0142313-0.0110106j 0.00870345-0.00506126j -0.00651422+0.0106009j 
-0.00981947-0.00362645j -0.00113627-0.00289514j 0.0141006+0.00538358j 0.00503986+0.0094858j -0.00702143+0.00650332j 0.00367061-0.00400585j 0.00495639+0.00695423j -0.00412223-0.00712985j -0.0129788-0.0142133j -0.0154058-0.0119759j -0.0175976+0.00208935j -0.00523885-0.0162062j -0.00798086-0.00358309j 0.00763991+0.00416311j 0.00376257-0.0126135j 0.0208757+0.00126988j -0.00347449+0.00625151j -0.00480749-0.000824718j 0.0213263-0.0075201j -0.000687517-0.0122264j 0.0107513+0.00780486j -0.0157187+0.0176173j 
-0.0158591+0.0132j 0.00321841-0.0165003j -0.00986062-0.0243646j 0.0146236+0.00430636j 0.00464164-0.00919824j 0.00261186+0.0105208j 0.00337208-0.0127982j 0.00194518+0.00725696j 0.00228536-0.0120197j 0.00934591+0.00431851j -0.00953012-0.00922645j 0.00531384+0.00803228j -0.0109305-0.00624181j -0.00812008+0.014788j -0.00572013-0.0101202j 0.00497532-0.0103429j 4.83477e-05+0.00301556j 0.00371292-0.00949862j 0.00353092+0.00947483j 0.00462954+0.00128931j 0.000140424+0.000126238j 0.00763802-0.00996466j 
-0.017984+0.00167475j -0.0115602+0.00209087j 0.0136036-0.00302859j -0.00800585+0.00223376j 0.0136579+0.000521683j 0.0200569+0.000611549j -0.0202567+0.00689932j 0.00573535+0.0062247j 0.0270293+0.00218152j 0.0105618+0.0102196j 0.00711513+0.0024421j 0.017162+0.00548249j -0.0152759+0.00993107j 0.00341188-0.00905926j 0.0091594-0.0230133j 0.0093476-0.00188224j 0.00733864+0.00279205j 0.0196449+0.0018821j -0.00982529+0.00737585j 0.00150188+0.0114448j -0.0107198+0.00520093j 0.00911118+0.00372844j 
-0.00429815-0.00749224j 0.00118369+0.00358783j 0.00358488+0.00411939j -0.0121069-0.00813126j -0.00432214-0.0111275j 0.00826862+0.0015491j 0.0221066-0.0199547j -0.00846568-0.0066806j 0.00488309-0.00440623j 0.000995162-0.000442221j -0.00567449+0.00210505j 0.0116195-0.00223123j 0.00444842+0.00997053j 0.0172234+0.0114426j -0.00368058+0.0161461j -0.0128935-0.0125421j -0.0135398+0.020379j 0.00906215-0.00776523j 0.00786161+0.00951511j 0.016654-0.00993621j -0.00532023-0.0190698j -0.00702089+0.0150226j 
0.00310216-0.0108679j 0.00774268-0.00725715j -0.00575556+0.0077533j 0.010429+0.0136593j -0.00385069-0.0101798j 0.00335869+0.0106372j -0.000168453-0.0183868j 0.000343963+0.00166239j -0.00411626-0.015163j 0.00172572+0.00612844j -0.00237227-0.00800014j -0.0061501-0.00207691j -0.00313078-0.0183742j -0.00949426+0.00209434j -0.00332747-0.0159376j 0.0133143-0.0033599j 0.00926468-0.00794552j -0.00185572-0.000695169j 0.0106448-0.00497915j 0.00786044+0.00181937j 0.00375006+0.0113824j 0.0108154-0.000246074j 
-0.0090341-0.00985412j 0.00651518-0.0181891j -0.0111761+0.00203355j -0.0115581+0.0049082j -0.00115981+0.0212779j -0.0168345-0.00873695j -0.00382034+0.0105906j -0.0125526-0.000100184j -0.000997686+0.00268125j -0.0032389-0.00325528j 0.00732782+0.0196304j -0.00960079+0.0146122j 0.0129707-0.0116888j 0.0273917-0.00102987j -0.00101893+0.0133334j -0.0102712+0.00030877j -0.00205355+0.0116587j 0.0155174-0.000463907j 0.00534613-0.00328742j -0.00650665+0.000179574j -0.000830275+0.0115588j 0.0173045+0.0073039j 
-0.00050843-0.012056j -0.00177416+0.0148955j 0.0240649+0.0174898j -0.00450531+0.00295592j -0.000840112+0.00180759j -0.0117473-0.00167738j 0.000346103-0.000761995j -0.00046804+0.00243745j -0.00547333+0.0063323j 0.00782636-0.00481377j 0.0152818-0.00546758j -0.00897671+0.00289374j 0.0023553-0.00573233j -0.0147875-0.00724017j 0.00576789+0.002819j 0.00224794+0.00975356j 0.000126967-0.0164722j -0.0107594+0.0121196j -0.00978497-0.00527934j -0.0061289+0.011753j 0.00691706+0.000940165j -0.00388312-0.0183457j 
-0.00793932-0.000230236j -0.000412346-0.00877579j -0.00216226-0.00758195j 0.0140754-0.0121747j -0.00667375-0.0035044j -0.00428358+0.00187935j -0.00486331+0.0139901j 0.0134024-0.00312859j 0.00139829+0.00516886j 0.00613256+0.00974613j -0.0119031+0.0148484j -0.0137339-0.00120108j 0.023611+0.00504374j -0.000364391+0.00301804j 0.00252207+0.0129964j -0.0137569+0.0229064j -0.0072777-0.001304j -0.00219542+0.0104429j -0.00605068+0.0152529j -0.019038-0.0107435j -0.00168396+0.00394241j 0.00676783-0.0131525j 
-0.00846381-0.00845421j 0.0141226-0.00333801j 0.0101492+0.00287928j -0.00466034+0.00303607j -0.0252971-8.72928e-05j -0.00269303+0.00198187j 0.00685585-0.0219813j -0.00829893-0.00408944j 0.00440005-0.00314711j -0.00928509+0.00391085j -0.00270153-0.0122761j -0.0160412-0.00585673j -0.00272499-0.00662076j -0.0105663+0.0109864j -0.0125353+0.00292325j 0.0176311+0.000260836j 0.000515093-0.0150426j -0.00526815+0.00930463j 0.0023643-0.0106623j 0.0105201+0.0152335j -0.00369297+0.00403129j 0.00477906+0.0155139j 
0.00349495+0.00665094j -0.00282915+0.0131488j 0.0145589-0.00273209j -0.0180055+0.00433701j -0.0071497+0.0185184j -0.0040081-0.00809432j 0.0149467-0.00495537j -0.0199111+0.00210899j -0.00232171-0.0188401j -0.00604396-0.00107417j -0.011036+0.0168041j -0.006011-0.000978499j -0.0109021-0.00741673j 0.00171618+0.00281731j -0.00572641-0.0113156j 0.00812291+0.00927056j 0.00952124-0.0064497j -0.00609005-0.00450039j 0.000322593-0.0190244j -0.0180166-0.0227424j 0.0182727+0.0186223j -0.00180882+0.0108162j 
0.0168988-0.00169559j -0.000856086+0.00313154j -0.0171016+0.00714351j -0.01325-0.0104189j 0.0145613+0.00612633j -0.014471-0.00659564j 0.0057213-0.00122824j 0.000787978-0.00261687j 0.00800134+0.016885j 0.00949031+0.00578937j -0.0187887-0.017889j -0.0208097-0.0251896j 0.0012551-0.00821104j -0.0115754+0.0134403j -0.00577015-0.00138623j 0.0106952+0.00297897j -0.0165369-0.00217131j -0.0215668+0.00693383j -0.012491+0.010202j 0.00578067-0.00316518j -0.024825+0.00522672j 0.00468368-0.0158399j 
-0.0129627-0.0153839j 0.00231118-0.00605928j -0.00492765-0.00415962j -0.0035095-0.0292991j -0.00386279-0.0129367j 0.00912197+0.00533958j 0.00354661-0.0124802j 0.00705797-0.0043009j 0.0052636+0.0162976j 0.00769663+0.00409896j 0.0118984+0.00144981j 0.00981592+0.00993921j 0.0110143-0.00370155j -0.0033138-0.00232623j 0.00753687-0.0115744j -0.00479847+0.00300503j 0.00236233+0.015326j 0.0239251+0.00586625j -0.0125211+0.008947j -0.00315974+0.00726031j -0.0288172-0.0177172j -0.00388968-0.00612654j 
-0.0154033-0.00915192j 0.00399747-0.0263049j -0.0132348+0.0139076j -0.00182968+0.0191001j 0.00914861+0.00933123j -0.0153499-0.00503291j 0.000559737+0.0142503j -0.0052524-0.00259996j -0.00757076+0.00157003j -0.00599863-0.0196679j 0.00744363-0.014765j 0.00545366-0.000785256j -0.00638928-0.00530735j 0.00736544+0.000729979j 0.000117632+0.0131845j -0.0117856-0.0122585j -0.00641897-0.00133626j -0.00922273-0.00233816j 0.00698175+0.0069492j 0.0157839+0.0154247j 0.000677259-0.000206792j 0.00460548-0.00604271j 
-0.0214456-0.00755286j 0.00457303-0.0192797j 0.000659211+0.00474107j -0.0135451+0.00744708j -0.0106055+0.0161709j -0.0047577+0.00575106j 0.019528-0.00537647j -0.0111099-0.00281523j -0.00171207-0.0182241j 0.000771048+0.0106744j 0.00897838-0.00230289j 0.0171859+0.00949708j 0.00672191-0.00971826j -0.00790824+0.00874653j 0.0138477+0.0180352j -0.0169686+0.000182845j -0.00789391-0.0152316j -0.00482371-0.0199212j 0.00195685-0.00339844j -0.000889762-0.00622737j 0.0271147+0.0217082j -0.00577786+0.0114712j 
0.00482228-0.00057571j 0.00520231-0.0146894j -0.00555651+0.00681932j 0.0342049+0.0182146j -0.0127823+0.000553812j -0.0105936+0.001401j -0.00329648+0.00988274j -0.000754107-0.00316012j -0.0353565-0.00498806j -0.032749-0.00926589j 0.00240846-0.00507174j -0.00507316+0.00228452j 0.00459945-0.0107706j 0.000630306+0.00102529j -0.0111822+0.00570475j -0.00276928-0.0123727j 0.00872322-0.00714107j -0.00556701-0.00579661j 0.0227505-0.0101133j 0.00693463+0.00502124j 0.0132269+0.00365129j -0.011835+0.00838793j 
