0.0617549-0.229691j -0.24458-0.0899623j 0.0743661-0.119975j 0.039111-0.0101516j -0.0110258+0.0330154j 0.0391803+0.117414j 0.00495358-0.0962257j -0.165709+0.208953j 0.278575-0.093095j 0.216981+0.184607j -0.0477325+0.171314j -0.391561-0.104265j -0.0257681+0.112257j -0.0537322-0.295362j -0.0715698+0.239359j 0.00533173-0.267427j 0.214731-0.0594315j -0.101902-0.0467912j 0.0395955-0.0293653j 0.177385-0.0564172j 0.0481776+0.0338092j 0.0730289+0.0687649j -0.00244047-0.0578646j 0.0165987+0.0339919j -0.0297636-0.0369945j 0.058832-0.0385071j -0.0157358+0.00219074j -0.0188003-0.0924923j -0.0619339-0.0777002j -0.00639539+0.0592548j -0.0665733+0.0171568j -0.0113652-0.0589323j 0.131667-0.0185364j -0.0058328-0.134293j 
-0.00245257+0.00469462j -0.00768242-0.0083635j -0.00069651+0.0105633j 0.000207014+0.0289718j -0.0280401-0.0170708j -0.0147016-0.0101557j 0.0104426-0.0064229j -0.0270367-0.00964458j -0.0386901+0.00604134j 0.0148183-0.00891273j 0.000950601+0.0273523j 0.00435063-0.00451691j 0.0102393-0.00239701j 0.0199972+0.0174425j 0.0056855+0.00298632j -0.0296565+0.0144176j -0.0319019-0.00377148j 0.00380904+0.0192523j 0.00281499-0.01863j 0.00588009-0.0115629j -0.0154064-0.0141444j -0.0218782-0.0289249j -0.00383531-0.00450774j 0.00729954-0.0316208j 0.0336928-0.0192166j -0.000789354+0.00335388j 0.00798375+0.00283756j -0.00591153+0.00786264j -0.0227757+0.0197511j -0.00270507-0.0145137j 0.0126269+0.00602245j 0.021906+0.00752502j -0.00257627+0.0404915j 0.0144937+0.0162664j 
-0.0148562-0.0251666j -0.0262352+0.00163039j 0.00140117+0.00145394j 0.0120547-0.0240651j 0.0102524-0.0322981j -0.00226046-0.00580331j -0.00457745-0.00905829j -0.0125256-0.0279444j -0.0105237+0.000443218j -0.0103584-0.011376j -0.0127037+0.0329307j -0.000324744-0.00882481j -0.0138583-0.0135338j -0.00263838-0.0164488j -0.00471253+0.00555614j -0.0069825+0.0194772j -0.0118433-0.0149514j -0.0283329-0.0164032j 0.0248194+0.0474382j 0.0125077-0.0224955j 0.000830917+0.0084731j -0.00687283+0.00758145j -0.0114535-0.038712j -0.0176435-0.00826193j 0.00309165+0.00222082j -0.0309167+0.0298415j 0.0179397-0.0104448j 0.0188991+0.0142815j 0.00198151+0.00212222j 0.0163338-0.0120335j 0.0184467-0.0187611j -0.00745172+0.026384j 0.032105-0.00831163j -0.00336652-0.0354276j 
-0.0010643-0.00733519j -0.0167461-0.00924707j -0.0106716+0.0117719j 0.0185328+0.0090468j -0.0130744-0.00786284j 0.000915575-0.00224704j 0.00282573-0.00860871j 0.00352122+0.00654788j 0.0182631-0.00503123j -0.00780215+0.0176144j -0.00880527-0.00360955j 0.00588112+0.0161014j -0.0142543-0.022426j -0.00327726-0.00458107j 0.0112171+0.0333452j -0.00760513+0.0192869j 0.0045301+0.00423723j -0.0118422+0.0158663j 0.0142105+0.00114678j 0.0323986+0.010548j -0.0168711+0.0277684j -0.0259738-0.0388755j -0.0242511-0.0362022j -0.0118696-0.0279764j 0.0482363-0.0390345j -0.0297289+0.00263101j -0.016743-0.0033427j -0.0122433-0.000821863j -0.0226324-0.00985788j -0.0115944-0.0237102j 0.0119157-0.031064j -0.00828541-0.00252509j 0.00323363-0.00541075j 0.00811071-0.00964386j 
-0.0215347+0.0014475j 0.00213383-0.0105644j -0.0138561-0.00569246j 0.0123327-0.0330845j -0.000490057-0.0182755j -0.0139305+0.0184163j 0.0117669+0.00361584j -0.0060097-0.0105872j 0.0157909-0.00482811j 0.00884508+0.0119985j -0.0214994+0.0167273j 0.00387112+0.00327815j 0.000512681+0.000768898j -0.00647883+0.00415518j -0.0080447-0.0110334j -0.00670391-0.0113444j 0.00581715+0.00508714j -0.0261667-0.0186028j -0.00746633-0.00387206j -0.0113335-0.00600087j 0.00620758+0.0194886j -0.00967736-0.00980496j 0.00390801+0.0424685j -0.0202217+0.0396142j -0.0119608+0.000171915j 0.0208134-0.0374069j 0.0110696-0.00654019j -0.0149065-0.0142752j 0.00214838+0.000899078j 0.0137397+0.000242123j 0.00231748+0.0127778j -0.00479643+0.00524294j 0.000391058+0.00592212j -0.00740706+0.00190536j 
0.00218744-0.00623989j 0.00686391-0.00527404j 0.00100805-0.0066953j -0.0205697-0.026051j 0.0207964+0.00365263j 0.00476979+0.00140087j -0.00258839+0.0132323j -0.0160677-0.0132713j 0.00741938-0.00032642j 0.00248303+0.0178223j 0.00360553-0.000682381j -0.00289958+0.00768459j -0.00176563-0.000800804j -0.00898426-0.00498316j 0.0113797+0.0137696j -0.00452229-0.00229321j -0.00897232-0.00900909j 0.000241532+0.0187782j 0.00393561+0.0112427j -0.00880959+0.00215852j -0.0327929+0.000380709j -0.012464+0.00158384j 0.00938958-0.0290433j -0.000753949-0.043825j 0.0302847+0.0174986j -0.0132985+0.0368248j -0.000489618-0.035167j -0.00572546+0.0164071j -0.0229379+0.0153623j -0.0115379+0.00417516j -0.00426011-0.0134499j 0.0238487+0.009821j 0.00707494+0.0100699j 0.000866837-0.0171909j 
0.00259079+0.000795901j 0.00327523+0.010219j -0.00814297-0.00375307j 0.00314341-0.00999444j -0.00491828-0.00755951j -0.00502077+0.00475888j 0.00871047-0.00182468j 0.0121884+0.00508797j 0.00782722-0.00477877j 0.00768936+0.0126531j -0.00889427-0.0110667j -0.0128645-0.00802686j -0.0133328+0.0103336j 0.0122597+0.0216904j 0.0265659-0.00574262j 0.00635919-0.0214222j -0.00368557+0.0135172j 0.0435125+0.0229917j 0.0055098+0.0050589j -0.00131895+0.012002j -0.0254701-0.05341j 0.0279802+0.0205176j -0.0135653+0.00533958j 0.0390829-0.0305208j 0.00940333-0.0266388j -0.0212933-0.00948897j -0.00485096+0.00355872j 0.0356805-0.0378235j -0.0197889+0.0339679j -0.0197215-0.0150636j -0.00641813+0.0184768j 0.00253943-0.0255132j -0.00431909+0.00801237j -0.00525915+0.00548431j 
0.00196189+0.0176463j -0.0128322-0.0114196j -0.0129112+0.00299252j 0.00552704-0.00585162j -0.00487094+0.000607146j -0.00753114+0.0185318j 0.0157748+0.00153834j -0.0105409+0.0193554j -0.0241765+0.0017139j -0.00758969-0.015686j 0.0199323-0.0129322j -0.022298-0.00828022j 0.00383587-0.0049953j 0.000447598+0.00602609j -0.0134522+0.0165521j -0.00492424-0.018716j -0.0106916-0.000750295j -0.00617935+0.0024419j 0.00938895+0.0326257j 0.0287262-0.00613841j 0.00428215-0.00346285j -0.00562782+0.00389721j -0.0145742+0.0375953j -0.00486665-0.0177075j 0.00282436-0.0160397j -0.028946+0.00574939j 0.00582371-0.000278444j 0.0034104+0.0199245j 0.0056041-0.00548405j -0.00366065-0.00331412j -0.00573259-0.00134418j 0.000962537-0.0138865j 0.000771608-0.00066371j 0.00307432+0.00276718j 
0.00772188+0.006822j 0.00172151+0.0119255j 0.00908131+0.00946078j 0.0173156+0.0147278j -0.0202455-5.53948e-06j -0.00454007-0.0100194j 0.00753366-0.00129778j -0.00194144-0.0072766j 0.00424202-0.0102031j -0.0014224+0.0295667j 0.000535119-0.0138695j 0.0141801+0.00353722j -0.00568661-0.00604881j -0.0214896+0.0211934j -0.0047695+0.0084052j -0.00393379-0.016806j -0.0160643-0.0116585j -0.0204619-0.0094805j -0.00124092+0.0155391j -0.00968011+3.98021e-05j 0.00101864+0.00545918j -0.0174667-0.00209366j 0.0200203+0.0707737j -0.01592+0.0187272j 0.000295435+0.0169396j 0.00316567-0.0198212j 0.00946202-0.020237j -0.020193+0.0109496j 0.00607725+0.00822789j 0.00374579-0.00265961j 0.00857046+0.0183763j 0.0156646+0.00458932j 0.000564155+0.00529491j 0.00712036-0.00175659j 
0.00922112-0.000385018j 0.00931428+0.0127253j 0.00996089-0.0204265j -0.0153223+0.00685631j 0.0265338+0.00112055j 0.0133396-0.00458296j -0.0113855+0.00150592j 0.0134116+0.0114188j -0.0173868+0.0103966j -0.00623674-0.0120163j -0.0160401+0.00334035j -0.0246967-0.018419j 0.0097825-0.0193018j -0.0123025+0.00905883j -0.0124925-0.00111172j 0.0239688-0.0410607j 0.00342115+0.006549j -0.0302487+0.0271533j -0.00867417+0.0182595j 0.00753307+0.00197621j -0.0194763+0.0381538j -0.0293277-0.0167031j -0.00120695+0.0458614j -0.0270716-0.00592354j 0.017228-0.0349732j -0.0269295-0.0535382j -0.0126376-0.0249708j -0.00454211-0.0141661j -0.0154855-0.00686374j -0.00169683+0.00100703j -0.0215529-0.00958761j -0.00714657+0.00864313j 0.00580837-0.00864133j -0.0150201-0.0139069j 
0.0114596-0.00201223j 0.0156426+0.00666281j -0.000739183+0.0101462j -0.00259059+0.023988j -0.00796082+0.00582321j 0.010132-0.0212449j -0.0072463+0.00798502j 0.0248748-0.0105996j 0.00751761-0.00182554j 0.00634056-0.0107371j -0.00505377+0.00608431j 0.0033935+0.00755j -0.0115222+0.0250862j 0.00417923-0.0112039j 0.000244042+0.0186688j 0.0114759+0.00685927j 0.0251423+0.00320891j 0.00206108-0.022674j -0.0313527-0.00271505j -0.002568+0.0130835j 0.0187225+0.0110022j -0.0200722+0.00358692j -0.00386104-0.0255892j -0.00694274+0.000698575j -0.002479+0.0214553j 0.0100071+0.0188626j 0.00691214+0.0144749j -0.000732372+0.0227216j 0.00106235+0.00866798j 0.000774576-0.000888763j 0.0183624-0.00810765j -0.0101208+0.0176987j -0.0167022-0.00775259j -0.0115197+0.00398512j 
0.0102109-0.00496065j -0.0444184+0.0101048j -0.0124382+0.0082708j 0.023779-0.0167707j 0.0118065-0.0162705j 0.00858194+0.0133529j 0.00680316-0.00524135j 0.0206356+0.00770018j 0.0114676+0.00652867j -0.00849026+0.002385j -0.00776278-0.00954089j -0.0110404-0.0131599j -0.0199522+0.00789364j 0.00227976-0.0198758j 0.00707244+0.0182163j 0.00804654+0.00335089j 0.0268294-0.02947j 0.0234647-0.00495781j -0.0100929-0.0243023j -0.00432791+0.0248207j 0.00501083-0.0098192j 0.0115284-0.00775794j -0.00687186-0.00345549j 0.0176789-0.00169854j 0.0154968+0.00500059j 0.0169185+0.00833667j -0.0125068+0.0270253j -0.0048923-0.0282521j -0.00233075+0.00883982j -0.00983307-0.0270984j 0.0226776+0.0139651j 0.00652869+0.00969965j 0.0217602-0.00225675j 0.00107505-0.0201115j 
0.0190141-0.00543262j 0.0181763-0.00110449j 0.00158233+0.0106747j 0.00248556+0.0241251j -0.0208199+0.00630999j -0.0129347-0.00773811j 0.0176479-0.00317016j -0.00406555+0.00376884j -0.0175858+0.0175896j 0.011054-0.018867j 0.00907985-0.0191699j -0.00347998+0.0100691j 0.00758405+0.0237202j 0.00809161+0.0132249j 0.00855018+0.0172404j -0.0173943+0.0179991j -0.011304+0.0136674j -0.0144583-0.0162774j 0.00974598-0.0172755j -0.00689071-0.0254467j 0.0095612+0.000543115j -0.00490999-0.0186155j 0.00554033-0.0271876j -0.0106806+0.00905023j 0.00271862+0.00797113j 0.0214488+0.0248375j 0.0206995+0.000832409j -0.00087347+0.00788141j -0.0112215-0.0208396j -0.00685404+0.00669259j 0.00852903-0.012558j 0.0237281-0.0213651j -0.041474+0.00893932j 0.00822929+0.0346403j 
0.00255486+0.0528738j 0.0238934-0.0317513j -0.00487587-0.00198177j -0.00943786+0.0172211j 0.001285+0.0501403j -0.00544359+0.004542j 0.00804881+0.0207608j 0.0116873+0.0307215j -0.00297914-0.0202181j 0.0123648+0.0161404j 0.00504657-0.035616j 0.0214396+0.0205262j 0.022494+0.00589322j -0.00441877+0.00842606j 0.00610907+0.00541291j -0.00682936-0.0159889j 0.0264038+0.0314451j 0.0164803+0.0181376j -0.0174734-0.00644858j 0.0247014-0.0112092j -0.00738804-0.00850183j -0.00279068+0.000886047j 0.0346083+0.0361376j -0.0172636-0.0215267j 0.00315068+0.000928991j 0.0135951+0.012818j 0.0120517+0.00616664j 0.00891907+0.0298321j -4.37381e-05-0.0215269j -0.0167029+0.0196953j -0.017991-0.00592049j -0.0128591+0.000997974j -0.036365+0.00332452j -0.0042309+0.0332138j 
