0.00302215-0j -0.0468069-0j 0.026819-0j -0.108166-0j -0.0785322-0j 0.0579526-0j -0.0211587-0j 0.165286-0j -0.142946-0j -0.0152122-0j 0.0290373-0j 0.0709749-0j 0.181553-0j -0.126819-0j -0.306851-0j -0.07148-0j 0.0879064-0j -0.145732-0j 0.0732112-0j 0.22393-0j -0.0274178-0j -0.147502-0j 0.107922-0j -0.114679-0j 0.115697-0j -0.0568039-0j -0.257925-0j -0.0893113-0j 0.208574-0j 0.073405-0j 0.11525-0j -0.202054-0j -0.00978351-0j -0.0411665-0j 0.049774-0j 0.00142976-0j -0.0306447-0j -0.0140446-0j -0.00683347-0j 0.00604665-0j 0.0423208-0j 0.0109063-0j 0.0907715-0j 0.0605299-0j 0.237034-0j 0.0307575-0j -0.096179-0j 0.0841124-0j 0.268596-0j 0.0356012-0j -0.150783-0j 0.0609695-0j -0.0917696-0j 0.0583281-0j -0.122175-0j -0.163139-0j -0.00144442-0j 0.184395-0j -0.0764138-0j 0.133025-0j -0.0544432-0j 0.0611429-0j 0.231172-0j 0.10719-0j -0.113826-0j 0.0425258-0j -0.0120505-0j 0.00125473-0j -0.127491-0j 0.142694-0j -0.019797-0j 0.0481733-0j -0.0708144-0j 0.0990736-0j 0.0251009-0j 0.044335-0j 0.00301217-0j 
1.11353e-19-0j -1.72462e-18-0j 9.88161e-19-0j -3.98545e-18-0j -2.89356e-18-0j 2.13529e-18-0j -7.79602e-19-0j 6.09004e-18-0j -5.26693e-18-0j -5.605e-19-0j 1.06989e-18-0j 2.61511e-18-0j 6.68943e-18-0j -4.67271e-18-0j -1.13061e-17-0j -2.63372e-18-0j 3.23895e-18-0j -5.36957e-18-0j 2.6975e-18-0j 8.2508e-18-0j -1.01022e-18-0j -5.43479e-18-0j 3.97643e-18-0j -4.22541e-18-0j 4.2629e-18-0j -2.09297e-18-0j -9.50337e-18-0j -3.29072e-18-0j 7.68501e-18-0j 2.70464e-18-0j 4.24644e-18-0j -7.44478e-18-0j -3.60478e-19-0j -1.5168e-18-0j 1.83395e-18-0j 5.26804e-20-0j -1.12912e-18-0j -5.17479e-19-0j -2.51783e-19-0j 2.22792e-19-0j 1.55933e-18-0j 4.01847e-19-0j 3.34452e-18-0j 2.23026e-18-0j 8.73363e-18-0j 1.13327e-18-0j -3.54376e-18-0j 3.09916e-18-0j 9.89654e-18-0j 1.31175e-18-0j -5.55568e-18-0j 2.24645e-18-0j -3.3813e-18-0j 2.14913e-18-0j -4.50159e-18-0j -6.01092e-18-0j -5.32205e-20-0j 6.79412e-18-0j -2.8155e-18-0j 4.90138e-18-0j -2.00599e-18-0j 2.25284e-18-0j 8.51763e-18-0j 3.94947e-18-0j -4.19398e-18-0j 1.56688e-18-0j -4.44007e-19-0j 4.62311e-20-0j -4.69749e-18-0j 5.25763e-18-0j -7.29431e-19-0j 1.77497e-18-0j -2.60919e-18-0j 3.65042e-18-0j 9.24856e-19-0j 1.63355e-18-0j 1.10985e-19-0j 
-7.80827e-06-0j 0.000120934-0j -6.92918e-05-0j 0.000279467-0j 0.000202902-0j -0.000149731-0j 5.46672e-05-0j -0.000427046-0j 0.000369327-0j 3.93033e-05-0j -7.50231e-05-0j -0.000183376-0j -0.000469076-0j 0.00032766-0j 0.000792804-0j 0.000184681-0j -0.000227122-0j 0.000376525-0j -0.000189154-0j -0.000578562-0j 7.08389e-05-0j 0.000381098-0j -0.000278835-0j 0.000296294-0j -0.000298923-0j 0.000146763-0j 0.000666395-0j 0.000230752-0j -0.000538888-0j -0.000189655-0j -0.000297768-0j 0.000522042-0j 2.52774e-05-0j 0.000106361-0j -0.0001286-0j -3.69405e-06-0j 7.91761e-05-0j 3.62866e-05-0j 1.76555e-05-0j -1.56226e-05-0j -0.000109343-0j -2.81783e-05-0j -0.000234524-0j -0.00015639-0j -0.000612419-0j -7.94674e-05-0j 0.000248496-0j -0.000217319-0j -0.000693965-0j -9.19822e-05-0j 0.000389575-0j -0.000157526-0j 0.000237103-0j -0.000150701-0j 0.00031566-0j 0.000421498-0j 3.73193e-06-0j -0.000476417-0j 0.000197429-0j -0.000343694-0j 0.000140664-0j -0.000157974-0j -0.000597273-0j -0.000276945-0j 0.00029409-0j -0.000109873-0j 3.11346e-05-0j -3.24181e-06-0j 0.000329397-0j -0.000368675-0j 5.11491e-05-0j -0.000124464-0j 0.000182962-0j -0.000255974-0j -6.48527e-05-0j -0.000114547-0j -7.78249e-06-0j 
-2.81467e-06-0j 4.35934e-05-0j -2.49778e-05-0j 0.00010074-0j 7.31407e-05-0j -5.3974e-05-0j 1.97061e-05-0j -0.000153938-0j 0.000133132-0j 1.41678e-05-0j -2.70438e-05-0j -6.61022e-05-0j -0.000169089-0j 0.000118112-0j 0.000285784-0j 6.65726e-05-0j -8.18713e-05-0j 0.000135727-0j -6.81849e-05-0j -0.000208556-0j 2.55355e-05-0j 0.000137376-0j -0.000100512-0j 0.000106806-0j -0.000107754-0j 5.29041e-05-0j 0.000240217-0j 8.31797e-05-0j -0.000194254-0j -6.83655e-05-0j -0.000107337-0j 0.000188182-0j 9.11184e-06-0j 3.83403e-05-0j -4.63568e-05-0j -1.3316e-06-0j 2.85408e-05-0j 1.30804e-05-0j 6.36432e-06-0j -5.63152e-06-0j -3.94153e-05-0j -1.01575e-05-0j -8.45397e-05-0j -5.63743e-05-0j -0.000220761-0j -2.86458e-05-0j 8.95759e-05-0j -7.83377e-05-0j -0.000250155-0j -3.31571e-05-0j 0.000140431-0j -5.67837e-05-0j 8.54693e-05-0j -5.43236e-05-0j 0.000113787-0j 0.000151939-0j 1.34526e-06-0j -0.000171735-0j 7.11677e-05-0j -0.000123892-0j 5.07055e-05-0j -5.69452e-05-0j -0.000215301-0j -9.9831e-05-0j 0.000106012-0j -3.96062e-05-0j 1.12232e-05-0j -1.16859e-06-0j 0.000118739-0j -0.000132897-0j 1.84379e-05-0j -4.4866e-05-0j 6.59527e-05-0j -9.22718e-05-0j -2.33776e-05-0j -4.12913e-05-0j -2.80538e-06-0j 
-1.40587e-05-0j 0.00021774-0j -0.000124759-0j 0.000503177-0j 0.000365322-0j -0.000269589-0j 9.84276e-05-0j -0.00076889-0j 0.000664969-0j 7.07651e-05-0j -0.000135078-0j -0.000330167-0j -0.000844565-0j 0.000589947-0j 0.00142743-0j 0.000332516-0j -0.00040893-0j 0.000677928-0j -0.000340569-0j -0.00104169-0j 0.000127544-0j 0.000686162-0j -0.000502039-0j 0.000533473-0j -0.000538207-0j 0.000264245-0j 0.00119983-0j 0.000415465-0j -0.00097026-0j -0.000341471-0j -0.000536128-0j 0.00093993-0j 4.55117e-05-0j 0.000191502-0j -0.000231543-0j -6.65109e-06-0j 0.000142555-0j 6.53336e-05-0j 3.17885e-05-0j -2.81283e-05-0j -0.000196871-0j -5.07346e-05-0j -0.000422258-0j -0.000281578-0j -0.00110265-0j -0.00014308-0j 0.000447413-0j -0.000391281-0j -0.00124947-0j -0.000165613-0j 0.000701425-0j -0.000283623-0j 0.000426901-0j -0.000271335-0j 0.000568342-0j 0.000758901-0j 6.71928e-06-0j -0.000857782-0j 0.000355468-0j -0.000618817-0j 0.000253263-0j -0.000284429-0j -0.00107538-0j -0.000498635-0j 0.000529505-0j -0.000197825-0j 5.60575e-05-0j -5.83684e-06-0j 0.000593075-0j -0.000663794-0j 9.20933e-05-0j -0.000224096-0j 0.00032942-0j -0.000460879-0j -0.000116766-0j -0.000206241-0j -1.40123e-05-0j 
-2.63963e-19-0j 4.08824e-18-0j -2.34245e-18-0j 9.44755e-18-0j 6.85922e-18-0j -5.06174e-18-0j 1.84806e-18-0j -1.44365e-17-0j 1.24853e-17-0j 1.32867e-18-0j -2.5362e-18-0j -6.19915e-18-0j -1.58574e-17-0j 1.10767e-17-0j 2.68012e-17-0j 6.24326e-18-0j -7.67799e-18-0j 1.27286e-17-0j -6.39447e-18-0j -1.95586e-17-0j 2.39475e-18-0j 1.28833e-17-0j -9.42618e-18-0j 1.00164e-17-0j -1.01053e-17-0j 4.96141e-18-0j 2.25279e-17-0j 7.8007e-18-0j -1.82174e-17-0j -6.4114e-18-0j -1.00662e-17-0j 1.76479e-17-0j 8.54519e-19-0j 3.5956e-18-0j -4.3474e-18-0j -1.2488e-19-0j 2.67659e-18-0j 1.22669e-18-0j 5.96854e-19-0j -5.28131e-19-0j -3.69642e-18-0j -9.52583e-19-0j -7.92824e-18-0j -5.28685e-18-0j -2.07032e-17-0j -2.68644e-18-0j 8.40054e-18-0j -7.34661e-18-0j -2.34599e-17-0j -3.10951e-18-0j 1.31698e-17-0j -5.32524e-18-0j 8.01541e-18-0j -5.09454e-18-0j 1.06711e-17-0j 1.4249e-17-0j 1.2616e-19-0j -1.61055e-17-0j 6.67419e-18-0j -1.16188e-17-0j 4.75522e-18-0j -5.34039e-18-0j -2.01912e-17-0j -9.36227e-18-0j 9.94189e-18-0j -3.71432e-18-0j 1.05252e-18-0j -1.09591e-19-0j 1.11355e-17-0j -1.24633e-17-0j 1.72913e-18-0j -4.20759e-18-0j 6.18513e-18-0j -8.65337e-18-0j -2.19238e-18-0j -3.87235e-18-0j -2.63092e-19-0j 
8.01432e-06-0j -0.000124125-0j 7.11203e-05-0j -0.000286842-0j -0.000208256-0j 0.000153682-0j -5.61098e-05-0j 0.000438315-0j -0.000379073-0j -4.03405e-05-0j 7.70028e-05-0j 0.000188215-0j 0.000481454-0j -0.000336306-0j -0.000813724-0j -0.000189555-0j 0.000233115-0j -0.000386461-0j 0.000194146-0j 0.000593829-0j -7.27081e-05-0j -0.000391155-0j 0.000286193-0j -0.000304113-0j 0.000306811-0j -0.000150636-0j -0.000683979-0j -0.000236841-0j 0.000553108-0j 0.00019466-0j 0.000305626-0j -0.000535818-0j -2.59445e-05-0j -0.000109168-0j 0.000131993-0j 3.79153e-06-0j -8.12654e-05-0j -3.72442e-05-0j -1.81214e-05-0j 1.60348e-05-0j 0.000112229-0j 2.89219e-05-0j 0.000240713-0j 0.000160517-0j 0.00062858-0j 8.15644e-05-0j -0.000255053-0j 0.000223054-0j 0.000712277-0j 9.44094e-05-0j -0.000399855-0j 0.000161682-0j -0.00024336-0j 0.000154678-0j -0.00032399-0j -0.00043262-0j -3.8304e-06-0j 0.000488988-0j -0.000202638-0j 0.000352763-0j -0.000144376-0j 0.000162142-0j 0.000613034-0j 0.000284253-0j -0.000301851-0j 0.000112772-0j -3.19562e-05-0j 3.32736e-06-0j -0.000338089-0j 0.000378404-0j -5.24989e-05-0j 0.000127749-0j -0.00018779-0j 0.000262729-0j 6.6564e-05-0j 0.00011757-0j 7.98786e-06-0j 
-2.246e-19-0j 3.47859e-18-0j -1.99314e-18-0j 8.0387e-18-0j 5.83635e-18-0j -4.30692e-18-0j 1.57247e-18-0j -1.22837e-17-0j 1.06235e-17-0j 1.13054e-18-0j -2.15799e-18-0j -5.27471e-18-0j -1.34927e-17-0j 9.42493e-18-0j 2.28045e-17-0j 5.31225e-18-0j -6.53302e-18-0j 1.08305e-17-0j -5.4409e-18-0j -1.6642e-17-0j 2.03764e-18-0j 1.09621e-17-0j -8.02052e-18-0j 8.52271e-18-0j -8.59833e-18-0j 4.22155e-18-0j 1.91684e-17-0j 6.63743e-18-0j -1.55008e-17-0j -5.45531e-18-0j -8.56513e-18-0j 1.50162e-17-0j 7.2709e-19-0j 3.05941e-18-0j -3.6991e-18-0j -1.06257e-19-0j 2.27745e-18-0j 1.04376e-18-0j 5.07849e-19-0j -4.49374e-19-0j -3.14519e-18-0j -8.10531e-19-0j -6.74595e-18-0j -4.49846e-18-0j -1.76159e-17-0j -2.28583e-18-0j 7.14782e-18-0j -6.25106e-18-0j -1.99615e-17-0j -2.64581e-18-0j 1.12059e-17-0j -4.53113e-18-0j 6.82013e-18-0j -4.33482e-18-0j 9.07976e-18-0j 1.21241e-17-0j 1.07347e-19-0j -1.37038e-17-0j 5.67892e-18-0j -9.88615e-18-0j 4.04611e-18-0j -4.54401e-18-0j -1.71802e-17-0j -7.96614e-18-0j 8.45932e-18-0j -3.16043e-18-0j 8.95568e-19-0j -9.32487e-20-0j 9.4749e-18-0j -1.06047e-17-0j 1.47127e-18-0j -3.58014e-18-0j 5.26278e-18-0j -7.36295e-18-0j -1.86545e-18-0j -3.29489e-18-0j -2.23859e-19-0j 
2.60582e-06-0j -4.03587e-05-0j 2.31244e-05-0j -9.32653e-05-0j -6.77135e-05-0j 4.9969e-05-0j -1.82438e-05-0j 0.000142516-0j -0.000123254-0j -1.31165e-05-0j 2.50371e-05-0j 6.11974e-05-0j 0.000156543-0j -0.000109348-0j -0.000264579-0j -6.16329e-05-0j 7.57963e-05-0j -0.000125656-0j 6.31255e-05-0j 0.000193081-0j -2.36407e-05-0j -0.000127182-0j 9.30543e-05-0j -9.88808e-05-0j 9.97581e-05-0j -4.89785e-05-0j -0.000222393-0j -7.70077e-05-0j 0.00017984-0j 6.32927e-05-0j 9.93729e-05-0j -0.000174219-0j -8.43573e-06-0j -3.54954e-05-0j 4.29171e-05-0j 1.2328e-06-0j -2.64231e-05-0j -1.21098e-05-0j -5.89208e-06-0j 5.21366e-06-0j 3.64907e-05-0j 9.40381e-06-0j 7.82668e-05-0j 5.21913e-05-0j 0.00020438-0j 2.65203e-05-0j -8.29293e-05-0j 7.2525e-05-0j 0.000231594-0j 3.06968e-05-0j -0.000130011-0j 5.25703e-05-0j -7.91273e-05-0j 5.02927e-05-0j -0.000105344-0j -0.000140665-0j -1.24544e-06-0j 0.000158992-0j -6.5887e-05-0j 0.000114699-0j -4.69431e-05-0j 5.27198e-05-0j 0.000199325-0j 9.24234e-05-0j -9.81453e-05-0j 3.66674e-05-0j -1.03904e-05-0j 1.08187e-06-0j -0.000109928-0j 0.000123036-0j -1.70698e-05-0j 4.15369e-05-0j -6.1059e-05-0j 8.54252e-05-0j 2.1643e-05-0j 3.82274e-05-0j 2.59722e-06-0j 
-2.30424e-19-0j 3.56879e-18-0j -2.04482e-18-0j 8.24716e-18-0j 5.98769e-18-0j -4.4186e-18-0j 1.61325e-18-0j -1.26022e-17-0j 1.08989e-17-0j 1.15985e-18-0j -2.21395e-18-0j -5.41149e-18-0j -1.38426e-17-0j 9.66933e-18-0j 2.33959e-17-0j 5.45e-18-0j -6.70243e-18-0j 1.11114e-17-0j -5.58199e-18-0j -1.70735e-17-0j 2.09047e-18-0j 1.12463e-17-0j -8.2285e-18-0j 8.74372e-18-0j -8.8213e-18-0j 4.33102e-18-0j 1.96655e-17-0j 6.80955e-18-0j -1.59027e-17-0j -5.59677e-18-0j -8.78723e-18-0j 1.54056e-17-0j 7.45945e-19-0j 3.13874e-18-0j -3.79502e-18-0j -1.09012e-19-0j 2.33651e-18-0j 1.07083e-18-0j 5.21018e-19-0j -4.61027e-19-0j -3.22675e-18-0j -8.31549e-19-0j -6.92088e-18-0j -4.61511e-18-0j -1.80727e-17-0j -2.3451e-18-0j 7.33317e-18-0j -6.41315e-18-0j -2.04791e-17-0j -2.71442e-18-0j 1.14965e-17-0j -4.64862e-18-0j 6.99698e-18-0j -4.44723e-18-0j 9.31521e-18-0j 1.24385e-17-0j 1.1013e-19-0j -1.40592e-17-0j 5.82618e-18-0j -1.01425e-17-0j 4.15103e-18-0j -4.66184e-18-0j -1.76257e-17-0j -8.17271e-18-0j 8.67868e-18-0j -3.24238e-18-0j 9.18791e-19-0j -9.56668e-20-0j 9.72059e-18-0j -1.08797e-17-0j 1.50943e-18-0j -3.67298e-18-0j 5.39925e-18-0j -7.55388e-18-0j -1.91382e-18-0j -3.38033e-18-0j -2.29663e-19-0j 
-4.22105e-19-0j 6.53753e-18-0j -3.74582e-18-0j 1.51076e-17-0j 1.09686e-17-0j -8.09426e-18-0j 2.95524e-18-0j -2.30855e-17-0j 1.99653e-17-0j 2.12469e-18-0j -4.05565e-18-0j -9.91309e-18-0j -2.53576e-17-0j 1.77129e-17-0j 4.28579e-17-0j 9.98364e-18-0j -1.22779e-17-0j 2.03544e-17-0j -1.02254e-17-0j -3.12763e-17-0j 3.82946e-18-0j 2.06017e-17-0j -1.50735e-17-0j 1.60173e-17-0j -1.61594e-17-0j 7.93382e-18-0j 3.60244e-17-0j 1.24741e-17-0j -2.91316e-17-0j -1.02525e-17-0j -1.6097e-17-0j 2.82209e-17-0j 1.36647e-18-0j 5.74974e-18-0j -6.95195e-18-0j -1.99696e-19-0j 4.28016e-18-0j 1.96161e-18-0j 9.54433e-19-0j -8.44537e-19-0j -5.91096e-18-0j -1.52328e-18-0j -1.26781e-17-0j -8.45424e-18-0j -3.31066e-17-0j -4.2959e-18-0j 1.34333e-17-0j -1.1748e-17-0j -3.75148e-17-0j -4.97244e-18-0j 2.10599e-17-0j -8.51563e-18-0j 1.28175e-17-0j -8.1467e-18-0j 1.70642e-17-0j 2.27856e-17-0j 2.01743e-19-0j -2.57545e-17-0j 1.06727e-17-0j -1.85797e-17-0j 7.6041e-18-0j -8.53985e-18-0j -3.22878e-17-0j -1.49713e-17-0j 1.58981e-17-0j -5.93959e-18-0j 1.6831e-18-0j -1.75248e-19-0j 1.78068e-17-0j -1.99301e-17-0j 2.76506e-18-0j -6.72838e-18-0j 9.89067e-18-0j -1.38376e-17-0j -3.50585e-18-0j -6.19229e-18-0j -4.20711e-19-0j 
-1.08485e-06-0j 1.68021e-05-0j -9.62712e-06-0j 3.88281e-05-0j 2.81904e-05-0j -2.0803e-05-0j 7.59525e-06-0j -5.9332e-05-0j 5.13128e-05-0j 5.46065e-06-0j -1.04234e-05-0j -2.54776e-05-0j -6.51715e-05-0j 4.55237e-05-0j 0.000110149-0j 2.56589e-05-0j -3.15554e-05-0j 5.23129e-05-0j -2.62803e-05-0j -8.03831e-05-0j 9.84207e-06-0j 5.29483e-05-0j -3.87402e-05-0j 4.11659e-05-0j -4.15311e-05-0j 2.03907e-05-0j 9.25862e-05-0j 3.20597e-05-0j -7.48709e-05-0j -2.63499e-05-0j -4.13708e-05-0j 7.25305e-05-0j 3.51195e-06-0j 1.47774e-05-0j -1.78672e-05-0j -5.13236e-07-0j 1.10004e-05-0j 5.04152e-06-0j 2.45298e-06-0j -2.17054e-06-0j -1.51917e-05-0j -3.91498e-06-0j -3.25839e-05-0j -2.17282e-05-0j -8.50871e-05-0j -1.10409e-05-0j 3.4525e-05-0j -3.01935e-05-0j -9.64167e-05-0j -1.27796e-05-0j 5.4126e-05-0j -2.1886e-05-0j 3.29422e-05-0j -2.09378e-05-0j 4.38565e-05-0j 5.85612e-05-0j 5.18499e-07-0j -6.61914e-05-0j 2.743e-05-0j -4.77515e-05-0j 1.95433e-05-0j -2.19482e-05-0j -8.29827e-05-0j -3.84776e-05-0j 4.08597e-05-0j -1.52653e-05-0j 4.32572e-06-0j -4.50404e-07-0j 4.57651e-05-0j -5.12222e-05-0j 7.10646e-06-0j -1.72926e-05-0j 2.542e-05-0j -3.55641e-05-0j -9.01038e-06-0j -1.59148e-05-0j -1.08127e-06-0j 
-9.31103e-06-0j 0.000144209-0j -8.26275e-05-0j 0.000333253-0j 0.000241952-0j -0.000178548-0j 6.51884e-05-0j -0.000509234-0j 0.000440407-0j 4.68676e-05-0j -8.94619e-05-0j -0.000218669-0j -0.000559353-0j 0.00039072-0j 0.000945385-0j 0.000220225-0j -0.000270833-0j 0.00044899-0j -0.000225558-0j -0.000689911-0j 8.44723e-05-0j 0.000454444-0j -0.000332499-0j 0.000353318-0j -0.000356453-0j 0.000175009-0j 0.000794647-0j 0.000275162-0j -0.000642601-0j -0.000226155-0j -0.000355076-0j 0.000622513-0j 3.01423e-05-0j 0.000126831-0j -0.00015335-0j -4.405e-06-0j 9.44141e-05-0j 4.32703e-05-0j 2.10534e-05-0j -1.86293e-05-0j -0.000130387-0j -3.36014e-05-0j -0.000279661-0j -0.000186488-0j -0.000730284-0j -9.47615e-05-0j 0.00029632-0j -0.000259144-0j -0.000827524-0j -0.000109685-0j 0.000464552-0j -0.000187843-0j 0.000282735-0j -0.000179705-0j 0.000376411-0j 0.000502618-0j 4.45016e-06-0j -0.000568107-0j 0.000235425-0j -0.000409841-0j 0.000167736-0j -0.000188377-0j -0.000712223-0j -0.000330245-0j 0.00035069-0j -0.000131019-0j 3.71267e-05-0j -3.86572e-06-0j 0.000392792-0j -0.000439629-0j 6.09932e-05-0j -0.000148418-0j 0.000218174-0j -0.000305239-0j -7.73341e-05-0j -0.000136593-0j -9.28029e-06-0j 
-1.85797e-18-0j 2.87762e-17-0j -1.64879e-17-0j 6.64991e-17-0j 4.82804e-17-0j -3.56284e-17-0j 1.3008e-17-0j -1.01615e-16-0j 8.78812e-17-0j 9.35221e-18-0j -1.78517e-17-0j -4.36343e-17-0j -1.11616e-16-0j 7.79664e-17-0j 1.88647e-16-0j 4.39448e-17-0j -5.40435e-17-0j 8.95939e-17-0j -4.50091e-17-0j -1.37668e-16-0j 1.68561e-17-0j 9.06821e-17-0j -6.63487e-17-0j 7.0503e-17-0j -7.11285e-17-0j 3.49222e-17-0j 1.58568e-16-0j 5.49073e-17-0j -1.28228e-16-0j -4.51283e-17-0j -7.08538e-17-0j 1.2422e-16-0j 6.01476e-18-0j 2.53085e-17-0j -3.06003e-17-0j -8.78997e-19-0j 1.88399e-17-0j 8.63439e-18-0j 4.20111e-18-0j -3.71739e-18-0j -2.60182e-17-0j -6.70501e-18-0j -5.5805e-17-0j -3.72129e-17-0j -1.45725e-16-0j -1.89092e-17-0j 5.91294e-17-0j -5.1711e-17-0j -1.65129e-16-0j -2.18871e-17-0j 9.26992e-17-0j -3.74831e-17-0j 5.64186e-17-0j -3.58592e-17-0j 7.51111e-17-0j 1.00295e-16-0j 8.8801e-19-0j -1.13363e-16-0j 4.69781e-17-0j -8.17818e-17-0j 3.34709e-17-0j -3.75897e-17-0j -1.42121e-16-0j -6.58988e-17-0j 6.99786e-17-0j -2.61442e-17-0j 7.40847e-18-0j -7.71387e-19-0j 7.83798e-17-0j -8.7726e-17-0j 1.21709e-17-0j -2.96162e-17-0j 4.35356e-17-0j -6.0909e-17-0j -1.54317e-17-0j -2.72565e-17-0j -1.85184e-18-0j 
-7.70854e-19-0j 1.19389e-17-0j -6.84067e-18-0j 2.75898e-17-0j 2.0031e-17-0j -1.47818e-17-0j 5.3969e-18-0j -4.21591e-17-0j 3.6461e-17-0j 3.88013e-18-0j -7.40648e-18-0j -1.81034e-17-0j -4.63084e-17-0j 3.23474e-17-0j 7.82677e-17-0j 1.82322e-17-0j -2.24221e-17-0j 3.71715e-17-0j -1.86738e-17-0j -5.71172e-17-0j 6.9934e-18-0j 3.76231e-17-0j -2.75273e-17-0j 2.92509e-17-0j -2.95105e-17-0j 1.44888e-17-0j 6.57883e-17-0j 2.27804e-17-0j -5.32004e-17-0j -1.87232e-17-0j -2.93965e-17-0j 5.15374e-17-0j 2.49546e-18-0j 1.05002e-17-0j -1.26957e-17-0j -3.64687e-19-0j 7.81648e-18-0j 3.58232e-18-0j 1.743e-18-0j -1.5423e-18-0j -1.07947e-17-0j -2.78184e-18-0j -2.31529e-17-0j -1.54392e-17-0j -6.04597e-17-0j -7.84523e-18-0j 2.45322e-17-0j -2.14543e-17-0j -6.85101e-17-0j -9.08073e-18-0j 3.84599e-17-0j -1.55513e-17-0j 2.34075e-17-0j -1.48776e-17-0j 3.11628e-17-0j 4.16114e-17-0j 3.68426e-19-0j -4.70331e-17-0j 1.94907e-17-0j -3.39304e-17-0j 1.38867e-17-0j -1.55956e-17-0j -5.89644e-17-0j -2.73407e-17-0j 2.90334e-17-0j -1.08469e-17-0j 3.07369e-18-0j -3.2004e-19-0j 3.25189e-17-0j -3.63966e-17-0j 5.04958e-18-0j -1.22875e-17-0j 1.80625e-17-0j -2.52705e-17-0j -6.40243e-18-0j -1.13084e-17-0j -7.68309e-19-0j 
1.89765e-06-0j -2.93906e-05-0j 1.684e-05-0j -6.7919e-05-0j -4.93113e-05-0j 3.63892e-05-0j -1.32858e-05-0j 0.000103785-0j -8.97577e-05-0j -9.5519e-06-0j 1.82329e-05-0j 4.45661e-05-0j 0.000114-0j -7.96313e-05-0j -0.000192675-0j -4.48832e-05-0j 5.51975e-05-0j -9.1507e-05-0j 4.59702e-05-0j 0.000140608-0j -1.7216e-05-0j -9.26185e-05-0j 6.77654e-05-0j -7.20084e-05-0j 7.26473e-05-0j -3.56679e-05-0j -0.000161954-0j -5.60797e-05-0j 0.000130966-0j 4.60919e-05-0j 7.23668e-05-0j -0.000126872-0j -6.14319e-06-0j -2.5849e-05-0j 3.12537e-05-0j 8.97766e-07-0j -1.92422e-05-0j -8.81876e-06-0j -4.29082e-06-0j 3.79676e-06-0j 2.65738e-05-0j 6.84818e-06-0j 5.69966e-05-0j 3.80075e-05-0j 0.000148836-0j 1.9313e-05-0j -6.0392e-05-0j 5.28152e-05-0j 0.000168655-0j 2.23545e-05-0j -9.46786e-05-0j 3.82835e-05-0j -5.76233e-05-0j 3.66249e-05-0j -7.6715e-05-0j -0.000102437-0j -9.06971e-07-0j 0.000115784-0j -4.79812e-05-0j 8.35281e-05-0j -3.41856e-05-0j 3.83924e-05-0j 0.000145155-0j 6.73059e-05-0j -7.14728e-05-0j 2.67024e-05-0j -7.56666e-06-0j 7.87859e-07-0j -8.00534e-05-0j 8.95992e-05-0j -1.24308e-05-0j 3.02486e-05-0j -4.44652e-05-0j 6.22096e-05-0j 1.57612e-05-0j 2.78385e-05-0j 1.89138e-06-0j 
-8.51301e-20-0j 1.31849e-18-0j -7.55457e-19-0j 3.04691e-18-0j 2.21215e-18-0j -1.63245e-18-0j 5.96012e-19-0j -4.65589e-18-0j 4.02661e-18-0j 4.28506e-19-0j -8.17943e-19-0j -1.99927e-18-0j -5.11412e-18-0j 3.57233e-18-0j 8.64358e-18-0j 2.0135e-18-0j -2.47621e-18-0j 4.10508e-18-0j -2.06226e-18-0j -6.3078e-18-0j 7.72324e-19-0j 4.15494e-18-0j -3.04001e-18-0j 3.23036e-18-0j -3.25902e-18-0j 1.60009e-18-0j 7.2654e-18-0j 2.51578e-18-0j -5.87525e-18-0j -2.06772e-18-0j -3.24643e-18-0j 5.69159e-18-0j 2.75589e-19-0j 1.15961e-18-0j -1.40207e-18-0j -4.02746e-20-0j 8.63221e-19-0j 3.95617e-19-0j 1.9249e-19-0j -1.70326e-19-0j -1.19212e-18-0j -3.07215e-19-0j -2.55691e-18-0j -1.70505e-18-0j -6.67693e-18-0j -8.66397e-19-0j 2.70924e-18-0j -2.36933e-18-0j -7.56599e-18-0j -1.00284e-18-0j 4.24736e-18-0j -1.71743e-18-0j 2.58503e-18-0j -1.64302e-18-0j 3.4415e-18-0j 4.5954e-18-0j 4.06875e-20-0j -5.19416e-18-0j 2.15248e-18-0j -3.74714e-18-0j 1.53359e-18-0j -1.72231e-18-0j -6.5118e-18-0j -3.0194e-18-0j 3.20633e-18-0j -1.19789e-18-0j 3.39447e-19-0j -3.5344e-20-0j 3.59127e-18-0j -4.0195e-18-0j 5.57656e-19-0j -1.35698e-18-0j 1.99475e-18-0j -2.79077e-18-0j -7.0706e-19-0j -1.24886e-18-0j -8.4849e-20-0j 
