-0.0165693-0.00117437j -0.00520377-0.01448j 0.0126622+0.0002701j 0.0243325+0.00791626j 0.0153994-0.0198415j 0.00576819+0.0267631j -0.00503495-0.00546562j 0.0208227-0.0158737j -0.00255021-0.0020221j 0.0115317+0.0109931j 0.00797518+0.0105611j 0.0246597+0.000898409j -0.0250715-0.0116893j -0.00633149-0.003828j -0.0138317-0.0106669j 0.00546631-0.00552682j -0.0169665+0.023149j 0.00250824+0.00652518j 0.00848817-0.0190905j 0.0133815-0.00281984j -0.0010319-0.00484372j 0.00516202+0.00310732j 0.00452376-0.0211349j 0.00150122+0.0150633j -0.00761332+0.00468961j 0.00563119-0.00520434j 0.00645608+0.0013522j -0.000748047-0.0178724j -0.0109974-0.00125659j 0.00531117-6.04668e-05j 0.00746586+0.00689697j 0.017048-0.0122585j 0.0108047+0.00550632j -0.005882+0.0107146j -0.00113711+0.00928538j 0.0109102-0.0152357j -0.0039515+0.000315043j 0.0313116+0.00167503j 0.00315444+0.000381639j -0.0306286-0.0129209j 0.00876383-0.0163541j -0.0218557-0.00442078j -0.0151654-0.00883374j -0.00377796-0.00281944j -0.023611-0.0106355j 0.00486361-0.0124923j -0.016244-0.00673156j 0.00902996+0.0101038j -0.0117198+0.00133712j -0.00375944+0.0233101j -0.0117405+0.0259419j 0.0395133-0.00849494j 0.00455043+0.00966771j 0.0113403+0.0260098j -0.00752455-0.0130269j 0.0104914+0.0345516j 0.00725621+0.0156986j 0.0185633-0.00245761j -0.00532201-0.0315182j 0.0121221-0.0372801j -0.0133016-0.00109149j -0.00178245-0.0198282j -0.00769104+0.00211019j 0.0248955+0.00174141j 0.0043902-0.00522665j 0.020313-0.00342477j -0.00499385-0.00288095j -0.00948394-0.0208408j 0.0215864+0.0295063j 0.042607-0.0291872j 0.0307642-0.0288975j 0.0240631-0.0347082j 0.0443749+0.0515613j 0.0315305-0.0261552j -0.026861-0.0662898j -0.0120507-0.00452043j -0.012486-0.00316141j 
-6.1662e-05-0.0061912j 0.00443181+0.003009j -0.0108438+0.0077981j -0.00366116+0.000358337j -0.0191195-0.0118896j -0.0278164-0.0120027j -0.00301801-0.00931992j -0.0197898-0.0234575j -0.0197888-0.0165946j -0.00941774-0.00314712j -0.000380407+0.00911535j 0.0114825-0.0292061j -0.0272215+0.00990779j 0.00762529+0.0130725j -0.0567233+0.0187102j -0.00900137+0.0114601j -0.0391694-0.00339082j -0.000937567+0.0308427j -0.0273394-0.0160314j 0.0173076+0.0443481j 0.00158836-0.00229193j -0.021349+0.0411328j -0.0355173+0.0105693j 0.0211046+0.0113153j -0.0318659-0.0267189j -0.0310653-0.042276j -0.00641219+0.0101849j 0.0322681+0.0208396j -0.0258056-0.0158152j 0.00620453+0.0272772j 0.0190839+0.0412081j 0.0358872-0.017595j 0.00282842+0.0316065j -0.00826906+0.0338059j 0.0171788+0.00894288j -0.0262554-0.0321311j -0.0188013+0.015142j 0.0148639-0.0156048j 0.0267251-0.0112113j 0.0306814+0.00157608j 0.0141015+0.00282257j 0.00624388-0.00474894j -0.0107839+0.0338381j 0.0520842+0.00192513j -0.0255392+0.00316612j -0.0162529-0.0107669j -0.0429538-0.00224877j -0.00398567+0.0532622j -0.0302854+0.0080871j 0.0159813-0.0145838j -0.0266147-0.00921041j 0.0544201+0.0519013j -0.0227313-0.0350158j -0.0150593-0.0256454j 0.012192-0.0223767j -0.0301099+0.025758j -0.0425223+0.0240689j 0.0472547-0.0400811j 0.0618226-0.052122j 0.017682+0.000942014j -0.00684767+0.0336087j 0.0283-0.00493474j 0.0288267+0.0658435j 0.0749094+0.0090056j 0.0110758+0.0361409j 0.0366888+0.00373336j -0.0166868+0.0153028j 0.0354116-0.0106087j 0.0728412+0.00639756j 0.00626273-0.0810455j 0.00316642-0.0327881j -0.0289687-0.0194794j 0.0342163+0.036329j 0.014714-0.0291784j -0.0188201-0.0299416j 0.00610714-0.0141894j -0.0110314-0.0238136j 
0.00381714+0.00708983j -0.0115143+0.00056764j 0.0110484-0.00256475j 0.0114758-0.00286421j 0.0398558+0.0153463j 0.0286179-0.00123671j 0.0116908+0.0212063j 0.0146219+0.0172202j 0.00122891+0.00521756j 0.0289134+0.0159783j 0.0553038-0.0397156j -0.00262889-0.00444755j 0.00666908-0.0196442j -0.00240462-0.0196173j -0.00150514-0.0048917j -0.0301397+0.00328567j 0.0749399+0.0338642j 0.00423869-0.00305495j -0.0150632+0.0261389j 0.0142197-0.00599601j -0.00155232+0.00566103j 0.0210933-0.0175195j 0.0342764+0.0238144j -0.0232497-0.00642651j -0.000381869+0.0455652j -0.0173425+0.0322977j -0.00783578-0.00771079j -0.0244911+0.0093846j 0.0269499-0.0140237j -0.0128266-0.0658897j -0.0333614+0.00296309j 0.000235855+0.0163397j 0.0284202-0.0135637j -0.00946806-0.0148395j 0.0159464+0.0261879j -0.0174124+0.0262583j -0.0457274-0.014883j -0.0369391+0.0364769j -0.0142533-0.0126697j 0.00401995+0.00934231j -0.0320993+0.00196342j -0.0379707-0.0175546j 0.0285152+0.00674406j -0.0148092+0.0116687j 0.0642696+0.00355845j -0.0200373-0.0102143j 0.0614689+0.00175596j 0.0197808-0.0151131j 0.0226936+0.05412j 0.0402887+0.00376068j 0.0119561-0.0292939j -0.0418169-0.0207606j -0.0189231-0.0518771j -0.00727728-0.00375345j -0.0403253-0.00845357j 0.0283039-0.0427668j 0.0249679-0.0817093j -0.0186582+0.0403932j 0.00846203+0.0349091j -0.0121048+0.049107j -0.0144148+0.000948857j -0.00209679+0.0067567j -0.0393328+0.0248099j -0.0568003-0.00236849j -0.00812722+0.014348j -0.0113417+0.00746568j 0.0483068-0.013012j 0.043966+0.028452j -0.0351625-0.000225387j 0.0030456+0.081362j -0.0062737+0.0190168j 0.0574569+0.00973654j -0.0927538+0.03212j -0.00389831+0.0646521j 0.0505684-0.00917124j -0.00283883-0.0158274j 0.0066981+0.0220096j 
-0.00228186+0.00908753j -0.0101605-0.00606518j 0.00270005+0.0207258j -0.00583509-0.00502402j -0.0118366-0.00813783j -0.0188091+0.0214722j -0.0361385-0.00251119j -0.00185123-0.0263688j -0.0277699-0.0293248j -0.016934+0.0455837j -0.00975089+0.00759124j 0.00504889+0.0110538j -0.0114404-0.0164518j 0.0274509-0.0196655j -0.0322456-0.0223281j 0.028427-0.00522066j -0.023242+0.0112884j 0.0280575+0.0412588j -0.0174658-0.00134933j 0.0339153+0.0192164j 0.00220484-0.0243177j -0.00502532+0.0406379j 0.0157279-0.019116j -0.013157-0.0105986j 0.00962248-0.0223627j -0.0119876-0.0426433j -0.0403647+0.00721772j -0.000267423+0.0169214j -0.00510362+0.0171208j 0.0168412-0.0126269j 0.035778-0.0146685j 0.0393073-0.0250471j -0.00736488-0.00516653j -0.0323601+0.0269202j 0.018421+0.0208788j -0.0156522-0.0236054j -0.0248004+0.00938851j -0.0224159+0.0134263j 0.0274933+0.00930234j -0.00945549-0.0110932j 0.0364958-0.00171295j -0.0222213+0.0148893j 0.0208873-0.00883663j 0.0231202+0.033037j -0.00335135+0.0055315j -0.0268162-0.0213691j -0.06097-0.0314967j -0.00660226+0.00741015j -0.0196764+0.00605079j 0.0251067+0.00703515j -0.00271005+0.0218313j 0.0105125-0.0398177j 0.0129439-0.0530713j 0.0214949+0.0404487j -0.0245899+0.0224419j 0.0340276+0.0281023j 0.057541-0.0148566j 0.0255355-0.00605289j 0.0345625+0.0143281j 0.0256107-0.0325117j 0.0283361+0.0278027j 0.0192172+0.0140701j -0.0297086+0.0738744j -0.00152526-0.00359207j 0.010363+0.00969408j 0.0237651-0.0298542j -0.0272518-0.0486014j 0.00284799-0.0416013j -0.0139497-0.00295274j 0.0230171+0.0160392j 0.0464871-0.0139093j 0.0623722-0.0150178j 0.0185948+0.0648412j 0.0210398+0.0127605j 0.00503432-0.0751245j 0.00395321-0.019976j -0.00174657-0.0141601j 
0.0153697-0.00381835j 0.00682244+0.00793227j 0.0084504+0.00559291j 0.00284631+0.0264382j 0.0580161+0.0262922j -0.0201871-0.0389733j -0.00146649+0.00027501j -0.00379509+0.0418783j -0.0010895-0.00608821j 0.0230794-0.0276794j 0.0416913-0.00656978j -0.0152162-0.0185723j -0.0227058-0.00104123j -0.0292056+0.0051536j -0.0174487+0.0411408j -0.0384358+0.0301132j -0.00166128-0.0115183j -0.0337077-0.0128713j 0.00795563-0.0136714j -0.00487335+0.0566095j 0.00149446+0.0265078j 0.000262855-0.00426955j -0.0404592+0.0744741j 0.00424162+0.0142831j -0.0357375+0.0245151j -0.00404022+0.019424j 0.0181907+0.0157533j 0.00225618+0.0123867j -0.0069553-0.0595746j -0.0155934+0.0215751j -0.0354707+0.0670051j -0.00581911+0.00203313j 0.0215313+0.0388445j 0.0261589-0.000184369j -0.0104303-0.00752511j -0.0395758+0.0112419j -0.0130805+0.00298862j -0.00945085-0.0410639j 0.00388468+0.0232841j 0.0562945+0.0477347j -0.0417629+0.0327721j 0.00358479-0.0165816j -0.0101724+0.0265612j 0.0261451-0.00608352j 0.00368197+0.0227272j 0.00650016+0.0163248j 0.0113434+0.0292919j -0.0231337+0.0421897j 0.0253666+0.00560839j 0.0137477-0.0281655j 0.0110132-0.0357562j -0.0228417+0.0993875j -0.0259677-0.028612j -0.0183873-0.0665862j 0.052592-0.00951804j -0.0691292-0.0451628j -0.0867922-0.0108629j 0.00356405-0.00846604j 0.0301458-0.00839604j -0.0460286+0.0460088j -0.0421367+0.0391592j -0.0366224-0.0211965j 0.0347234-0.0331894j 0.0377348+0.0352002j -0.00784868+0.0754367j 0.00811016-0.00751982j 0.0660438+0.0521754j 0.0414627-0.00391617j 0.0549384-0.0220168j -0.0948778-0.00896569j -0.0267032+0.0133774j -0.0819877+0.0276787j -0.0740088-0.023985j -0.0337573+0.0103938j -0.000436855+0.0470223j 0.0125808+0.0123043j -0.00492873+0.00566822j 
0.00434449-0.00340902j 0.00464267+0.00375878j -0.014231-0.000433418j -0.00421784+0.00614509j -0.00284969+0.00958794j 0.022698-0.0124777j -0.0183214+0.00528456j 0.00344675-0.0246154j 0.0140037-0.042703j -0.00586525-0.0429811j 0.00419345-0.021401j -0.00516155-0.0200826j -0.0291142+0.0395067j -0.00416266-0.0234957j -0.00335907+0.0122401j 0.021407+0.0176357j 0.0555011+0.0203265j 0.0246783+0.00405099j -0.0461321+0.0348822j 0.0373011+0.0190387j -0.0318382-0.0449982j -0.0585482-0.0126432j 0.0412389+0.0426502j 0.0124194-0.0168237j -0.015027-0.0362137j -0.0308852-0.0582702j -0.00340679-0.0514267j -0.016068-0.0135445j 0.0304099-0.0295867j 0.0543397+0.00103923j -0.0580277-0.00191958j 0.0527441-0.0544906j -0.0482967-0.0508964j -0.0463531+0.0373336j -0.000977372+0.019334j -0.022304-0.0509948j -0.0284573+0.0473595j -0.0522213+0.0411898j 0.0842843-0.0368135j -0.0198771-0.00523394j 0.0111042+0.0415709j -0.0164242-0.00657233j -0.0102406-0.0285412j 0.0529916+0.0389463j 0.0497188-0.0280987j -0.0285064-0.00276324j -0.0103367+0.0366377j -0.0293757-0.0148023j -0.00293786+0.0689265j -0.000487196-0.0277389j -0.0886775-0.0217525j -0.0198281+0.00379714j -0.0506976-0.0760952j 0.0140661-0.0365229j -0.0184518+0.0101847j 0.0267013-0.0163797j 0.0805364-0.0299227j 0.0052058-0.0479462j 0.0429041-0.0614816j 0.0225168+0.0305866j -0.00426085-0.0296308j -0.0614612-0.00674357j 0.0228114+0.0093787j -0.064992-0.0212252j -0.00256215-0.0154245j 0.0705413+0.0220531j 0.0424874-0.056842j 0.0743299-0.0187097j -0.00921243-0.018143j 0.0158638+0.0112884j -0.0442299-0.0134497j -0.00397677-0.0387911j 0.0136183+0.0252918j 0.000147905+0.00301455j 0.00227219-0.00233645j 0.00819716-0.0148516j -0.011067-0.00874278j 
0.00567935-0.00122606j 0.00907154+0.00904315j -0.0194519-0.0193031j -0.00555117-0.0311097j -0.0502673-0.0240564j 0.0422714-0.0262586j 0.0188967+0.0112251j -0.0256438-0.0286919j 0.015456-0.0180732j -0.0168541-0.0139355j 0.023936-0.0226336j -0.0127517-0.0663342j 0.0391477+0.0136135j 0.0371468-0.000118574j -0.00253046+0.0357565j -0.0260432+0.0255924j 0.0330357-0.0183369j -0.00546682+0.00344806j -0.0634667+0.0529247j 0.00786777+0.00847136j -0.0458765-0.00570431j -0.000474334+0.0030535j 0.00615271+0.0173405j -0.0504245+0.0266565j 0.0106041-0.0493112j -0.00730783+0.0463086j -0.0178794+0.0194648j 0.0050015+0.0279419j -0.0496641+0.000496973j 0.0211503+0.0595484j -0.0191777-0.00967776j -0.0292087-0.00997956j -0.00544858+0.0517114j 0.00493055+0.053118j 0.0535355+0.0330476j 0.00469399+0.0539464j -0.0636413-0.00131638j -0.0368261+0.0142961j -0.012994-0.0313365j 0.00358291-0.0570792j 0.0530565-0.0555507j 0.0423545-0.021597j 0.0675198-0.0105455j -0.00527457+0.0487698j 0.00266394-0.0239646j 0.0422425+0.0083298j 0.0909307+0.0318327j -0.0388778-0.0399864j 0.0460014+0.0011754j -0.0280828-0.0397535j -0.056386+0.0390003j 0.0180602-0.00957354j -0.00199763-0.027121j 0.0270706+0.047967j -0.015348+0.00629848j 0.0239279-0.075768j 0.0471587-0.00114639j 0.0147294-0.0452445j 0.0266703+0.0385675j -0.0548607-0.0207232j -0.00906626+0.0300582j 0.0347763-0.00589166j -0.0103038+0.0137321j -0.0724606-0.0659902j -0.0154502-0.0427982j -0.0149382-0.000775191j -0.0258571+0.00943359j 0.0376654+0.105618j 0.00573951-0.0479199j -0.00103852+0.0529352j -0.0247005+0.0273118j -0.0272426-0.00131119j -0.0305813+0.0123122j -0.0353856+0.0216052j 0.016641+0.0185108j -0.00402829-0.00742991j -0.0117641+0.0182705j 
-0.00996175+0.0088037j -0.0155089-0.0136009j 0.0182179+0.0370402j 0.0208061-0.0178572j 0.0101667+0.0131336j 0.0168792+0.0079887j 0.0170306+0.00307504j 0.026529-0.00972506j 0.0174347-0.00634961j 0.00344851+0.0387497j 0.0844982+0.0104892j 0.0793775-0.0384151j -0.0117282-0.0285117j 0.0229589-0.0148439j -0.0409363+0.0484102j -0.0828809+0.0741132j -0.0195018-0.0178509j -0.0347229+0.0745111j 0.0215955+0.0240933j 0.00825833+0.0133361j 0.0180178-0.00466758j 0.0315041+0.017329j 0.0329054-0.0196867j 0.0140135+0.0541357j -0.00702168-0.0267576j 0.0016078+0.0314365j 0.0359517+0.070913j 0.0185274+0.010217j -0.0649099-0.0238546j -0.00792533+0.0512638j 0.0142345+0.0722909j -0.0039349-0.0434714j 0.0220449+0.0961996j 0.0273467-0.00829096j 0.0651513+0.0180754j -0.0321756+0.0543918j -0.054718-0.018117j 0.0410294+0.0162851j -0.0456283+0.00375612j -6.48429e-05-0.0658276j 0.0495024-0.0877739j -0.0321304-0.00712962j 0.0167222+0.0254471j -0.0311353-0.0129504j -0.057857-0.0256674j -0.0104196-0.0835833j 0.0535037+0.0123114j 0.022662-0.0367958j -0.0122964+0.0411258j 0.0228119-0.0292994j -0.0104435+0.07493j 0.087824-0.0601554j 0.0116161+0.056285j 0.0397198+0.0442941j 0.0337472-0.0906741j 0.0566019+9.67805e-05j 0.020587+0.0257734j 0.0340035+0.0280042j 0.0446222+0.0276709j -0.0702103-0.0799041j -0.0608415+0.0733731j 0.0636488-0.0808985j -0.0441947+0.0148238j -0.000621594+0.0368968j -0.0671322-0.0149783j 0.0105369-0.0139382j -0.00235217+0.00357673j 0.00719024+0.0962005j 0.0566937+0.0506471j 0.0204642+0.00236638j 0.076099+0.000109839j 0.0377976-0.0102747j -0.0313774+0.124684j 0.00743031+0.0216856j 0.0124016-0.10707j -0.00317837-0.0243553j 0.00136118-0.00532941j 
0.0152176+0.0179211j -0.0162803+0.00752626j -0.0136903+0.0553833j -0.00318651-0.0230359j -0.0182453+0.0635358j -0.0198684+0.000344875j -0.0273854-0.0233515j 0.00476517-0.0287671j -0.00176635-0.0150387j -0.0327355+0.0900854j 0.0068661-0.00675489j -0.00531092+0.0574272j -0.000151208-0.0320848j 0.0303482-0.0287042j -0.0102954-0.0176459j -0.0208048+0.0201818j 0.0126812+0.00555335j 0.0180578+0.0552044j -0.0154476+0.0152503j -0.024141+0.00835209j 0.0139179-0.00974547j 0.0180566+0.0558457j 0.0504423-0.0185624j 0.00902275-0.0595187j 0.0503205-0.00461918j -0.0190729+0.00578179j -0.0108877+0.0483994j -0.0312045+0.0230159j -0.0118857+0.0101945j 0.0135084-0.0343679j 0.0471038-0.0458206j 0.00606129-0.0033939j -0.0020689-0.0064151j -0.00961137+0.0110816j -0.00302442-0.000743616j -0.0522361+0.013761j 0.0118132+0.0244613j -0.0569841-0.00723923j -0.0010038+0.042875j 0.0354782+0.0240995j 0.00205253-0.030528j -0.0158243+0.028349j 0.0132232+0.00150798j -0.00869784+0.0019046j 0.0195334+0.00771883j -0.0257872-0.0227132j -0.0271388-0.0219792j 0.0228416-0.011101j 0.00234003-0.000875427j 0.0330385-0.0178649j 0.00865796+0.0301006j -0.0758332-0.0221343j 0.0325962+0.00576262j 0.0309037-0.00939191j 0.00477446+0.092908j -0.00184445+0.0208436j -0.00520665-0.050421j 0.00852683+0.0190528j -0.0134277+0.0637049j -0.027448-0.0270794j -4.89053e-05+0.0208781j -0.00847956-0.0156675j -0.0220276+0.00875155j -0.0359492+0.0172306j -0.021355+0.0381249j 0.0201267-0.0783074j 0.0160642-0.0151762j -0.0257695-0.0740443j -0.0266761-0.0306753j -0.0589192+0.00960201j -0.0367455+0.00674239j 0.0538698+0.0868576j -0.0622082+0.0352367j -0.0307136+0.0405658j 0.039068-0.0311509j 0.0109548-0.00734543j 0.000630674+0.00790997j 
0.00398066+0.00542066j -0.0100845-0.0021419j 0.0109666+0.00705692j -0.0144959-0.000214508j -0.0128127+0.00536853j -0.0439835+0.0182334j -0.0215379-0.00168868j -0.00631071+0.00691212j -0.0171824-0.0251492j -0.0145962+0.0205668j 0.00147023+0.0409366j 0.0167989+0.00241909j -0.0135858+0.00689025j 0.0119974-0.029853j -0.00871502-0.00127098j -0.0121503-0.00809328j -0.0278943-0.0162366j 0.0175473+0.00513838j 0.038131+0.0013624j 0.0247326-0.00204492j 0.0325308-0.0127528j -0.00118889+0.0313517j 0.0423774-0.0212776j 0.0323928-0.00356234j 0.0105487-0.00642741j 0.033753-0.0469991j -0.0272379-0.0464366j 0.0117885+0.00895374j 0.0258735+0.0156682j 0.0292768-0.0245168j 0.0408528-0.00701146j 0.00890701-0.0336757j -0.0238682-0.0343107j -0.011993-0.033522j 0.00772483-0.0198781j -0.0416385-0.0230625j -0.00580859-0.0441288j 0.0062597+0.0356162j 0.00449544-0.0145751j -0.00925577+0.0242565j 0.01947+0.0124201j -0.00858351+0.0378242j 0.0221273-0.0156307j -0.00320828+0.00962104j -0.0233718+0.0203859j -0.0287142-0.000784127j -0.0416647-0.045261j 0.0330247+0.0123159j 0.00672327+0.0324038j -0.00663773-0.00823577j -0.0196288+0.0211163j 0.010069-0.0688483j 0.0124807+0.0198297j 0.0291863+0.0147552j 0.0417242-0.0280304j 0.0662985+0.0324834j 0.0527719+0.0145993j -0.00584871-0.00947795j 0.0235594+0.0407445j 0.028066+0.00298804j 0.00950635-0.0148519j 0.0105961-0.0038621j 0.0214538+0.0344478j -0.0314468+0.0515864j -0.0355008-0.0260329j 0.0257866-0.0319772j -0.0390427-0.0333813j -0.0265827-0.0180172j -0.0152537+0.0266983j 0.0223946+0.02276j 0.0251844-0.0103745j 0.0613909+0.0143283j 0.00111492+0.0203353j 0.015047+0.0177654j 0.027856-0.0316021j 0.00633844-0.0122774j 0.00594209-0.00137005j 
-0.0175965-0.0162998j 0.0167638-0.0115212j -0.0116005+0.0375476j 0.0424438+0.00205817j -0.0181413+0.0251169j 0.0235168-0.0180243j 0.0139378-0.0442779j 0.01891-0.0291621j 0.024472+0.0346097j 0.0406232+0.00583783j 0.0333466+0.00216129j 0.0292345-0.0286758j -0.00960352-0.0246125j -0.0194356-0.0109762j -0.0282495-0.0611062j -0.000503352-0.0299721j 0.0557175+0.0606633j 0.0384117-0.0223723j -0.0119528+0.0378534j -0.0557377-0.0422815j -0.0234339+0.000301892j -0.00446565-0.0203996j 0.01533-0.0728096j 0.0228858-0.0132489j 0.042508+0.0473018j -0.0157323+0.00698615j 0.0466181-0.0274788j -0.0497426-0.0143927j 0.0275891+0.00835898j 0.0605508-0.0215979j -0.0477709-0.0511935j -0.0175268-0.0327474j 0.00694164-0.0372374j -0.0998195+0.0330985j -0.0123506-0.010874j 0.0101532-0.00982567j -0.0362249+0.0359304j 0.0572478+0.0363653j 0.00330234-0.0911577j -0.0708975-0.0888402j -0.0771724-0.0210197j 0.00451266-0.0250176j -0.0296313-0.0394127j -0.0592954-0.0619905j 0.0442985-0.049861j -0.00686633+0.0552077j 0.042695-0.00357857j 0.0159997+0.0564982j 0.0189221+0.00735087j -0.0449405+0.0126747j -0.0854946+0.0739741j 0.1617+0.00139623j -0.0102119-0.026805j -0.0337614+0.0534593j 0.0459515-0.0142368j 0.0251457+0.0941333j 0.08086+0.0624712j -0.0237583-0.067873j -0.0795552-0.0371192j 0.0692247-0.0968344j -0.0806784+0.0334623j -0.0628615-0.0118571j -0.0914103+0.0224159j -0.0212373+0.0351178j -0.0725044-0.0075035j 0.0141483+0.0427504j 0.0505583+0.0246963j 0.0341361-0.0460849j -0.00307704+0.0322728j 0.0494253-0.0809914j -0.0441922-0.0424656j -0.0527783-0.0643331j 0.104069+0.000349442j -0.0161846-0.0642237j -0.0531924-0.0155159j -0.00530873+0.00488181j -0.0105325-0.0112941j 
0.00666595+0.00179177j 0.00557082+0.00531786j -0.00658923+0.0305276j -0.00266386-0.010875j -0.0208878+0.0585181j -0.00755067-0.023498j -0.0120785-0.0209681j -0.00463632+0.0100453j 0.0485348-0.00182294j -0.0278993-0.0450841j 0.0102801+0.0414916j 0.034246-0.0101996j 0.00558222+0.0622773j -0.00611611-0.00880164j 0.043715+0.0853233j -0.0506211+0.052392j -0.00879532-0.0613189j -0.0270867-0.0197238j 0.0478842+0.0359967j -0.0503183-0.00827872j 0.0163931+0.00439287j -0.0343438-0.0233617j 0.0287339+0.0112531j 0.0945387-0.0018267j 0.0174958-0.0762742j 0.0527215-0.00797536j 0.0658319-0.0120375j 0.00252959-0.0118434j 0.0117864-0.0315833j 0.0436774+0.0694611j -0.00318069+0.0398322j -0.0511116-0.0561915j -0.0663479+0.0168674j 0.0360396-0.0265915j -0.0142796-0.0457858j -0.0406098-0.0229059j 0.0561468-0.0133885j 0.0264955+0.00348317j -0.0057497+0.0410135j 0.013781-0.0226106j -0.0256534+0.00794093j 0.0349667+0.0490755j 0.00458279-0.0197566j 0.0190282-0.0107371j -0.0596833-0.0012826j -0.00799806-0.00474675j 0.033223+0.0611436j 0.0172364-0.0332685j 0.000716427+0.0216287j -0.0600739-0.081897j -0.0650456+0.0380446j -0.0138949+0.00885453j -0.0346142+0.120935j 0.00866782-0.034413j 0.114081-0.0412011j 0.00768153+0.0158985j 0.0175408+0.0774679j -0.0269001-0.0410366j -0.0226572+0.0139879j -0.0274-0.0519753j 0.0130766-0.0399488j -0.0451114-0.048011j 0.0373118-0.0932772j -0.00922006+0.0544179j -0.0866972-0.0293816j 0.0432586-0.00632735j -0.00573527+0.026672j -0.017988+0.0295139j 0.0510996+0.0486909j -0.0627324-0.0291048j -0.0119598+0.0195531j -0.0576114+0.00861499j 0.0142582-0.0629525j -0.00555494-0.000241724j 0.00355718+0.0391791j 0.00476884+0.00624701j -0.00107453-0.00199437j 
-0.0160415+0.000354129j -0.00481485-0.015761j 0.0202101+0.0143021j 0.0161208-0.00207658j 0.0136692-0.0146483j 0.0200835+0.0315786j -0.0488267+0.0290635j 0.0137082-0.0319097j 0.0478234-0.0106728j 0.0191143-0.0754361j -0.0407285-0.00133069j 0.0254443-0.00345418j -0.00204332-0.00776722j 0.0256972-0.0742994j 0.0707861-0.0365846j 0.0626212+0.0324373j 0.0413101+0.0361142j -0.0084428-0.00607315j 0.0457311-0.0598617j -0.0352943-0.0169536j -0.0246547-0.0532949j -0.0232848-0.0446542j 0.0395012+0.104145j 0.00668411+0.0561891j -0.00232769-0.0119593j -0.103553+0.030927j 0.00202071+0.0812544j 0.0303045+0.0154925j -0.0655929-0.0102894j -0.0208249-0.0592204j 0.0213813-0.0289799j -0.00370114-0.00319237j -0.0830995-0.0217157j 0.0143264-0.00226081j 0.0347509+0.033737j 0.0670593+0.0211294j 0.0124642-0.00267505j 0.0218899-0.00426748j 0.00682358-0.0345421j -0.0605382-0.030464j -0.0123631+0.050407j -0.0474412+0.000667783j -0.0358495+0.00217337j 0.0445611+0.0169813j -0.0103813-0.0646817j -0.0110909-0.0617313j -0.000403622+0.116244j -0.0209443-0.0127063j -0.0294452-0.0169867j -0.076373+0.0823529j 0.0709733-0.0603334j 0.0863248-0.0508854j -0.0739083+0.0173581j 0.00862376-0.032935j -0.057725-0.0783111j -0.0177371+0.109674j 0.0824296+0.0358698j -0.0375825+0.0559847j 0.156454+0.00545487j -0.056525-0.0515905j 0.0945506-0.0281306j 0.00473655-0.0315501j -0.159741-0.0217962j 0.0609654+0.0117163j -0.0350301+0.00054535j 0.0112485+0.129298j 0.0242908-0.0372789j 0.0179507+0.0743806j 0.00552349+0.0900614j 0.108309+0.00197961j 0.0569562-0.0159817j 0.0774676-0.0574083j 0.0100267+0.0396868j 0.0597379-0.0135596j -0.00485778-0.0320722j -0.00868546-0.00705779j -0.00354148-0.00357309j 
-0.00696964+4.82472e-05j -0.00654609-0.00854445j 0.00497954+0.0286491j 0.0252878+0.0233751j 0.0412036+0.027401j 0.0223799+0.0113255j 0.00463661-0.00130481j 0.0518032-0.0241399j 0.031398-0.0041186j 0.00973215+0.00911527j -0.0149758-0.0315426j -0.00710525+0.0602678j -0.0370461-0.0435822j -0.0384883-0.0144672j 0.0171187-0.0569308j 0.027955+0.0516796j 0.0197583+0.0588507j -0.0209425+0.0113787j -0.0541123-0.0459286j -0.0221731+0.000648427j -0.0398634+0.0279262j -0.025705-3.35325e-05j -0.00829975-0.00548348j -0.0889457+0.00268352j 0.00793128-0.0170989j 0.0132281+0.0653858j 0.0164764+0.110748j -0.0759321-0.0808961j -0.130185-0.0896522j 0.00351419+0.120631j -0.00615872-0.0325614j 0.0520588-0.0309156j 0.0359896+0.0590156j 0.0393112+0.0757679j -0.0426802+0.0385289j 0.0571271+0.0141024j 0.0125165+0.0722434j 0.0202069-0.0254656j 0.00189168+0.0705737j -0.0540263-0.025196j 0.00358598-0.111089j -0.0177871-0.0587729j -0.0286631-0.0139985j -0.032873+0.0152939j -0.00289943-0.079443j 0.0763338-0.00144694j 0.015643+0.0709283j -0.0164177-0.0455112j 0.0370696-0.0748358j -0.00429295+0.0269665j -0.0488392+0.0757643j -0.0585248+0.0595136j 0.0896338+0.0557385j 0.0982082+0.0663819j 0.0108354+0.137858j -0.0787438-0.0230686j -0.0420944-0.0316129j 0.0621493+0.00305878j -0.10027-0.0763022j -0.0612854-0.132415j 0.00855782-0.000345899j -0.0790901-0.0424473j -0.0651787-0.0935668j 0.0516375-0.127122j 0.0672119+0.0119285j 0.0282407-0.0332264j 0.0553966+0.049175j -0.0549535-0.0688393j 0.0234986-0.0779007j -0.0491336-0.0144612j -0.0381005-0.006443j -0.0732239+0.00818571j 0.0279062+0.0585413j -0.0427132-0.0228146j -0.0123151-0.0504581j 0.00511075+0.0100352j 0.0175773-0.0118336j 
