0.017679+0.0205376j 0.00448789-0.0132484j -0.0541641+0.0178373j 0.0555799-0.0666774j 0.00857328+0.0221239j -0.0117658+0.011821j 0.0261118-0.00829069j 0.032848-0.0198828j -0.000699665-0.000364969j 0.00390876-0.0643866j 0.00408434+0.0101986j -0.00911617-0.0189461j 0.00808466-0.00552714j 0.00960088+0.00170541j -0.00426837+0.00356097j 0.0041073+0.0180249j 0.0126243-0.0159613j -0.0117014-0.00898843j -0.016919+0.00567631j -0.00246988+0.00422991j 0.00137357+0.00470782j 0.00264398+0.00731491j -0.0139756+0.0232685j -0.0108814-0.0238737j -0.000763634+0.00715086j -0.014763-0.0145972j 0.003111-0.000755623j 0.00553065+0.00484167j 0.00173882-0.00961953j 0.00592223-0.00545445j -0.00219743+0.0122692j 0.0144109-0.00366171j 0.00787798+0.0124938j -0.0148254+0.0034836j 
0.0598509+0.0205212j 0.115824+0.0164702j 0.0932696-0.0395877j -0.265674+0.0338504j -0.00323727-0.039266j 0.0395112-0.0552729j 0.0237053-0.0432127j -0.0852273-0.0561359j -0.0620453+0.0477502j -0.0461442+0.0317195j 0.0407843-0.0246815j -0.127944+0.00855344j 0.00625384+0.00268278j 0.0714241-0.0227829j -0.00415538-0.0143678j 0.0438845+0.00596658j -0.00925069-0.0105643j 0.0307927+0.0176961j 0.0104799-0.00255596j 0.00555004+0.00866219j 0.0240516+0.00218089j 0.0104275-0.0127803j 0.0203483-0.00531173j -0.0125771-0.0116995j 0.0134849-0.0191671j -0.00670237+0.0012489j -0.0191977-0.00806912j 0.00378385+3.10514e-05j -0.0113462-0.00286942j -0.00697419-0.00329858j 0.00371814+0.00967271j -0.0108172+0.0122332j 0.044535+0.0147718j 0.0424663-0.00917453j 
-0.0308139-0.0238519j -0.0484858+0.0214378j -0.0771175+0.102005j 0.218543-0.0453419j -0.0277366-0.0663326j -0.0185729+0.117361j 0.0462859+0.00353386j -0.00435886+0.426727j 0.0160783+0.31897j 0.0196946+0.0743399j -0.00259029+0.0245887j -0.0432733+0.03328j -0.000877505+0.0122197j 0.00269577+0.00321352j 0.0174319-0.0457377j -0.0145524-0.0374964j -0.00627452+0.000280582j -0.00633174+0.00921369j 0.00381108+0.00418288j 0.0043332+0.0437013j -0.00147127-0.0134437j -0.0161987+0.0157631j -0.013516+0.0218838j 0.000275259+0.00868168j -0.00514942-0.0190258j -0.0115839-0.0029362j 0.0261498-0.034755j 0.016444-0.0438506j 0.0461562+0.048713j -0.00826624-0.00153776j 0.00179951-0.0380316j -0.0206189-0.0169951j -0.00344178-0.0249871j 0.003256-0.00282589j 
0.0347443-0.0418942j 0.0768742-0.0432262j 0.109846+0.0938452j -0.379631-0.144344j -0.00212987+0.0667053j 0.0136948+0.179758j -0.0748853+0.113237j -0.0901686+0.234054j -0.0560405+0.0732113j -0.0150486-0.0333565j 0.00596523+0.0872694j 0.0133137+0.0674457j 0.0135557+0.0103246j -0.0407617+0.0407442j -0.0117781-0.00850928j 0.0369907-0.0563986j 0.0015439-0.00290761j -0.0107923-0.00256084j -0.0113941-0.00839806j 0.00904651+0.0332681j 0.0440426+0.0377053j 0.0163695-0.00983123j 0.0097752-0.0129224j -0.0193571+0.000389543j 0.0061246+0.0139679j -0.0100702-0.00686747j 0.00340262-0.0521614j 0.0153633+0.0143787j 0.0219722+0.0126151j -0.00607077+0.0161991j 0.00319876-0.0322025j -0.00177932+0.0142176j 0.00334045-0.00733609j 0.0249544+0.024964j 
0.0308297-0.137916j -0.0328825-0.140364j -0.152217+0.073183j 0.121944+0.0892249j -0.046196+0.205493j -0.0538607+0.0810903j -0.0479834+0.199096j -0.0448149-0.081923j 0.0475658-0.216417j 0.0656812-0.118544j -0.0257159+0.063104j -0.101684+0.0778713j 0.0353088-0.0224459j -0.0499686+0.00940671j -0.00280097+0.0425264j 0.0210072-0.0529228j 0.0141988+0.00922439j -0.0480809-0.0285078j -0.0238536-0.0185824j 0.00444631-0.017317j 0.0119256+0.0460092j -0.00634815+0.0201606j 0.0173379-0.037832j 0.00989762+0.032019j 0.00762216+0.025642j -0.00534719-0.00287212j -0.00857206-0.0117756j -0.00582033+0.0367044j -0.0111364-0.0155736j 0.0129397+0.0209965j 0.00588999+0.00695675j 0.0254203+0.0139742j -0.0101091-0.0352324j 0.0160292+0.0108804j 
-0.247371-0.0479139j 0.0261626-0.0504454j 0.46282+0.0916666j 0.15444+0.0400957j -0.0698295-0.00824706j 0.0918759+0.118624j -0.119152+0.0127602j -0.174771-0.0641186j 0.0531422-0.00208773j 0.0209418+0.0121425j -0.111871+0.0169291j -0.0640029+0.0058153j -0.0877019-0.00616232j -0.065378+0.0129199j 0.0442856+0.0222635j 0.0278031-0.0066831j -0.0158634+0.00832169j -0.0479128-0.0287336j 0.0394205+0.0172185j 0.0180056-0.00922055j -0.0370269+0.014115j -0.000411465+0.0206185j 0.00111619-0.00901691j -0.0139333+0.00416731j -0.00295454-0.00286475j -0.0126561-0.010974j 0.00616381-0.0078255j -0.00225368-0.00452117j 0.0112875+0.0033081j 0.00482647-0.00522819j 0.0330936+0.0153965j 0.00234615+0.000138689j 0.0233127-0.0149833j -0.0390931-0.0232642j 
0.0821908+0.0623982j -0.0150342-0.0934866j -0.0540378-0.11514j 0.0144109+0.0536627j 0.0629533-0.146152j -0.0553189+0.51262j 0.0397374-0.0973521j 0.0774473-0.201603j -0.00581946+0.0792378j 0.0133221+0.063873j -0.0345971+0.00700746j -0.00454612-0.00366549j 0.0114501+0.0542794j 0.039141-0.00247572j -0.0273701+0.0471779j -0.00840324-0.00497287j 0.0288222+0.0103671j -0.00496573+0.0073493j 0.00586084-0.0138428j 0.00208152+0.0121489j 0.0453671-0.00801966j -0.0257842-0.00980057j 0.00994598-0.0173616j 0.0165884+0.0108572j 0.00211865+0.026969j -0.0034047-0.022957j 0.00187092-0.0143149j 0.0119107-0.0221046j 0.0180368+0.0306291j -0.0167269-0.00784248j -0.0110707+0.00994378j 0.00134107+0.0121172j -0.029885-0.0110012j 0.0280629-0.00770528j 
-0.0302955+0.134297j 0.0694412-0.0383901j -0.0779076-0.200929j -0.012589-0.0471673j -0.0904662-0.028715j -0.0972272+0.208996j -0.0747133-0.0016293j -0.126201-0.0641676j 0.0214533+0.00204808j -0.0505084+0.0157323j 0.0182777+0.0240567j -0.0121517-0.0106131j 0.0113388+0.0337862j -0.0855037+0.0552576j 0.0054267+0.00421851j 0.0560444-0.00431448j -0.0370405+0.0176981j 0.0405916+0.0186397j 0.0538505-0.00918009j -0.0117999+0.0039732j -0.0415572-0.0138759j 0.00358938-0.0239062j -0.00946382-0.0042133j -0.0214622+0.00714034j -0.0146379+0.021249j -0.0151205+0.00193068j 0.00557154-0.018992j -0.00992951-7.23794e-05j 0.0193754-0.00595344j 0.00148761-0.00756921j 0.00798055-0.0140817j -0.0165695+0.000257227j 0.050552-0.00230591j -0.0476191+0.00544219j 
-0.0701548+0.00627936j 0.027229-0.0135674j 0.146286-0.0359425j -0.102936+0.0199347j -0.12253+0.0103757j 0.150555-0.0250358j 0.0660296+0.00413573j 0.258543-0.0450178j 0.273277-0.0538439j 0.0806395-0.00755272j -0.00236035+0.00374711j 0.00662202+0.000143083j 0.00470142-0.00387218j -0.0338752+0.00165957j -0.0368881+0.0112769j -0.0289676+0.00345754j -0.00456942+0.00152551j 0.0112912-0.00678361j -0.00367537+0.00417879j 0.0427718-0.00250179j -0.00180459+0.0135561j 0.0234051-0.00437349j 0.0112843-0.0116429j 0.0259092-0.00375505j -0.027831-0.000258718j 0.0108703-0.00727719j 0.0258415+0.0236961j 0.023109+0.0196196j -0.00994725+0.0261492j -0.00825736-0.00884621j -0.00782083+0.00203057j -0.00335576-0.013583j -0.0146453-0.00307822j -0.00225829+0.00367255j 
0.00989177+0.00487228j 0.000139593+0.013167j -0.0711422-0.0156964j 0.0595971+0.0108321j -0.00966348-0.000326441j -0.0531989-0.05307j 0.00862607-0.0156902j -0.429188-0.0638975j -0.252699-0.0396067j 0.0122427-0.00496756j -0.0686513-0.0210649j -0.0317622-0.0145439j 0.00800961-0.00364652j -0.0263094-0.0120864j 0.0324136+0.0028024j 0.0217663+0.0136814j -0.0038553+0.00360377j -0.0110975-0.000468112j 0.00242656+0.010196j -0.0149987-0.0145197j -0.0054668-0.00876481j -0.00915043+0.00322879j 0.00129003+0.00636479j -0.0121572+0.00226852j 0.0291808+0.00435427j -0.00899151+0.00604827j -0.0315607-0.00814296j -0.0248965-0.0146268j 0.00669483-0.04499j 0.000841364+0.00731157j 0.0128389+0.00579351j 0.00505882+0.0193706j 0.00469011+0.00889414j -0.00392504-0.0134856j 
-0.0983162-0.0222265j -0.0460456-0.0116917j 0.137956+0.034612j 0.00617148+0.0130912j 0.194366+0.0353562j -0.356613-0.0757667j 0.213181+0.0390602j 0.104866+0.0112873j -0.143824-0.0533979j -0.16518-0.0250754j -0.000237052+0.0218801j 0.0483885+0.0133463j -0.0705252-0.0139826j 0.000902415-0.00125381j -0.00166834+0.00418128j -0.0418581-0.0088507j 0.0118718-0.00466119j -0.0136956-0.0107103j -0.0237136-0.0289598j -0.0741716-0.010439j 0.0288575-0.00891152j -0.00445402+0.0196563j -0.00256538+0.00238495j -0.0230737+0.00326535j 0.0134465+0.00450039j 0.00159355+0.0130301j -0.0276359-0.0093472j -0.0154952-0.000618894j 0.00321946-0.0297358j 0.0139994+0.0176782j -0.00413087+0.00256281j 0.0103425+0.0151031j -0.0143967-0.00215541j 0.0155976+0.00987233j 
-0.0929992+0.0272607j -0.177298-0.055316j 0.0216696-0.0344809j 0.0612302+0.0161033j 0.134056+0.0580449j 0.418138+0.113834j 0.205314+0.0771175j -0.0714875-0.0115615j -0.140946-0.0565122j -0.120932-0.0371803j 0.138493+0.0578234j 0.113019+0.0351149j 0.00761465+0.0124678j 0.0555027+0.00991029j 0.0897061+0.0140835j -0.117656-0.0221474j 0.0478875+0.0220867j -0.00117426-0.00543838j 0.00704596+0.00466786j 0.0248174-0.000407598j 0.0110094+0.0257709j 0.024214-0.00198553j -0.0279166-0.00303203j 0.0138941+0.0211829j -0.00410348+0.0146647j -0.0165787-0.0127146j 0.00222522-0.00907999j 0.0130732+0.0194991j 0.00196976+0.0133045j 0.0100469+0.00606969j 0.00688441-0.00693561j 0.0253818+0.0205848j -0.0305343-0.0225736j 0.0160016+0.0286337j 
0.227388-0.0711849j 0.0606183-0.0487697j -0.0883142+0.0801731j 0.0121507+0.0239161j -0.14078+0.101191j 0.066352+0.0108735j -0.0813941+0.102422j -0.0415995+0.0388595j 0.0766205-0.0743318j -0.0138783-0.0591111j 0.0256616+0.02261j 0.041154+0.0366471j 0.0392759-0.0161479j 0.0764921+0.0149857j -0.0120709+0.00822381j 0.0392124-0.0256514j -0.0416604+0.000425438j 0.100599-0.00390085j 0.0396735-0.000126293j 0.0182698+0.00404855j -0.0596059+0.0301808j 0.00176969+9.25809e-05j 9.43734e-05-0.0185689j 0.0163765+0.011086j -0.0159279+0.00733993j -0.00192123-0.00127269j 0.0141167-0.00889142j -0.00544883+0.0194623j -0.00101182+0.00232269j -0.0153365+0.00671995j -0.00943858-0.00300413j -0.0181295+0.00220984j 0.0291046-0.0136289j -0.0161742+0.00931094j 
0.0742184+0.0330162j -0.154366+0.0776936j -0.127817-0.0293913j -0.011127-0.0258814j -0.0196656-0.0619627j 0.24366-0.114706j -0.0488694-0.0936681j -0.128815-0.00230327j 0.0482988+0.0559491j 0.0169712+0.0375472j -0.055887-0.0464819j -0.0468158-0.0419628j 0.0667472+0.00182602j 0.00684992-0.0257703j 0.0264874-0.0235515j -0.0134099+0.0346321j 0.04122+0.000561374j -0.0627791+0.011049j -0.0498285+0.0273074j 0.055388-0.000919368j 0.0354275-0.014202j -0.00387212-0.0114981j -0.00226521+0.0191514j 0.0269346-0.0124549j 0.00518582-0.020359j -0.0162999+0.000948463j 0.00335229+0.0155548j 0.00960657-0.00942634j -0.00593156+0.00731098j -0.000721147-0.0125847j 0.00445372+0.00627846j 0.0184921-0.00912715j -0.028213+0.0189697j 0.0123884-0.0119691j 
