0.0640447-0j 0.0103352-0j 0.00843863-0j 0.00121801-0j 0.00105483-0j 0.000124313-0j 5.67408e-06-0j 0.0588852-0j 0.00931056-0j 0.00736065-0j 0.0049071-0j 0.00106242-0j 0.00122677-0j 0.00043373-0j 0.000102231-0j 0.000108433-0j 9.03605e-06-0j 3.36754e-07-0j 0.0384285-0j 0.0388267-0j 0.00599109-0j 0.00605318-0j 0.00464068-0j 0.00468877-0j 0.000669824-0j 0.00423634-0j 0.000676766-0j 0.00428024-0j 0.000748886-0j 0.000499258-0j 0.000756647-0j 6.24072e-05-0j 0.00043237-0j 0.000504431-0j 6.30539e-05-0j 0.00043685-0j 8.82571e-05-0j 4.41285e-05-0j 8.91717e-05-0j 5.2006e-06-0j 6.36941e-06-0j 4.45859e-05-0j 5.25449e-06-0j 6.43541e-06-0j 4.11143e-07-0j 4.15404e-07-0j 1.29498e-08-0j 1.3084e-08-0j 
0.000674643-0j -0.00513333-0j -0.00849853-0j -0.00122277-0j 0.100703-0j 0.0179596-0j -1.43303e-05-0j 1.07471e-05-0j -8.0122e-05-0j -0.000128435-0j 8.95591e-07-0j -1.84792e-05-0j 0.0010093-0j -2.28626e-05-0j -2.67657e-06-0j 0.000362513-0j 3.02099e-05-0j -1.76949e-08-0j -0.000393279-0j -0.000394825-0j 0.00289098-0j 0.00290234-0j 0.00454057-0j 0.00455842-0j 0.000653297-0j -4.33549e-05-0j 0.000655866-0j -4.35254e-05-0j -0.034549-0j 0.000240915-0j -0.0346849-0j 9.16204e-05-0j 0.00085051-0j 0.000241862-0j 9.19807e-05-0j 0.000853854-0j -0.00822964-0j -0.00615005-0j -0.00826199-0j 1.01978e-05-0j -0.00179735-0j -0.00617423-0j 1.02379e-05-0j -0.00180442-0j -9.64473e-05-0j -9.68265e-05-0j 4.45373e-08-0j 4.47124e-08-0j 
-0.000393542-0j 0.00299444-0j 0.00495747-0j 0.000713282-0j -0.0587431-0j -0.0104765-0j 8.35931e-06-0j 0.000704867-0j -0.00525495-0j -0.00842361-0j 5.87389e-05-0j -0.00121199-0j 0.066197-0j -0.00149948-0j -0.000175547-0j 0.023776-0j 0.00198137-0j -1.16055e-06-0j -0.000236135-0j -0.00021421-0j 0.00173582-0j 0.00157465-0j 0.00272628-0j 0.00247314-0j 0.000392257-0j -2.60314e-05-0j 0.000355836-0j -2.36144e-05-0j -0.0207441-0j 0.000144652-0j -0.0188181-0j 5.50113e-05-0j 0.000510668-0j 0.000131221-0j 4.99035e-05-0j 0.000463253-0j -0.00494129-0j -0.00369265-0j -0.00448249-0j 6.12302e-06-0j -0.00107918-0j -0.00334979-0j 5.5545e-06-0j -0.000978976-0j -5.79095e-05-0j -5.25326e-05-0j 2.67414e-08-0j 2.42584e-08-0j 
-5.62202e-05-0j 0.00130148-0j -7.40767e-06-0j -0.014566-0j 0.000132832-0j 0.068589-0j 0.0326743-0j -8.95591e-07-0j 2.03137e-05-0j -1.11949e-07-0j -7.46326e-08-0j -0.00022013-0j 2.67657e-06-0j -6.59665e-09-0j 0.000977273-0j -2.24669e-05-0j 0.000356831-0j 6.75499e-05-0j 3.27733e-05-0j 3.29021e-05-0j -0.000732963-0j -0.000735845-0j 3.95775e-06-0j 3.97331e-06-0j 0.00778229-0j 3.61291e-06-0j 0.00781289-0j 3.62712e-06-0j -9.16204e-05-0j -6.10803e-05-0j -9.19807e-05-0j -0.0334526-0j 3.68741e-07-0j -6.13204e-05-0j -0.0335841-0j 3.70191e-07-0j 0.00102541-0j -5.39879e-06-0j 0.00102944-0j -0.011516-0j -0.00341424-0j -5.42001e-06-0j -0.0115612-0j -0.00342767-0j -0.00230018-0j -0.00230922-0j -0.000255705-0j -0.00025671-0j 
3.27951e-05-0j -0.000759196-0j 4.32114e-06-0j 0.00849684-0j -7.74851e-05-0j -0.0400102-0j -0.01906-0j -5.87389e-05-0j 0.00133231-0j -7.34236e-06-0j -4.89491e-06-0j -0.0144376-0j 0.000175547-0j -4.32653e-07-0j 0.0640962-0j -0.00147353-0j 0.0234034-0j 0.00443038-0j 1.96779e-05-0j 1.78508e-05-0j -0.00044009-0j -0.000399228-0j 2.37633e-06-0j 2.15569e-06-0j 0.00467269-0j 2.16929e-06-0j 0.00423883-0j 1.96787e-06-0j -5.50113e-05-0j -3.66742e-05-0j -4.99035e-05-0j -0.0200858-0j 2.21402e-07-0j -3.3269e-05-0j -0.0182209-0j 2.00845e-07-0j 0.000615681-0j -3.24157e-06-0j 0.000558515-0j -0.00691448-0j -0.00205-0j -2.94059e-06-0j -0.00627247-0j -0.00185966-0j -0.00138109-0j -0.00125285-0j -0.000153532-0j -0.000139277-0j 
0.00230581-0j -0.0719741-0j 0.000303817-0j 4.38521e-05-0j 3.79771e-05-0j 4.47564e-06-0j 2.04284e-07-0j 0.00212005-0j 0.000335209-0j -0.0512595-0j 0.00017667-0j -0.00739867-0j 4.41676e-05-0j 1.56156e-05-0j 3.68063e-06-0j 3.9039e-06-0j 3.25325e-07-0j 1.21242e-08-0j 0.00138354-0j 0.00139788-0j 0.000215698-0j 0.000217933-0j 0.000167079-0j 0.00016881-0j 2.41157e-05-0j -0.0295019-0j 2.43656e-05-0j -0.0298076-0j -0.00521524-0j 1.79748e-05-0j -0.00526929-0j -0.000434603-0j 1.55666e-05-0j 1.81611e-05-0j -0.000439107-0j 1.57279e-05-0j 3.17752e-06-0j 1.58876e-06-0j 3.21045e-06-0j 1.87237e-07-0j 2.29318e-07-0j 1.60523e-06-0j 1.89178e-07-0j 2.31695e-07-0j 1.48024e-08-0j 1.49558e-08-0j 4.66232e-10-0j 4.71064e-10-0j 
-0.00269011-0j 0.0839698-0j -0.000354453-0j -5.11608e-05-0j -4.43066e-05-0j -5.22158e-06-0j -2.38331e-07-0j -4.28535e-05-0j -6.77573e-06-0j 0.00103613-0j -3.57113e-06-0j 0.000149553-0j -8.92781e-07-0j -3.15646e-07-0j -7.43985e-08-0j -7.89115e-08-0j -6.57596e-09-0j -2.45071e-10-0j -0.00161413-0j 0.00157435-0j -0.000251647-0j 0.000245445-0j -0.000194925-0j 0.000190121-0j -2.8135e-05-0j 0.0344188-0j 2.74415e-05-0j -0.0335705-0j 0.00608445-0j -2.09706e-05-0j -0.00593448-0j 0.000507037-0j -1.81611e-05-0j 2.04537e-05-0j -0.00049454-0j 1.77134e-05-0j -3.70711e-06-0j -1.85356e-06-0j 3.61574e-06-0j -2.18444e-07-0j -2.67538e-07-0j 1.80787e-06-0j 2.1306e-07-0j 2.60944e-07-0j -1.72695e-08-0j 1.68438e-08-0j -5.43938e-10-0j 5.30531e-10-0j 
-0.000384301-0j 0.00292413-0j 0.00731001-0j -0.100554-0j 0.000298443-0j 0.000107007-0j 8.16303e-06-0j -0.000353341-0j 0.00263424-0j -4.41676e-05-0j 0.00853104-0j 0.000607555-0j -0.0501074-0j -2.6026e-06-0j -0.012704-0j 6.20083e-05-0j 1.03889e-05-0j 5.8177e-07-0j -0.00023059-0j -0.00023298-0j 0.00169506-0j 0.00171263-0j -2.78464e-05-0j -2.8135e-05-0j 0.000383046-0j 0.00366975-0j 0.000387016-0j 0.00370778-0j 0.000211883-0j -0.0409254-0j 0.000214078-0j 5.37196e-05-0j 0.000374542-0j -0.0413495-0j 5.42763e-05-0j 0.000378424-0j -0.00728614-0j 1.24853e-05-0j -0.00736165-0j -0.000863185-0j 5.48273e-06-0j 1.26147e-05-0j -0.00087213-0j 5.53955e-06-0j 5.91493e-07-0j 5.97622e-07-0j 2.61135e-08-0j 2.63841e-08-0j 
-0.00164735-0j 0.0514208-0j -0.000217057-0j -3.13295e-05-0j -2.71321e-05-0j -3.19755e-06-0j -1.45948e-07-0j -0.00151463-0j -0.000239485-0j 0.0366216-0j -0.000126219-0j 0.00528587-0j -3.15549e-05-0j -1.11563e-05-0j -2.62957e-06-0j -2.78908e-06-0j -2.32424e-07-0j -8.66191e-09-0j 0.00290907-0j -0.000998694-0j 0.000453531-0j -0.000155699-0j 0.000351304-0j -0.000120604-0j 5.07064e-05-0j -0.0620314-0j -1.74076e-05-0j 0.0212956-0j -0.0109657-0j 3.77943e-05-0j 0.00376456-0j -0.000913809-0j 3.27308e-05-0j -1.29749e-05-0j 0.000313713-0j -1.12366e-05-0j 6.68115e-06-0j 3.34057e-06-0j -2.29366e-06-0j 3.9369e-07-0j 4.8217e-07-0j -1.14683e-06-0j -1.35155e-07-0j -1.65531e-07-0j 3.1124e-08-0j -1.0685e-08-0j 9.80313e-10-0j -3.36544e-10-0j 
-0.000235335-0j -3.79771e-05-0j 0.00596008-0j -4.47564e-06-0j -0.0708523-0j 8.78003e-05-0j -2.08497e-08-0j -0.000216376-0j -3.42121e-05-0j 0.00519871-0j -1.80314e-05-0j -3.9039e-06-0j 0.000866452-0j -0.0883209-0j -3.75653e-07-0j -0.00728336-0j 6.38202e-06-0j -1.23742e-09-0j -0.000141207-0j -0.000142671-0j -2.20145e-05-0j -2.22427e-05-0j 0.00327764-0j 0.00331161-0j -2.4613e-06-0j -1.55666e-05-0j -2.48681e-06-0j -1.57279e-05-0j 0.000528927-0j -1.83454e-06-0j 0.000534408-0j -2.29318e-07-0j -0.029042-0j -1.85356e-06-0j -2.31695e-07-0j -0.029343-0j 6.23347e-05-0j -0.00898594-0j 6.29806e-05-0j -1.91098e-08-0j -0.00042783-0j -0.00907906-0j -1.93079e-08-0j -0.000432263-0j 2.90385e-07-0j 2.93394e-07-0j -4.75846e-11-0j -4.80778e-11-0j 
0.00235384-0j -0.0734736-0j 0.000310146-0j 4.47657e-05-0j 3.87683e-05-0j 4.56888e-06-0j 2.0854e-07-0j -0.00208922-0j -0.000330335-0j 0.0505142-0j -0.000174102-0j 0.00729109-0j -4.35254e-05-0j -1.53886e-05-0j -3.62712e-06-0j -3.84714e-06-0j -3.20595e-07-0j -1.19479e-08-0j -0.00137216-0j -0.00142615-0j -0.000213923-0j -0.000222339-0j -0.000165704-0j -0.000172223-0j -2.39173e-05-0j 0.0292591-0j -2.48583e-05-0j 0.0304103-0j 0.00517233-0j -1.78269e-05-0j 0.00537583-0j 0.000431028-0j -1.54386e-05-0j -1.85283e-05-0j 0.000447986-0j -1.6046e-05-0j -3.15138e-06-0j -1.57569e-06-0j -3.27537e-06-0j -1.85697e-07-0j -2.27431e-07-0j -1.63769e-06-0j -1.93003e-07-0j -2.36379e-07-0j -1.46806e-08-0j -1.52582e-08-0j -4.62397e-10-0j -4.80589e-10-0j 
4.80376e-05-0j -0.000738785-0j -0.000605134-0j 0.00406129-0j 0.014493-0j -0.121444-0j 0.000195304-0j 4.41676e-05-0j -0.000665543-0j -0.000527831-0j 3.68063e-06-0j 0.00354249-0j 0.0083839-0j -9.39589e-05-0j 0.00104463-0j -0.0694942-0j -0.0177791-0j 1.74231e-05-0j 2.88238e-05-0j 2.91225e-05-0j -0.000428259-0j -0.000432697-0j -0.000332783-0j -0.000336231-0j 0.00223344-0j 3.17752e-06-0j 0.00225658-0j 3.21045e-06-0j 0.00511796-0j -3.56882e-05-0j 0.005171-0j 0.000637694-0j -6.23347e-05-0j -3.60581e-05-0j 0.000644303-0j -6.29806e-05-0j -0.0281348-0j 0.000911046-0j -0.0284263-0j 0.00010703-0j -0.0125099-0j 0.000920487-0j 0.000108139-0j -0.0126395-0j -0.00135298-0j -0.001367-0j 9.39311e-07-0j 9.49045e-07-0j 
0.000448351-0j -0.00341149-0j -0.00852834-0j 0.117313-0j -0.000348184-0j -0.000124842-0j -9.52353e-06-0j 7.14225e-06-0j -5.32471e-05-0j 8.92781e-07-0j -0.000172442-0j -1.22808e-05-0j 0.00101284-0j 5.26077e-08-0j 0.000256791-0j -1.2534e-06-0j -2.09997e-07-0j -1.17596e-08-0j 0.000269022-0j -0.000262391-0j -0.00197757-0j 0.00192883-0j 3.24875e-05-0j -3.16868e-05-0j -0.000446887-0j -0.00428138-0j 0.000435873-0j 0.00417585-0j -0.000247196-0j 0.0477463-0j 0.000241103-0j -6.26728e-05-0j -0.000436966-0j -0.0465695-0j 6.11281e-05-0j 0.000426196-0j 0.0085005-0j -1.45662e-05-0j -0.00829098-0j 0.00100705-0j -6.39652e-06-0j 1.42072e-05-0j -0.000982228-0j 6.23886e-06-0j -6.90075e-07-0j 6.73066e-07-0j -3.04657e-08-0j 2.97148e-08-0j 
-0.000970911-0j 0.0303063-0j -0.000127929-0j -1.84649e-05-0j -1.59911e-05-0j -1.88457e-06-0j -8.60184e-08-0j 0.00261621-0j 0.000413659-0j -0.063256-0j 0.000218018-0j -0.00913022-0j 5.45044e-05-0j 1.92702e-05-0j 4.54203e-06-0j 4.81755e-06-0j 4.01463e-07-0j 1.49616e-08-0j -0.000582571-0j -0.00278199-0j -9.08242e-05-0j -0.000433719-0j -7.03522e-05-0j -0.000335957-0j -1.01545e-05-0j 0.0124224-0j -4.84913e-05-0j 0.0593216-0j 0.00219599-0j -7.56869e-06-0j 0.0104867-0j 0.000182999-0j -6.55468e-06-0j -3.61433e-05-0j 0.00087389-0j -3.1301e-05-0j -1.33797e-06-0j -6.68984e-07-0j -6.38929e-06-0j -7.88405e-08-0j -9.65595e-08-0j -3.19464e-06-0j -3.76492e-07-0j -4.61107e-07-0j -6.23289e-09-0j -2.97643e-08-0j -1.96318e-10-0j -9.37488e-10-0j 
-2.83064e-06-0j 8.75235e-05-0j -3.7297e-07-0j -0.00147709-0j 8.93283e-06-0j 0.0142659-0j -0.155121-0j -2.6026e-06-0j 7.88465e-05-0j -3.25325e-07-0j -2.16883e-07-0j -0.0012884-0j 1.03889e-05-0j -1.917e-08-0j 0.0117318-0j -0.000131497-0j -0.0473106-0j -0.0280117-0j -1.69846e-06-0j -1.71606e-06-0j 5.07356e-05-0j 5.12613e-05-0j -2.05108e-07-0j -2.07234e-07-0j -0.000812299-0j -1.87237e-07-0j -0.000820717-0j -1.89178e-07-0j 6.34195e-06-0j 4.22796e-06-0j 6.40767e-06-0j 0.00716171-0j -1.91098e-08-0j 4.27178e-06-0j 0.00723593-0j -1.93079e-08-0j -0.00010703-0j 3.73703e-07-0j -0.000108139-0j -0.0272291-0j 0.000730939-0j 3.77575e-07-0j -0.0275113-0j 0.000738514-0j -0.0112401-0j -0.0113566-0j -0.0025311-0j -0.00255733-0j 
0.000274558-0j -0.0020891-0j -0.00522252-0j 0.0718393-0j -0.000213218-0j -7.64498e-05-0j -5.83195e-06-0j 0.000252439-0j -0.00188199-0j 3.15549e-05-0j -0.00609487-0j -0.000434058-0j 0.0357984-0j 1.85939e-06-0j 0.00907615-0j -4.43009e-05-0j -7.42222e-06-0j -4.15636e-07-0j -0.000484846-0j 0.000166449-0j 0.00356408-0j -0.00122356-0j -5.85507e-05-0j 2.01006e-05-0j 0.000805403-0j 0.00771612-0j -0.000276497-0j -0.00264897-0j 0.00044551-0j -0.0860509-0j -0.000152945-0j 0.000112952-0j 0.000787523-0j 0.0295415-0j -3.87768e-05-0j -0.000270359-0j -0.01532-0j 2.62519e-05-0j 0.00525942-0j -0.00181496-0j 1.15281e-05-0j -9.01236e-06-0j 0.00062308-0j -3.95765e-06-0j 1.24369e-06-0j -4.26962e-07-0j 5.49069e-08-0j -1.88497e-08-0j 
0.000274558-0j 4.43066e-05-0j -0.00695343-0j 5.22158e-06-0j 0.082661-0j -0.000102434-0j 2.43246e-08-0j 4.37372e-06-0j 6.91546e-07-0j -0.000105084-0j 3.64477e-07-0j 7.89115e-08-0j -1.7514e-05-0j 0.00178527-0j 7.59326e-09-0j 0.000147222-0j -1.29003e-07-0j 2.50125e-11-0j 0.000164742-0j -0.000160681-0j 2.56836e-05-0j -2.50506e-05-0j -0.00382392-0j 0.00372966-0j 2.87152e-06-0j 1.81611e-05-0j -2.80074e-06-0j -1.77134e-05-0j -0.000617082-0j 2.1403e-06-0j 0.000601872-0j 2.67538e-07-0j 0.0338824-0j -2.08755e-06-0j -2.60944e-07-0j -0.0330473-0j -7.27238e-05-0j 0.0104836-0j 7.09313e-05-0j 2.22948e-08-0j 0.000499135-0j -0.0102252-0j -2.17453e-08-0j -0.000486832-0j -3.38782e-07-0j 3.30432e-07-0j 5.55154e-11-0j -5.41471e-11-0j 
0.000168132-0j 2.71321e-05-0j -0.00425809-0j 3.19755e-06-0j 0.0506193-0j -6.27276e-05-0j 1.48957e-08-0j 0.000154587-0j 2.44423e-05-0j -0.00371414-0j 1.28822e-05-0j 2.78908e-06-0j -0.000619023-0j 0.0630995-0j 2.6838e-07-0j 0.00520348-0j -4.55954e-06-0j 8.84053e-10-0j -0.000296906-0j 0.000101929-0j -4.62884e-05-0j 1.58909e-05-0j 0.00689166-0j -0.00236593-0j -5.1752e-06-0j -3.27308e-05-0j 1.77666e-06-0j 1.12366e-05-0j 0.00111214-0j -3.85736e-06-0j -0.0003818-0j -4.8217e-07-0j -0.0610646-0j 1.32424e-06-0j 1.65531e-07-0j 0.0209637-0j 0.000131067-0j -0.0188941-0j -4.49955e-05-0j -4.01809e-08-0j -0.000899566-0j 0.00648639-0j 1.37942e-08-0j 0.000308824-0j 6.1057e-07-0j -2.09611e-07-0j -1.00053e-10-0j 3.43484e-11-0j 
