-0.00248877-0.000927209j -0.00756133+0.00821895j 0.00424419-0.00022509j -0.0557177+0.00463754j -0.00297257-5.53734e-05j 0.0324259+0.00922248j 0.000413377-0.00285955j -0.00052011+0.000670424j 0.00163943+0.000569003j -6.72791e-05+2.91303e-05j 0.000773228-0.00147344j 0.000908341-0.00139094j 2.46095e-05+0.000269016j 0.00036878-2.32807e-05j -0.00100679-0.000532172j -0.000106545-0.000143936j 0.00106161-0.000202245j 0.000106613+0.000262417j 
0.00744475-0.0121202j -0.00113662-0.0158748j -0.00119733+0.023183j 0.00358717+0.0121213j -0.00138652-0.0389614j 0.00483117+0.00886856j 0.0326687-0.0362684j 0.000360965-0.00773034j -0.00780074-0.00455986j -0.0028279+0.0131891j -0.00735907+0.00245752j -0.00122081-0.0013518j 0.00145612-0.0103239j 0.00151637-0.0221914j -0.00556453-0.00385347j 0.00171228+0.00426205j 0.0140579-0.0222113j 0.015305-0.0038898j 
-0.00333726-0.00627038j 0.00246602+0.00464707j -0.00509266-0.00792148j 0.00232576-0.00266981j -0.00348302+0.00627344j 0.00372525-0.00155669j -0.000784477+0.000188773j -0.00231431-0.00311498j 0.00702615+0.00399907j -0.0113913+0.00263588j -0.00791888-0.00556851j 0.00581867+0.0073935j 0.00525333-0.00472716j 0.0103125-0.00383097j 0.00036653+3.9489e-05j 0.00379702-0.00415829j 0.0125041+0.00538175j 0.00730957+0.00644897j 
0.0101003+0.0131314j -0.0157501-0.0114131j 0.0191942+0.0250787j -0.00169591+0.00357543j 0.00188896-0.00968957j -0.00643111-0.0016547j -0.00681937-0.00165209j 0.0136968+0.00366576j -0.0192541-0.0136056j 0.00752029+0.00385696j 0.0219639+0.0212776j -0.0185883-0.0252495j 0.0121269+0.0134737j 0.0136497+0.0119106j 0.00888315+0.00455951j -0.00145564+0.0110694j 0.00207285+0.000151956j -0.000312622+0.00343148j 
0.010904-0.0208174j 0.00266263-0.0111975j -0.00867558+0.0141669j 0.00848613-0.0115368j -0.0198831+0.0344145j 0.0195889-0.0187872j 0.00859076+0.00961688j -0.000318793-0.0120898j -0.00745626+0.00105074j -0.00174663+0.00972458j -0.00787953+0.0218084j -0.000946357-0.00793022j -0.00275315+0.00712788j -0.0134296+0.0153051j -0.0139078+0.0168237j 0.00816685-0.00707617j -0.00468221+0.000404972j 0.00560833-0.00296134j 
0.00103044+0.00343131j 0.0133781+0.00243692j -0.0136213+0.000136307j -0.0181736-0.00529597j 0.0492029+0.0191946j -0.0178313-0.00856931j 0.0333104+0.0404557j 0.0027638-0.00145298j 0.000493513-0.00354483j 0.0035193+0.00282649j -0.00266812-0.00392575j 0.00159808-0.000372611j -0.00578973-0.00612922j -0.0102451-0.0188702j -0.00442849-0.0113352j -0.00482298+0.00139879j 0.00197333-0.0101448j 0.00138807-0.00642288j 
0.000644828+6.83215e-05j 0.00273625-0.00150727j -0.0028935+0.000391957j -0.000481236+0.000304194j 0.00123335+0.000890983j 0.000620686+0.000117943j 0.00206751+0.00154428j -0.00368152+0.00233634j -0.00101637+0.00154703j 0.0100159-0.00211959j 0.0158706-0.0031169j -0.00832703+0.00217406j 0.00308459+0.000383305j 0.0145476+0.00239323j 0.0126659+0.00167093j -0.00875565-0.00257448j 7.0535e-05+0.00187844j -0.00407022-0.00287575j 
0.0204807-0.0281144j -0.0352481+0.0126122j 0.0528187-0.00853769j 0.00723332-0.00201308j -0.0117185+0.00675981j -0.00378202-0.00452625j -0.0033421-0.00282039j -0.00360622-0.0123785j -0.00920875+0.0196987j -0.0004994-0.00561415j 0.00293159-0.0135707j -0.00800512+0.0164454j 0.00708374-0.00918402j 0.00157392-0.00830968j 1.47304e-05-0.00318948j 0.00879638+0.000129547j -0.00373372+0.000798564j 0.00247784+0.000383447j 
-0.0215934+0.00600014j -0.0140327-0.0233573j 0.00439602+0.0362105j -0.00512289-0.0082184j 0.0145971+0.015823j -0.0083788-0.0242192j -0.0109978-0.0222493j -0.00390406+0.00749724j 0.0105563-0.000332211j -0.00914568-0.00755815j -0.0124795-0.0134499j 0.013975+0.0115642j -0.00330124-0.0019017j -0.00196269-0.016348j 0.000665146-0.0085574j -0.000403233+0.00842701j 0.00225708-0.00148187j -0.00172246+0.00360416j 
0.0045539-0.00236549j 0.0018024+0.0028572j -0.00134143-0.00599057j 0.00139594+0.000464528j -0.00141667+0.000868327j 0.00193076+0.00276173j 0.000257578+0.00538458j -0.00731806+0.00621486j 0.0113843-0.00386271j 0.0030584+0.0026052j -0.00688925+0.00125691j 0.0106214-0.00125089j -0.00792016-0.0017708j 0.00141261+0.000301576j 0.0028399-9.82382e-05j -0.00867655-0.0041184j 0.00240486+0.00125347j -0.0017771-0.00205476j 
-0.00531328+0.000581365j -0.00282123-0.00385688j 0.00749057+0.00385886j -0.008314+0.00951084j 0.0234481-0.0241522j -0.0147338+0.00834691j 0.0232193-0.0187485j -0.00109972-0.00103507j 0.00156398-0.000887224j -0.00502398-0.000578087j -0.0138187+0.0161276j 0.00944379-0.00797945j -0.0101027+0.0170897j -0.0294726+0.0256289j -0.0184912+0.0139329j 0.00749685+0.00187539j -0.01765+0.0117811j -0.00991457+0.00245436j 
-0.039837-0.0328316j 0.00196744+0.0316289j 0.000556344-0.0393624j 0.000173121-0.0160096j 0.00105684+0.0240555j -0.00265634-0.0125194j -0.00825307-0.00649447j 0.00639285+0.00830568j -0.00549777-0.00530316j -0.00371811-0.00293475j 0.000904853+0.0155107j -3.27943e-05-0.013273j 0.00309763+0.0087494j -0.0018599-0.00343789j -0.000636474-0.000427387j 0.00221267+0.00899074j 0.00190644-0.00438578j 0.00284575+0.00114252j 
-0.00907606-0.010414j 0.0182074-0.0120582j -0.0238537+0.00334099j 0.000193061+0.000153333j 0.000492202+0.00260089j 0.00933595-0.00260327j 0.0250809-0.0113515j 0.00242089-0.00456774j -0.0114759+0.0152678j 0.00814736-0.0189225j 0.0223309-0.0171216j -0.020791+0.0125489j 0.00753309+0.00319359j 0.00995179-0.00245304j 0.00765691-0.00606657j -0.00514822+0.0128771j -0.0101426+0.00862421j -0.0126725+0.002451j 
-0.0229656+0.0273656j 0.012838+0.00489392j -0.0145298-0.000726332j -0.00993237-0.00150461j 0.0124486-0.00108802j -0.0111966-0.000147502j -0.0148959+0.00336374j 0.00714968-0.0163512j -0.00918826+0.0127054j -0.0105275+0.00840329j 0.00967479-0.00264094j -0.0135014+0.00768824j 0.0147645-0.00746997j -0.00462853+0.00164082j -0.00560871+0.00559622j 0.0212907-0.00970839j -0.00010429-0.0039397j 0.0106818-0.00139588j 
