0.117937-0.115974j 0.2115-0.155539j 0.0184798+0.0139413j -0.00899336-0.0247983j -0.00537557+0.0587018j -0.0014939+0.00438791j 0.0034789+0.0131707j -0.00480136-0.00499337j 0.00190385+0.0139658j 0.00299973+0.00330306j 0.00392855+0.0166029j 0.00139846-0.00477577j -0.00324989-0.00763824j -0.0224606+0.0391958j -0.0135777+0.00725882j 0.000936694-0.000558166j 0.00138131+0.00357342j -0.000564594+0.00114633j 0.00182865+0.00547796j 8.55159e-06-0.00947303j 0.000759719+0.00331825j -0.00048812-0.00488212j -0.00104278+0.00271699j 0.00124329+0.00558456j 0.00271012-0.00153479j -0.00220576+0.0120924j 0.00152752+0.00135649j -0.00281427-0.00405464j -0.0015728+0.01915j -0.00180307+0.0068002j -0.000909974-0.00518795j 5.006e-05-0.0149345j -0.0304149+0.0111727j -0.00475508+0.00581881j -0.0116587-0.00657629j -0.000195233-0.000680698j 
0.0454852+0.0081847j 0.0290163+0.000642341j 0.0163647+0.0123617j -0.0162234+0.00303711j 0.00796797-0.00969321j -0.00164343+0.00303649j 0.0152037+0.0135516j -0.00400476+0.0166347j 0.0290236-0.0274332j 0.0145551-0.0014132j -0.0295612-0.0137541j 0.00323755+0.0136833j 0.0144742+0.0239557j -0.00879445+0.0139271j -0.00932851+0.00298024j 0.00220779+0.00184239j 0.00386638-0.0039479j 0.00715765-0.00157159j 0.0120299+0.00283408j 0.0176548+0.0157151j -0.0030253-0.00716244j 0.00814571-0.00499338j -0.00363812-0.0156867j 0.00684285-0.0175683j -0.000304292+0.00576535j -0.0224936-0.00537383j -0.0021352+0.00203444j -0.00513736-0.00342482j -0.00461084+0.0244315j -0.00853489-0.0072894j 0.000886614-0.00425172j 0.0170869-0.0127824j 0.00838257-0.000745567j -0.00433028+0.00101274j 0.0035375+0.00202862j -0.000789837-0.000595291j 
0.116954+0.0966722j -0.0919153+0.0198862j 0.0155686+0.000784897j 0.0110217+0.0169657j -0.000759234+0.0611747j -3.9267e-05-0.00138596j -0.00247255+0.00198178j -0.0137494+0.00302259j 0.0300184+0.0107502j 0.00363886-0.0039459j -0.0145428+0.00752649j -0.00372294-0.0129049j 0.0130628-0.00867987j 0.0289722-0.0188031j 0.0161424-0.00761642j 0.00163531+0.000489769j -0.00140902-0.000719774j 0.00225181-0.00082084j -0.000141938-0.000325339j 0.00579766-0.00367085j 0.00117562+0.000149251j 0.00432665+0.00881046j -0.0109547+0.00698123j 0.00065491+0.00999431j -0.00861145+0.008238j -0.0013577-0.0191934j -0.0131352+0.00490585j 0.0046269-0.00953413j 0.00403099+0.0047868j 0.00298963-0.00876226j 0.00322933-0.00329896j -0.00322452-0.00450263j -0.0100582-0.0136172j -0.000262687-0.00104449j -0.00518423-0.00693267j 0.00166056-0.000294181j 
-0.0847152-0.00124641j 0.105665-0.0909204j -0.0536431+0.00601399j -0.0299201+0.00455627j 0.00154418+0.0152325j -0.0133333+0.00228454j 0.0121221+0.0108581j 0.000621038+0.000795038j 0.00947376+0.0136681j -0.00975322-0.0107257j -0.0101925-0.0128586j -0.00722451-0.0178525j 0.00451789+0.00711405j 0.00590461-0.0167763j 0.00534988-0.0089913j 0.00269618+0.00350012j -0.000243139-0.0130691j -0.0040904-0.000318954j 0.00688715-0.0164461j -0.0142052-0.00412656j 0.00223668+0.000789671j 0.00648302-0.000377917j 0.0178952+0.00706765j 0.0086353+0.0029418j -0.00902034+0.00448438j -0.00972299-0.00627399j -0.0052244+0.00463169j 0.0105553+0.000250112j 0.00620871+0.00289816j -0.000165821-0.00487733j 0.00378234+0.000395071j -0.00313211-0.00228557j -0.00345785-0.00272443j -0.000440534+0.000362551j -0.000934877-0.000451833j 0.00102154-0.000912811j 
0.0565688-0.173861j -0.00354931-0.115265j 0.0128113-0.0250775j 0.0199948+0.0486785j -0.00944321+0.0268819j -0.000135055-0.000409154j 0.0118645-0.00216511j 0.00968118-0.00179081j -0.0245009-0.0125215j 0.00170332+0.0149231j -0.00573558+0.00202455j 0.00749654+0.0216812j 0.00611924+0.000193891j -0.00342192-0.00367201j -0.000427333-0.00450747j 0.000119679-0.0011518j 0.00398919-0.00215632j -0.00257425-0.0024053j 0.00959819-0.00258951j 0.00621378-0.00530355j 0.00482626+0.00360469j -0.00559869-0.00324422j -0.0155971-0.0108376j 0.00335705+0.00325245j 0.000676728-0.00660416j 0.00806056+0.0139725j -0.000988569-0.00981565j -0.00960443-0.00468665j -0.00446028+0.000743171j 7.82974e-05+0.00632323j -0.00285437-0.00234809j 0.00271541-0.00396j 0.00533193+0.00111532j -0.000130386+0.00135493j 0.00310926+0.00218208j 0.000143277-0.00161464j 
0.145855+0.0325454j -0.341678-0.250093j -0.00465743-0.0159543j 0.00287305-0.00691974j -0.00887684+0.00455125j -0.00414374-0.00543992j 0.000163169+0.0143853j -0.00503902-0.00375166j 0.0102487+0.00864486j -0.000473521+0.0230545j 0.00629094-0.0011088j -0.0115701+0.0167241j -0.0102896+0.000216403j -0.017033+0.0136348j -0.00915192+0.00061571j -0.00324579+0.0016839j 0.0117538+0.00361375j 0.00175354+0.00375581j 0.0119945+0.0135449j -0.00631683+0.00176466j -0.00358467-0.00684485j 0.00368732+0.00644965j 0.0111465+0.0233623j 0.00229839+0.000348052j 0.00404439+0.0165722j -0.00132401-0.0131434j 0.000764314+0.0211227j 0.00106275-0.00199432j 0.000431163-0.0115333j 0.00145508-0.00608287j 0.00172556-0.000453683j 0.000392723+0.00717051j 0.0148971-0.000860723j 0.0018891-0.00142361j 0.00794596-0.00038463j -0.00184673-0.000830851j 
-0.0648542+0.141495j -0.273684-0.15071j -0.0184032-0.0122994j -0.0036361-0.0311794j -0.00308983+0.0115419j -0.00491287+0.00286388j 0.0264509-0.00824072j 0.00842368+0.00662372j -0.00153384-0.0151215j -0.00540985-0.0105887j -0.00482062+0.0246922j -0.00230619-0.00848482j 0.0106295-0.0151423j -0.000497778+0.00830847j -0.00378794+0.00279476j 0.00641053-0.000757159j -0.0107324-0.0113917j -0.000397989-0.00568122j -4.68821e-05-0.0198112j 0.0143835-0.0140632j 0.000777534+0.00622943j 0.0080285-0.00118896j -0.0170614-0.00809984j -0.00166452+0.00462762j -0.0034258-0.0151568j -0.0221979+0.00814836j -0.00265394-0.0188575j -0.0067094+0.00560133j 0.013439-0.0107069j -0.0123014-0.000552605j -0.0046415+0.00380102j -0.00285441+0.005216j 0.00694166-0.00138845j 0.00202979-0.000144364j 0.00235911-0.000976852j -0.00107091-0.000653404j 
-0.160591-0.179764j -0.0173629-0.00641492j -0.000588304-0.012929j 0.0326055-0.0156205j 0.0174718-0.00554756j -0.00566076-0.00367008j 0.0138499+0.0323884j 0.00128327+0.00837704j -0.0108329-0.00551162j 0.016043-0.0224452j 0.0230219-0.0026646j 0.0209527-0.0118545j -0.0162874-0.000494293j -0.00507446+0.00400872j -0.0039841-6.11919e-05j 0.00384002+0.00183594j -0.00408206+0.00142775j 4.90384e-05+0.00217429j -0.00766396+0.00895905j -0.00789186+0.0110281j 0.00110856+0.00397441j 0.00352758-0.00295414j 0.0149277-0.0167599j 0.00272693+0.00670571j -0.012673+0.00467942j -0.00618804+0.0055065j -0.00844201-0.00289487j 0.0213455-0.0122917j -0.00682118-0.00488157j -0.000832628+0.00127463j 0.0115248-0.00121369j 0.00738355+0.00396503j -0.00154319-0.00176968j -0.00234341-0.00155126j -0.000750133-0.00211963j -0.000219493+0.000334617j 
0.0670148+0.154641j -0.11125+0.0253907j 0.0148264+0.0077906j 0.0289847-0.013505j 0.0096282+0.0270757j 0.00283316+0.00381611j 0.00338891-0.0106751j -0.00276408+0.00929252j 0.00337527-0.00858381j 0.0201128-0.0116155j 0.00460722-0.0050583j 0.0189524-0.00164161j -0.00619433+0.00255758j -0.011229-0.012731j -0.00370092-0.0105709j -0.00368792-0.00239972j 0.00945108+0.00793167j 0.00302012+0.000223844j 0.0107849+0.0136011j 0.00656426+0.0072355j -0.00391006+0.00368528j 0.000408849+0.00390707j 0.00436238-0.0123403j -0.00851045+0.00676902j -0.00692914+0.00277378j -0.00140831-0.00685872j -0.00351449-0.00210631j 0.0166375-0.00940389j 0.00633674+0.000361285j 0.000993494-0.00495403j 0.00752594-0.0011484j -0.000321642+0.000835821j 0.00950464+0.00579416j -0.000367321+0.000200278j 0.00447669+0.0059901j -3.87708e-06-0.00300281j 
0.0604453-0.0212131j -0.183949+0.267742j -0.0141559-0.0105564j -0.0493509+0.00882919j 0.0519933+0.0195213j -0.000220522-0.000153531j 0.0195769-0.00925884j 0.0117291-0.0153783j -0.0165712+0.0230623j 0.00574316+0.010358j -0.0208378+0.00247034j 0.0147709+0.00216279j 0.0165946-0.00300459j -0.0175026-0.0154421j -0.0135382-0.00877273j -0.00232082-0.00283048j 0.00504681+0.0080543j 0.00200805+0.00145186j 0.00552625+0.0138699j 0.00444716+0.00408336j -0.0056425+0.00248284j -0.00429002+0.00139145j -0.00296173-0.00552058j -0.0167259+0.00230905j 0.00209453-0.0014224j 0.00930664-0.00139165j 0.00352761-0.00107997j 0.00752264-0.00156474j 0.00809888+0.00442656j 0.00140174-0.000785281j 0.000674586+0.000159978j -0.00770017-0.00134943j 0.00218468+0.00906225j 0.0034379+0.000471008j 0.00162798+0.00639731j -0.00294912-0.00219761j 
-0.269686+0.283977j -0.095568+0.125507j 0.0349649+0.0275047j -0.0103255+0.0067815j 0.010048-0.012355j 0.0138892-0.00283049j -0.00857448+6.9524e-06j -0.00523699-0.00484738j 0.00851828+0.00718682j 0.0016179+0.00287678j 0.00435405+0.00841174j -0.00234368-0.00149503j 0.00222625-0.00859869j 0.00654223+0.00781214j -0.000875113+0.00746342j -0.00158994-0.00108259j 0.000465288+0.0105853j 0.00780649-0.0019446j -0.00475269+0.0155732j 0.0108253-0.00343803j -0.00429358+0.00136532j 0.00699957+0.00251533j -0.00717273+0.0082352j -0.00552778+0.00690774j 0.00189374-0.00166576j -0.00928585-0.00580568j -0.00102939-5.61718e-05j -0.000823827+0.00116191j -0.00857034-0.00586819j -0.00300841-0.00193483j 0.000328503+0.0016152j 0.00681222+0.00526265j -0.00523034-0.00778291j 0.000814319-0.00345535j -0.00415924-0.0049942j -0.000943211+0.00227496j 
0.21711+0.163556j 0.107364+0.107987j 0.014744-0.050601j -0.0079088+0.0215423j 0.00304902-0.0207584j -0.0121114-0.0208308j 0.0268895+0.0373277j -0.00160558-0.0115253j -0.000508066+0.0195903j -0.0013309+0.00835713j -0.000879923+0.00975663j -0.000887435-0.00245396j 0.000301948-0.0133508j -0.00321996+0.00707724j -0.00252694+0.00795347j 0.0116012+0.0040422j -0.0194239-0.0059711j -0.00123808+0.00155171j -0.0227568+0.00124209j 0.000221416+0.0172258j 0.000217995-0.0065493j -0.000835877+0.00172583j -0.00517576-0.00745868j -0.00146605-0.0110826j 0.00024563+0.00324893j -0.0023321-0.00931412j -0.00179096-6.69611e-05j -0.00207092+0.00185924j 0.00198926-0.00282488j -0.00193377-0.00702976j -0.000606615+0.00276931j 0.000569708+0.0074514j 0.00180133-0.00402612j 0.000230366-0.00572686j 0.00187745-0.00248867j -0.000923562+0.00260463j 
