0.00583433+0.0741123j 0.0134581-0.0107032j -0.0235284+0.0412072j -0.0292181+0.031788j 0.00487105-0.0530062j -0.0142071+0.00152164j 0.0120912-0.0659339j 0.0382881-0.0336753j -0.0284517+0.00924079j -0.00570273-0.00936723j -0.0188888+0.0201101j 0.00607495+0.00885714j -0.00964598+0.0224836j -0.00722868-0.00195759j -0.0390787+0.0766296j 0.0142301-0.032923j -0.0128175-0.0344294j 0.0115963-0.0345471j 0.0146214-0.0128968j -0.00720391+0.0391849j -0.0284992-0.0154799j -0.010259-0.00799532j 0.00294849-0.00117077j 0.00676531+0.00830776j -0.040967+0.0228642j -0.025527+0.0128766j 0.0108976-0.00950681j 0.00608979+0.0101167j 0.0121049-0.00080373j 0.0212438-0.025055j 0.0152183-0.00245997j -0.020434+0.00719654j -0.000121586+0.0240213j -0.00793089+0.0185909j -0.00227446-0.000764904j -0.00028382+0.00664389j 0.00159498-0.00546646j 0.0163091+0.00585128j -0.0247011+0.0278801j -0.0143359-0.0121954j 0.013649-0.00511837j -0.0124947-0.00229569j -0.00428686-0.00473406j -0.0359095+0.0146683j 0.00820553-0.0090605j 0.0506369-0.0170023j 0.0077348+0.0392018j -0.0196346+0.00784536j -0.00868418+0.0247227j 0.00891868+0.0139189j 0.0170135-0.0180609j 0.0216793-0.0049854j 0.00552343-0.0254223j -0.00474286-0.0179403j -0.0538311+0.0134208j 0.00899102-0.00605891j 0.00173318-0.005273j -0.0201029-3.22342e-05j -0.0260622-0.0141523j -0.0224137+0.0115399j 0.0369619-0.0197816j -0.103888+0.00584883j -0.0396329-0.0107591j -0.0158553+0.00934652j 0.0230535-0.037866j -0.0756265+0.0511375j 0.0691761-0.0866686j -0.00781184+0.0753792j 0.0415379-0.0254933j 0.00384804-0.0478453j 0.00298255-0.0414484j -0.0143935-0.00761166j 0.00581209-0.0144698j 0.033824+0.00127853j 0.11479-0.10395j -0.103912+0.098574j 0.114004-0.135079j -0.104234+0.0872944j 0.094211-0.0173845j 0.0161293+0.031921j 0.0552242+0.00797313j 0.0235998+0.0187403j -0.0109757-0.043278j -0.173033+0.142069j 0.0276934+0.00661674j 0.0300206+0.00560707j -0.0175807-0.00228092j -0.00395944-0.0150337j -0.0753531+0.0796117j 0.0264999-0.030228j -0.00959386-0.000162876j -0.0238734+0.060205j -0.0669066+0.0322069j -0.107985+0.200634j 0.144815+0.0202202j -0.178686+0.220682j -0.086015+0.0420748j 
0.0363596+0.00786812j 0.0303659+0.00696561j -0.062047-0.00532917j -0.0181852+0.0220161j -0.0251513+0.00326912j 0.00176321-0.0399836j -0.0181356-0.0183155j -0.0740981-0.025753j -0.00205523+0.0233028j -0.0057605-0.0388803j -0.0134324+0.0428854j -0.00408821+0.0577432j 0.0401882+0.00197606j 0.0343216-0.0419283j 0.0408006+0.0149668j 0.051146+0.0164923j -0.0147926-0.048007j -0.0233488+0.0144969j -0.0301776-0.00755161j -0.0571136+0.02633j -0.0374451+0.0763592j -0.015454-0.0541711j 0.0385246+0.0496901j 0.0519275+0.00264153j -0.00175923-0.00429506j 0.00173384+0.0169512j -0.0187601+0.05082j 0.00487411-0.0690885j -0.00821518-0.038404j 0.0147121+0.0334581j -0.0378227+0.0683024j -0.032266+0.010493j -0.0186657-0.00972987j 0.045422+0.0170439j 0.0271095-0.025612j 0.00748034-0.0179749j -0.0349157+0.036662j 0.0220113+0.00873188j -0.00239107+0.0470914j -0.0726995+0.00466589j -0.0186305-0.00769152j -0.0642826+0.133715j -0.0775565+0.00872973j -0.0523182+0.0273679j -0.000809324-0.0881081j 0.0256391-0.0610245j -0.0746457+0.114467j 0.0950517+0.0600698j 0.0159146+0.00530584j -0.0996598-0.0382138j -0.0200689-0.0480154j -0.0437603-0.0594325j 0.101898+0.00903387j 0.0433991-0.048651j -0.0474404+0.0402507j -0.0378752+0.0710518j 0.0396328+0.0263391j 0.0330685+0.0116j -0.037389-0.104987j 0.0188474+0.13633j 0.00209325+0.0398298j -0.0696352+0.0130623j 0.0576844+0.123041j 0.0392067+0.0292853j 0.0144535-0.0525564j -0.0610583-0.0148628j -0.0191203+0.0409746j 0.00355807-0.00611414j -0.021415+0.0784483j -0.0772051-0.0745592j 0.00224773-0.10785j -0.00695365-0.0816174j 0.074858-0.0192385j 0.00506644+0.0296254j -0.0136806-0.00022641j 0.0664442+0.00683538j -0.0524015+0.0971997j 0.0674687+0.0937597j -0.00724602-0.0413993j -0.0336899+0.0380587j -0.071975-0.0333701j -0.0380855-0.0518071j 0.0480073-0.040096j -0.0375987+0.0127704j 0.0230969-0.102509j -0.0300576-0.0857399j -0.00161719-0.00498227j -0.0750621-0.00513856j 0.0120322-0.0343547j 0.0454072-0.0112567j 0.0409111+0.000705742j -0.00226815-0.0624517j 0.0334816-0.0356445j 0.0582285+0.0189754j 0.0336872+0.0262518j -0.0234496-0.0235241j -0.010909+0.0235317j 
0.0163797+0.00880549j -0.0375796-0.0061255j 0.0667663+0.0390112j -0.0104277+0.0441726j -0.00746559-0.0378344j -0.00547344-0.00536614j -0.0739902+0.0241398j 0.00378311+0.0294823j -0.00107159-0.00232985j 0.00877371+0.0111283j -0.00427565+0.0156641j 0.000540319+0.0726315j -0.00942644+0.00597694j -0.0521872-0.0496249j -0.0492613+0.0138306j 0.00107041-0.0248332j -0.0453654-0.0343642j 0.0249621-0.00326667j 0.0469329+0.0540411j 0.0499928+0.0127077j -0.0263262-0.0348104j -0.0898918+0.0353268j 0.0545521+0.0471406j -0.020727+0.0223895j -0.0325351-0.0246557j -0.0407854-0.0294435j 0.0333622+0.0258342j 0.0382893-0.0457234j -0.0127487+0.0208381j 0.0341724+0.0119548j 0.0343527-0.0154884j -0.00706393+0.0532266j 0.0286725-0.0102834j -0.0303723+0.000664434j -0.0316751+0.0253003j -0.0458525-0.061319j -0.00823504-0.0137283j 0.0236997-0.0793657j -0.0744388+0.0215068j 0.0670906-0.0159781j -0.0246597+0.00169771j 0.0205371+0.0545415j 0.00941624-0.0224249j -0.0440478+0.0950895j 0.0463322+0.027162j 2.91672e-05+0.00640522j -0.0115985+0.0852685j 0.0312828-0.0618298j 0.035618+0.0522759j -0.0517523+0.175713j -0.0835489+0.0447986j 0.0342502+0.0031182j -0.0886863-0.0450785j -0.041934-0.0477314j 0.00167242+0.031329j 0.00321913+0.0522237j 0.0824385-0.0848327j 0.0899331-0.097981j -0.152074+0.0155749j 0.0119932-0.0753615j 0.0677993+0.0189895j 0.020148+0.00623197j 0.0626476-0.0953671j -0.00456055-0.0655898j -0.0115862-0.0703797j 0.03076+0.0276323j -0.172285+0.0762673j 0.0626685+0.00266787j -0.0359546-0.0059268j -0.0114135+0.0226953j -0.040361-0.00712265j -0.0308599-0.00647825j 0.0309618+0.0503492j -0.00619909+0.0418746j -0.0420601+0.0364706j 0.042078-0.0626908j -0.0208948+0.0424466j -0.0240685-0.088073j -0.0378108+0.126266j 0.0530073+0.0819018j 0.0645266+0.148386j -0.060681+0.0232767j -0.138038-0.0611598j 0.0108892-0.0572325j 0.0110307-0.00782544j -0.0202842+0.00911936j 0.0485377-0.00559239j -0.00136146+0.0604948j 0.0081367-0.0141834j -0.0706354-0.0343541j 0.00188816-0.000715186j 0.00306163+0.0419123j 0.0280092-0.10729j 0.0808968-0.0129704j -0.000834979+0.0568238j 0.0855263-0.0252981j -0.0648947-0.104329j 
0.0144818-0.0497405j 0.0482335-0.0207536j 0.00045254+0.0333153j 0.0108606+0.00989243j -0.0155315+0.0243375j -0.0222794+0.00812346j -0.000804088+0.00274491j 0.0395933-0.00739049j -0.0273896+0.00628053j 0.0202889+0.00791069j 0.0178719+0.0071567j -0.0219438-0.0225763j -0.0297949-0.0354144j 0.0287581-0.0456368j 0.0490445-0.045568j -0.0200834+0.0218369j -0.0187632+0.0353259j -0.0534163-0.00265399j 0.0198043+0.0467071j -0.00598419+0.0408938j -0.0336718-0.0114205j 0.0217763-0.0433191j -0.0549923+0.0195016j -0.0309982-0.0487519j 0.0657424-0.00745001j -0.0509464-0.0191635j 0.0136195+0.04712j 0.0465637+0.0113702j 0.00358601-0.0128135j 0.03675+0.0421868j 0.0322349+0.00137822j -0.00613719-0.0185401j -0.0480104+0.017152j 0.00896314-0.0181854j -0.0037004-0.00275438j 0.0114853-0.0538755j 0.0115458+0.0604639j 0.0235773+0.00701064j -0.00825034-0.00898482j -0.0418246+0.0851337j 0.0304764-0.0577669j -0.00283468-0.066725j 0.0285759+0.0452857j -0.0221311-0.0366621j -0.0555834-0.00523669j -0.0361728-0.024279j -0.0390733-0.0523347j -0.0424771-0.0154586j -0.0787686-0.104786j -0.0222551+0.0262069j 0.0521878-0.0509303j 0.00645691+0.0177213j -0.0129224-0.0840047j 0.0644992+0.0573005j -0.0874546+0.0743386j 9.79381e-05-0.049285j -0.0176316+0.00243817j 0.0106381+0.0413709j 0.0401962-0.0133573j 0.00591394-0.105878j -0.00893798+0.0315992j -0.113639+0.0651177j -0.0724146+0.0514169j 0.0443791-0.00189315j 0.107153+0.0108536j -0.0682539+0.0405116j 0.0661641-0.0518024j 0.0153135-0.0481386j 0.0477999-0.0802818j -0.00483988+0.0661072j -0.0152153+0.0633275j 0.0452692+0.00734336j -0.0697067+0.0500768j 0.0182226-0.0272858j 0.0767311+0.0273972j -0.0853678-0.0224491j 0.0174597+0.130555j -0.0478331-0.107695j 0.0554819-0.117312j 0.0129334-0.0518165j -0.029447+0.0151912j 0.0509098-0.0569732j 0.00831181+0.0227914j -0.0826894-0.0685236j 0.0300721-0.0275812j 0.0462402-0.0242091j -0.0275679+0.0470914j 0.0108324+0.000899746j -0.0668146-0.0173916j 0.0305599-0.0803189j 0.000286807-0.0228123j -0.000557958-0.0371388j -0.0458415+0.0199933j -0.0474943-0.0787019j 0.0848604-0.0536175j -0.0820994-0.0886618j -0.0495783+0.0375865j 
-0.0181943-5.0305e-05j -0.00745828+0.0153678j 0.00130929+0.0141038j 0.00660206-0.00728808j 0.00780891+0.0136656j -0.00106389+0.00971573j 0.000646139-0.025359j -0.0551809+0.0136977j 0.00305562-0.0261437j 0.00496953+0.0335986j -0.05248-0.0299652j 0.0429274+0.0406516j 0.0464094+0.0168149j -0.0281061-0.0398168j -0.0478337-0.00966118j 0.00854069+0.032597j 0.0124343-0.00767027j 0.0118891-0.00733665j -0.0371261-0.0156606j -0.0422247-0.0119315j -0.0431915-0.0485347j -0.00294487-0.0647313j 0.00619525-0.0101352j 0.017724+0.00918747j -0.0598947-0.01225j -0.0204545-0.0184412j 0.00694841-0.00357016j -0.031445+0.0419387j 0.00137675-0.00453518j -0.0313764-0.00409376j 0.0244401+0.0232036j 0.031267+0.0120789j -0.0265564-0.0404139j -0.00866736-0.00488562j 0.0251597+0.0198718j -0.0549471+0.0341223j 0.0384622+0.0151625j 0.00568614+0.076724j 0.0173021+0.0180297j 0.00639276+0.00542708j 0.0207206+0.0109876j 0.053393-0.0924446j -0.0120779-0.0583143j 0.0513395-0.0135385j 0.0158944+0.0527862j -0.00824945+0.0435164j -0.0271032+0.0211481j 0.0558008+0.0454635j 0.0384692+0.0512725j 0.0351862+0.0851809j -0.0843606+0.0796431j -0.0547049-0.0577299j -0.113173+0.0529666j -0.0599858-0.00743613j -0.038199+0.000761403j -0.0541522-0.0561743j -0.0102359-0.00324672j 0.00342951+0.0270174j -0.0285275+0.0125716j 0.0193171+0.0173303j 0.00638486-0.00127312j 0.0473414-0.0608534j 0.0581426-0.0502128j 0.0203295+0.0308958j -0.0505415+0.00363302j -0.00578079-0.0870399j -0.0338271-0.00868108j -0.0164532+0.0550372j -0.0235937-0.012675j -0.0158755-0.104958j -0.0359901-0.0332683j -0.0479299-0.00485053j 0.0555077-0.00868354j 0.0294297+0.00882151j -0.0748956-0.0340506j 0.0485243-0.00133707j -0.0303301-0.0240455j 0.0660959+0.0266444j -0.11663+0.00419261j 0.0171547+0.0142245j -0.0110274+0.0645032j -0.0367288-0.00200292j -0.0287164+0.0229203j 0.0245609+0.0404924j -0.0706711-0.0253517j -0.0202886-0.0414618j -0.0605942-0.00663782j -0.0352328+0.0184324j 0.0231163-0.062347j 0.0106067-0.00495873j -0.00805465+0.0385198j -0.0215455+0.0322711j 0.0187461+0.0405436j 0.0486962+0.0467318j -0.0700111+0.0217856j 0.0264855+0.00246361j 0.0145688-0.0365797j 
-0.00306904+0.0279204j -0.0102741-0.0128568j 0.0152636-0.0110651j 0.0140086-0.00478648j -0.0141596-0.0470979j 0.00252373+0.0155671j 0.0198718+0.00571565j 0.0120042-0.0624655j -0.0392724+6.53803e-05j 0.0246314+0.00564496j 0.0182466+0.0088542j 0.0165628-0.00917026j -0.005649-0.00292603j 0.0157402+0.0115656j 0.0583117+0.038941j 0.0062039+0.00509871j 0.0178987-0.0090618j -0.00790056+0.0173223j 0.0126482+0.0426485j 0.0285531+0.0201296j -0.0184914-0.0404777j -0.0125655+0.0313452j 0.063122+0.00995057j -0.00783247+0.0299019j 0.0425214+0.0378991j -0.0355652-0.0207706j -0.00846562+0.0343589j -0.0234645-0.020439j 0.00589106+0.0755659j 0.00546313-0.0050415j -0.0554263-0.0576109j 0.0245545-0.00327361j -0.0102699-0.00510847j 0.0110317+0.0564517j -0.0328988+0.00485841j -0.004572-0.0734995j -0.0286701-0.0113948j -0.0171806-0.0139177j 0.0497254+0.0238698j 0.00255371-0.000400512j -0.081656-0.0332797j -0.0910117+0.0420335j -0.0308439+0.041776j 0.0481817-0.000994483j 0.0664506-0.0483459j -0.0071221-0.019987j 0.0264599-0.0176763j -0.0454617-0.0847611j -0.0358349+0.0160158j -0.00128498-0.0480845j 0.055368+0.0525893j 0.0555507-0.0259447j -0.0368742-0.00350772j -0.058758+0.00856744j 0.0352067-0.11441j 0.0314122+0.0984421j -0.0173899-0.0100267j -0.0211763-0.00177106j -0.027942-0.013775j 0.0400939+0.0341601j 0.111396-0.0980347j 0.0516335+0.0301008j 0.0858225-0.0117151j -0.0512694+0.0164621j -0.122703-0.0200762j 0.0295829-0.00638987j 0.00127061+0.0417295j 0.031237+0.002073j 0.0264902+0.0790964j 0.0434533-0.0282824j 0.0210346-0.00526339j -0.00482279+0.00731369j 0.0212705-0.0326019j -0.00368746+0.0660101j -0.0540042-0.0382125j 0.0609991+0.00119196j -0.0460056-0.0349098j -0.00347504+0.00919762j -0.0458983+0.0294834j -0.0392386-0.00167096j -0.00440631-0.0098287j 0.015206+0.0207527j 0.00174669-0.0150667j 0.0309278+0.00971727j -0.0308396+0.0303049j -0.00271337+0.0190921j 0.0159241-0.0279893j 0.025477+0.0138548j 0.0602915-0.051866j 0.044115+0.0551224j 0.00018411-0.0407824j 0.0107452+0.0119143j -0.0109916-0.0459014j 0.0186432+0.0202495j -0.0208885+0.0227838j 0.0514525+0.0133773j 0.0409324-0.0200309j 
0.0150406-0.000264005j 0.00753502-0.00565088j -0.00681613-0.00964209j -0.00332776-0.0306107j -0.00986493-0.00531957j -0.0132796-0.00683971j -0.00258423-0.0178802j -0.0187212+0.0317854j 0.00898502-0.0260417j 0.0208051+3.6225e-05j 0.0035223-0.0365869j -0.000961054-0.00989336j 0.0063393+0.0122215j 0.0240473+0.00696018j -0.0161735-0.0652153j 0.00937916-0.0630926j -0.0374682+0.00876896j -0.00202153-0.0624069j 0.0217615-0.0107917j -0.0363991-0.0195618j 0.072512-0.0603258j 0.0175362-0.0176832j 0.0731789+0.00113971j -0.00707384-0.0166087j 0.0280325-0.0390452j 0.0138033-0.00779979j 0.0360008+0.0219596j 0.00544157+0.0149184j 0.0428+0.0412542j -0.0378664-0.0532228j -0.0454734-0.0940843j -0.0129187-0.00396723j 0.0207914+0.00285525j -0.00770622-0.047372j -0.0193949-0.0559522j -0.0494735+0.0454255j -0.0602499+0.100551j 0.0203832+0.0377857j -0.038149-0.0318433j 0.00446007+0.0228071j 0.0596537+0.0221822j 0.0749125-0.0269815j 0.00952048+0.0591333j -0.000539181+0.0759685j -0.0675474+0.0140961j -0.08866-0.00289968j 0.0549731-0.0437463j 0.0336215+0.00198363j -0.00278771+0.00489675j -0.0632796+0.0671217j -0.0333163+0.0223148j -0.0581338-0.0449176j 0.0597375-0.093019j -0.0756383-0.041569j -0.0415494-0.103506j 0.00219717-0.0164463j 0.00461916-0.0442632j -0.00365439+0.00275242j 0.0777274+0.0815059j 0.0534181+0.0509629j 0.0609373-0.0533255j -0.0619385-0.00981166j -0.00488348-0.0413314j -0.0425665+0.0836093j -0.0655736+0.0459829j -0.0507133-0.0669665j -0.103875-0.0478587j -0.0090131+0.0290952j -0.000668673+0.0880968j 0.124727-0.0344475j 0.0418399+0.0172779j -0.0486915+0.0204742j -0.000917718-0.0938028j -0.0157663-0.00342533j 0.0393462-0.0528183j 0.021207-0.0327866j 0.0361819+0.000286229j -0.0196292+0.0480007j 0.0294965+0.0128671j -0.0311063-0.0412925j -0.00808638-0.000342657j 0.0602958+0.0446595j 0.0305174-0.0502162j -0.00498872-0.00546958j 0.0137232-0.0262562j 0.0262902+0.013405j -0.0197492-0.0961558j -0.0544573-0.0311383j 0.0202693-0.00489523j 0.00261637+0.00749788j -0.0869515+0.0163989j -0.0566103-0.0200787j -0.00828619+0.0272799j -0.0200287+0.0500141j -0.0332002-0.0301976j -0.0410692-0.00697617j -0.000871856+0.0261522j 
0.0016493+0.0167731j -0.0102476+0.00720007j 0.00498062-0.0215307j 0.00450097-0.0191179j -0.00697422-0.0316923j -0.0211249-0.00377021j -0.0232481+0.00727939j 0.0104562+0.0310823j 0.0284342-0.048042j -0.00400433-0.0231079j -0.00360519+0.00335566j -0.00312738-0.0280199j 0.0136098-0.00547867j 0.00328389+0.0154709j -0.0465697-0.0101795j -0.0133215+0.0124366j 0.0203442+0.0214517j -0.0262228-0.066613j 0.00389898-0.008006j -0.0154758-0.0459576j -0.00952527-0.0119799j 0.0672171-0.00231173j 0.0460348+0.0303855j -0.00871019+0.0610333j -0.0148687-0.0375694j 0.00414006-0.0522786j -0.0307861-0.0108606j -0.018512-0.00205747j -0.0489969+0.0561655j 0.0538768-0.0102748j -0.03598-0.0840397j -0.000799994+0.0175682j 0.0525163+0.0462728j -0.0946447-0.0811068j 0.0382044-0.0394966j -0.073667-0.00908931j -0.0201245-0.0210788j -0.0569138+0.041415j 0.0277192+0.0121313j 0.0891354-0.0214151j -0.0391212+0.00934707j -0.0625853-0.0384027j 0.0197168+0.038695j -0.0775016+0.0876243j 0.0178623+0.0202404j 0.0395596-0.0152713j 0.0495645+0.108637j 0.0622512+0.0801837j 0.105546+0.0134932j 0.00125018+0.15717j -0.0974679-0.0731061j 0.0236665+0.034418j -0.0171232+0.117226j -0.00066361-0.000365107j 0.0323726+0.0891117j -0.0269982+0.0104288j 0.0073839-0.0355589j -0.0330511-0.053971j 0.0475516+0.00546966j -0.0265205+0.0506511j -0.181833+0.150345j -0.0322455+0.0073298j -0.0728611+0.0374539j 0.105528-0.0177661j 0.0951002-0.023047j -0.0160457-0.00810257j 0.00461338+0.121987j -0.0413384-0.00759571j -0.103343-0.0477947j -0.0248609+0.0102033j 0.0165049-0.0582893j -0.048476-0.054523j -0.00549496+0.0284287j 0.00790197-0.0847617j -0.0230213-0.0180082j -0.00323076+0.0675664j 0.0151231-0.00161204j 0.0165788+0.0288756j 0.000170525+0.017387j -0.00705937-0.00447069j 0.051371-0.0325888j -0.0138563-0.0337016j 0.0273741+0.0399747j 0.0129886-0.0224416j -0.00699521-0.0346881j 0.000790915-0.0134719j -0.0615623+0.00191271j -0.0420054+0.0239919j -0.00577717+0.0610192j -0.101104-0.0117435j 0.0207216+0.0565682j -0.0108048+0.0119302j -0.00536246-0.0245977j 0.00709923-0.0144061j -0.021396-0.0170852j -0.0122038-0.00511991j -0.0136529+0.0307313j 
0.00726386+0.0192716j 0.0275378-0.0219737j 0.0507047-0.0118592j 0.0210295-3.31322e-05j 0.000626568-0.00162786j -0.0293484-0.00114976j -0.00524529+0.0100102j -0.00517204-0.0199912j 0.000216856-0.00329569j 0.0807358-0.0157299j -0.056824-0.0190931j 0.0402495+0.0576631j 0.0531385-0.0336877j 0.0462396-0.0233548j 0.0329727-0.0204521j -0.0247295-0.0274526j 0.00492837-0.0566272j -0.0269653-0.00167392j 0.0255788+0.0241599j 0.0279231+0.0459876j -0.000806277+0.0189217j 0.0623833+0.00201567j 0.0179823+0.00697979j 0.00349717+0.0684743j -0.00593308-0.0205826j -0.0267985+0.0256705j 0.0172253+0.0209277j -0.00975748-0.00692509j -0.0124341-0.0406964j -0.057073+0.00918465j -0.0306652+0.0478512j 0.0366932+0.0192299j 0.0365329-0.000652498j 0.0326668+0.00518011j 0.00836936+0.0386014j -0.113209-0.0628219j 0.050085+0.0747236j 0.0412555-0.040121j -0.0102125+0.0100499j 0.0445416-0.00190408j -0.0697827+0.0261426j -0.115294+0.0609526j 0.0230754+0.0195176j -0.0105724+0.0668842j -0.00990349-0.0117372j 0.0919059+0.0538279j -0.0323954-0.0333105j -0.0258982+0.026032j -0.0187714+0.00793214j -0.00164853-0.0576868j 0.0497502-0.0337405j -0.022287+0.0271464j -0.101187-0.0150732j 0.00588793+0.0306272j 0.0108395+0.122824j -0.0109313+0.0587591j -0.0609156+0.0340997j -0.137476-0.0123342j 0.0286182-0.0712509j -0.106561+0.0312433j -0.0327231+0.0356171j -0.0285457-0.0328923j 0.0117085+0.037534j 0.00723386-0.023058j -0.0515571+0.00791389j 0.0617997+0.0415745j -0.00889943+0.0417256j -0.0108822-0.0160051j -0.039951+0.0493161j 0.0829926-0.00835737j 0.00337126-0.0673788j -0.0133105-0.0312166j 0.0276097+0.0117282j 0.00109627+0.0482993j -0.0354327+0.0726721j -0.0273572-0.05209j -0.0217677+0.0272073j -0.0637094-0.0252415j -0.0416328+0.0370401j -0.0154339-0.0143065j -0.0227956-0.0255184j 0.0198202+0.0126697j -2.14877e-06-7.52985e-05j -0.0590606-0.0229335j -0.00718431-0.0333743j 0.0169962+0.00227434j -0.0362151+0.0148071j -0.0109667+0.0441708j 0.029988-0.0436611j 0.0164887-0.0170489j 0.0237243-0.00395787j 0.000455524-0.0421948j -0.0171042-0.0272778j -0.00261907-0.0248956j 0.00982812+0.0382516j -0.00514553+0.000784945j 0.00195111-0.0154879j 
0.00894154-0.00177982j 0.0260743-0.00495217j -0.0142896-0.00924153j -0.00712898-0.0255547j 0.00536671+0.00272653j -0.0134534-0.00293781j 0.0185457-0.0318141j 0.0224212+0.00705683j -0.0528099-0.031181j 0.00851232+0.0141594j -0.00176812+0.0469499j -0.00812609+0.032913j 0.0141843-0.00568737j 0.0332095-0.012656j 0.0190757+0.00776094j -0.00850765-0.020861j -0.0436726-0.0207249j -0.0171444+0.0120529j 0.00196952-0.0116282j -0.0403693-0.0263992j 0.00544885+0.0101895j -0.0474477-0.0426814j -0.00487986-0.0297374j 0.00764939-0.0555396j 0.0117481-0.0442083j -0.0461282+0.0176683j 0.00898379+0.0230334j 0.0639377+0.0188811j 0.0175695+0.0169595j 0.0250974+0.0356578j 0.0889968+0.00357924j -0.0558693+0.0184709j 0.010657-0.0348967j 0.0185236-0.00697982j -0.0497122+0.00926522j 0.0667721+0.0639546j -0.00926661+0.00122787j -0.101631+0.0512598j -0.0321395+0.0290661j -0.0736337-0.0605647j -0.00314978+0.00245689j 0.0480245+0.207175j 0.0495775-0.0338548j 0.0120901-0.0430777j 0.0177516-0.00146563j -0.0234376-0.109499j -0.0342105+0.0259337j 0.0291612+0.0083394j 0.0726803+0.00644215j -0.0623317-0.0186625j -0.0922031-0.102032j 0.0292839-0.0265414j 0.120562+0.0681268j 0.0275118-0.0682904j 0.0366078-0.0485303j 0.0367967-0.0279675j 0.0279283-0.00200104j 0.0125802+0.0405497j 0.00640329+0.0306981j 0.0453981+0.0211302j -0.0615527+0.0488569j -0.0119816-0.0137991j -0.0301134-0.109706j -0.0385478-0.113161j 0.050379+0.00183998j 0.0343435-0.0150699j -0.0329685-0.0367112j -0.022804+0.0160493j -0.00336998-0.0101865j -0.0228216+0.100491j 0.0325842-0.00297846j 0.024194+0.00984948j -0.00657555-0.0590812j -0.0669685-0.0268732j 0.00922306+0.0344772j -0.0493545-0.043998j 0.0285356-0.036837j -0.01178-0.0292383j 0.0172378+0.0176905j -0.0397397+0.0182698j 0.0477874-0.0137249j -0.0360658-0.00336746j 0.0221494+0.00398619j 0.031345+0.0280034j -0.000809786+0.000928647j -0.023908+0.0187592j 0.0372728+0.0281536j 0.0261226+0.0202571j 0.0429322+0.0278672j -0.0630886+0.0537836j 0.0106925-0.0219717j -0.0108145+0.0244086j 0.0385003+0.00708766j -0.0172913-0.0258256j 0.0392847+0.026922j -0.0230146+0.0399969j 0.0457212+0.0283184j 
-0.0211006+0.00138208j 0.0194771+0.000325383j -0.00315919-0.0312342j -0.00697957-0.00803195j 0.0107854+0.0130974j -0.0225301-0.00547125j 0.01934-0.00301185j 0.0214775-0.0497678j 0.00247379-0.00255356j -0.0127484-0.0385323j -0.0468512-0.000794438j -0.0186567-0.0252244j 0.0159989+0.0229305j 0.0140692+0.00212037j -0.0248876-0.000148097j 0.0311163+0.0372457j 0.0615777+0.018028j -0.0524049-0.0185489j -0.0132385-0.042779j -0.00138555+0.0184916j 0.0155722-0.0133959j -0.00173635-0.0378995j -0.0188367-0.0141541j 0.0457562+0.0853567j -0.0194538-0.0563645j 0.0140158+0.0524947j -0.0392494-0.0576936j -0.0440875-0.0348918j -0.0117729-0.0677785j -0.0155332+0.00105558j 0.0465222+0.133002j 0.0220697+0.034144j 0.0632504-0.0453625j -0.00907328-0.0557665j -0.026234-0.0293474j 0.0110836-0.0607032j 0.00401161-0.0270451j -0.0674579-0.0347142j -0.0346903+0.0849521j 0.0592572-0.071546j 0.0348456-0.0755908j 0.00210882-0.132184j 0.0527983+0.00583871j 0.0338067-0.0156539j 0.0890961+0.0342124j 0.00538425+0.0753857j -0.102454-0.0743255j -0.084843-0.047179j 0.0106997+0.0348856j 0.0940597-0.0345836j -0.0192929+0.0743223j 0.0957028+0.00788313j -0.0325926-0.0943904j -0.0185585+0.0271818j -0.0044895+0.0417927j 0.0306867+0.100437j -0.0328473+0.0786169j 0.0132822+0.0721298j 0.0556281-0.0707105j -0.0326669+0.0790682j 0.0245502-0.0434j 0.117519+0.0618232j 0.0344947-0.0612247j -0.0528278-0.0368555j -0.0611664+0.0885841j 0.0567528+0.0196879j 0.0506936+0.0476727j -0.014199-0.0044813j 0.0421073+0.0526198j -0.0530661-0.059208j 0.062923-0.0442456j -0.00194206+0.00904349j 0.0274997+0.0223889j -0.00765079-0.0256909j -0.0632595-0.0124294j -1.59903e-05+0.0052664j 0.000926619-0.0601732j -0.0438872+0.0252365j -0.0022524+0.011958j -0.026963-0.0483831j -0.00758771-0.0467791j -0.0288254-0.020705j -0.0266483-0.00515394j 0.0579159+0.0391097j -0.00153269+0.0511817j -0.0602099+0.0257482j 0.00603102+0.0148128j 0.0635092+0.0786187j -0.0237866-0.0139941j 0.00626956-0.0134274j 0.0193574+0.0396254j 0.0125827-0.00214926j 0.00216261+0.027516j 0.00991204-0.0194609j 0.0113456+0.0280264j -0.00102875+0.0345115j 0.026597+0.00950508j 
