-0.291009-0j -0.294025-0j -0.0341882-0j -0.0423057-0j -0.0246783-0j -0.0208702-0j -0.00301236-0j -0.0243486-0j -0.0149104-0j -0.00351442-0j -0.021305-0j -0.00215213-0j -0.00307512-0j -0.00878788-0j -0.00126842-0j -0.0151937-0j -0.00268588-0j -0.000223824-0j -0.0171631-0j -0.0140136-0j -0.00303403-0j -0.0141588-0j -0.000252836-0j -0.0122619-0j -0.00247727-0j -0.00250295-0j -0.00020644-0j -0.0101155-0j -0.00216762-0j -0.000208579-0j -0.00323196-0j -0.000180635-0j -0.00178819-0j -0.000149016-0j -0.000571336-0j -4.76113e-05-0j 0.0597428-0j 0.00995713-0j 0.00609747-0j -0.0132528-0j 0.00124464-0j 7.33412e-05-0j -0.0104772-0j -0.00220879-0j -0.00698481-0j -0.0105858-0j -0.0013526-0j -0.000276099-0j -0.0122234-0j -0.0017462-0j -1.62693e-05-0j -0.00116414-0j -0.00432163-0j -0.00106933-0j -0.00713033-0j -0.0017643-0j -0.000712884-0j -0.00756286-0j -0.00108041-0j -0.000218275-0j -0.000145517-0j -0.00203724-0j -0.000220537-0j -1.2862e-05-0j -0.00441167-0j -0.00124755-0j -0.000720272-0j -8.57467e-06-0j -0.00118839-0j -1.29953e-05-0j -0.00115089-0j -0.000441075-0j -0.000254655-0j -0.00126048-0j -0.000727736-0j -9.0034e-05-0j -0.000771881-0j -1.50057e-05-0j -0.000735278-0j -0.000148549-0j -0.00015756-0j -0.000450264-0j -5.3053e-06-0j -8.75331e-06-0j -0.000191815-0j -9.19097e-05-0j -0.000117462-0j -9.28428e-06-0j -2.39769e-05-0j -5.41583e-06-0j -1.41285e-06-0j 
0.0387658-0j 0.0391675-0j -0.214738-0j -0.265725-0j -0.155006-0j 0.00278015-0j -0.0382429-0j 0.00324351-0j 0.00198624-0j -0.0446167-0j 0.00283807-0j -0.027322-0j -0.0390396-0j 0.00117065-0j -0.016103-0j 0.00202397-0j -0.0168702-0j -0.00427718-0j 0.00228632-0j 0.00186677-0j -0.0190569-0j 0.00188611-0j -0.00483159-0j 0.00163342-0j -0.0155599-0j -0.0157212-0j -0.00394498-0j 0.00134751-0j -0.0136149-0j -0.00398586-0j 0.000430535-0j -0.00345185-0j -0.0112317-0j -0.00284763-0j -0.00358859-0j -0.000909833-0j 0.00159507-0j -0.0125349-0j 0.000162796-0j 0.00176542-0j -0.00316695-0j -0.000375186-0j 0.00139569-0j -0.0138735-0j 0.000930457-0j 0.00141015-0j 0.000180182-0j -0.00350517-0j 0.0016283-0j -0.010968-0j -0.000415255-0j -0.007312-0j 0.000575691-0j 0.000142447-0j 0.000949842-0j -0.0110817-0j 9.49644e-05-0j 0.00100746-0j 0.000143923-0j -0.00277108-0j -0.00184739-0j -0.012796-0j -0.00279979-0j -0.000328288-0j 0.000587685-0j 0.000166188-0j -0.00452407-0j -0.000218859-0j -0.00746434-0j -0.00033169-0j 0.000153312-0j 5.87562e-05-0j -0.00323292-0j -0.00791712-0j 9.69428e-05-0j -0.00114301-0j 0.000102823-0j -0.000383003-0j -0.00461832-0j -0.00188587-0j -0.00200027-0j 5.99803e-05-0j -0.000135412-0j -0.000223418-0j -0.0012048-0j -0.00116682-0j 1.56473e-05-0j -0.000236971-0j -0.000304395-0j -0.000138233-0j -3.60615e-05-0j 
-0.0423057-0j 0.041263-0j 0.234347-0j 0.00502432-0j -0.329529-0j -0.00303403-0j 0.0417351-0j -6.13283e-05-0j -0.00216762-0j 0.000843612-0j 0.00298991-0j 0.029817-0j -0.0411283-0j 0.0037441-0j -0.0515026-0j -0.00220879-0j 0.0184107-0j 0.00466776-0j -4.32296e-05-0j -0.00203724-0j 0.000360328-0j 0.00198702-0j 9.13556e-05-0j -3.08847e-05-0j 0.0169808-0j -0.0165622-0j 0.00430522-0j 0.00286468-0j 0.000257431-0j -0.0041991-0j 0.0018387-0j 6.52676e-05-0j -0.0238777-0j -0.00605381-0j -0.0153259-0j -0.00388565-0j 0.00868516-0j -0.0682524-0j 0.000886426-0j -3.33805e-05-0j -0.017244-0j -0.00204289-0j -0.00152314-0j 0.000262321-0j -0.00101542-0j 0.00148559-0j -3.40688e-06-0j 6.62756e-05-0j -3.07879e-05-0j 0.0119696-0j 7.85164e-06-0j 0.00797971-0j -0.000628261-0j -0.000155454-0j 0.00201928-0j -0.0116745-0j -0.000103636-0j 0.00106136-0j 0.000151623-0j 0.00302412-0j 0.00201608-0j 0.000241947-0j -0.00294959-0j 0.000358266-0j 0.0018796-0j -3.14227e-06-0j 0.00493719-0j 0.000238844-0j -0.0158685-0j -0.000349436-0j 0.000819167-0j -6.41216e-05-0j 6.11281e-05-0j -0.0083407-0j 0.000206092-0j 0.00124739-0j 0.000108325-0j 7.24181e-06-0j -0.0147709-0j -0.00400919-0j -0.00210729-0j 0.000191836-0j 0.000147777-0j -0.000474967-0j -0.00643743-0j -0.00373187-0j 8.36058e-05-0j -0.000249649-0j -0.00162642-0j -0.000442113-0j -0.000192681-0j 
0.031837-0j -0.0331095-0j 0.181525-0j -0.218231-0j 0.131031-0j -0.00235015-0j 0.0323279-0j -0.00274184-0j 0.00494149-0j 0.0377158-0j 0.00233081-0j -0.0679735-0j -0.0320619-0j -0.000989583-0j 0.0136124-0j 0.00680178-0j -0.0566942-0j -0.014374-0j -0.00193269-0j 0.00153311-0j 0.0161094-0j -0.00159439-0j 0.00408429-0j 0.00406373-0j -0.0127788-0j 0.0132896-0j -0.00323987-0j 0.00110666-0j -0.033872-0j 0.00336937-0j -0.000363944-0j -0.00858774-0j -0.00922424-0j -0.00233866-0j 0.00303355-0j 0.000769109-0j -0.00134836-0j 0.0105961-0j -0.000137616-0j 0.00593289-0j 0.00267712-0j 0.000317156-0j 0.00114623-0j -0.0466236-0j -0.000786544-0j -0.00119204-0j 0.000605523-0j -0.0117795-0j 0.00133727-0j -0.00900765-0j -0.00139551-0j 0.00618106-0j 0.00239168-0j 0.000116986-0j -0.00080293-0j 0.00936767-0j -8.02763e-05-0j 0.00250642-0j -0.000121662-0j -0.00227579-0j 0.00156165-0j -0.0105089-0j 0.00236675-0j -0.000269612-0j 0.000482645-0j 0.000136484-0j -0.0187951-0j 0.000185008-0j 0.00630983-0j 0.000280388-0j -0.000129599-0j 0.0002441-0j -0.00265509-0j -0.0196967-0j -8.19487e-05-0j -0.00474859-0j 0.00025581-0j -0.000314547-0j -0.00379287-0j 0.00159419-0j -0.00497639-0j 4.92598e-05-0j -0.000562563-0j 0.000188862-0j 0.00101846-0j -0.000958273-0j -1.32272e-05-0j -0.000589551-0j 0.000257314-0j -0.000113526-0j 3.04839e-05-0j 
0.0331095-0j -0.0334325-0j -0.183406-0j 0.219089-0j -0.118865-0j 0.0023745-0j -0.0326629-0j -0.00267426-0j 0.00169643-0j 0.0367862-0j -0.00242252-0j -0.0233355-0j 0.0333233-0j 0.00472562-0j -0.0650041-0j -0.00687227-0j 0.0572817-0j 0.0145229-0j -0.00188506-0j 0.00159439-0j 0.0157123-0j -0.00160995-0j 0.00398362-0j -0.00134675-0j -0.0132896-0j 0.0134192-0j -0.00336937-0j 0.00103332-0j 0.0112254-0j 0.00340224-0j 0.00385595-0j 0.00284604-0j -0.00861296-0j -0.00218369-0j -0.0321401-0j -0.00814864-0j 0.00136233-0j -0.0107059-0j 0.000139043-0j 0.00578666-0j -0.00270486-0j -0.000320443-0j 0.00119204-0j -0.0454745-0j 0.000794695-0j -0.00120367-0j 0.000590598-0j -0.0114892-0j -0.00134252-0j -0.00936767-0j -0.00136112-0j -0.00624511-0j 0.000491692-0j 0.000121662-0j 0.000728378-0j 0.00945906-0j 8.11082e-05-0j -0.000859945-0j -0.000122849-0j -0.00236675-0j -0.00157783-0j 0.0105502-0j 0.00238984-0j -0.000280388-0j 0.00237234-0j -0.000137021-0j -0.00386397-0j -0.000186925-0j -0.00572396-0j 0.000283123-0j 0.00238019-0j 5.01831e-05-0j 0.00266553-0j 0.00675788-0j 7.43398e-05-0j -0.000976235-0j -8.77677e-05-0j 0.000315784-0j -0.0186431-0j -0.00144617-0j 0.00170739-0j 0.000242126-0j -0.000115654-0j -0.000171326-0j -0.0187047-0j -0.00471019-0j 0.000242927-0j 0.000202273-0j -0.00472576-0j -0.000558014-0j -0.000559858-0j 
-0.0299147-0j -0.0302247-0j -0.325883-0j 0.205054-0j 0.119615-0j 0.00636732-0j -0.0875867-0j 0.0049223-0j -0.00153274-0j -0.0677096-0j -0.00219008-0j 0.0210838-0j 0.030126-0j -0.000903361-0j 0.0124263-0j -0.00156185-0j 0.0130184-0j 0.0033006-0j 0.00523629-0j 0.00283298-0j -0.0436456-0j 0.00286234-0j -0.0110657-0j -0.00126048-0j -0.0236135-0j -0.0238582-0j -0.00598683-0j -0.00103984-0j 0.0105063-0j -0.00604887-0j -0.000332234-0j 0.00266372-0j 0.00866728-0j 0.00219746-0j 0.00276924-0j 0.000702098-0j -0.00123088-0j 0.00967287-0j -0.000125626-0j -0.00136233-0j 0.00244386-0j 0.000289523-0j 0.0031965-0j 0.0107059-0j 0.00354211-0j 0.00322963-0j -0.000139043-0j 0.00270486-0j 0.00247108-0j -0.0251197-0j 0.000320443-0j -0.0278357-0j -0.000444248-0j 0.000326242-0j 0.00144146-0j -0.0253801-0j 0.000361515-0j -0.000777434-0j 0.000329623-0j -0.00634653-0j -0.00703271-0j -0.019419-0j -0.0064123-0j -0.00075187-0j -0.000453503-0j 0.000252204-0j 0.00349112-0j -0.000833161-0j -0.0113278-0j -0.000759661-0j -0.000118307-0j -4.53408e-05-0j -0.00490623-0j 0.00610947-0j 0.000147119-0j 0.000882036-0j -7.93465e-05-0j -0.000581239-0j 0.00356386-0j -0.00286197-0j 0.00154356-0j -4.62854e-05-0j 0.000104494-0j -0.000339056-0j 0.000929719-0j 0.000900412-0j -1.20747e-05-0j 0.000182865-0j 0.000234895-0j 0.000106671-0j 2.78278e-05-0j 
-0.0359637-0j -0.0361051-0j -0.205054-0j 0.00427113-0j 0.288338-0j -0.00787916-0j 0.108383-0j 5.36623e-05-0j -0.005582-0j -0.00073816-0j 0.0025417-0j 0.0767842-0j -0.0349628-0j -0.00327609-0j 0.0450648-0j 0.00193269-0j -0.0161094-0j -0.00408429-0j -0.000112264-0j -0.00173184-0j 0.000935746-0j -0.00173865-0j 0.000237244-0j -7.95338e-05-0j 0.0144352-0j 0.014492-0j 0.00365983-0j 0.00243523-0j 0.000662931-0j 0.00367422-0j -0.00160886-0j 0.000168076-0j -0.0202982-0j -0.00514629-0j 0.0134102-0j 0.00339994-0j 0.00152314-0j -0.0119696-0j 0.000155454-0j 2.92079e-05-0j -0.00302412-0j -0.000358266-0j 0.00384287-0j -0.000229531-0j 0.000888496-0j 0.00385798-0j 2.98102e-06-0j -5.79912e-05-0j -2.61725e-05-0j -0.0301992-0j -6.87018e-06-0j -0.00698225-0j -0.00270169-0j 0.000392211-0j -0.00176687-0j -0.0303179-0j 9.06817e-05-0j 0.00273319-0j 0.000393753-0j -0.00762986-0j -0.00176407-0j 0.000205677-0j -0.00765986-0j -0.000903905-0j 0.00159783-0j -2.67122e-06-0j 0.0212313-0j -0.000208989-0j 0.0138849-0j -0.000907459-0j -0.000716771-0j -0.000275741-0j 5.19644e-05-0j -0.0214788-0j -0.00018033-0j 0.00536411-0j 0.000278955-0j 6.1562e-06-0j -0.0125566-0j 0.00350804-0j -0.00542664-0j 0.000163078-0j 0.000635483-0j 0.000415596-0j 0.00563275-0j -0.00317243-0j -7.31551e-05-0j -0.000642891-0j 0.00142312-0j -0.000375836-0j 0.000168596-0j 
0.0246783-0j -0.0240701-0j 0.674382-0j -0.00293085-0j 0.192225-0j 0.00176985-0j -0.0243455-0j -0.000176485-0j 0.00126444-0j 0.00242767-0j -0.00174412-0j -0.0173932-0j 0.0239915-0j -0.00218406-0j 0.0300432-0j 0.00128846-0j -0.0107396-0j -0.00272286-0j 2.52173e-05-0j -0.00586257-0j -0.000210191-0j 0.00571807-0j -5.32908e-05-0j 1.80161e-05-0j 0.0488657-0j -0.0476612-0j 0.0123891-0j -0.00167106-0j -0.000150168-0j -0.0120838-0j -0.00107257-0j -3.80728e-05-0j 0.0139286-0j 0.00353139-0j 0.00894011-0j 0.00226663-0j 0.00101542-0j -0.00797971-0j 0.000103636-0j 1.9472e-05-0j -0.00201608-0j -0.000238844-0j 0.000888496-0j -0.000153021-0j 0.00398938-0j -0.000866596-0j 1.98735e-06-0j -3.86608e-05-0j -8.85984e-05-0j -0.00698225-0j -4.58012e-06-0j -0.0313506-0j 0.000366486-0j 9.06817e-05-0j 0.00581088-0j 0.00681015-0j 0.000407164-0j -0.000619126-0j -8.84466e-05-0j -0.00176407-0j -0.00792075-0j 0.000696251-0j 0.00172059-0j -0.000208989-0j -0.00109643-0j -9.04254e-06-0j -0.00288003-0j -0.000938367-0j -0.0456649-0j 0.000203838-0j -0.000477847-0j 3.74043e-05-0j 0.000175909-0j 0.00486541-0j 0.000593071-0j -0.000727643-0j -6.31893e-05-0j 2.08398e-05-0j 0.00861634-0j -0.0115373-0j 0.00122925-0j -0.000111904-0j -8.62034e-05-0j -0.00136681-0j 0.00375517-0j 0.00217693-0j -4.87701e-05-0j 0.000145629-0j 0.000948746-0j 0.000257899-0j 0.000112397-0j 
-0.0215935-0j -0.0195886-0j 0.119615-0j -0.288338-0j 0.331909-0j 0.00459617-0j -0.0632234-0j 0.00351954-0j -0.00110639-0j -0.0484136-0j -0.00141939-0j 0.0152191-0j 0.0195246-0j -0.000780689-0j 0.0107389-0j -0.0011274-0j 0.00939714-0j 0.0023825-0j -0.00736305-0j -0.00103984-0j 0.0613725-0j -0.000943291-0j 0.0155601-0j 0.00177243-0j 0.00866728-0j 0.00786252-0j 0.00219746-0j -0.00288537-0j -0.0147735-0j 0.00199342-0j 0.0030544-0j -0.00374561-0j 0.0240501-0j 0.00609754-0j -0.0254591-0j -0.00645475-0j -0.000888496-0j 0.00698225-0j -9.06817e-05-0j 0.00191565-0j 0.00176407-0j 0.000208989-0j 0.00230736-0j -0.0150542-0j -0.000518289-0j 0.00209312-0j 0.000195516-0j -0.00380346-0j 0.00176687-0j -0.0181324-0j -0.000450593-0j 0.00407298-0j -0.000320675-0j 0.000235494-0j -0.00203386-0j -0.0164488-0j -5.28977e-05-0j -0.000503854-0j 0.000213628-0j -0.00458117-0j 0.00102904-0j -0.0138849-0j -0.00415581-0j -0.000542728-0j -0.00039192-0j 0.00018033-0j 0.00252003-0j 0.00012191-0j 0.0159831-0j -0.000492336-0j 0.00372765-0j -3.27288e-05-0j -0.00350804-0j 0.00395954-0j -0.00020758-0j 0.000636687-0j -5.14244e-05-0j -0.000415596-0j 0.0030799-0j 0.00403815-0j 0.00100038-0j -4.00001e-05-0j 7.5428e-05-0j 0.000478397-0j -0.0292938-0j 0.00077814-0j 0.000380452-0j 0.000118515-0j -0.0074011-0j 9.21859e-05-0j -0.000876804-0j 
-0.0628994-0j 0.0215935-0j 0.232822-0j 0.431152-0j -0.0854569-0j 0.00153274-0j -0.0210838-0j -0.00351666-0j 0.000972121-0j 0.0483741-0j -0.00460492-0j -0.0133722-0j 0.0633437-0j 0.000645392-0j -0.0088778-0j 0.00111584-0j -0.00930076-0j -0.00235807-0j 0.00126048-0j 0.0059567-0j -0.0105063-0j -0.00204495-0j -0.00266372-0j 0.000799444-0j -0.0496503-0j 0.0170451-0j -0.0125881-0j -0.0021864-0j -0.00666353-0j 0.00432152-0j 0.000237359-0j -0.00168944-0j 0.018224-0j 0.00462043-0j -0.00197844-0j -0.000501603-0j 0.000879383-0j -0.00691063-0j 8.97516e-05-0j 0.000973298-0j -0.00174598-0j -0.000206845-0j -0.00226457-0j -0.00764867-0j -0.0025306-0j 0.000777434-0j 9.93368e-05-0j -0.00193244-0j 0.00519576-0j 0.0177961-0j -0.000228936-0j 0.0198868-0j 0.00396493-0j -0.000231127-0j -0.00102983-0j -0.00610947-0j -0.000258279-0j 0.000493079-0j 7.93465e-05-0j 0.00449621-0j 0.00502441-0j -0.0408309-0j -0.00154356-0j 0.000532664-0j -0.000953547-0j 0.00053029-0j -0.0311584-0j 0.000595239-0j 0.00809294-0j -0.000182865-0j 8.45229e-05-0j 0.000404669-0j -0.010316-0j -0.00387486-0j -0.000105107-0j -0.0078722-0j 5.03247e-05-0j -0.00122213-0j 0.00749346-0j 0.00204469-0j -0.000978988-0j -9.7321e-05-0j -0.000932615-0j 0.000242233-0j -0.000664224-0j 0.00189323-0j 8.62658e-06-0j -0.00011598-0j -0.000167817-0j 0.00022429-0j -1.98812e-05-0j 
0.0296685-0j 0.0308358-0j -0.332672-0j 0.19632-0j 0.109633-0j -0.00219008-0j 0.030126-0j -0.00485073-0j 0.00460492-0j 0.0667251-0j -0.00217076-0j -0.0633437-0j 0.0298602-0j -0.00435859-0j 0.0599553-0j -0.00159439-0j 0.0132896-0j 0.00336937-0j 0.00173865-0j -0.00280967-0j -0.014492-0j -0.00292022-0j -0.00367422-0j -0.00365572-0j 0.0234192-0j 0.0243406-0j 0.00593758-0j 0.000925935-0j 0.0304712-0j 0.00617119-0j -0.00355646-0j 0.00772551-0j -0.00771785-0j -0.00195674-0j 0.0296438-0j 0.00751574-0j -0.00125652-0j 0.00987439-0j -0.000128243-0j 0.00134252-0j 0.00249477-0j 0.000295555-0j 0.00106816-0j -0.0105502-0j 0.0036159-0j 0.00111018-0j 0.000137021-0j -0.00266553-0j 0.00236583-0j -0.00839413-0j -0.000315784-0j -0.0284156-0j 0.00222878-0j 0.000109018-0j 0.00132118-0j -0.00872439-0j 0.000369046-0j -0.0023343-0j 0.000113308-0j -0.00212078-0j -0.00717922-0j -0.0185919-0j -0.00220423-0j -0.000251248-0j 0.0021258-0j 0.000241461-0j -0.0175149-0j -0.000850519-0j -0.0103825-0j -0.000261133-0j -0.00219532-0j 0.000227474-0j -0.00469726-0j 0.0183441-0j 0.000134842-0j -0.00442516-0j -0.000238244-0j -0.000556481-0j -0.0167056-0j -0.00262314-0j 0.00463466-0j 0.000216963-0j -0.000524246-0j -0.000310762-0j 0.0172519-0j -0.00422068-0j -0.000224059-0j 0.000549066-0j 0.00435872-0j -0.000500022-0j 0.000516375-0j 
0.0750407-0j 0.0148926-0j 0.0845804-0j -0.008912-0j -0.118933-0j -0.00109504-0j 0.015063-0j -2.21346e-05-0j -0.00977326-0j 0.000304476-0j -0.00530342-0j 0.134438-0j 0.0729522-0j 0.00135132-0j -0.0185883-0j -0.000797195-0j 0.00664478-0j 0.00168468-0j -1.56024e-05-0j 0.00361359-0j 0.000130049-0j 0.000717155-0j 3.2972e-05-0j -0.000139252-0j -0.03012-0j -0.00597763-0j -0.00763648-0j -0.00508128-0j 0.00116069-0j -0.00151554-0j 0.00066362-0j 0.000294276-0j 0.0423535-0j 0.0107381-0j -0.00553141-0j -0.0014024-0j -0.000628261-0j 0.00493719-0j -6.41216e-05-0j -1.20477e-05-0j 0.00124739-0j 0.000147777-0j 0.00270169-0j 9.46766e-05-0j -0.000366486-0j 0.000536179-0j -1.22961e-06-0j 2.39201e-05-0j 5.46107e-05-0j -0.0212313-0j 2.83381e-06-0j 0.00288003-0j -0.00164208-0j 0.000275741-0j 0.000728796-0j -0.00421357-0j -3.74043e-05-0j 0.00478542-0j 5.47235e-05-0j -0.00536411-0j 0.000727643-0j -0.000429158-0j -0.00106456-0j -0.000635483-0j -0.00333399-0j 5.57368e-06-0j 0.0129043-0j 8.62034e-05-0j -0.00572725-0j -0.000126118-0j 0.000295653-0j -0.000167594-0j -0.000108427-0j -0.0376062-0j 7.43824e-05-0j 0.00326028-0j 0.000488409-0j -1.28453e-05-0j 0.0262001-0j -0.00144699-0j -0.00950125-0j -0.000340273-0j 0.000386244-0j -0.000171425-0j -0.00232339-0j 0.00661949-0j 3.01749e-05-0j -0.00112561-0j -0.000587007-0j 0.000784208-0j -6.95424e-05-0j 
0.0125962-0j 0.0601517-0j 0.13722-0j 0.253044-0j -0.0603001-0j 0.000903361-0j -0.0124263-0j 0.0060743-0j 0.000645392-0j -0.083556-0j 0.00435859-0j -0.0088778-0j -0.0599553-0j -0.00529214-0j 0.0727969-0j 0.000657652-0j -0.00548167-0j -0.00138979-0j -0.00217721-0j -0.00119289-0j 0.0181475-0j -0.00569648-0j 0.00460101-0j -0.00155547-0j 0.00994297-0j 0.0474814-0j 0.00252089-0j 0.000524204-0j 0.0129652-0j 0.0120382-0j -0.00260465-0j 0.00328712-0j -0.00436934-0j -0.00110778-0j 0.0217103-0j 0.00550432-0j 0.000518289-0j -0.00407298-0j 5.28977e-05-0j -0.00168117-0j -0.00102904-0j -0.00012191-0j 0.000453503-0j 0.0132115-0j -0.00149148-0j 0.00216564-0j -0.000171583-0j 0.00333789-0j 0.0030494-0j -0.00356386-0j 0.000395438-0j 0.0117208-0j 0.00018706-0j 4.62854e-05-0j -0.00072667-0j -0.0170187-0j -0.000152224-0j 0.00154721-0j 0.00022103-0j -0.000900412-0j 0.00296128-0j -0.0239637-0j -0.0042998-0j -0.000106671-0j -0.00265675-0j 0.000311228-0j -0.00147002-0j 0.000350821-0j 0.00571054-0j -0.000509395-0j 0.0015664-0j 1.90918e-05-0j -0.00605446-0j -0.0121588-0j -7.41655e-05-0j -0.000371401-0j 0.000157911-0j -0.000717269-0j 0.020878-0j 0.00144277-0j -0.00307192-0j -0.000271153-0j -4.39997e-05-0j 0.000170925-0j -0.0123096-0j 0.00527486-0j 0.00015987-0j -0.000363929-0j -0.00311002-0j 0.00062491-0j -0.000368443-0j 
-0.0454032-0j 0.0139948-0j -0.0854569-0j -0.606267-0j -0.237127-0j 0.00110639-0j -0.0152191-0j -0.00251448-0j 0.000701714-0j 0.0345883-0j -0.00298444-0j -0.00965255-0j 0.041053-0j 0.000557751-0j -0.00767224-0j 0.000805456-0j -0.00671364-0j -0.00170214-0j -0.00177243-0j -0.0021864-0j 0.0147735-0j 0.00067392-0j 0.00374561-0j -0.00112414-0j 0.018224-0j -0.00561726-0j 0.00462043-0j -0.00606685-0j 0.00936996-0j -0.00142417-0j -0.00218217-0j 0.00237561-0j 0.0505684-0j 0.0128208-0j 0.0181888-0j 0.0046115-0j 0.000634772-0j -0.00498836-0j 6.47861e-05-0j -0.00136861-0j -0.00126031-0j -0.000149309-0j -0.00163465-0j 0.0107552-0j 0.000370284-0j 0.000503854-0j -0.000139683-0j 0.00271732-0j 0.00371506-0j 0.0128459-0j 0.000321919-0j -0.00290988-0j 0.00286204-0j -0.000166836-0j 0.00145306-0j -0.00395954-0j 3.77919e-05-0j 0.000319564-0j 5.14244e-05-0j 0.00324554-0j -0.000735183-0j -0.0291948-0j -0.00100038-0j 0.000384497-0j -0.000824061-0j 0.000379167-0j -0.0224913-0j -8.70967e-05-0j -0.0114189-0j -0.000118515-0j -0.00266316-0j 0.000292105-0j -0.00737611-0j -0.0025113-0j 0.000148302-0j -0.00568246-0j 3.26154e-05-0j -0.000873844-0j 0.00647588-0j -0.00288499-0j -0.000634482-0j -8.41053e-05-0j -0.000673197-0j -0.000341784-0j 0.0209285-0j 0.00163614-0j -0.000271808-0j -7.51667e-05-0j 0.0052876-0j 0.000193832-0j 0.000626419-0j 
0.0067723-0j -0.0738543-0j 0.0386135-0j 0.181665-0j -0.354994-0j -0.000499919-0j 0.00687672-0j 0.00228243-0j 0.00105114-0j -0.0313963-0j 0.00519913-0j -0.0144592-0j -0.0715175-0j 0.00391927-0j -0.0539122-0j -0.000363944-0j 0.00303355-0j 0.000769109-0j 0.00160886-0j 0.000326121-0j -0.0134102-0j -0.00355646-0j -0.00339994-0j -0.00338283-0j -0.00271828-0j 0.0296438-0j -0.000689179-0j -0.0029982-0j 0.0281966-0j 0.00751574-0j -0.00385073-0j 0.00714881-0j 0.0249906-0j 0.00633599-0j 0.0320966-0j 0.0081376-0j -0.00028682-0j 0.00225398-0j -2.92735e-05-0j 0.00124231-0j 0.00056947-0j 6.74648e-05-0j 0.000243823-0j -0.00976268-0j -0.000167312-0j -0.00265898-0j 0.000126792-0j -0.00246655-0j -0.0011132-0j -0.00191609-0j -0.000292211-0j 0.00131482-0j 0.000508754-0j 2.48851e-05-0j 0.00217532-0j 0.0208956-0j -1.70762e-05-0j 0.00559084-0j -0.000271381-0j -0.000484102-0j 0.000332191-0j 0.00874809-0j 0.0052793-0j -5.73512e-05-0j -0.00191153-0j -0.000113615-0j -0.00399805-0j 3.93545e-05-0j -0.0170948-0j 0.000625435-0j -0.00389318-0j 5.19245e-05-0j 0.00221021-0j -0.0439357-0j 0.000222018-0j -0.00101011-0j 0.000570613-0j 0.000261843-0j 0.0150218-0j -0.00431902-0j -0.0111004-0j -0.000195095-0j -0.000119667-0j -0.000511672-0j 0.0305945-0j 0.00379527-0j -0.000397346-0j -0.00131506-0j 0.00772974-0j 0.000449623-0j 0.000915738-0j 
0.0015369-0j 0.0431684-0j -0.00851348-0j 0.0619317-0j 0.597557-0j 0.000110222-0j -0.00151617-0j -0.000755956-0j 7.87462e-05-0j 0.0103987-0j 0.00312798-0j -0.00108321-0j -0.0430274-0j 0.00942234-0j -0.129611-0j 8.02421e-05-0j -0.000668834-0j -0.000169573-0j -0.000532865-0j 7.40098e-05-0j 0.00444154-0j 0.00207878-0j 0.00112608-0j -0.000380697-0j -0.000616886-0j -0.017327-0j -0.000156402-0j -0.00519471-0j 0.00317319-0j -0.00439301-0j -0.000226577-0j 0.000804514-0j 0.043299-0j 0.0109778-0j 0.00188857-0j 0.000478818-0j 6.3238e-05-0j -0.000496956-0j 6.4542e-06-0j -0.000411461-0j -0.000125556-0j -1.48746e-05-0j 5.53332e-05-0j 0.00323347-0j 3.68888e-05-0j 0.00155419-0j -4.19946e-05-0j 0.000816939-0j -0.000379503-0j -0.000434836-0j 9.67823e-05-0j -0.000289891-0j 2.28238e-05-0j 5.64742e-06-0j -0.00366169-0j -0.0122136-0j 3.76495e-06-0j 0.00111037-0j 0.000158624-0j -0.000109862-0j -7.32412e-05-0j 0.00298233-0j -0.00308579-0j -1.30153e-05-0j 0.00473018-0j -3.87329e-05-0j -0.000179361-0j -8.67685e-06-0j 0.0287754-0j -0.000365572-0j -0.00598513-0j 2.32944e-06-0j 0.000753488-0j -0.00872584-0j -0.00037372-0j -4.53157e-05-0j 0.000113327-0j 8.92653e-05-0j -0.0371721-0j 0.00727014-0j -0.00220459-0j 0.000482772-0j -5.36853e-06-0j 0.00086129-0j 0.0470342-0j -0.00939158-0j -0.000610855-0j -0.000261177-0j 0.0118832-0j -0.00111262-0j 0.0014078-0j 
