-0.0836695-0j -0.0147908-0j -0.00123257-0j -0.00126446-0j -0.000210744-0j -0.000129054-0j -2.63429e-05-0j -1.55227e-06-0j -0.0460126-0j 0.0448785-0j -0.00742525-0j 0.00724223-0j -0.00606269-0j 0.00591326-0j -0.000875074-0j -0.000757836-0j 0.000853505-0j 0.000739157-0j -8.93119e-05-0j 8.71105e-05-0j -4.07651e-06-0j 3.97603e-06-0j -0.0341882-0j -0.000732982-0j 0.048074-0j -0.00540563-0j -0.000115895-0j -0.00427352-0j 0.00760116-0j -0.00284902-0j -0.00061683-0j -9.16228e-05-0j -6.10819e-05-0j -0.000712254-0j 0.00600924-0j -1.32246e-05-0j -0.00025182-0j 0.00400616-0j -5.93545e-05-0j 0.00086736-0j -6.29549e-05-0j -1.52705e-05-0j -5.39893e-06-0j 0.00100154-0j -1.27254e-06-0j -5.24625e-06-0j 0.000354098-0j -1.34973e-06-0j 8.34617e-05-0j -1.95516e-07-0j -1.12478e-07-0j 8.85245e-05-0j -4.19179e-09-0j 7.37704e-06-0j 2.74926e-07-0j 
0.581658-0j -0.000712254-0j -5.93545e-05-0j -6.08903e-05-0j 0.00146506-0j -6.21459e-06-0j -1.26855e-06-0j -7.47499e-08-0j -0.00221574-0j 0.00216113-0j -0.000357564-0j 0.000348751-0j 0.0421469-0j -0.0411081-0j 0.00608338-0j -3.64937e-05-0j -0.00593344-0j 3.55942e-05-0j -4.30082e-06-0j 4.19482e-06-0j -1.96305e-07-0j 1.91466e-07-0j 0.00323769-0j -3.52969e-05-0j 0.00231501-0j 0.000511924-0j -5.58092e-06-0j 0.000404711-0j 0.000366035-0j -0.0781706-0j 5.84151e-05-0j -4.41211e-06-0j 0.000852205-0j -0.0097376-0j 0.000289376-0j -6.36833e-07-0j 2.38478e-05-0j -0.0558934-0j -0.000811466-0j 4.17678e-05-0j 5.96196e-06-0j 0.000106158-0j -2.59986e-07-0j -0.00696256-0j 8.84649e-06-0j 4.9683e-07-0j 1.70516e-05-0j -6.49965e-08-0j -0.000580213-0j 1.85158e-08-0j -5.41637e-09-0j 4.26291e-06-0j -2.01856e-10-0j 3.55242e-07-0j 1.32391e-08-0j 
5.08753e-05-0j -0.00129015-0j -0.471064-0j 4.43762e-05-0j -0.00106098-0j 4.52913e-06-0j 0.0125947-0j -0.141447-0j 2.7978e-05-0j 2.82679e-05-0j -0.00064768-0j -0.000654392-0j 3.68642e-06-0j 3.72462e-06-0j 0.00724877-0j -6.61036e-05-0j 0.00732389-0j -6.67886e-05-0j -0.0341333-0j -0.034487-0j -0.0162603-0j -0.0164288-0j 2.07881e-05-0j 2.5724e-05-0j 1.50057e-05-0j -0.000471515-0j -0.00058347-0j 2.59852e-06-0j -0.000340357-0j 1.73234e-06-0j 0.00510958-0j 3.2155e-06-0j 2.14367e-06-0j -6.21275e-05-0j 1.87571e-06-0j 0.00632278-0j 1.53119e-07-0j 1.25047e-06-0j -0.0226841-0j 0.00368829-0j 0.000521494-0j -7.68789e-05-0j 1.89475e-07-0j -4.4846e-05-0j -0.0280702-0j -0.00828263-0j 1.10527e-07-0j 0.000645316-0j -0.0163743-0j -0.00156794-0j -0.0102492-0j 0.000376434-0j -0.00194023-0j -0.00597872-0j -0.0011318-0j 
0.356191-0j -0.000436165-0j -3.63471e-05-0j -0.00215213-0j 0.0517816-0j -0.000219651-0j -4.48361e-05-0j -2.64199e-06-0j 0.00399332-0j -0.00137092-0j 0.00064442-0j -0.000221231-0j -0.0759593-0j 0.0260771-0j -0.0109638-0j 6.57708e-05-0j 0.0037639-0j -2.25793e-05-0j 7.75117e-06-0j -2.661e-06-0j 3.53791e-07-0j -1.21457e-07-0j -0.00100817-0j 0.00367161-0j -0.000727736-0j -0.000159406-0j 0.000580533-0j -0.000126021-0j -0.000115065-0j 0.0243412-0j -1.81896e-05-0j 0.000458952-0j -0.0886472-0j 0.00303215-0j -9.0967e-05-0j 6.6244e-05-0j -7.42588e-06-0j 0.0175704-0j 0.000252679-0j -1.313e-05-0j -1.85647e-06-0j -0.0110427-0j 2.7044e-05-0j 0.00218872-0j -0.000920221-0j -1.54706e-07-0j -5.36028e-06-0j 6.761e-06-0j 0.000182393-0j -5.76555e-09-0j 5.63416e-07-0j -1.34007e-06-0j 2.09973e-08-0j -1.11673e-07-0j -4.16179e-09-0j 
-0.508951-0j 0.000623222-0j 5.19352e-05-0j -0.00296856-0j 0.0714253-0j -0.000302977-0j -6.1845e-05-0j -3.64425e-06-0j -0.00188358-0j -0.00195769-0j -0.000303962-0j -0.000315921-0j 0.0358287-0j 0.0372383-0j 0.00517143-0j -3.1023e-05-0j 0.00537489-0j -3.22435e-05-0j -3.65609e-06-0j -3.79994e-06-0j -1.66877e-07-0j -1.73443e-07-0j 0.00144054-0j 0.00167183-0j 0.000933616-0j 0.00022777-0j 0.000264339-0j 0.000180068-0j 0.000147618-0j -0.0347804-0j 2.59906e-05-0j 0.000208978-0j -0.0403644-0j -0.00433254-0j 0.000116702-0j 3.01634e-05-0j 1.06106e-05-0j -0.0225412-0j -0.000361045-0j 1.68445e-05-0j 2.65265e-06-0j -0.00502814-0j 1.23142e-05-0j -0.00280792-0j -0.000419012-0j 2.21054e-07-0j 6.87673e-06-0j 3.07854e-06-0j -0.000233993-0j 8.23821e-09-0j 2.56545e-07-0j 1.71918e-06-0j 9.56087e-09-0j 1.43265e-07-0j 5.33918e-09-0j 
0.000712254-0j 0.567587-0j -0.00150518-0j 1.0764e-05-0j -8.45888e-05-0j -0.000211161-0j 0.00204322-0j -2.53186e-06-0j 0.000391692-0j -0.000382037-0j -0.00298037-0j 0.00290691-0j -0.00493417-0j 0.00481255-0j -0.000709928-0j 0.058467-0j 0.00069243-0j -0.0570259-0j 0.0104272-0j -0.0101702-0j -8.32001e-06-0j 8.11494e-06-0j -0.000572348-0j 6.23966e-06-0j -0.000409239-0j 0.00426699-0j -4.65181e-05-0j 0.00683993-0j 0.00305097-0j -4.76957e-05-0j 0.000984129-0j -7.45679e-05-0j 5.19972e-07-0j -0.0537516-0j 0.00489067-0j -1.07288e-05-0j 0.00121757-0j -3.41033e-05-0j 0.000142544-0j 0.00070367-0j -0.019306-0j 0.000585992-0j -1.32738e-05-0j -0.0384334-0j -1.55399e-06-0j -0.00160886-0j 0.000870585-0j 0.000210472-0j 0.000101921-0j 9.42362e-07-0j 1.75396e-05-0j -0.0138042-0j -1.02735e-08-0j -0.00115037-0j 6.73806e-07-0j 
0.000436165-0j 0.347574-0j -0.000921731-0j 0.000380447-0j -0.00298974-0j -0.00746337-0j 0.0722165-0j -8.94873e-05-0j -0.000705927-0j 0.000242347-0j 0.00537137-0j -0.00184401-0j 0.00889261-0j -0.00305286-0j 0.00127947-0j -0.105372-0j -0.000439246-0j 0.0361746-0j -0.0187924-0j 0.0064515-0j 1.49948e-05-0j -5.14775e-06-0j 0.000178221-0j -0.000649056-0j 0.000128647-0j -0.00132868-0j 0.00483886-0j -0.00212986-0j -0.000959092-0j 1.48518e-05-0j -0.000306444-0j 0.00775663-0j -5.4088e-05-0j 0.0167375-0j -0.00153741-0j 0.00111602-0j -0.000379134-0j 1.07206e-05-0j -4.43861e-05-0j -0.000221203-0j 0.00601162-0j -0.0609555-0j 0.00138075-0j 0.0120818-0j 0.000161648-0j 0.000500977-0j -0.000273674-0j -0.0218935-0j -3.20396e-05-0j -2.93438e-07-0j -0.00182449-0j 0.00433942-0j 1.06866e-06-0j 0.000361624-0j -2.11815e-07-0j 
0.209931-0j -0.000257066-0j -2.14222e-05-0j 0.00371736-0j -0.0894418-0j 0.000379401-0j 7.74449e-05-0j 4.56349e-06-0j -0.000799703-0j -0.00381888-0j -0.000129052-0j -0.000616269-0j 0.0152116-0j 0.0726411-0j 0.00219561-0j -1.31713e-05-0j 0.0104848-0j -6.28977e-05-0j -1.55225e-06-0j -7.41256e-06-0j -7.08502e-08-0j -3.38336e-07-0j -0.000594194-0j 0.00215488-0j -0.000513506-0j -9.39503e-05-0j 0.000340716-0j -7.42743e-05-0j -8.11924e-05-0j 0.0143462-0j -1.07206e-05-0j 0.000269359-0j -0.0520272-0j 0.00178708-0j -6.41882e-05-0j 3.88787e-05-0j -4.37665e-06-0j 0.012398-0j 0.000148924-0j -9.26477e-06-0j -1.09416e-06-0j -0.00648095-0j 1.58722e-05-0j 0.00154441-0j -0.000540079-0j -9.11803e-08-0j -3.78233e-06-0j 3.96804e-06-0j 0.000128701-0j -3.39809e-09-0j 3.3067e-07-0j -9.45581e-07-0j 1.23233e-08-0j -7.87985e-08-0j -2.93665e-09-0j 
-5.93545e-05-0j 0.00150518-0j 0.549574-0j -8.96999e-07-0j 2.14462e-05-0j -9.15495e-08-0j -0.000254584-0j 0.00285913-0j -3.2641e-05-0j 3.18364e-05-0j 0.000755627-0j -0.000737002-0j -4.30082e-06-0j 4.19482e-06-0j -0.0084569-0j 7.71208e-05-0j 0.00824845-0j -7.522e-05-0j 0.0398221-0j -0.0388406-0j 0.0189704-0j -0.0185028-0j 4.76957e-05-0j -5.19972e-07-0j 3.41033e-05-0j -0.00108183-0j 1.1794e-05-0j 5.96196e-06-0j -0.000773528-0j 3.97464e-06-0j 0.0117233-0j -6.49965e-08-0j -4.3331e-08-0j -0.000142544-0j 4.26291e-06-0j -0.000127805-0j 3.51312e-07-0j 2.84194e-06-0j -0.0520458-0j 0.00838234-0j 0.0011965-0j 1.55399e-06-0j -3.82995e-09-0j -0.000101921-0j 0.000567396-0j -0.0190034-0j 2.51194e-07-0j -1.30441e-05-0j -0.0372137-0j -0.00359745-0j 0.000207173-0j 0.000855519-0j 3.92188e-05-0j -0.0135878-0j -0.00257224-0j 
-0.000623222-0j -0.496638-0j 0.00131703-0j 0.000524772-0j -0.00412392-0j -0.0102946-0j 0.0996122-0j -0.000123435-0j 0.000332973-0j 0.000346074-0j -0.00253358-0j -0.00263326-0j -0.00419449-0j -0.00435952-0j -0.000603504-0j 0.0497022-0j -0.000627248-0j 0.0516577-0j 0.00886406-0j 0.00921281-0j -7.07277e-06-0j -7.35104e-06-0j -0.000254655-0j -0.00029554-0j -0.000165042-0j 0.00189851-0j 0.00220332-0j 0.00304328-0j 0.00123042-0j -2.12212e-05-0j 0.000437868-0j 0.00353189-0j -2.46283e-05-0j -0.0239157-0j 0.00197235-0j 0.000508168-0j 0.000541733-0j -1.37535e-05-0j 6.34219e-05-0j 0.000283782-0j -0.00858982-0j -0.0277554-0j 0.000628709-0j -0.0154997-0j 7.36043e-05-0j -0.00071583-0j 0.000351097-0j -0.00996893-0j 4.11037e-05-0j 4.19285e-07-0j -0.000830758-0j -0.00556706-0j 4.86601e-07-0j -0.000463929-0j 2.71738e-07-0j 
-3.63471e-05-0j 0.000921731-0j 0.336544-0j -3.17039e-05-0j 0.000758004-0j -3.23577e-06-0j -0.00899812-0j 0.101055-0j 5.88272e-05-0j -2.01956e-05-0j -0.00136183-0j 0.00046752-0j 7.75117e-06-0j -2.661e-06-0j 0.0152415-0j -0.000138991-0j -0.00523244-0j 4.77161e-05-0j -0.0717695-0j 0.0246387-0j -0.0341894-0j 0.0117373-0j -1.48518e-05-0j 5.4088e-05-0j -1.07206e-05-0j 0.000336867-0j -0.00122682-0j -1.85647e-06-0j 0.000243163-0j -1.23765e-06-0j -0.00365046-0j 6.761e-06-0j 4.50733e-06-0j 4.43861e-05-0j -1.34007e-06-0j 0.0132944-0j -1.09394e-07-0j -8.93381e-07-0j 0.0162063-0j -0.00263504-0j -0.000372573-0j -0.000161648-0j 3.98396e-07-0j 3.20396e-05-0j -0.0590211-0j 0.0059174-0j -7.89644e-08-0j 0.00135686-0j 0.0116983-0j 0.00112019-0j -0.0215503-0j -0.000268938-0j -0.00407958-0j 0.0042714-0j 0.000808598-0j 
0.000257066-0j 0.204853-0j -0.000543248-0j -0.000657142-0j 0.00516415-0j 0.0128914-0j -0.124739-0j 0.000154571-0j 0.000141369-0j 0.000675089-0j -0.00107567-0j -0.00513673-0j -0.00178084-0j -0.00850414-0j -0.000256227-0j 0.0211018-0j -0.00122358-0j 0.100769-0j 0.00376337-0j 0.0179715-0j -3.00285e-06-0j -1.43397e-05-0j 0.00010504-0j -0.000380932-0j 9.07758e-05-0j -0.000783095-0j 0.00283994-0j -0.00125529-0j -0.000676755-0j 8.75331e-06-0j -0.000180611-0j 0.00455238-0j -3.17443e-05-0j 0.00986471-0j -0.00108483-0j 0.000654997-0j -0.000223454-0j 7.56465e-06-0j -2.61602e-05-0j -0.000156085-0j 0.00354312-0j -0.0357749-0j 0.000810366-0j 0.00852513-0j 9.48713e-05-0j 0.000295265-0j -0.00019311-0j -0.0128493-0j -2.26078e-05-0j -1.72946e-07-0j -0.00107079-0j 0.00306198-0j 6.27198e-07-0j 0.000255169-0j -1.49461e-07-0j 
5.19352e-05-0j -0.00131703-0j -0.480877-0j -4.3731e-05-0j 0.00104556-0j -4.46328e-06-0j -0.0124116-0j 0.13939-0j -2.77478e-05-0j -2.88395e-05-0j 0.000642351-0j 0.000667624-0j -3.65609e-06-0j -3.79994e-06-0j -0.00718913-0j 6.55597e-05-0j -0.00747198-0j 6.81391e-05-0j 0.0338524-0j 0.0351843-0j 0.0161266-0j 0.016761-0j 2.12212e-05-0j 2.46283e-05-0j 1.37535e-05-0j -0.000481338-0j -0.000558618-0j 2.65265e-06-0j -0.000311955-0j 1.76843e-06-0j 0.00521603-0j 3.07854e-06-0j 2.05236e-06-0j -6.34219e-05-0j 1.71918e-06-0j 0.00605346-0j 1.56309e-07-0j 1.14612e-06-0j -0.0231567-0j 0.0033805-0j 0.000532358-0j -7.36043e-05-0j 1.81405e-07-0j -4.11037e-05-0j -0.0268746-0j -0.00845518-0j 1.01304e-07-0j 0.000617829-0j -0.0150079-0j -0.00160061-0j -0.00981268-0j 0.000345021-0j -0.00185759-0j -0.0054798-0j -0.00103735-0j 
-2.14222e-05-0j 0.000543248-0j 0.198352-0j 5.47618e-05-0j -0.00130929-0j 5.58911e-06-0j 0.0155424-0j -0.17455-0j -1.17807e-05-0j -5.62574e-05-0j 0.00027272-0j 0.00130234-0j -1.55225e-06-0j -7.41256e-06-0j -0.00305226-0j 2.78344e-05-0j -0.0145756-0j 0.000132919-0j 0.0143726-0j 0.0686343-0j 0.00684678-0j 0.0326959-0j -8.75331e-06-0j 3.17443e-05-0j -7.56465e-06-0j 0.000198542-0j -0.000720022-0j -1.09416e-06-0j 0.000171581-0j -7.29442e-07-0j -0.0021515-0j 3.96804e-06-0j 2.64536e-06-0j 2.61602e-05-0j -9.45581e-07-0j 0.00780253-0j -6.44742e-08-0j -6.30388e-07-0j 0.00955166-0j -0.00185934-0j -0.000219587-0j -9.48713e-05-0j 2.33819e-07-0j 2.26078e-05-0j -0.0346396-0j 0.00348759-0j -5.57189e-08-0j 0.000796342-0j 0.00825459-0j 0.000660218-0j -0.0126479-0j -0.000189768-0j -0.00239431-0j 0.00301399-0j 0.000570564-0j 
0.0026667-0j 0.000471411-0j 3.92842e-05-0j -0.449922-0j 0.000387674-0j 0.000237401-0j 4.84593e-05-0j 2.85549e-06-0j 0.00146651-0j 0.0014817-0j -0.0457759-0j -0.0462503-0j 0.000193229-0j 0.000195231-0j 2.78902e-05-0j 2.41536e-05-0j 2.81792e-05-0j 2.44039e-05-0j 2.84653e-06-0j 2.87603e-06-0j 1.29926e-07-0j 1.31272e-07-0j 0.00108964-0j 0.00134836-0j 0.000786544-0j 0.000172287-0j 0.000213195-0j -0.0263459-0j 0.000124363-0j 9.08033e-05-0j -0.0038027-0j -0.0326013-0j 0.000112363-0j 2.27008e-05-0j -0.0190174-0j -0.0047056-0j 8.02596e-06-0j 6.55453e-05-0j 1.89174e-06-0j -0.00274493-0j 2.00649e-06-0j 2.80908e-05-0j 9.93161e-06-0j 1.63863e-05-0j 2.3409e-06-0j 1.67207e-07-0j 5.79344e-06-0j 2.4829e-06-0j 1.36553e-06-0j 6.23145e-09-0j 2.06909e-07-0j 1.44836e-06-0j 7.71103e-09-0j 1.20697e-07-0j 4.4981e-09-0j 
