0.351162-0.143467j 0.839778-0.130128j 1.23367-0.239585j -1.94186+0.753777j -1.94063+0.587795j 5.20946-1.03586j 0.655425-0.792115j 6.55068-1.47654j 6.55145-1.7047j -1.41061+0.387073j -10.7301+2.18843j 5.1142-1.27933j -5.90857+1.19236j -9.76202+2.09917j 3.43344-0.757141j 20.2877-4.3051j -13.1544+2.95266j -1.21318+0.309208j 5.17794-1.00774j 4.47435-1.04383j 3.90864-0.815993j 22.3673-4.7571j 0.730116-0.167919j 16.8988-3.56953j -1.11346+0.222457j 0.942515+0.0540681j 17.7297-3.69418j 0.742497-0.208902j 16.9888-3.67201j 0.459477-0.0370614j 22.1255-4.84969j 3.91918-0.840416j -4.45205+1.21989j -5.25752+1.34917j 1.21237-0.108311j 12.5844-3.21424j -19.5331+4.50362j 3.22769-0.782416j 9.02458-2.03205j 5.64856-1.2363j 4.82479-1.21621j 10.2245-1.54111j 1.08286-0.0085204j 6.5863-1.06925j -6.36943+0.770827j 0.850897-0.780263j 5.2209-0.774989j 1.45928-0.336467j 1.9696-0.889242j 2.44968-1.8167j 1.19068-0.449001j -1.85173-2.46882j 
67.2582-2.47366j 415.235+0.3697j 722.074+12.1992j -1014.48+7.92559j -990.961+6.36076j 2515.3-1.60747j 393.749-15.1671j 3180.52-0.371686j 3276.89-15.382j -718.131+3.95079j -5079.23-19.4677j 2531.06-0.811488j -2862.43-10.4916j -4652.98-5.30239j 1703.48+1.4165j 9785.03+31.0182j -6343.89-21.2121j -590.227+1.31552j 2561.91+11.064j 2076.55-0.191413j 1878.35+7.3573j 10763.9+44.0523j 234.774-5.71881j 8185.12+44.8791j -409.394+3.68411j 446.311+7.13692j 8529.42+48.2315j 409.964+9.46982j 8185.71+45.6626j 235.304+10.4078j 10766+77.876j 1878.44+14.3458j -2077.12-29.8841j -2561.7-15.7103j 590.658+8.29868j 6345.48+54.6508j -9787.08-78.432j 1704.1+19.5706j 4654.98+49.2915j 2863.05+21.2234j 2531.35+30.1768j 5080.28+36.5127j 719.192+14.0473j 3278.89+57.4736j -3181.65-36.4119j 395.386+23.9435j 2516.86+28.6404j 991.431+18.451j 1016.55+21.5411j 721.037-6.78207j 415.744+4.82685j 67.5134+3.34706j 
-23.5536+1.28291j -145.232+1.40694j -252.336-2.75391j 355.272-7.11915j 347.035-6.22164j -880.368+9.09028j -138.152+7.93776j -1112.76+11.1911j -1146.97+18.288j 250.96-4.29339j 1776.45-8.79371j -885.907+9.26676j 1001.2-5.43351j 1627.75-14.2217j -595.929+6.08279j -3422.82+21.522j 2218.84-14.9113j 206.531-2.20691j -896.135+4.29464j -726.122+9.4486j -657.132+3.7667j -3764.29+19.4519j -82.3011+3.74375j -2862.36+9.91927j 143.651-2.36924j -156.044-0.302314j -2982.59+10.137j -142.554-2.11356j -2863.14+9.12824j -81.4041-1.71875j -3763.66+6.99461j -656.938+0.25666j 726.083+2.09725j 895.817-2.01366j -206.255-1.85929j -2217.88+2.90782j 3422.92-3.09171j -594.962+0.00523145j -1626.68-1.61923j -1000.64+1.43841j -884.608-3.02031j -1777.12+3.08913j -251-1.96964j -1146.93-8.96077j 1110.94+2.9207j -136.559-5.4864j -879.649-1.81036j -347.907-2.76459j -355.1-3.61849j -251.801+3.52992j -144.554+0.180773j -23.6766-0.390119j 
-2.11138+0.0722077j -13.0013-0.140138j -22.8793-0.843833j 32.2968+0.506558j 31.2805+0.348091j -79.797-1.31408j -12.3067+0.18796j -101.371-1.43636j -103.475-1.47631j 22.5192+0.134066j 161.66+3.0697j -80.6108-1.53231j 90.6873+1.54695j 147.601+2.55108j -54.1041-1.06896j -310.825-5.59219j 201.119+4.26637j 18.6142+0.280149j -81.291-1.50218j -65.515-1.74689j -59.5775-1.50463j -341.326-6.40954j -7.4587+0.225699j -260.465-5.31803j 12.9399+0.147183j -14.216-0.846277j -270.724-6.04863j -13.1834+0.534507j -259.782-5.58305j -7.17814-0.764221j -342.337-8.13599j -60.0811-1.85241j 66.5027+2.63771j 82.1427+2.17579j -19.1062+0.0364909j -201.393-4.76936j 312.052+7.1662j -53.648-0.939909j -147.903-3.67445j -91.4345-2.14842j -80.4882-0.780809j -161.073-3.62175j -23.3359-0.284804j -103.852-3.71593j 100.618+2.54976j -13.3831-0.855312j -79.4083-1.53024j -30.6455-0.822749j -32.4414-1.72049j -22.8588+1.12479j -13.4821-0.490567j -2.88494-0.3735j 
22.4795-0.676098j 138.059+0.567575j 239.968+4.25684j -336.394+1.32485j -329.047+0.775203j 835.107+1.93207j 130.445-4.02624j 1055.9+3.12322j 1088.02-1.21813j -238.731+0.500179j -1686.32-10.8413j 840.497+2.30077j -950.419-5.92397j -1544.99-6.20549j 565.292+2.21378j 3249.06+19.4308j -2106.31-13.5431j -196.435+0.0486238j 850.495+6.16794j 689.246+2.23705j 623.732+4.04612j 3574.48+24.4693j 77.9668-1.68425j 2718.53+22.1422j -135.486+0.220896j 147.546+3.04548j 2832.68+23.4551j 136.476+3.57611j 2718.58+22.6377j 78.48+4.64424j 3574.46+34.9614j 624.188+6.3244j -689.337-12.2804j -850.638-6.73353j 195.996+2.34567j 2107.56+23.7463j -3249.95-35.4355j 565.98+8.8645j 1545.64+21.2093j 950.966+10.1673j 840.743+11.053j 1687+15.1035j 238.704+5.18034j 1089.84+23.2656j -1056.01-15.0035j 131.432+8.79843j 835.039+12.1602j 329.103+7.13175j 337.61+8.37501j 239.406-2.10687j 138.627+1.67929j 22.5822+1.4217j 
80.9984-3.16818j 499.927+0.0182864j 869.029+13.8381j -1221.42+11.7264j -1192.89+8.93743j 3027.93-5.34347j 474.256-19.5766j 3828.38-4.61014j 3944.39-23.3042j -864.39+5.51611j -6114.01-17.491j 3047.03-4.26066j -3445.72-9.22088j -5600.87-0.00678703j 2050.11-0.970162j 11779.4+25.0858j -7635.84-16.599j -710.954+2.14476j 3084.16+10.3478j 2499.39-2.96264j 2261.46+6.21142j 12957.9+38.8704j 282.893-7.59851j 9853.22+43.5728j -491.896+5.60505j 536.918+8.08577j 10267+46.6067j 492.976+12.2029j 9852.55+44.9536j 282.92+13.3913j 12958.2+80.3096j 2260.9+14.1649j -2500.25-32.6325j -3085.54-16.6715j 710.815+8.3218j 7639.16+56.6533j -11781.5-83.6061j 2050.46+21.4067j 5603+52.1037j 3446.36+20.9618j 3047.7+34.128j 6115.24+37.0129j 864.488+15.4067j 3947.37+63.5193j -3830.15-40.5688j 474.745+26.42j 3028.17+33.9505j 1194.13+21.0609j 1222.64+25.6043j 868.86-8.38068j 500.416+5.13647j 82.0871+3.79752j 
-75.2781+3.00892j -462.337+0.948194j -803.42-11.9439j 1129.29-12.0075j 1103.37-9.61668j -2800.25+8.01035j -438.741+19.0057j -3539.98+8.99539j -3647.54+27.117j 799.673-6.30734j 5653.24+9.74323j -2817.14+7.55814j 3186.12+4.93008j 5178.72-6.1328j -1895.32+3.24509j -10891.4-10.2612j 7060.95+6.47674j 657.091-2.42869j -2851.77-6.67325j -2311+7.21064j -2091-3.94181j -11981.3-22.0673j -261.514+7.72606j -9110.75-29.8295j 455.672-5.70875j -496.083-6.3044j -9493.28-32.2025j -455.516-9.97802j -9109.03-30.6603j -261.909-10.6286j -11981.5-60.0195j -2089.87-11.4987j 2311.12+26.142j 2851.82+10.5927j -657.62-7.89166j -7061.64-43.2803j 10893.3+64.1153j -1896.55-16.8437j -5178.94-41.766j -3186.24-16.6175j -2818.93-27.2801j -5652.54-27.2266j -799.732-12.0241j -3649.22-55.2462j 3541.1+34.4903j -440.427-23.6805j -2801.3-27.1177j -1104.66-18.2762j -1130.05-21.3367j -802.789+8.53467j -462.442-4.10505j -75.842-4.01643j 
87.5683-3.39104j 538.077-0.994475j 935.203+13.9382j -1314.51+14.546j -1284.25+11.2446j 3258.89-9.30919j 510.781-21.8053j 4120.7-10.7171j 4245.73-30.6925j -930.688+7.40786j -6580.24-10.8418j 3279.42-8.99768j -3708.69-5.66342j -6028.29+6.84891j 2206.76-3.91141j 12677.8+12.0693j -8219.31-8.54715j -765.103+3.2936j 3319.46+7.31216j 2690.42-7.0744j 2433.56+3.92013j 13946.3+25.19j 304.763-9.44481j 10603.8+34.7387j -529.642+7.01268j 577.26+7.25502j 11049.5+37.1976j 529.541+11.6379j 10603.7+35.8257j 305.409+12.7514j 13947.8+70.1339j 2432.82+13.179j -2691.92-31.2018j -3319.99-13.7747j 765.6+9.08274j 8219.32+52.155j -12680.2-75.5426j 2208.12+21.2593j 6029.58+49.4107j 3709.01+19.7089j 3280.35+33.2089j 6580.68+31.3038j 930.122+15.3922j 4247.58+63.8846j -4121.61-38.218j 511.703+28.4155j 3260.12+31.968j 1284.9+21.4137j 1315.84+24.4582j 935.345-10.2177j 538.922+4.9519j 87.8654+4.33886j 
66.8012-2.8206j 410.424-0.963229j 713.798+10.6122j -1003.27+11.2523j -980.105+9.05971j 2487.06-8.47746j 389.616-17.0593j 3144.79-9.30093j 3240.48-25.8464j -710.211+6.40081j -5022.2-6.01573j 2502.29-7.58762j -2830.43-3.04081j -4600.59+8.03694j 1683.93-3.91507j 9675.37+3.8183j -6273.22-2.75866j -583.803+2.49908j 2533.41+4.01846j 2053.33-6.97085j 1856.91+2.34327j 10643.1+14.0855j 232.765-6.62043j 8092.32+22.4313j -403.915+4.76784j 440.151+4.76575j 8433.52+24.245j 405.185+8.45792j 8092.31+22.5973j 232.452+10.1092j 10644.1+48.9639j 1857.13+7.89029j -2053.6-21.9822j -2532.76-9.56948j 584.477+5.64537j 6273.93+36.0423j -9676.7-51.0175j 1684.36+14.5871j 4601.28+35.9417j 2829.28+13.8382j 2502.58+23.4889j 5021.96+22.5064j 710.903+10.2407j 3241.28+47.5782j -3144.93-26.5757j 390.707+20.7745j 2488.72+23.7575j 980.15+15.7957j 1003.89+18.4397j 713.822-7.02045j 410.626+3.67691j 67.3099+3.80318j 
3.46217-0.226401j 22.121-0.610678j 37.7853-0.446012j -53.2341+2.49614j -52.2942+2.08647j 131.227-4.22472j 21.3147-1.84884j 166.034-4.88859j 171.491-6.52847j -37.4681+1.46459j -264.496+6.2758j 132.284-3.95478j -149.086+3.79239j -243.352+6.57308j 88.717-2.94732j 511.344-12.9645j -331.695+8.64926j -30.7003+0.96349j 133.872-2.87351j 108.727-4.3204j 98.0972-2.14971j 562.036-14.3531j 12.4021-1.14592j 426.855-9.35549j -21.2881+0.755191j 24.0525+0.133303j 446.388-9.73228j 21.3323-0.554042j 426.633-9.75279j 10.6476-0.181209j 561.243-11.2328j 98.7703-2.24199j -107.772+1.99346j -134.286+2.4651j 29.5089-1.20121j 330.384-7.99199j -510.679+10.9004j 89.6067-1.40479j 243.199-4.12939j 149.16-3.11773j 132.429-2.64317j 265.103-5.27467j 38.7775+0.300123j 171.115-2.70126j -166.044+2.89587j 20.1138+0.0666571j 131.535-2.53279j 51.2886-0.418342j 52.8163+0.0738836j 38.234-1.52963j 22.1633-0.576085j 3.3663-0.102369j 
27.3885-1.10447j 168.606-0.587491j 292.515+3.79289j -411.053+5.27413j -401.271+4.138j 1019.17-4.03477j 160.338-7.2556j 1288.16-5.09115j 1327.24-11.8845j -291.079+3.15134j -2056.99-0.867177j 1025.34-4.73698j -1159.18+0.10952j -1884.8+4.82034j 689.859-2.77836j 3963.78-2.14103j -2570.19+1.70536j -239.396+1.31115j 1037.54+0.682475j 840.888-4.4248j 760.763-0.413131j 4360.07+1.66959j 95.161-3.18942j 3315.52+6.25142j -165.511+2.54877j 181.21+1.68347j 3453.44+6.75881j 167.069+2.69639j 3315.31+6.1833j 94.4085+3.8699j 4360.74+14.7426j 760.006+2.85694j -840.818-8.18759j -1038.94-4.06624j 239.938+2.16199j 2569.01+12.4954j -3963.7-17.0759j 690.372+5.36427j 1884.63+12.4137j 1159.11+4.29794j 1024.29+8.37587j 2057.13+7.75178j 291.45+4.94321j 1328.05+17.5563j -1287.8-9.98872j 159.579+8.23075j 1018.91+8.51267j 402.371+6.34633j 411.014+7.14671j 292.841-3.47085j 168.707+0.726414j 27.42+1.37282j 
109.539-4.48199j 673.231-1.7674j 1170.23+16.8478j -1644.89+19.2003j -1606.97+15.3777j 4077.55-15.148j 639.018-28.1946j 5155.9-16.8688j 5312.41-43.5329j -1164.68+10.485j -8233.46-7.84314j 4103.07-14.4213j -4640.15-3.76959j -7542.49+14.7079j 2760.84-7.68973j 15862.7+2.41696j -10283.8-1.54028j -957.423+4.5511j 4153.47+6.5507j 3366.08-12.4385j 3044.42+2.48769j 17449.3+17.5834j 381.936-11.0996j 13266.3+33.4127j -663.06+9.91276j 723.061+8.1513j 13825.3+35.9033j 663.37+13.1661j 13268.1+35.5415j 380.818+15.3081j 17450.2+73.8724j 3045.39+14.386j -3366.52-34.7271j -4152.89-13.976j 956.961+9.01002j 10284.6+56.2473j -15863.3-80.799j 2761.66+23.6598j 7544+55.8517j 4640.98+20.7356j 4103.31+36.5494j 8232.67+33.5586j 1164.77+16.9528j 5313.82+74.7877j -5156.47-44.5285j 639.714+33.8614j 4078.22+37.1968j 1607.15+25.0745j 1645.84+29.2513j 1170.38-11.9173j 673.659+5.71509j 110.08+5.69518j 
86.5509-3.54319j 531.996-1.22673j 924.917+13.5679j -1299.93+14.9039j -1269.79+12.0807j 3222.46-11.0343j 504.832-21.9715j 4074.62-12.3577j 4198.57-33.0629j -919.981+7.61355j -6506.87-7.47815j 3242.6-10.6631j -3667.27-3.61105j -5961.54+10.5991j 2182.26-6.07713j 12535.8+4.32898j -8127.41-2.99596j -757.227+3.60924j 3282.4+5.54966j 2659.44-9.12347j 2406.62+2.1392j 13789.6+18.4894j 301.278-9.12412j 10485.3+28.9886j -524.879+5.95288j 571.481+7.10491j 10925.2+30.2986j 524.658+10.6329j 10484.6+29.5654j 301.544+11.5213j 13791.2+62.2397j 2407.3+11.658j -2660.63-28.0388j -3282.77-11.2823j 755.954+6.87962j 8128.95+45.9747j -12536.9-67.582j 2182.95+19.3374j 5961.48+45.7873j 3667.51+16.299j 3243.27+28.6471j 6508.05+27.3737j 921.037+13.2635j 4200.51+60.6795j -4075.96-37.4035j 505.77+28.0422j 3223.8+30.5127j 1270.19+20.5808j 1301.18+23.6936j 924.991-9.89938j 532.674+4.43443j 86.7529+4.59195j 
47.8179-2.14452j 294.197-1.17279j 511.904+7.28908j -719.848+8.89712j -702.848+7.80733j 1783.86-8.16251j 279.604-13.0452j 2255.46-9.39929j 2324-21.7159j -509.512+5.32192j -3601.92-0.176329j 1794.86-7.9187j -2029.47-0.090603j -3299.93+9.98212j 1207.71-4.46128j 6938.85-5.23381j -4498.8+2.79865j -418.708+2.65544j 1816.54+1.35292j 1472.32-7.83856j 1331.77-0.715519j 7633.08+1.47947j 166.451-5.42173j 5804.06+10.5428j -290.236+5.51509j 315.31+3.004j 6048.75+9.69104j 290.553+5.7605j 5803.81+10.9364j 167.449+6.32589j 7633.84+24.9876j 1332+5.26232j -1471.39-14.1313j -1817.25-4.63688j 418.645+3.22838j 4499.23+19.7401j -6939.23-30.0539j 1207.37+8.6828j 3300.14+20.5387j 2030.19+7.10325j 1794.97+14.9471j 3602.18+12.0043j 509.301+8.23295j 2324.32+31.1344j -2256.63-17.8156j 280.407+14.8647j 1783.7+14.7342j 702.768+10.6219j 719.04+12.2747j 512.301-5.77663j 294.693+2.20697j 48.0117+2.88412j 
