-0.080011-0j 0.0144938-0j 0.000210829-0j -0.0993558-0j -0.0165714-0j -8.64731e-05-0j 0.00170712-0j 2.04042e-05-0j -0.101453-0j 0.000419159-0j -0.00827489-0j -0.0145508-0j -0.00147576-0j -0.100413-0j 0.00041486-0j -0.00819002-0j -0.0144016-0j -0.00146062-0j -5.43479e-05-0j -5.49111e-05-0j 1.17006e-06-0j 1.15806e-06-0j 
0.00911402-0j -0.000535854-0j -7.89388e-06-0j -1.10534e-06-0j 1.32937e-05-0j -6.63205e-06-0j 0.000130928-0j -8.14161e-09-0j -0.00364409-0j 4.6387e-05-0j -0.000915757-0j 5.46676e-06-0j -5.36825e-05-0j 0.0037124-0j -4.72565e-05-0j 0.000932922-0j -5.56923e-06-0j 5.46888e-05-0j 0.0722313-0j -0.0709022-0j 2.54668e-08-0j -2.59441e-08-0j 
-0.00170712-0j -0.00727612-0j 7.35469e-07-0j -1.50089e-05-0j -2.49e-06-0j 6.17905e-07-0j 0.00116753-0j 7.5855e-10-0j -0.099477-0j -4.32185e-06-0j -0.00816615-0j 7.42306e-05-0j 1.00551e-05-0j 0.101342-0j 4.40287e-06-0j 0.00831922-0j -7.5622e-05-0j -1.02436e-05-0j 2.72836e-05-0j -2.67816e-05-0j -2.37273e-09-0j 2.4172e-09-0j 
0.0057847-0j -0.000691785-0j 0.00146656-0j 6.75003e-05-0j 1.70534e-05-0j -8.56194e-06-0j -8.73849e-07-0j 2.02028e-06-0j 4.88962e-05-0j -0.00283273-0j -0.000289114-0j -0.000674739-0j -0.000103658-0j -4.98127e-05-0j 0.00288583-0j 0.000294534-0j 0.000687386-0j 0.000105601-0j -0.000378052-0j 0.000371096-0j -7.90745e-06-0j 8.05567e-06-0j 
-0.000482058-0j -0.0168611-0j -0.000122213-0j 0.00164521-0j -1.42112e-06-0j 7.13495e-07-0j 7.28208e-08-0j -1.68356e-07-0j 0.00119176-0j 0.000236061-0j 2.40929e-05-0j -0.0164456-0j 8.63816e-06-0j -0.0012141-0j -0.000240486-0j -2.45445e-05-0j 0.0167539-0j -8.80008e-06-0j 3.15043e-05-0j -3.09247e-05-0j 6.58954e-07-0j -6.71306e-07-0j 
7.03213e-05-0j -0.116348-0j 5.86011e-06-0j -0.0168611-0j 7.20609e-06-0j 0.000345893-0j 3.53025e-05-0j 4.24623e-07-0j -0.00846457-0j 3.54449e-05-0j 3.61758e-06-0j -0.00122176-0j 4.26336e-07-0j -0.00837775-0j 3.50814e-05-0j 3.58048e-06-0j -0.00120922-0j 4.21964e-07-0j 0.000217391-0j 0.000219644-0j 1.94595e-08-0j 1.92599e-08-0j 
-0.0123838-0j -5.09548e-06-0j 1.08022e-05-0j 4.97186e-07-0j -3.65077e-05-0j -6.30647e-08-0j -0.000361224-0j 1.48808e-08-0j -0.000104676-0j -2.0865e-05-0j -0.119511-0j -4.96992e-06-0j 0.000221909-0j 0.000106638-0j 2.12561e-05-0j 0.121752-0j 5.06308e-06-0j -0.000226069-0j -2.78462e-06-0j 2.73338e-06-0j -5.82439e-08-0j 5.93356e-08-0j 
-0.00130717-0j 7.73439e-05-0j 0.0156209-0j -1.52531e-05-0j 8.92253e-05-0j 9.57254e-07-0j 9.76993e-08-0j 3.24482e-05-0j -5.46676e-06-0j 0.000640113-0j 6.53313e-05-0j -0.0035303-0j -0.00110411-0j 5.56923e-06-0j -0.000652112-0j -6.65559e-05-0j 0.00359647-0j 0.0011248-0j -0.0104257-0j 0.0102339-0j -0.000169752-0j 0.000172933-0j 
-0.000843856-0j -0.00477357-0j -7.03213e-05-0j -0.000691785-0j -8.64731e-05-0j -0.00415071-0j -0.00042363-0j -5.09548e-06-0j -0.000347288-0j -0.000425339-0j -4.3411e-05-0j -5.01267e-05-0j -5.11604e-06-0j -0.000343726-0j -0.000420977-0j -4.29658e-05-0j -4.96126e-05-0j -5.06356e-06-0j -0.0026087-0j -0.00263573-0j -2.33514e-07-0j -2.31119e-07-0j 
0.00018332-0j -7.20609e-06-0j 0.0673681-0j 2.13911e-06-0j -2.5474e-05-0j 1.74705e-05-0j -9.1026e-09-0j 0.000286999-0j 5.09335e-07-0j 0.0175848-0j -9.16216e-06-0j 0.00100791-0j -0.00476166-0j -5.18883e-07-0j -0.0179145-0j 9.3339e-06-0j -0.0010268-0j 0.00485092-0j -3.93804e-06-0j 3.86558e-06-0j -0.00226804-0j 0.00231055-0j 
0.00361903-0j 7.35469e-07-0j -0.00687573-0j -2.18322e-07-0j -0.000502899-0j 9.1026e-09-0j 1.71994e-05-0j -2.92917e-05-0j 1.00551e-05-0j 9.16216e-06-0j 0.0173119-0j -0.000102869-0j -0.0940031-0j -1.02436e-05-0j -9.3339e-06-0j -0.0176364-0j 0.000104797-0j 0.0957651-0j 4.01925e-07-0j -3.9453e-07-0j 0.000231481-0j -0.00023582-0j 
-2.04042e-05-0j -8.75181e-05-0j -0.0231888-0j 3.46996e-05-0j 4.27543e-06-0j 7.43224e-09-0j 7.5855e-10-0j 0.00109481-0j 6.18588e-06-0j 9.99182e-06-0j 1.01979e-06-0j 0.0246537-0j 0.00163902-0j -6.30183e-06-0j -1.01791e-05-0j -1.0389e-06-0j -0.0251158-0j -0.00166974-0j 3.2817e-07-0j -3.22132e-07-0j -0.0178787-0j 0.0182138-0j 
-0.000194205-0j -4.74743e-08-0j 0.00463154-0j 2.3553e-08-0j 5.43898e-05-0j -5.8757e-10-0j 1.15996e-08-0j -0.000451868-0j -3.2285e-07-0j -9.88431e-07-0j 1.95133e-05-0j 2.23667e-05-0j 0.0314969-0j 3.28902e-07-0j 1.00696e-06-0j -1.9879e-05-0j -2.2786e-05-0j -0.0320873-0j -2.59441e-08-0j 2.54668e-08-0j -0.063972-0j 0.0651712-0j 
0.000784411-0j 0.0044373-0j 6.53675e-05-0j 9.1531e-06-0j 1.14414e-06-0j 5.49186e-05-0j 5.60511e-06-0j 6.74189e-08-0j -0.000313633-0j -0.000384121-0j -3.92042e-05-0j -4.52691e-05-0j -4.62026e-06-0j 0.000319512-0j 0.000391321-0j 3.9939e-05-0j 4.61176e-05-0j 4.70686e-06-0j 0.00242493-0j -0.00238031-0j -2.10885e-07-0j 2.14838e-07-0j 
-8.91118e-08-0j 1.4953e-09-0j -0.000514863-0j -1.03982e-09-0j 3.7521e-08-0j 1.85067e-11-0j 1.88883e-12-0j 0.000101747-0j -1.0569e-10-0j 4.36375e-08-0j 4.45373e-09-0j -1.48456e-06-0j 3.63912e-05-0j 1.07671e-10-0j -4.44555e-08-0j -4.53722e-09-0j 1.51239e-06-0j -3.70733e-05-0j 8.17164e-10-0j -8.02128e-10-0j 0.0454796-0j -0.046332-0j 
