-0.0453617-0.118276j 0.096337-0.0351454j 0.00779382-0.0101574j -0.0687804+0.0442874j 0.0561628-0.00747728j 0.01405-0.0364174j -0.0201368+0.146555j 0.100407+0.115487j 0.278563+0.0157145j -0.10216-0.0757973j -0.126401-0.178131j -0.0254437-0.113663j -0.172988+0.0904656j -0.149895+0.0738149j 0.0269003-0.0341997j -0.107803-0.037719j 0.153142-0.0574425j -0.179661+0.0752482j -0.000215112+0.0401855j 0.0919484+0.032149j -0.0468134+0.0304188j 0.0167698+0.0509692j 0.154623-0.333366j 0.0433596-0.0521253j -0.0154117-0.178126j -0.0496473+0.0616372j -0.025912-0.0450319j -0.0128928+0.0424966j -0.0910405-0.104686j -0.26078-0.120146j -0.0533533-0.258519j -0.0722883-0.0479022j -0.00676098-0.0469669j -0.0801249+0.0890595j 0.0803419-0.0843584j -0.114794-0.073899j 
-0.00435958-0.0202794j 0.0173886+0.0134047j 0.00345199+0.00713684j -0.0244828+0.00461481j 0.00282171+0.020036j -0.00123557-0.00465431j -0.00824894+0.0142651j 0.0106761+0.00388355j -0.000552839-0.00574149j -0.0186317+0.0005803j -0.0227948+0.0221995j 0.00412102-0.0164318j 0.00329071+0.014872j 0.00489001+0.00120528j 0.0032165+0.0125937j 0.0108189+0.0154521j 0.0144185+0.00620871j 0.00526861-0.0141344j -0.00615881+0.00217604j 0.0223464-0.00203856j -0.00641905+0.0293776j 0.0197718-0.00915052j 0.017609-0.0224073j -0.0152416-0.018116j -0.0321897-0.0176382j -0.00839501-0.0119094j -0.00168075+0.0335672j 0.0173323-0.011725j 0.00144948-0.0182508j -0.00744996-6.20579e-05j 0.00903039-0.0228963j 0.00743796-0.0191027j -0.0271395+0.0402407j -0.0224697-0.025521j -0.00357034+0.0276354j 0.0301933+0.00235126j 
-0.00561784-0.0145856j -0.0026445-0.00481294j 0.0044582-0.0054992j 0.0196954+0.0150799j 0.0160925-0.020637j -0.0150116+0.00166875j -0.00382701+0.00343817j -0.015758+0.000292449j 0.00491694+0.00477605j -0.01214-0.000234427j -0.00920848+0.00973424j 0.020105-0.00975492j 0.0198246-0.000573031j -0.0292784+0.00194584j -0.00350187-0.0324085j 0.0236718+0.0246383j 0.00794186+0.0115184j 0.0149565+2.68914e-05j -0.00274702+0.00162066j 0.0234486-0.00952133j 0.00842217-0.00934567j 0.00490271-0.00200742j -0.00978844-0.0112791j 0.0107047-0.0185533j 0.0414322+0.0280169j -0.0175937-0.00366376j -0.0135222-0.0145533j 0.00127164-0.0391008j -0.0288931+0.0117718j -0.00949846-0.031818j 0.010686-0.00456712j -0.00556879-0.018614j 0.00884021-0.00545018j 0.0122057-0.0048439j -0.0115961-0.0174349j -0.00235084+0.0220413j 
0.0229473+0.00205825j -0.00950226-0.00249651j 0.00194573+0.00468041j -0.00153805+0.00277912j -0.00215628+0.00970535j 0.0144959-0.0201081j 0.00122913-0.00290417j -0.00492299+0.00876321j -0.018543-0.019874j -0.00372529-0.000360579j -0.0193573+0.00816943j -0.00989601+0.0194212j -0.0231351-0.0162605j 0.0211064-0.0158075j 0.0073379+0.033283j 0.017351-0.000904893j 0.0139371-0.0158377j 0.0150046-0.012423j -0.0106855+0.00618763j 0.00323107-0.000411111j -0.0115679-0.00702251j 0.0196893-0.010689j -0.00536366-0.00356894j -0.0263779-0.0161397j -0.0243916-0.00700191j -0.00271192-0.0165581j -0.0161992+0.0337442j 0.00351301-0.0184618j 0.0126515+0.0228716j 0.0179164+0.00465896j 0.0115057+0.0107734j 0.0121426-0.0202515j -0.00445446+0.00469036j -0.0219665+0.00636965j 0.0126601+0.018675j 0.00273668-0.00957366j 
-0.0223522+0.00148557j -0.0122537+0.00440869j -0.00158076+0.00721734j 0.021525-0.00113886j 0.00304061-0.0328523j -0.00915684+0.0146967j 0.00128698+0.0131804j -0.0213834-0.00834281j -0.0113955+0.00881604j 0.00925621-0.0158552j -0.0103547-0.0300543j 0.0106245-0.00317332j -0.0276902-0.0605313j -0.0214348-0.00600815j 0.0393367-0.00501637j 0.00196238-0.017499j 0.00532046-0.0398622j -0.00346005+0.0258581j 0.00939593+0.00551078j -0.00132278+0.00157888j 0.00820155-0.000878387j 0.00196467+0.0131527j 0.00313168+0.00277898j -0.0062343-0.0171302j 0.00843931+0.000467979j 0.00271352-0.00623544j -0.0282151-0.00448681j -0.0284366-0.00941982j -0.0195721-0.00865964j 0.00459509+0.0177835j 0.00546358+0.00205391j -0.0219023-0.0126611j 0.0193221-0.0176268j 0.0167875-0.000774995j -0.0149482-0.0425216j -0.0351067+0.0173251j 
-0.0129407+0.00340892j -0.0143457-0.00136585j -0.00723462-0.00404792j 0.0221587-0.00713955j -0.00594504-0.00145051j 0.00265618+0.000926775j 0.0322444-0.028295j 0.00659125-0.0220081j -0.0134673-0.0054302j 0.0145472+0.0157254j -0.0284634+0.017562j 0.00915402-0.0111817j 0.0143352-0.00829258j 0.0126405-0.0263348j -0.0142702+0.00422092j 0.00629632+0.00767374j -0.0235682+0.0358619j -0.00854465+0.00169124j -0.0266815-0.000773858j 0.00806262-0.0428619j -0.0123535-0.00398337j 0.000787668+0.00513053j 0.0342647-0.0122506j -0.0277996-0.00357544j -0.00963757-0.00669418j 0.0205764-0.00306077j -0.000424943-0.0150302j -0.0100172+0.0139451j -0.00137477+0.00668462j 0.0267443-0.013487j 0.00772568+0.00991082j -0.00521534+0.00865796j 0.0208085+0.00443116j -0.00920555-0.00108732j -0.00238522+0.00125565j -0.00230989+0.00348528j 
0.000292781+0.0170678j -0.00823602-0.0151649j 0.005115-0.00704944j 0.021613+0.0102888j 0.00936095-0.0329024j -0.00878393+0.00149356j 0.00956767-0.00660825j -0.0076087+0.00123227j 0.00300105+0.00342577j 0.00777521+0.0227089j 0.0208175+0.0122188j -0.0297434-0.0389535j 0.00266972+0.00600588j 0.0124632-0.00565734j 0.0144087+4.13569e-05j -0.00620459+0.00999886j -0.0239796+0.020971j 0.00478947-0.00197483j 0.0237946-0.0121192j 0.0137169-0.00564908j 0.0140165+0.000943944j -0.00159792+0.00282954j 0.00609982+0.0197255j 0.0098808+0.00200786j 0.0156676+0.0109899j -0.00308293-0.012519j -0.00167936+0.0183811j -0.00598963+0.0120289j 0.00815762-0.0195332j 0.00648732-0.00795845j 0.0102934+0.0111775j -0.00798623-0.00151687j 0.0096599-0.0128207j 0.0136482+0.00114161j -0.00757734-0.0232417j -0.0220695+0.00898865j 
0.0113238-0.0190048j 0.0104205+0.0158807j 0.00933479-0.00979301j -0.00876275+0.00402371j -0.0120734+0.0162343j -0.00284496-0.00562435j -0.00973608+0.00284368j 0.0168794+0.00353297j 0.00527518-0.00133404j -0.00959279-0.0130035j 0.000979753-0.0149637j 0.000410443+0.0118925j -0.00304253+0.00469333j -0.00698672-0.00518607j 0.00339045-0.00146175j 0.00451772-0.00119319j 0.0145401-0.0114474j -0.00742064+0.00467101j -0.0113831+0.00591864j 0.00311409+0.00166199j 0.00426954-0.0149293j -0.00784277-0.00454079j 0.0029787-0.0237632j -0.0126241+3.71041e-06j -0.0107266-0.00383268j 0.000821956+0.00156124j 0.00776057-0.0164832j 0.00990581-0.014512j -0.0191507+0.000240736j -0.00952237+0.00974359j -0.00747809-0.00361882j 7.70898e-05+0.0046196j 0.00212117+0.00159224j -0.00436501+0.0130329j 0.002399+0.0317422j 0.0250149-0.00038757j 
-0.00315202+0.00944758j 0.0222431-0.00981437j -0.00301849-0.0213908j 0.0200593-0.00617367j 0.00385213-0.0037011j 0.000299055+0.00986329j 0.00420008+0.00978989j -0.0124415+0.00409305j 0.00355062-0.0010247j 0.00231001-0.0109721j -0.00800259-0.00323542j -0.00485309+0.00557585j -0.00889836-0.0112423j -0.0010034+0.00463734j 0.00378779+0.00165437j 0.00528419+0.00903935j 0.00521694-0.00594182j 0.00031519+0.00452074j 0.00613084+0.00165228j 0.0047292-0.00505961j 0.00397514+0.00307044j -0.00933507-0.018087j -0.000841107+0.00149018j -0.0255857-0.00880958j 0.0118689-0.00551812j 0.0108617-0.00333495j -0.00244147+0.00404486j 0.0142658-0.0243271j -0.00108932-0.0190687j 0.00767428-0.00709066j 0.000111955+0.0180498j 0.0137065+0.00880944j -0.00372449+0.00278086j 0.00930783-0.00531591j 0.00213137-0.00435241j -0.00467335-0.00585342j 
-0.00710413-0.00250776j 0.0162445+0.016336j 0.0187616-0.0113009j 0.00165871+0.0122206j -0.0097399+0.00443751j -0.002024+0.00449764j -0.00106313+0.0141303j 0.00495615+0.000362255j 0.0135239+0.00622196j -0.00728174-0.0059574j -3.02751e-05-0.0157334j 0.00362479-0.0230364j -0.00932537-0.00391798j -0.0155055-0.00360778j 0.0107905-0.000966905j -0.00448902+0.00186818j 0.00213181-0.00627236j -0.0100256+0.00825494j -0.00389321+0.0075857j 0.0159353+0.00170062j -0.00387003+0.00553582j -0.0072126-0.00462501j 0.00572271-0.0143399j -0.00467969-0.00812265j 0.0109178-0.0176769j 0.00675308-0.00220563j -0.016008-0.00661621j -0.00327374-0.00284571j 0.0059097-0.00592439j -0.0204536-0.00666391j 0.000150912-0.00117874j -0.00981217-0.00141741j 0.00993584-0.0203572j 0.0118961+0.0144403j -0.00551964-0.0243245j -0.0249914+0.0085911j 
0.0269604-0.0273532j 0.00298342-0.00247446j -0.00291426-0.00982593j -0.0118391-0.000355233j -0.0300427+0.00341883j -0.00332278+0.000193238j -0.0232487+0.0104765j 0.0146512+0.0106676j 0.0240298+0.00252055j -0.0207599+0.00544663j 0.0169074-0.00198321j -0.00774013-0.0211642j -0.00860868+0.00419287j -0.00896016+0.00166358j 0.000198579-0.0041628j -0.00440683+0.000516536j 0.0104289-0.00973458j 0.00833215-0.0036803j -0.012661+0.00178035j -0.00034863+0.0238544j 0.0188096-0.00259192j -0.00525079-0.0222305j -0.0263275-0.0156764j 0.00408298+0.0158565j 0.016417-0.0141578j -0.00359687-0.00718908j 0.00480529+0.0119177j 0.0181814+0.00437078j 0.000257336+0.0121681j -0.0173084-0.00710314j 0.00157603+0.0180096j 0.0108142+0.00300043j 0.0173386-0.00996407j -0.00735583-0.000854475j -0.00272187-0.0137347j -0.00787652+0.00352941j 
-0.0136862-0.00282079j -0.0107474-0.0249067j -0.0199335-0.000998098j 0.0262896-0.00357262j 0.0150011-0.0291897j -0.016236+0.0134456j -0.00244308+0.00594499j -0.0270284-0.00735803j 0.00433878+0.000134679j 0.0104147+0.017813j -0.000286396+0.00273365j 0.00177094-0.00116255j 0.0138205-0.0140243j -0.015988-0.00120054j 0.0173129-0.0130614j -0.00812309+0.000681704j -0.0111781-0.000327504j 0.014208-0.00240429j 0.0162496-0.00131486j -0.00328562+0.00323959j 0.0182797-0.00661537j 0.00473962-0.00144604j -0.00467185+0.0214213j 0.00733539+0.00226304j 0.0317289+0.0223791j 0.00220633+0.00434644j -0.00764424+0.00601132j -0.00419215-0.0115582j 0.0112653-0.0225101j 0.000653442-0.00767264j 0.00908038+0.00399673j 0.00494041+0.000959923j -0.0186188-0.0357476j 0.0265151+0.00281895j -0.00285735-0.0218364j -0.0256114+0.0154056j 
