0.00409746-0.035744j -0.0469951-0.0590232j 0.166471+0.030256j 0.0886076-0.136605j 0.0791404+0.0569895j 0.0349211-0.106777j -0.0836037-0.0340985j 0.0491604+0.0830011j 0.0120936+0.0366453j 0.0933678-0.053981j 0.0344819+0.0113203j 0.0817042-0.0737899j -0.0577474+0.102148j -0.120373-0.085378j -0.00787929-0.079663j 
-0.0072383+0.00471857j 0.00180033+0.00263215j -0.00579876+0.000986138j -0.00165546+0.0163547j 0.00513815-0.00421635j 0.000960901+0.00731934j -0.00697809+0.0110407j -0.00265793+0.00415106j -0.00887837+0.00642733j 0.0173349+0.00111183j -0.00331867+0.00488925j -0.0183097-0.0057431j 0.0117793-0.00626197j 0.0137117+0.00821933j 0.00879707+0.00570325j 
-0.000870684-0.0216931j -0.0190741+0.0035556j -0.0124294+0.00419553j 0.00608673+0.0151731j 0.00682972-0.0143132j 0.00289439-0.0113329j 0.00370347+0.00924943j -0.00979038-0.000270417j 0.000896058-0.0134096j -0.0131396+0.0115011j 0.0160414-0.00599298j 0.00200961+0.00718838j -0.00980159+0.0149268j 0.000325753+0.00240459j -0.0137236-0.00694851j 
-0.00464064-0.00818854j -0.0224518+0.00138698j 0.0132269+0.00395142j 0.00533641-0.0102626j 0.0136731-0.0170999j 0.00693778-0.00570282j -0.00540769+0.00669159j -0.0179746+0.0172798j -0.00768868+0.000384405j 0.00891853-0.00368522j 0.0255777+0.00801391j -0.00235327-0.00636127j -0.0134962+0.0141028j 0.00123182-0.00357477j -9.08649e-05-0.0173942j 
0.000938181+0.012294j 0.00643022-0.000197259j 0.00818852+0.000871427j -0.00397001-0.00981149j -0.00144847+0.0037317j 0.00295546+0.0150313j 0.00412338+2.21845e-05j 0.00469829-0.00920567j 0.0028465+0.0117258j 0.0132168-0.0078888j 0.00232134+0.014152j -0.00690466+0.00106605j 0.00445834-0.0108476j 0.00295314+0.00203194j 0.0064638+0.00347779j 
-0.0101999+0.0189799j 0.00548252-0.00761738j 0.027228-0.0124904j 0.0184954-0.0177169j -0.010335+0.0172235j 0.00504132+0.0281014j 0.0113059+0.00260348j 0.0269984-0.0171464j -0.00600121+0.017781j 0.0187494-0.00895337j 0.00134003+0.0208639j -0.000157313+0.00263946j 0.00601656-0.0104594j -0.010979-0.00542119j -0.00258772-0.0081055j 
-0.00630964-0.0120089j -0.00791206+0.0162317j 0.00361458+0.0298333j -0.0115948-0.010917j 0.00227322-0.0135923j -0.00929279+0.0136608j -0.0221843+0.00744074j -0.0197999+0.00153547j -0.0049472+0.0135404j -0.0184255-0.000336249j 0.011343+0.019084j -0.00684115+0.00304618j -0.00231762+0.0176681j 0.0087372-0.00283758j 0.00753661+0.000194617j 
-0.00499859-0.0171817j 0.00474041+0.00646686j 0.0218487+0.0386973j -0.0211288-0.00957944j -0.0118634-0.012987j -0.0103451+0.00601708j 0.00365511+0.0036704j 0.002156-0.0128024j 0.00155484-0.00248783j -0.0306883+0.00286893j -0.0082998+0.0219205j 0.01905+0.0140468j 0.00465582+0.00700977j -0.0188713-0.00750753j -0.00720367+0.00164185j 
-0.00423781+0.000594919j 0.0103711+0.00148104j 0.00141792+0.0028975j -0.0117246+0.0156266j -0.0145009-0.00199445j -0.00175047+0.00164954j 0.00781281+0.00903682j -0.000108444-0.00470837j 0.00128023-0.00132415j -0.0141111+0.00386781j -0.00513819+0.00124345j 0.00504335+0.00374266j 0.00897774-0.00731293j 0.000760025+0.00252466j -0.00292333+0.00668916j 
-0.000762541+0.0107253j -0.00825771+0.00902281j -0.00126151+0.00942723j 0.000927075-0.0272733j 0.00854375-0.00374338j -0.00323166+0.0222196j -0.0196966+0.0140665j -0.010877-0.00558498j -0.0115535+0.0163286j 0.0225947+0.0027352j 0.0121305+0.0210204j -0.0237926-0.00712533j -0.00645967-0.00016554j 0.0214384+0.00770232j 0.018112+0.00580038j 
0.00398157+0.00624199j 0.00218834+0.00189406j -0.00130804+0.00221204j -0.00543836-0.000452373j 0.00769417-0.00139184j -0.00420933-0.000283551j -0.00470578-0.00308408j -0.000119984+0.00606149j 0.00159487+0.00515237j 0.0108628-0.00549425j -0.00630402-0.00506909j -0.00506724-0.00043399j -0.000335684-0.00386994j 0.00507085+0.00111377j 0.0105614+0.00239911j 
-0.0117285+0.00939472j 0.0159946+0.00257694j -0.0311149-0.00407291j -0.0040422+0.0254845j -0.00551713-0.00322595j 0.00606784+0.013602j 0.00263183-0.00734171j 0.00528125-0.0408152j 0.00523343+0.0267741j 0.00627603+0.00440516j -0.0278574+0.0066566j -0.00269625+0.00241854j 0.0178476+0.000334234j 0.0413857+0.0325424j 0.0088278+0.00238783j 
-0.00861369+0.00309543j 0.0114369-0.00714859j -0.0132693-0.00746099j -0.00193216+0.00692292j -0.020904+0.00321652j 0.00373466+0.000450284j -0.000184009-0.006319j 0.00666762+0.00523141j -0.00306177-0.0134461j -0.012396-0.001891j -0.00863804-0.00703042j 0.00502483-0.00568326j 0.0152189-0.00572949j 0.00455836-0.00488799j -0.0148212-0.00316805j 
-0.00537753+0.00374214j -0.022542+0.00547517j 0.000554278+0.00357297j -0.00835409-0.00348967j -0.0078701-0.012956j 0.0266724+0.00605778j 0.00144273+0.00310202j -0.00465324-0.0136025j -0.0252238-0.00609416j -0.00277248+0.0057829j 0.00239839+0.00647339j -0.00436975-0.0039552j -0.00125235+0.0102861j 0.00612729-0.00890732j -0.0278496-0.0119076j 
0.00389533+0.000752102j 0.0123403-0.00603971j -0.00406497+0.0031138j 0.00117467-0.0171377j 0.00735577+0.0147665j -0.00575161-0.00868653j -0.00803068+0.0096768j 0.00544057+0.0156621j 0.00814605+0.00912805j 0.00581484-0.00491838j 0.010455-0.0105068j -0.00112653+0.00808432j -0.00483055-0.00830178j -0.00606437+0.000190204j 0.0181093+0.00798451j 
0.00947561-0.00802067j 0.000938938+0.0107509j 5.97062e-05+0.00838332j 0.00313993-0.03308j 0.0141433-0.00513056j 0.0202732+0.00797714j -0.0183966+0.0234791j -0.00756771-0.0167893j -0.00820482-0.00585541j 0.00726293+0.00370736j 0.00347446+0.000324137j -0.00587705+0.0194154j -0.00913174+0.00411269j -0.0060805-0.000582457j 0.0112862+0.00656529j 
0.000286736+0.000883754j 0.00185897-0.00972899j -0.00743556+0.00565963j -0.00442372-0.0154044j 0.00596499+0.012517j 0.00840063-0.0260163j 0.00805204+0.0141243j 0.00210587-0.00479653j -0.0173398+0.0138807j 0.0190328+0.00446715j -0.00859566+0.00320763j -0.000552675-0.0046639j -0.00229938-0.00268865j -0.00311128+0.00759012j 0.00562799+0.0103892j 
-0.0109203-0.0054283j 0.0136132-0.00675371j -0.00835785+0.0104519j 0.0131803-0.00091594j -0.00501558+0.00244905j 0.00217149+0.00299883j -0.0112274+0.0105359j 0.0121544+0.00623271j 0.0197993-0.00205602j -0.0184632+0.00273873j 0.0221511-0.00711402j 0.00342532+0.00770606j 0.00379889-0.0088629j 0.00388258+0.0113809j 0.00499518+0.006004j 
-0.00528387+0.00410676j 0.0057343-0.00737022j -0.00604126+0.00950059j -0.00810053+0.00569266j -0.000347881+0.00670516j -0.00371551-0.00981014j -0.000248704+0.00152804j 0.0051152+0.00508735j 0.000445749+0.00643127j -9.73983e-05-0.00287729j -0.00369655-0.00456931j 0.00318965-0.00290838j 0.00548306-0.00920806j 0.00108544+0.00429121j 0.00190718+0.00825715j 
-0.0106291-0.000583676j 0.00151609+0.00441081j -0.0119693+0.0160091j -0.00961966+0.0139756j 0.00114923-2.6615e-05j 0.00137569+0.0120565j -0.00751432+0.00763862j 3.89176e-05-0.00451997j 0.00214573+0.00988629j -0.0229613-0.00169832j 0.00953016-0.00771558j -0.00144271+0.013586j 0.00336261-0.00510119j 0.00630748+0.00828922j 0.00249157+0.00863855j 
0.0311823+0.0110237j 0.0206445+0.0288893j -0.0131055-0.015386j -0.0233349+0.010539j -0.00616423-0.0152835j -0.00601856+0.0353079j 0.00115989-0.00846366j -0.0155046-0.0192889j 0.00913805-0.0175379j 0.00665161-0.0107711j -0.0252764-0.00352165j -0.0169509+0.0108368j 0.00337491-0.0171868j 0.0130185+0.00604055j 0.0176235+0.0246313j 
0.00568698-0.0221332j -0.00344938-0.00467688j -0.0156691-0.0173318j 0.00810525-0.00779738j -0.0144209+0.0109203j -0.0369591-0.000428492j 0.0284497+0.018581j -0.0115824-0.0070608j -0.00526422-0.0127532j 0.00500262+0.0210755j 0.0045376+0.0279377j -0.00892305-0.00183502j -0.00212106+0.0101157j -0.00233092-0.00571312j -0.00415916-0.00352303j 
-0.00442175-0.00444609j 0.0166081-0.0129695j -0.00735643-0.00911324j 0.0105146-0.0133233j -0.00422715+0.00848723j -0.00137747-0.00102662j -0.00662255-0.000703829j 0.00444786-0.00441603j 0.00651988-0.0114517j 0.00794425+0.0010212j -0.0116302+0.0032987j 0.00629238-0.00481931j 0.012279-1.81884e-05j 0.00267243-0.000114775j 0.00330794-0.00630773j 
-0.00799165-0.0139373j 0.00967492-0.010413j -0.0179074-0.00558738j 0.0135483-0.00686493j -0.00700375+0.0059815j -0.00354854+0.00168193j 0.00450179+0.00604081j 0.00206361-0.0127392j 0.0034009-0.0106888j -0.0035964+0.0090592j -0.00283487+0.0103129j 0.000605726-0.000386015j 0.0104563+0.00488322j 0.00582172+0.00579538j -0.00205733-0.00483739j 
0.00498705+0.0031922j -0.00428642+0.000348805j 0.00969745+0.00245437j -0.00270426-0.00601689j 0.0043631-0.000659039j 0.00241106-0.0060989j -0.00309606-0.00501384j 0.00209366+0.00661939j 0.000169335+0.00219056j 0.00643927-0.00221843j 0.00103961-0.00280318j 0.00280105-0.00183738j -0.00593403+0.00136141j -0.00568354-0.00491037j -0.00054659-0.00206963j 
0.00505178+0.0080234j 0.0190969+0.00098327j -0.0109869-0.000449519j -0.0097319+0.00611927j -0.00675953-0.000852318j 0.000181933+0.00787535j -0.00319059-0.00108854j 0.000805345-0.00722794j 0.0089286-0.00875564j 0.0035289-0.00630506j -0.0136454-0.00304559j -0.00258535-0.00236708j 0.0118913-0.0167199j 0.00969571+0.00796734j 0.00688165+0.0156341j 
