-0.303593+0.0346298j 0.0470607+0.306481j -0.00784218+0.184991j 0.0632807+0.0556986j -0.0847653+0.0369777j -0.108415+0.00918444j -0.049659+0.117001j -0.000497343+0.177953j 0.280874-0.0577594j 0.0975021+0.0604337j -0.0902607-0.0109217j 0.0272113+0.0796511j -0.132729+0.00188553j 0.1059-0.205715j -0.137422-0.141411j -0.271069+0.0683363j 0.28012+0.0361341j -0.0459265-0.392427j 
-0.0113829-0.00297065j -0.00160929+0.00934162j 0.00671084-0.00861974j -0.00289188-0.00243991j 0.00615313+0.000137882j -0.00888893-0.0115746j -0.00899854+0.00336674j 0.00261467-0.000709652j -0.00949781+0.00877691j -0.00728478+0.00641239j -0.00360111-0.00167479j 0.0151333-0.00976449j 0.00542191+0.00246048j 0.00878819-0.0110412j -0.00468107-0.0203821j -0.00643784+0.0130516j 0.0123824+0.000390996j -0.00874525-0.00987541j 
0.00822632+0.00995031j -0.011088+0.0105219j 0.00661464-0.00243525j -0.00429944+9.46702e-05j -0.0163127-0.00151059j 0.00905143-0.0188852j 0.0095653-0.00420822j 0.0125184-0.0055398j -0.0114755+0.0208635j -0.00866097+0.0091912j 0.000939586+0.00458849j -0.00255666-0.00791579j -0.00564074+0.00369826j -0.00464536-0.0100071j -0.0133122-0.0172158j 0.00180612+0.00752951j 0.00103614-0.0110711j 0.00531306-0.00369349j 
-0.025753+0.00946234j -0.00112751+0.0044869j -0.0132073+0.0060893j -0.00613423+0.0135924j -0.0238614+0.0126989j -0.0141324-0.00513375j -0.00843932+0.00344278j 0.0107933-0.0035611j 0.0126834-0.0188581j -0.00948316-0.0149938j -0.00828975+0.0136621j 0.00318376+0.0072841j -0.004439+0.0109604j 0.0235132-0.00303291j -0.00615021-0.0104965j -0.015058+0.00394779j 0.00846679-0.00241518j 0.00430448-0.017039j 
0.0107084-0.00333043j -0.000173382+0.0129171j -0.00398067+0.00497844j 0.00605387+0.00311767j 0.000753043-0.00563286j 0.00623023-0.0107288j 0.00654655-0.00090864j -0.00447093+0.00908365j -0.00570526+0.00959084j -0.0086471+0.00747386j 0.00726474-0.00508155j -0.00255861-0.00469959j -0.0118968+0.00737842j -0.00250226-0.00502263j -0.00123792-0.00135681j 0.00350127+0.00490674j 0.00323894-0.00297084j -0.00863784-0.006868j 
0.00334999+0.00120022j -0.00424252-0.00121511j 0.00820506+0.00544519j 0.00286623-0.00608674j 0.000246519-0.00377031j -0.00692805+0.0009266j -0.0123038-0.0044413j 0.00383451+0.00635088j -0.0084976-0.00721643j -0.00302859-0.00171087j -0.00156642-0.00663735j 0.00502659+0.00209208j 0.00864178-0.00433292j 0.000975308-0.00276884j 0.00430438+0.000834216j 0.00113294-0.00213886j 0.000944064+0.00485656j -0.00129958-0.00451118j 
0.00407538-0.0046169j 0.00657964+0.0016071j 0.000915403+0.000645171j 0.00946424-0.00445667j 0.00206274-0.0119208j -0.00063271-0.0109541j 0.00740326-0.00884252j -0.00691188+0.0103955j 0.000948529-0.000568288j -0.00427888-0.00121925j 0.00749695-0.0055187j 0.00744786-0.00316261j -0.000792921+0.00536608j 0.00536278+0.000859606j 0.00250466-0.000374248j -0.00318536+0.00463193j -0.00374337+0.00157767j -0.00467049-0.00281991j 
0.00106121+0.00534039j -0.00620562-0.000512018j 0.00331187+0.00554348j -0.0100324+0.0024455j 0.00841654-0.0103819j -0.00537319+0.00472223j 0.000403445+0.00679675j -0.00223582+0.00368532j 0.000824271+0.0146379j 0.00131016+0.00297012j 0.00290469+0.00336558j 0.0075576-0.00359628j -0.00249378-0.00620112j -0.00747818-0.00386984j -0.00813766-0.00678174j -0.000924109+0.0027811j 0.00320438-0.00405457j -0.000193759+0.00897662j 
-0.0055282-0.0128092j 0.00367257+0.0104844j 0.00824141-0.00809935j -0.00629226+0.00543628j -0.00177021+0.00433403j 0.00106905-0.0046113j -0.00392367+0.0140462j 0.0115052-0.00217522j 0.00591354+0.00203498j 0.00452112-0.00162378j -0.00694071-0.000228452j 0.0103492-0.00385023j -0.00233062+0.00197478j 0.00525409-0.000417492j -0.000715921+0.00453199j -0.00711212+0.00362623j 0.00201629+0.000640677j -0.000729008-0.00944552j 
0.0280539+0.0208994j -0.00684134-0.0055747j 0.00231639-0.00678075j -0.00185335-0.00281423j -0.002668-0.0121971j 0.0114042+0.00876446j 0.00676178-0.0201272j 0.000969518-0.00370336j -0.0170128+0.0121462j -0.00499443+0.00203435j 0.00989444-0.000218989j -0.00901251-0.00543595j 0.00589203-0.00920534j -0.0102272+0.00603243j 0.010041-0.0015458j 0.0109475-0.00441735j -0.0242466-0.0111393j 0.00903674+0.0181323j 
0.00262733+1.84695e-05j -0.00151827-0.00615805j 0.00184379+0.00717389j -0.0115065-0.0110887j -0.00163295+0.000891354j -0.000256145-0.017867j -0.00786224+0.000901487j 0.00813943+9.0783e-05j -0.00570334+5.20469e-05j 0.00143413+0.00656727j -0.00606786+0.00465506j 0.00809906+0.00871497j 0.00151923+0.00118995j 0.00126937-0.00337263j -0.00143246+0.00296725j -0.00147397-0.00180165j -0.00317505-0.00151443j 0.000434258-0.00537751j 
-0.00129733+0.012028j -0.00396761-0.000898501j 0.00108934+0.0257079j 0.0028726+0.00996823j -0.00829269-0.0190082j -0.0115512-0.00452023j 0.00709807-0.0238219j -0.00752611+0.0122509j 0.00721445-0.00553913j 0.000793338-0.00540794j 0.00871154+0.00555916j -0.00243831-0.00118425j -0.00461216+0.00721727j 0.00281269-0.00202273j -0.000273887-0.00134152j -0.00440016-0.000468863j 0.000966494+0.00320504j -0.00202592-0.00378768j 
0.00295625+3.3584e-05j -0.00559248+0.0081928j 0.00327927-0.00725879j 0.00556062+0.00293442j -0.00263067+0.0185424j 0.0121263+0.00661243j 0.00398867+0.00503286j -0.00250388-0.00677069j -0.00601653-0.00296498j -0.00415646-0.00351193j 0.00258943+0.00170742j 0.000491234+0.00843187j -0.00504839+0.00315736j 0.00434371+0.00179171j 0.00511773+0.0033215j -0.00412952-0.00296387j 0.00284291-0.00427171j 0.00414952-0.00351811j 
0.0137978-0.00180978j 0.00438421-0.00548964j -0.00888043-0.0200109j 0.0119896-0.0149154j 0.0104307+0.00911264j 0.010944+0.00365628j 0.00491155+0.00307374j -0.00977282-0.0048734j -0.0130311+0.00300962j -0.0102429+0.00373746j 0.00693438-0.00938876j -0.00222347+0.00293413j 0.00429239-0.00445714j -0.00337837+0.0064702j 0.00600882-0.001334j 0.00821666-0.00092362j -0.00872332-0.00458555j -0.00038206+0.0114798j 
-0.0192319+0.00797647j -0.000261395-0.00542257j -0.00929218+0.0157012j 0.00234213+0.00166213j -0.00313107+0.00754798j -0.0113559-0.0033187j 0.000813203-0.00423158j -0.00366083-0.00283118j 0.00495878-0.00388516j -0.00275795+0.00597798j -0.00292811+0.00738653j -0.00374893+0.0140566j -0.0037093-0.00287908j 0.0038029-0.00331927j -0.000452152-0.00460323j -0.0031615+0.00550701j 0.0151149+0.00849141j -0.00672791-0.0118767j 
-0.0102507-0.000606218j 0.00535113-0.0136559j -0.00898466+0.00603831j 0.00360583+0.00405607j -0.00409781+0.00676685j -0.000145154+0.00454897j 0.0101376-0.00101244j 0.00058756-0.00945788j 0.00406865-0.00699905j -0.00441674+0.00725734j -0.000771177+0.00374042j -0.0104237+0.00105989j 0.000987145-0.000185278j -0.00166255+0.00338174j -0.0033938-0.00378491j 0.00452614+0.00253853j 0.00158048+0.0119603j 0.000190835+0.00131399j 
0.0171643+0.010205j 0.000330006-0.0135894j 0.00480228-0.0184282j -0.00116956-0.00823746j 0.00174922-0.00212883j 0.00751157+0.0171684j 0.00154013-0.0090122j 0.00419104-0.0104126j -0.0117302+0.00338202j 0.000879002-0.00223082j 0.00350826-0.00314j -0.00461116-0.0059209j 0.016186-0.0147256j -0.00756641+0.00858533j 0.00773731-0.000351482j 0.00717389-0.00891943j -0.0232791-0.00358715j 0.0106653+0.0220903j 
