0.156039-0.118914j 0.123828+0.181561j 0.119805-0.00872404j 0.179176-0.0557963j -0.0793472+0.20838j 0.197963-0.107125j 0.171545+0.266467j 0.091815-0.238059j -0.120631-0.181092j -0.184886+0.075903j 0.236379+0.107826j 0.0508756-0.152306j -0.0528957+0.327473j 0.168485-0.0223183j 0.213963-0.0954072j 0.0414499-0.0566301j 0.105559+0.00636221j -0.306252-0.0373407j 0.113873+0.206114j -0.0157658+0.126022j -0.0559932+0.0103967j 0.0920447+0.0284185j 0.0380405-0.0308806j 0.00621664-0.0894654j 0.138009+0.0298757j -0.00654949+0.111967j 
0.00890686-0.0133588j 0.00694716+0.0044927j -0.000256886+0.00888045j -0.00534617+0.00704857j -0.00263025-0.0023353j 0.0117477-0.00227361j 0.0111656+0.00678358j -0.0187298+0.004472j 0.00767696+0.0170958j -0.0123056+0.0202658j -0.00593619+0.0121236j -0.0230665+0.0247765j -0.0203191+0.00890787j -0.0340525+0.00677824j 0.00900454-0.0194253j -0.00032744+0.0166022j -0.00629146-0.00620018j -0.00813201-0.0149927j -0.00894269-0.00615878j -0.00217179+0.0129779j -0.0210826-0.0156487j 0.026931+0.0229593j 0.0187191+0.00769153j -0.0238031-0.000164969j 0.0105478-0.0130869j 0.0122547+0.0113592j 
0.00128564+0.0260083j -0.0262026+0.00298825j 0.00256771-0.0131867j 0.00969423-0.0201256j 0.00325003+0.02238j -0.00999449-0.00648387j 0.0159703-0.000326048j 0.00656297+0.00571202j 0.0178515+0.0119109j 0.0123702+0.01083j -0.00461434+0.00911919j 0.000403873-0.0227091j 0.0110202-0.0297565j -0.0187128-0.00258967j -0.0155715-0.00890898j 0.00804176-0.0278062j 0.00815578+0.000169951j -0.00299791+0.00400936j -0.0203043+0.0185744j -0.0179488-0.00856577j -0.0234907+0.0330077j -0.0193818+0.0205404j -0.0104343+0.0266841j -0.0209398+0.0160321j -0.0129213+0.00167849j -0.0117656-0.0130231j 
0.00728511+0.00947836j -0.00257277+0.00910673j 0.0101353+0.00128541j 0.00741718+0.0052272j -0.00708095+0.00335818j -0.0141809-0.00165137j 0.035985+0.000469484j 0.000754917-0.0115032j 0.0128+0.0150683j -0.0157063-0.00858272j 0.0351581-0.00111449j 0.00506927+0.0138216j 0.0105742-0.0082458j -0.016987+0.0207552j 0.0114167+0.0156126j 0.0236584+0.0193223j 0.0184963-0.0198341j -0.0133302+0.00480501j 0.00163629+0.00430432j -0.0111867+0.0124756j 0.00522443+0.010377j -0.0056019+0.0110731j -0.0126881+0.0195708j -0.00109114-3.95731e-05j 0.0139899+0.00743509j 0.00586472-0.00886793j 
0.0034024+0.00169444j -0.0223394+0.00389852j -0.0132898+0.0118815j -0.0346796+0.025857j -0.00180958-0.00164422j -0.0183214-0.00741835j 0.027365-0.00627894j -0.00271135+0.0193945j -0.00796464-0.0191057j -0.0126957+0.0185938j 0.0121391-0.0104641j 0.0116529+0.00318625j -0.00181198+0.0142631j -0.0294921-0.0044029j 0.0038242-0.0109385j 0.0119347-0.013097j 0.000594895+0.0119422j 0.0105607-0.00944943j -0.0127766+0.0129853j -0.0273905+0.0231611j 0.0255192-0.00696299j -0.0194822-0.0168315j -0.00490596+0.0114084j -0.00972993+0.000262284j -0.00619722-0.0130806j 0.00872089-0.0216569j 
0.0110062-0.000736884j -0.00744292-0.0194804j -0.00971886-0.0168188j -0.00309352+0.00419989j -0.00266597-0.0022376j 0.00612034-0.00620541j -0.000592595-0.00866613j 0.0187997-0.0205048j -0.00596892+0.0236841j -0.00460895+0.007725j -0.00916118-0.00713869j 0.0193791+0.0103296j -0.0089624-0.0233127j -0.00331666+0.011255j -0.000736001+0.0103339j -0.0144667+0.00302544j 0.000676575+0.00822428j -0.0103947+0.0147607j -0.00394455-0.0207844j -0.00346304-0.000634859j 0.0167371-0.00116937j -0.0117834-0.000925238j 0.00692946-0.00792803j -0.00278362+0.0131648j -0.000986019-0.00524766j -0.00814317-0.00863874j 
-0.00821553-0.00723413j -0.00251695-0.00837135j -0.0146966+0.0239344j -0.00886613+0.040197j 0.0128347+0.0017191j 0.00298883-0.00765548j 0.00703699+0.0178559j -0.000973571+0.00297041j 0.00297126+0.0378012j -0.000908819+0.0116233j 0.00109616+0.0149667j 0.0278477+0.00750926j -0.000566898+0.00301982j 0.0192435-0.0212013j -0.00324772+0.0114175j -0.00056306-0.0096411j 0.00364194-0.0103294j 0.00793076+0.00467123j 0.00339914+0.00437583j 0.0101214-0.00251178j 0.029056+0.00304734j 0.00607456+0.025157j 0.00745267-0.00917859j -0.0143402-0.00152848j -0.0142342-0.00988367j 0.00269076-0.0151709j 
-0.00907748-0.0267651j 0.045099+0.0107664j 0.00664831+0.000133534j 0.0424922+0.0137939j 0.00630747+0.00537612j -0.00606158+0.0119191j -0.0200308+0.0169473j -0.00968724+0.0107353j -0.00274739+0.000803073j 0.00266834-0.00309831j -0.00260871+0.00906783j -0.0113457+0.0115553j 0.000783609+0.0233697j 0.00895681-0.00109324j 0.0157787-0.0118932j -0.000932548-0.00411409j -0.000555602-0.0105j -0.00425433-0.018216j 0.00452633+0.00451953j 0.0300886-0.0176362j 0.01636-0.000879839j 0.0122827+0.0157568j -0.0105976-0.0416256j 0.0344174-0.00874079j 0.035926+0.00828799j 0.00427803+0.0326886j 
-0.00689229+0.00627089j -0.00537917-0.00451737j 6.59554e-05+0.00976719j -0.0010433+0.00668957j -0.0035662-0.00894224j -0.00290293-0.000504568j -0.000873931+0.000982646j 0.00165643+0.000217578j -0.010335-0.00811465j 0.000844347+0.00263981j -0.00351462-0.00255086j 0.00520432-0.000863462j 0.00444805+0.00343301j 0.00523228-0.0101969j -0.00559198+0.00646406j 0.00733903+0.00826354j 0.00113947+0.00460475j 0.0029726+0.00180417j 0.000510713-0.000924956j 0.00704794+0.0028456j -0.00508557+0.00356641j -0.0140061-0.00972795j -0.00385063+0.00665178j -0.00769974-0.00267415j -0.00774849-0.000830155j 0.000188681-0.00833932j 
0.0129725+0.000430688j 0.000167234+0.00808411j -0.0176812-0.015794j 0.0161511-0.00366132j 0.00130341+0.0121837j -0.015373-0.0230246j -0.00670407-0.00332942j 0.0240872+0.0175758j 0.00812931-0.00199822j -0.0151221-0.00711201j 0.00762312-0.015887j -0.00327151-0.000315107j -0.0139492+0.00472409j 0.00890363-0.0132379j 0.00456906-0.0204411j -0.00964346+0.0062605j 0.0398734+0.00819305j -0.0136947-0.000573612j -0.00340673-0.00403538j -0.00338829-0.00126942j -0.00629342+0.00546954j 0.00552994-0.00783572j -0.00283934+0.00405727j -0.0025342-0.00665142j 0.00734827+0.00561249j -0.00824158-0.000721152j 
0.00710639+0.00779854j -0.012943-0.00830383j -0.0145829+0.0044084j 0.00508735-0.0159866j 0.00560663-0.0153899j -0.00195711+0.0176946j 0.0162617-0.023213j -0.029236+0.0215409j -0.00282291+0.00623924j 0.00921577-0.0068596j -0.000669329+0.0135372j -0.00278432-0.00724973j 0.000356983-0.00529085j 0.00547401+0.0109618j 0.00998202+0.00336474j -0.00928984+0.0104113j 0.0288262+0.0147065j 0.000582167-0.00188797j -0.00567099-0.00262285j -0.00117759+0.00957361j -0.00604271+0.00484126j -0.011343-0.00872192j -0.00607189+0.0115682j -0.00837776+0.00179774j -0.00534016+0.00388597j -0.00516386-0.00330603j 
-0.0116629-0.0215201j -0.00880031+0.0118474j 0.0148129-0.00466421j -0.006292+0.00258209j -0.0128924+0.00449376j 0.0294238-0.0194636j -0.0165788+0.001173j 0.0111255-0.00548064j 0.00735813+0.00356817j 0.0092474-0.00944639j 0.00511203+0.00461546j -0.0116931+4.69161e-05j 0.00758763+0.0135213j -0.0144737-0.000743111j -0.000924742-0.00265335j 0.00470163+0.00355062j -0.00645916+0.0008067j 0.00541558+0.00753371j 0.00399708+0.00545735j 0.00777899+0.00877358j 0.0133487-0.00814027j -0.00376247+0.00438673j -0.00841881-0.0165219j 0.00904957+0.00158395j 0.00499838+0.000667788j 0.00393402+0.0129812j 
0.00591835+0.0080271j -0.0264855+0.00915096j -0.00488443+0.00100185j -0.0215698-0.00186964j 0.00075651+0.00542776j 0.00468601-0.00203151j 0.0162969-0.0161736j 3.60493e-05+0.00299089j 0.00213881+0.00732892j -0.00641546+0.00407963j 0.00633297-0.00471964j 0.00243516-0.00195814j 0.0108342-0.0010125j -0.00273317+0.0157619j -0.000816744-0.0048951j 0.00597313-0.000624997j 0.0137917+0.00515669j 0.00580772+3.85431e-05j -0.00157526+0.00315945j -0.0209916+0.0261366j -0.00732783-0.0092833j -0.0228283-0.00198077j -0.0102869+0.028077j -0.0108447+0.00429808j -0.00905177-0.00348405j -0.00427419-0.016336j 
0.0149026-0.00773601j 0.0276715+0.00673808j 0.00780641-0.0169153j 0.0175125-0.0136964j 0.00987085+0.0197408j -0.00514402+0.0182684j -0.0109166+0.0131227j -0.00183663+0.00116055j -0.000738437+0.00669916j -0.00302739-0.00441603j -0.00845732+0.000752281j -0.0189431+0.0104018j -0.00306958+0.0147375j 0.0104924+0.0103348j 0.00164847-0.0149746j -0.00097238+0.00699913j -0.0014352-0.000960722j -0.00927921-0.0132093j -0.000889558-0.0121882j -0.00199091-0.0137476j -0.0232543+0.0128102j 0.0126207-0.0053371j 0.00764661-0.0177942j 0.017199-0.0107515j 0.0215937+0.0155476j -0.00615902+0.0223824j 
