-0.0058648-0j -0.000846511-0j -0.00480791-0j -0.000849926-0j -7.08272e-05-0j -0.00292579-0j -0.00295611-0j -0.000487632-0j -0.000298612-0j -0.000492685-0j -6.09539e-05-0j -0.000301707-0j -6.15856e-05-0j -3.59175e-06-0j -3.62897e-06-0j -0.00212331-0j -0.00262746-0j -0.00153269-0j -0.000342648-0j -0.000279771-0j -0.000424005-0j -4.03814e-05-0j -0.000247336-0j -3.49714e-05-0j -0.000346199-0j -4.12141e-06-0j -4.99695e-05-0j -0.000201949-0j -4.32748e-05-0j -1.88116e-07-0j -2.91489e-05-0j -2.52437e-05-0j -5.09999e-06-0j -2.32782e-07-0j -2.97499e-06-0j -1.35789e-07-0j 0.497205-0j 0.580072-0j 0.35522-0j -0.000263751-0j 0.507563-0j 0.209359-0j -0.000208514-0j -0.00030771-0j -0.000139009-0j -3.00964e-05-0j -0.000188433-0j -0.000269246-0j -0.000243266-0j -3.47523e-05-0j -0.000111058-0j -0.000162177-0j -1.22868e-05-0j -0.000148969-0j -3.51124e-05-0j -2.89603e-06-0j -9.9313e-05-0j -2.15019e-05-0j -0.000212858-0j -3.0717e-06-0j -0.000141905-0j -4.05444e-05-0j -3.07234e-05-0j -8.77994e-05-0j -2.55975e-07-0j -2.48282e-05-0j -1.43346e-05-0j -5.85329e-05-0j -3.3787e-06-0j -1.26728e-05-0j -9.53962e-09-0j -8.77811e-06-0j -2.06902e-06-0j -3.58365e-06-0j -3.54763e-05-0j -2.19453e-06-0j -1.25428e-05-0j -2.98637e-07-0j -1.46332e-05-0j -2.95636e-06-0j -3.13569e-06-0j -1.82877e-07-0j -5.17363e-06-0j -1.11296e-08-0j -1.21944e-06-0j -2.61308e-07-0j -6.81544e-09-0j -1.29341e-06-0j -9.73836e-09-0j -1.07784e-07-0j -4.01687e-09-0j 
0.00545166-0j 0.000786879-0j 6.36141e-05-0j 1.12455e-05-0j 9.37124e-07-0j 0.00271968-0j -0.00266964-0j 0.000453281-0j 0.000277577-0j -0.00044494-0j 5.66601e-05-0j -0.000272469-0j -5.56175e-05-0j 3.33873e-06-0j -3.27729e-06-0j 0.00197374-0j 3.47643e-05-0j -0.0027886-0j 0.00031851-0j 0.000260062-0j 5.61007e-06-0j 3.75368e-05-0j -0.000450008-0j 3.25078e-05-0j 4.5806e-06-0j 3.83108e-06-0j 6.61153e-07-0j -0.00036743-0j 5.72575e-07-0j 1.74864e-07-0j -5.3034e-05-0j -4.59287e-05-0j 6.74786e-08-0j 3.07996e-09-0j -5.41275e-06-0j -2.47057e-07-0j 0.0015506-0j 2.57495e-05-0j 0.0011078-0j 0.000245172-0j -0.00153784-0j -0.00192157-0j 0.000193825-0j 4.07135e-06-0j 0.000129217-0j 2.79763e-05-0j 0.000175159-0j -0.000243154-0j 3.21869e-06-0j 3.23042e-05-0j -0.000303827-0j 2.14579e-06-0j 1.14213e-05-0j 0.000138475-0j 4.64577e-07-0j 2.69202e-06-0j 9.23169e-05-0j 1.99872e-05-0j -0.000192231-0j 2.85531e-06-0j -0.000128154-0j 5.36448e-07-0j -2.77461e-05-0j -0.000240196-0j 2.37943e-07-0j 2.30792e-05-0j 1.89663e-07-0j -0.000160131-0j 4.4704e-08-0j -3.46694e-05-0j 8.86761e-09-0j 8.15974e-06-0j 1.92327e-06-0j 4.74157e-08-0j -3.20384e-05-0j 2.03994e-06-0j -1.13273e-05-0j 3.95131e-09-0j -4.00327e-05-0j -2.66987e-06-0j -2.83182e-06-0j 1.69995e-07-0j -1.41537e-05-0j 1.47257e-10-0j -3.33606e-06-0j -2.35985e-07-0j 6.33532e-09-0j -3.53843e-06-0j -8.79465e-09-0j -2.94869e-07-0j -1.09891e-08-0j 
-0.000849926-0j 0.0117285-0j -9.91759e-06-0j 8.29307e-05-0j 2.10249e-05-0j -0.000424005-0j 0.000416204-0j 0.00334275-0j -4.32748e-05-0j -0.00328125-0j 0.000844522-0j 4.24786e-05-0j -0.000828983-0j 0.000100048-0j -9.82075e-05-0j -0.00030771-0j -5.41984e-06-0j 0.000434749-0j 0.00234888-0j -4.05444e-05-0j 4.13719e-05-0j 0.000559488-0j -0.00331862-0j 0.000239731-0j -7.14127e-07-0j 8.59524e-05-0j 9.85452e-06-0j 5.72832e-05-0j 4.2225e-06-0j 6.5568e-06-0j -0.000790474-0j -0.000338705-0j 1.51392e-06-0j 1.15488e-07-0j -0.000121438-0j -9.26379e-06-0j 0.0720549-0j 0.00119655-0j 0.0514785-0j 0.00180804-0j -0.071462-0j -0.0892935-0j -3.02178e-05-0j 3.00245e-05-0j -2.01452e-05-0j 0.000416988-0j 0.00129172-0j -0.00179316-0j -5.01801e-07-0j 0.00023823-0j -0.0022406-0j -3.34534e-07-0j -1.7806e-06-0j -2.15886e-05-0j 6.92456e-06-0j 6.03969e-05-0j -1.43924e-05-0j 0.00029791-0j 2.99692e-05-0j 4.25586e-05-0j 1.99795e-05-0j 3.95608e-06-0j -0.000413557-0j 3.74472e-05-0j 7.1302e-06-0j 0.0001702-0j -2.95689e-08-0j 2.49648e-05-0j 1.00296e-06-0j -0.000516749-0j 3.99282e-07-0j -1.27212e-06-0j 4.31496e-05-0j 7.06734e-07-0j -0.00023627-0j 3.04054e-05-0j 1.76595e-06-0j 1.18405e-07-0j -0.000295225-0j -5.98999e-05-0j -4.22085e-05-0j 5.09406e-06-0j 2.2066e-06-0j 6.63053e-09-0j -7.48464e-05-0j -7.07154e-06-0j 2.85261e-07-0j -5.27405e-05-0j -3.95997e-07-0j -8.83605e-06-0j -4.94807e-07-0j 
0.0633425-0j -9.50246e-05-0j -7.68213e-06-0j 0.000130661-0j -1.13168e-07-0j -0.000328433-0j 0.00032239-0j -5.47388e-05-0j 0.00648381-0j 5.37316e-05-0j 0.00065833-0j -0.00636451-0j -0.000646217-0j -4.0319e-07-0j 3.95771e-07-0j 0.0587916-0j 0.00103552-0j -0.0830639-0j -3.84638e-05-0j 0.00302165-0j -6.7748e-07-0j -4.533e-06-0j 5.43436e-05-0j 0.000759338-0j 5.32217e-05-0j 4.45131e-05-0j -7.98418e-08-0j -0.00426915-0j 1.33746e-05-0j -2.11169e-08-0j 6.40446e-06-0j -0.00107283-0j 7.8403e-07-0j -3.71941e-10-0j -6.28905e-05-0j 2.9835e-08-0j -0.000187253-0j -3.10955e-06-0j -0.00013378-0j 0.00730292-0j 0.000185712-0j 0.000232052-0j 0.00225204-0j 0.000121273-0j -1.56044e-05-0j -3.37845e-06-0j 0.00521746-0j -0.00724283-0j 3.73977e-05-0j 0.000375341-0j -0.00905009-0j -2.59129e-07-0j 0.000400867-0j 0.00160894-0j -5.61031e-08-0j -3.25092e-07-0j -1.11483e-05-0j -2.41368e-06-0j -0.00223352-0j 6.66963e-05-0j 1.5476e-05-0j 6.23296e-06-0j 3.35066e-06-0j -0.00279083-0j 2.76464e-06-0j 0.000268156-0j 6.65686e-06-0j 1.93377e-05-0j -5.39852e-09-0j 4.18672e-06-0j -1.07087e-09-0j 0.000286393-0j -2.32257e-07-0j 1.10757e-06-0j -0.000372253-0j 4.76501e-05-0j -0.000397569-0j 4.59101e-08-0j -0.000465138-0j 3.22417e-07-0j -6.61475e-05-0j 1.97516e-06-0j -0.000496772-0j -1.77829e-11-0j 4.02868e-07-0j -2.7419e-06-0j -7.65063e-10-0j -8.26529e-05-0j 1.06205e-09-0j -3.42607e-06-0j 1.32706e-09-0j 
9.50246e-05-0j 0.0613645-0j 1.10882e-06-0j -1.87399e-05-0j 0.000223945-0j 4.74052e-05-0j -4.6533e-05-0j -0.000755363-0j 4.83827e-06-0j 0.000741465-0j 0.00441862-0j -4.74925e-06-0j -0.00433732-0j 0.0016069-0j -0.00157734-0j -0.00848583-0j -0.000149465-0j 0.0119892-0j -0.000530777-0j 4.533e-06-0j -9.34882e-06-0j 0.0029273-0j 0.00074991-0j -5.41722e-05-0j 7.98418e-08-0j 0.000915517-0j 5.15598e-05-0j -6.40446e-06-0j -9.5416e-07-0j 0.000140757-0j -0.00413584-0j 7.65373e-05-0j 1.61254e-05-0j 2.47921e-06-0j -0.00129349-0j -0.000198868-0j 2.70276e-05-0j 4.48824e-07-0j 1.93095e-05-0j 0.100776-0j -2.68053e-05-0j -3.34938e-05-0j 3.37845e-06-0j 0.0016735-0j 2.2523e-06-0j 0.00218172-0j 0.0719978-0j -0.0999468-0j 5.61031e-08-0j -5.38329e-05-0j -0.124886-0j 3.7402e-08-0j 1.99077e-07-0j 2.41368e-06-0j 3.623e-05-0j 0.000643314-0j 1.60912e-06-0j 0.0015587-0j -3.35066e-06-0j 0.000222671-0j -2.23377e-06-0j -8.93956e-07-0j -0.00216377-0j -4.18672e-06-0j 0.00011452-0j -3.84601e-05-0j 3.3059e-09-0j -2.79115e-06-0j 1.0683e-05-0j -0.00270368-0j 1.07293e-05-0j 1.42228e-07-0j 0.000459606-0j 3.6977e-06-0j 5.339e-05-0j 0.000159084-0j -1.97439e-07-0j 1.90174e-06-0j 6.6712e-05-0j -0.000638021-0j -0.000220839-0j 8.18171e-05-0j -2.46705e-07-0j 1.78172e-07-0j -0.000797222-0j -0.000113578-0j 7.66536e-06-0j -0.000275943-0j -1.0641e-05-0j -0.000141918-0j -1.32962e-05-0j 
-0.000600989-0j -8.67452e-05-0j 0.00102204-0j -1.2397e-06-0j -1.03308e-07-0j 0.0587301-0j -0.0576495-0j 0.00728256-0j -3.05999e-05-0j -0.00714856-0j -6.24619e-06-0j 3.00369e-05-0j 6.13126e-06-0j -3.6806e-07-0j 3.61288e-07-0j -0.000217584-0j -3.83241e-06-0j 0.000307414-0j 0.00687806-0j 0.00417825-0j 0.000121146-0j 0.000603079-0j -0.00971769-0j -3.58365e-06-0j 7.35935e-05-0j -4.22337e-07-0j 1.06223e-05-0j -0.00590325-0j -6.31205e-08-0j -1.9277e-08-0j -0.000852061-0j 5.06317e-06-0j -7.43882e-09-0j -3.39534e-10-0j 5.967e-07-0j 2.72355e-08-0j -0.000170938-0j -2.83862e-06-0j -0.000122124-0j -2.70276e-05-0j 0.000169531-0j 0.000211833-0j 0.00418555-0j -4.48824e-07-0j 0.00416632-0j 0.000604132-0j -1.93095e-05-0j 2.68053e-05-0j 6.95058e-05-0j 0.00051901-0j 3.34938e-05-0j 6.91866e-05-0j -1.25908e-06-0j 0.0029903-0j 1.00323e-05-0j 4.32508e-05-0j 0.00297657-0j 0.000431613-0j -0.00415112-0j -3.14769e-07-0j -0.00413205-0j 8.61875e-06-0j -0.000599162-0j -0.00518692-0j -2.62307e-08-0j 0.000370799-0j -2.09084e-08-0j -0.00516309-0j 7.18229e-07-0j -0.000748667-0j -9.77562e-10-0j -8.99527e-07-0j 3.08999e-05-0j -5.22709e-09-0j -0.00051474-0j -2.24882e-07-0j 1.24872e-06-0j -4.35591e-10-0j -0.000643179-0j -4.2895e-05-0j 3.12179e-07-0j -1.87401e-08-0j 1.5603e-06-0j -1.62335e-11-0j -5.35983e-05-0j 2.60149e-08-0j -6.98404e-10-0j 3.90075e-07-0j 9.69519e-10-0j 3.25063e-08-0j 1.21144e-09-0j 
-0.0102218-0j -0.00146606-0j 1.2397e-06-0j 0.000997387-0j -2.62811e-06-0j -0.0103821-0j 0.0101911-0j -0.000417844-0j -0.00104632-0j 0.000410156-0j 0.0101569-0j 0.00102707-0j -0.00996997-0j -1.2506e-05-0j 1.22759e-05-0j 3.84638e-05-0j 6.7748e-07-0j -5.43436e-05-0j 0.0575142-0j -0.000487617-0j 0.00101303-0j -6.9936e-05-0j -0.0812592-0j 0.00579635-0j -8.58862e-06-0j 0.00103373-0j -1.23182e-06-0j 0.000688931-0j 0.000102094-0j -8.19599e-07-0j 9.88093e-05-0j -0.00818938-0j 1.82075e-05-0j -1.4436e-08-0j -0.00146051-0j 1.15797e-06-0j 3.02178e-05-0j 5.01801e-07-0j 2.15886e-05-0j -0.000226005-0j -2.99692e-05-0j -3.74472e-05-0j 0.0711895-0j -3.75306e-06-0j 2.51815e-06-0j 0.0102103-0j -0.000161466-0j 0.000224145-0j 0.00118218-0j 0.00286513-0j 0.000280075-0j 4.18167e-08-0j -6.46897e-05-0j 0.0508602-0j 0.000169553-0j -7.54961e-06-0j 1.79905e-06-0j 0.00729459-0j -0.0706038-0j 0.001029-0j -2.49743e-06-0j 4.75787e-05-0j -0.0101263-0j -0.0882211-0j 8.57531e-05-0j 0.00204695-0j -1.07425e-06-0j -3.1206e-06-0j -1.2537e-07-0j -0.012653-0j -4.99102e-08-0j -4.62165e-05-0j -5.3937e-06-0j 1.70878e-05-0j -0.00284156-0j 0.000735156-0j 6.41575e-05-0j 1.42403e-06-0j -0.00355059-0j 7.48749e-06-0j -0.00102054-0j 6.1265e-05-0j 8.01662e-05-0j -8.28816e-10-0j 9.3558e-06-0j -8.50476e-05-0j -3.56576e-08-0j -0.00127519-0j 4.94996e-08-0j -0.000106269-0j 6.18509e-08-0j 
7.08272e-05-0j -0.000977373-0j -0.000241725-0j -6.91089e-06-0j -1.75207e-06-0j 3.53338e-05-0j -3.46836e-05-0j 0.0814741-0j 3.60624e-06-0j -0.079975-0j -7.03768e-05-0j -3.53988e-06-0j 6.90819e-05-0j -8.33736e-06-0j 8.18396e-06-0j 2.56425e-05-0j 4.51653e-07-0j -3.62291e-05-0j -0.00019574-0j -0.000988202-0j -3.44766e-06-0j 0.0136366-0j 0.000276552-0j -1.99776e-05-0j -1.74057e-05-0j -7.1627e-06-0j 0.000240188-0j 0.00139618-0j -3.51875e-07-0j -5.464e-07-0j -0.0192665-0j 2.82254e-05-0j -1.2616e-07-0j -9.62399e-09-0j 1.01198e-05-0j 7.71982e-07-0j 2.01452e-05-0j 3.34534e-07-0j 1.43924e-05-0j -0.00015067-0j -1.99795e-05-0j -2.49648e-05-0j 2.51815e-06-0j -2.50204e-06-0j 0.0713129-0j -3.4749e-05-0j -0.000107644-0j 0.00014943-0j 4.18167e-08-0j 0.00580646-0j 0.000186716-0j 0.00118423-0j 1.48383e-07-0j 1.79905e-06-0j -5.77046e-07-0j 0.00147207-0j 0.0509484-0j -2.48259e-05-0j -2.49743e-06-0j -3.54655e-06-0j -0.0707262-0j 9.64228e-05-0j 3.44631e-05-0j -3.1206e-06-0j -5.94184e-07-0j 0.00414833-0j 2.46408e-09-0j -0.088374-0j 2.44454e-05-0j 4.30624e-05-0j -3.32735e-08-0j 1.0601e-07-0j 0.0010517-0j -5.88945e-08-0j -0.00575869-0j -2.53378e-06-0j -1.47163e-07-0j -9.86709e-09-0j -0.00719561-0j -0.00145996-0j 3.51737e-06-0j -4.24505e-07-0j -1.83883e-07-0j -5.52544e-10-0j -0.00182426-0j 5.89295e-07-0j -2.37717e-08-0j 4.39504e-06-0j 3.29997e-08-0j 7.36338e-07-0j 4.12339e-08-0j 
-8.8534e-06-0j -0.0175197-0j -1.03308e-07-0j 2.62811e-06-0j 0.000965805-0j 0.000865176-0j -0.000849257-0j 0.000105933-0j -4.5078e-07-0j -0.000103984-0j -0.00126153-0j 4.42485e-07-0j 0.00123831-0j 0.0142128-0j -0.0139513-0j -3.20531e-06-0j -5.64567e-08-0j 4.52864e-06-0j -0.0145812-0j -4.22337e-07-0j -0.000256826-0j -0.000835749-0j 0.0206011-0j 7.59719e-06-0j -7.43882e-09-0j 0.00394833-0j -1.47204e-05-0j 5.967e-07-0j 1.33813e-07-0j 0.00188064-0j 0.00118079-0j -1.07337e-05-0j 6.95438e-05-0j 3.31246e-05-0j -0.00557841-0j -0.00265707-0j -2.51815e-06-0j -4.18167e-08-0j -1.79905e-06-0j 5.72975e-05-0j 2.49743e-06-0j 3.1206e-06-0j 6.1659e-05-0j 9.5149e-07-0j -2.09846e-07-0j 0.122015-0j 4.09353e-05-0j -5.68261e-05-0j 1.02392e-06-0j 7.54961e-06-0j -7.10055e-05-0j -3.48473e-09-0j -1.85479e-08-0j 4.40513e-05-0j 0.0020262-0j 0.00277441-0j -1.49921e-07-0j 0.0871717-0j -6.11517e-05-0j -6.3573e-05-0j 2.08119e-07-0j 1.2537e-07-0j -0.121011-0j -7.64105e-05-0j 0.00101291-0j 5.3937e-06-0j -3.08009e-10-0j 2.6005e-07-0j 4.60722e-05-0j -0.151206-0j 0.000191739-0j -1.32513e-08-0j 0.00198213-0j -1.0557e-06-0j -7.48749e-06-0j -4.54188e-05-0j 1.83953e-08-0j 1.68205e-05-0j -9.3558e-06-0j -0.00275158-0j 6.305e-05-0j 0.000723658-0j 2.29854e-08-0j 3.18405e-06-0j -0.00343816-0j -0.00100458-0j 0.000136985-0j 7.87824e-05-0j -0.000190162-0j -0.00125524-0j -0.000237612-0j 
-0.0118645-0j 8.8534e-06-0j -0.000104312-0j -2.44737e-05-0j 1.05438e-08-0j 3.05999e-05-0j -3.00369e-05-0j -0.000743273-0j 0.0578186-0j 0.000729597-0j -0.00012331-0j -0.0567548-0j 0.000121041-0j 3.7565e-08-0j -3.68738e-08-0j 2.22071e-05-0j 3.91143e-07-0j -3.13753e-05-0j 3.58365e-06-0j 0.0824856-0j 6.31205e-08-0j -6.15514e-05-0j -5.06317e-06-0j 0.00677131-0j 0.00145286-0j -8.33764e-06-0j -1.08413e-06-0j -0.11654-0j 0.000119266-0j 1.96745e-09-0j 8.69631e-05-0j -0.00956687-0j -1.46855e-07-0j 3.46536e-11-0j 1.17799e-05-0j -2.77971e-09-0j 1.74463e-05-0j 2.89715e-07-0j 1.24642e-05-0j 2.7585e-06-0j -1.73027e-05-0j -2.16202e-05-0j -0.000421824-0j 4.5808e-08-0j -0.000425224-0j 3.14769e-07-0j 1.97076e-06-0j -2.7358e-06-0j -7.00487e-06-0j 0.0102461-0j -3.41845e-06-0j -7.06132e-06-0j 0.00721177-0j -0.000301366-0j 5.22709e-09-0j -4.41427e-06-0j -0.000303795-0j 2.24882e-07-0j 0.000418354-0j 0.000594756-0j 0.000421725-0j 0.000170148-0j -3.12179e-07-0j 0.000522743-0j -5.17838e-07-0j 0.00732018-0j 0.00011976-0j 0.000526956-0j -7.3304e-08-0j -3.90075e-07-0j 9.9772e-11-0j 0.00515234-0j -3.15371e-06-0j 9.8766e-06-0j -0.0101618-0j 0.000424914-0j -0.00715244-0j -8.59929e-09-0j -0.0126974-0j 4.37795e-06-0j -0.000589863-0j -3.69962e-07-0j -0.00893714-0j 1.65683e-12-0j 5.47035e-06-0j 5.13578e-07-0j 7.12806e-11-0j -0.000737048-0j -9.89511e-11-0j 6.41727e-07-0j -1.23642e-10-0j 
0.00120466-0j -0.00808549-0j 2.12926e-05-0j -0.000237571-0j -2.95074e-05-0j -6.24619e-06-0j 6.13126e-06-0j -0.0145052-0j 0.00012331-0j 0.0142383-0j 0.0560162-0j -0.000121041-0j -0.0549855-0j -0.000211728-0j 0.000207832-0j -4.533e-06-0j -7.98418e-08-0j 6.40446e-06-0j 6.9936e-05-0j -0.00837513-0j 1.23182e-06-0j 0.0562127-0j -9.88093e-05-0j -0.00138065-0j -0.000147515-0j 0.0116063-0j 0.000990101-0j 0.0118328-0j -2.43181e-05-0j -1.85463e-05-0j -0.0794203-0j 0.00195066-0j 0.000204427-0j -3.26665e-07-0j -0.016398-0j 2.62032e-05-0j -3.5612e-06-0j -5.91378e-08-0j -2.54425e-06-0j 5.38329e-05-0j 3.5319e-06-0j 4.4132e-06-0j 4.28297e-05-0j 8.93956e-07-0j 8.67984e-05-0j -0.000287467-0j 3.84601e-05-0j -5.339e-05-0j 7.11236e-07-0j 0.0994612-0j -6.6712e-05-0j 1.44139e-06-0j 7.62375e-06-0j 3.0599e-05-0j -4.77372e-06-0j 0.0123535-0j 6.20118e-05-0j -0.000205376-0j -4.24773e-05-0j 0.00567508-0j -8.60843e-05-0j 0.00165167-0j 0.000285102-0j -5.30764e-05-0j 0.00145181-0j 0.0710585-0j 1.26601e-07-0j -0.000107564-0j 0.000205144-0j 0.000356241-0j -1.41371e-06-0j 5.44667e-06-0j 0.00882578-0j 9.42411e-05-0j -0.0986429-0j 0.00405447-0j -7.56103e-06-0j 2.41089e-05-0j -0.123257-0j -0.0122519-0j -0.00562838-0j 0.00103722-0j -9.44768e-06-0j -2.34762e-08-0j -0.015309-0j -0.00143986-0j -1.01e-06-0j -0.0070328-0j 1.40207e-06-0j -0.00179914-0j 1.75193e-06-0j 
0.0018195-0j 8.63884e-05-0j -7.30499e-08-0j -0.000177536-0j 1.54863e-07-0j -3.12309e-06-0j 3.06563e-06-0j 2.46217e-05-0j -0.0178886-0j -2.41687e-05-0j -0.00180794-0j 0.0175594-0j 0.00177467-0j 7.36926e-07-0j -7.23367e-07-0j -2.2665e-06-0j -3.99209e-08-0j 3.20223e-06-0j 1.73011e-05-0j 8.67966e-05-0j 3.04733e-07-0j 4.12102e-06-0j -2.44439e-05-0j 0.0990979-0j 1.52879e-06-0j -0.000184005-0j 7.25854e-08-0j -0.000122631-0j 0.00174546-0j 4.82954e-08-0j -5.82239e-06-0j -0.140011-0j -3.24097e-06-0j 8.50649e-10-0j 0.000259972-0j -6.82342e-08-0j -1.7806e-06-0j -2.95689e-08-0j -1.27212e-06-0j 1.33175e-05-0j 1.76595e-06-0j 2.2066e-06-0j 6.46897e-05-0j 2.21151e-07-0j -1.48383e-07-0j 3.07141e-06-0j 9.51445e-06-0j -1.32079e-05-0j 1.07425e-06-0j -0.000509998-0j -1.65036e-05-0j -2.46408e-09-0j 0.070077-0j 4.62165e-05-0j 5.10042e-08-0j 4.44865e-07-0j -1.0601e-07-0j 2.19432e-06-0j -6.41575e-05-0j 0.0175925-0j 1.47163e-07-0j -8.46909e-06-0j -3.04614e-06-0j -8.01662e-05-0j -1.52642e-05-0j -0.00036436-0j 0.00116371-0j 1.83883e-07-0j 7.38748e-09-0j -3.80622e-06-0j 2.94099e-09-0j 0.0500654-0j 3.17827e-07-0j 0.000292143-0j 0.000505802-0j 0.0125687-0j -0.0695005-0j -2.53479e-07-0j 0.000632011-0j -4.41205e-07-0j -0.0174478-0j -1.09053e-05-0j -0.0868425-0j 4.88384e-11-0j -5.51296e-07-0j 1.51386e-05-0j 2.10114e-09-0j -0.0218014-0j -2.91679e-09-0j 1.8916e-05-0j -3.6446e-09-0j 
7.37783e-07-0j 0.00294042-0j -1.25468e-06-0j -2.9252e-07-0j -0.00033244-0j 3.6806e-07-0j -3.61288e-07-0j 0.00171839-0j 3.7565e-08-0j -0.00168678-0j 0.000211728-0j -3.68738e-08-0j -0.000207832-0j 0.0542171-0j -0.0532196-0j 2.67109e-07-0j 4.70472e-09-0j -3.77386e-07-0j -8.28514e-06-0j -5.12929e-06-0j -1.4593e-07-0j -0.0204427-0j 1.17057e-05-0j -8.45599e-07-0j -9.03445e-08-0j -0.00135906-0j -0.000360066-0j 7.24693e-06-0j -1.48939e-08-0j 0.0148249-0j 0.0288825-0j 1.19471e-06-0j -2.39377e-05-0j 0.000261117-0j 0.00192015-0j -0.0209453-0j 2.09846e-07-0j 3.48473e-09-0j 1.49921e-07-0j -6.37745e-06-0j -2.08119e-07-0j -2.6005e-07-0j 2.62307e-08-0j -1.05905e-07-0j -5.11465e-06-0j 0.000104542-0j -4.55627e-06-0j 6.32498e-06-0j 4.35591e-10-0j 0.000122466-0j 7.90321e-06-0j -8.49345e-08-0j 1.54566e-09-0j 1.87401e-08-0j 1.73604e-06-0j 0.139179-0j -3.65408e-06-0j 7.46884e-05-0j -2.60149e-08-0j 1.06698e-05-0j 5.07257e-06-0j 2.03368e-06-0j -0.000103682-0j -3.25063e-08-0j 0.00386392-0j 8.74938e-05-0j 2.56675e-11-0j 6.33829e-06-0j 0.00231122-0j -0.000129553-0j 0.00228733-0j 1.10427e-09-0j 0.0994342-0j 1.77184e-07-0j -0.000121458-0j 7.62286e-06-0j -1.53294e-09-0j 6.41648e-05-0j -0.000151765-0j -0.138034-0j -1.0582e-05-0j 0.00276052-0j -1.91545e-09-0j 3.79836e-05-0j -0.172477-0j -0.00383213-0j 0.00163414-0j -1.32224e-05-0j -0.00226851-0j -0.00478834-0j -0.00283455-0j 
-0.000174781-0j 0.0017881-0j 1.05438e-08-0j 5.18833e-05-0j -9.8572e-05-0j 4.5078e-07-0j -4.42485e-07-0j -1.08118e-05-0j 0.000851749-0j 1.06128e-05-0j -0.0249046-0j -0.000836077-0j 0.0244464-0j -0.00145059-0j 0.0014239-0j 3.27141e-07-0j 5.76209e-09-0j -4.62202e-07-0j -7.59719e-06-0j -8.33764e-06-0j -1.33813e-07-0j 8.52983e-05-0j 1.07337e-05-0j -0.0143549-0j -1.46855e-07-0j 0.0779466-0j 1.5024e-06-0j 1.17799e-05-0j -0.00025284-0j -0.000191942-0j -0.000120514-0j 0.0202814-0j 0.00137291-0j -3.38076e-06-0j -0.110127-0j 0.000271186-0j 2.57008e-07-0j 4.2679e-09-0j 1.83615e-07-0j -5.8479e-06-0j -2.54893e-07-0j -3.18495e-07-0j -6.21406e-06-0j -9.7111e-08-0j 2.14173e-08-0j 6.3573e-05-0j -4.17794e-06-0j 5.79979e-06-0j -1.03192e-07-0j 0.000149042-0j 7.24697e-06-0j 3.55659e-10-0j 0.000106239-0j -4.43954e-06-0j 1.0557e-06-0j -0.000283162-0j 1.53013e-08-0j 4.54188e-05-0j 6.16293e-06-0j 0.120121-0j -2.12411e-08-0j 2.47501e-06-0j -6.305e-05-0j 7.70073e-06-0j 0.0199965-0j 0.000106481-0j 1.76423e-06-0j -2.65412e-08-0j -4.70222e-06-0j -7.87824e-05-0j -1.95693e-05-0j 7.59011e-05-0j -0.0002023-0j 0.00199475-0j -0.000147816-0j 0.0858188-0j -0.000105365-0j 0.000332065-0j -0.000184699-0j 0.000280832-0j -0.119133-0j 0.0142862-0j -0.000131656-0j -3.24971e-07-0j 0.000350906-0j -0.019832-0j -1.3981e-05-0j -0.14886-0j 1.94083e-05-0j -0.0247805-0j 2.42511e-05-0j 
5.61186e-06-0j -0.000388784-0j -6.80602e-10-0j -2.78416e-06-0j 6.63988e-05-0j -2.90977e-08-0j 2.85623e-08-0j 1.16639e-06-0j 5.74437e-07-0j -1.14493e-06-0j 0.00269349-0j -5.63867e-07-0j -0.00264393-0j -0.0223775-0j 0.0219657-0j -2.11169e-08-0j -3.71941e-10-0j 2.9835e-08-0j 8.19599e-07-0j 2.67705e-07-0j 1.4436e-08-0j -1.85463e-05-0j -1.15797e-06-0j -1.61803e-05-0j 4.71521e-09-0j -0.026117-0j -3.26665e-07-0j -3.78228e-07-0j -2.8499e-07-0j 0.0530451-0j 2.62032e-05-0j 2.28603e-05-0j -0.000460011-0j 0.000934309-0j 0.0368995-0j -0.074945-0j -1.65898e-08-0j -2.75492e-10-0j -1.18523e-08-0j 6.30883e-07-0j 1.64533e-08-0j 2.05588e-08-0j 1.99521e-07-0j 1.04765e-08-0j -1.38248e-09-0j -1.38226e-05-0j 4.50724e-07-0j -6.25692e-07-0j 3.31327e-09-0j -7.99789e-06-0j -7.81817e-07-0j -2.29577e-11-0j 3.55151e-08-0j 1.42545e-07-0j -2.2954e-07-0j 0.00019074-0j -9.87692e-10-0j -9.87535e-06-0j -1.9788e-07-0j 0.000272881-0j 1.37111e-09-0j -1.32814e-07-0j 1.37089e-05-0j -2.47255e-07-0j 0.153441-0j -5.71397e-06-0j 5.89768e-10-0j 1.71323e-09-0j 3.16745e-06-0j 1.71296e-05-0j 0.0170441-0j 2.53732e-08-0j 0.000136271-0j 4.53151e-06-0j 7.93209e-06-0j 0.000194956-0j -3.52229e-08-0j 0.00254806-0j 9.91133e-06-0j -0.00018917-0j -0.000270636-0j 0.109623-0j -4.40118e-08-0j 0.000283037-0j -0.000236373-0j -0.152178-0j 0.0121769-0j -0.000338166-0j -0.0169039-0j -0.19015-0j -0.0211218-0j 
