0.00204102-0.00835095j 0.00704181+0.0108612j 0.00684261+0.00311092j -0.00797636-0.025871j 0.00374201+0.0243706j -0.000678519+0.0149668j 0.00115934+0.00343081j -0.000584735+0.0177049j -0.000370905-0.0197153j 0.00120561-0.00574355j 0.00256166+0.00144626j -0.000455407+0.000865567j -0.000532456+0.00548687j 0.00408286-0.0219327j 0.000457505-0.00774863j 0.000373024+0.000202137j -0.00252848+0.0137651j -0.0049831+0.0122602j -0.00821795+0.0107447j -0.00256378-0.00691178j 0.00757219-0.00521954j -0.000973856-0.00999557j 
-0.000396645-0.00346567j -0.00257855-0.00493005j -0.00500069-0.00584791j 0.00855087+0.00187198j -0.00506474+0.0108561j -0.0108814+0.000193969j -0.00893708-0.000667222j -0.0108733-0.00498653j -0.00955521+0.000792749j -0.0101594+0.0112296j 0.0103172+0.00142196j -0.00400584+0.0023599j -0.00426517-0.0118843j -0.00671861+0.00387427j -0.0110028-0.00114459j -0.00649499-0.0024271j 0.00930255+0.0117576j 0.00130317+0.0121465j 0.0106439-0.000512099j 0.00884939-0.00140395j -0.00264405+0.000152032j 0.00715767-0.00419528j 
-0.00933958+0.00774987j 0.000896365-0.00614923j -0.000470552-0.00097777j 0.0077843-0.000237207j -0.000986496-1.37048e-05j -0.00195584-0.00237976j -0.000281549-0.00506231j -0.0126649+0.00194894j -0.0115609-0.00150628j -0.00285515+0.00447464j -0.00392324+0.00454718j 0.0137111+0.000811331j -0.0152427-0.00663615j -0.00204103-0.000686731j -0.0131429-0.00400749j -0.00100562-0.000324431j -0.00111695+0.000229602j 0.00843316+0.00579967j 0.00646537+0.00433299j -0.00989068-0.000863576j 0.0173469+0.00250839j 0.00539952-0.00526222j 
-0.00336279-8.92388e-05j -0.00712855+0.0104285j -0.00782409+0.0126843j 0.00675513-0.00609109j 0.00337215-0.00672914j -0.00437191+0.00658043j -0.00699412+0.0117288j -0.0119593+0.00827719j -0.00420236+0.0116322j 0.00688357+0.00217984j 0.0117488-0.00286316j 0.00249547+0.0107331j -0.0167434+0.00973367j 0.00227149+0.00173706j -0.00358456+0.00373774j -0.00726907+0.00491119j 0.0200504-0.00694069j 0.014155-0.000167374j -0.000248158+0.00390845j -0.0065689-0.0041526j -0.0066141+0.00503721j -0.0114569+0.00305268j 
-0.00276798+0.0104466j 0.00510978+0.000351413j 0.00123912+0.00722626j 0.0020508-0.00764683j -0.000208368+0.000221944j 0.00480828+0.000555813j 0.00156338+0.00114484j 0.00113552+0.0122731j 0.00463767+0.00795696j 0.0070714-0.00251727j -0.00148432-0.0013698j 0.0104201-0.00814804j -0.00373672+0.0125578j -0.00168029-0.00130165j -0.00241573+0.0080603j 0.00682561+0.00109922j -0.00151115-0.00904821j 0.00611349-0.00908545j 0.00215526-0.00531403j -0.00760053+0.00735569j 0.00837117-0.00568941j -0.00125219+0.00262932j 
-0.00033305-0.0014131j 0.0069454+0.0133954j -0.000865848-6.67968e-05j 0.00313604+0.0149257j -0.00855552+0.00385766j 0.00185967+0.00512188j 0.00233052+0.00437238j -0.00124187-0.000416671j 0.000335198-0.00261283j -0.00760423-0.00693904j 0.0058203-0.0054337j 0.00472484+0.0118613j 0.00558689+0.000230621j -0.00318108+0.00089969j -0.00298989-0.0125407j 0.00102972+0.00423194j -0.000308362-0.00187981j -0.00428683+0.00372688j 0.00901065-0.00245772j 0.00417779-0.00110093j 0.00429077+0.00290838j 0.00163854+0.00687905j 
-0.00102801-0.00279633j 0.00341277+0.0102953j -0.00293389+0.00223951j 0.000254133+0.0112128j 0.00181445-0.00382523j 0.00271721+0.00420578j 0.00121274+0.0012352j -0.00381906-0.00336319j 0.00462472-0.00315368j 0.0056864-0.00386012j 0.002991+0.00140404j -0.000304856+0.0130824j 0.00280075+0.00117007j -0.00125804+0.000226118j 0.00719021-0.00474762j 0.000602005+0.00614267j 0.00302088+0.00262618j 0.000653104+0.00476916j -0.00225139+0.00108024j 0.000606541-0.00235008j 0.000706523+0.0024847j -0.00335874+0.00418499j 
0.00441048+0.00898724j -0.00321349-0.00796452j 0.0030077+0.00218467j 0.00376248+0.00129639j -0.00602259-0.0101265j 0.000874175-0.000806886j -0.00373836-0.00142649j 0.00278156+0.0185427j -0.00576361-0.0156344j -0.00591056-0.0155427j 0.00990258-0.00598684j 0.00102108+0.000609603j 0.00186557-0.00229458j 0.000873277+0.00645926j 0.00279776-0.0212592j 0.000332143+0.00206893j 0.00418876-0.00984462j 0.00514338-0.0103209j 0.00148361+0.00382522j 0.0102916-0.00139747j -0.00352136-0.00307061j 0.00689069+0.00117305j 
-0.00508596-0.00426024j 0.00689357+0.00089581j -0.000453708-0.00578403j -0.0012329-0.00297786j 0.00166432+0.0104204j -0.00504249-0.00541381j -0.00275157+0.00388369j -0.0154028-0.0116777j 0.0126335-0.000599518j 0.0192302-0.00676334j 0.00446546+0.0065908j 0.0119018-0.0195469j 0.00431563-0.00720906j -0.00596454-0.000569764j 0.0213224+0.00621482j 0.00648641-0.00841391j 0.01098+0.00416092j 0.00807515+0.00340432j 0.00861191-0.000296639j -0.00247652+0.0133667j -0.000587103-0.00247514j -0.00263283+0.0061271j 
0.00146595+0.0041978j 0.00399333-0.0036434j 0.00653784+0.00237874j -0.000507764-0.000129544j -0.00332817-0.00707517j -0.00105336+5.63937e-05j -0.000789677-0.010662j -0.00341383+0.000810826j 0.0134314-0.00128791j 0.00817094+0.015473j 0.00929216+0.0114329j 0.00306591+0.010724j 0.0139385+0.00720049j -0.00833944-0.000225968j 0.0102518+0.0154538j -0.00616541+0.0123571j 0.00406734+0.0132291j 0.00592838+0.0076404j -0.00139159+0.00703117j 0.00462288+0.00796554j 0.000823406-0.00396017j 0.0040617+0.0028507j 
0.00402776-0.00553408j 0.0132839+0.00679168j -0.000179951-0.00105286j 0.0165716+0.00464027j -0.00460876+0.00324684j 0.0097938+0.00117095j 0.000138606-0.00501036j 0.00304346-0.00693512j -0.00184557-3.28892e-05j 0.00491077+0.00306289j -0.000863554-0.00177864j 0.0259044+0.00168058j 0.00634447-0.00239985j 0.00226802+0.00298625j -0.00535203+0.00316567j 0.0117582+0.00796515j 0.000691704+0.00720009j 0.00695781+0.00313061j 0.000278584-0.00443905j -0.00578365-0.00482696j 0.00378462-0.00944441j -0.00207811-0.00275432j 
-0.00475125-0.000611638j 0.00653393-0.00597058j -0.0023726+0.00182171j -0.000857393-0.00249982j -0.00289627-0.00170253j 0.00483442+0.00509787j -0.0112508-0.00697787j -0.00904809+0.00538934j -0.00270978-0.00950903j 0.00182693-0.00963929j 0.00664318-0.00524301j -0.00925311-0.00804009j -0.00324644-0.00698159j -0.00347445+0.00272035j 0.00364872-0.0100102j 0.0040446+0.0090194j 0.00433546-0.00296383j 0.00319561-0.0110321j -0.000888488-0.00135758j 0.00742987+0.000940105j -0.00238963+0.00251999j 0.00715874+0.00240835j 
-0.00529033-0.00396342j -0.00143679+0.000758063j -0.00735472-0.00383331j -0.0050991-0.00451619j 0.00230855+0.000809626j 0.00483337+0.00846435j -0.000224501-0.0120308j -0.000282392-0.0018085j -0.0142342-0.00130533j -0.0150454-0.00122696j -0.00977831-0.00786028j -0.0129972-0.0177363j -0.0150136-0.00965627j 0.00882311-0.00532514j -0.0157903-0.0100696j -0.0106007+0.00492782j -0.0118003-0.00872512j -0.00388465-0.0118392j -0.00425479-0.00936591j -0.00286813-0.00629179j -0.000338228+0.00427685j -0.00262579-0.00196922j 
-0.000420733+0.0038941j -0.00114647+0.00835095j -0.00261598-0.00334374j -0.00413911+0.0117327j -0.00773515+0.00925508j 0.00395067-0.00130661j -0.0103296+0.00706227j -0.001902+0.00161383j -0.000270111+0.00196162j 0.0088345-0.00987612j 0.00250852-2.03612e-07j 0.00111944+0.00554j -9.11576e-05+0.000524609j -0.0051839+0.000489824j 0.00607992-0.00497118j 0.0180791-0.00056895j 0.00183693+0.00143282j -0.0068756-0.000868768j 0.0116351-0.00323197j 0.00132016+0.00332016j 0.0072987-0.00314431j -0.00199063+0.000576502j 
0.000961516-0.00276123j -0.00790393-0.00139737j 0.00146871-0.00365939j -0.00652309-0.00352649j -0.0140755+0.00188088j 0.00371751-0.000287296j -0.0187244-0.00338638j 0.00303138-0.00292016j -0.00626308-0.000186657j 0.0108313+0.00376816j 0.00467679-0.00445294j -0.000811945-0.000636161j 0.000787788-0.00620883j -0.000310806-0.00165692j 0.00374679+0.00271189j 0.0129266+0.0128751j 0.00502646+0.00207205j -0.00290608-0.00804719j 0.00451908+0.00789021j -0.000493294-0.00263267j -0.00330749+0.00304002j -0.00186756-0.00330573j 
0.00488101+0.00404191j 0.00202093+0.00305721j 0.0107189+0.00743833j -0.00313919-0.00181518j 0.00803154+0.000739573j 0.00885806-0.000275069j -0.00227346-0.00136672j -0.0127064-0.0138949j -0.00451852+0.000960469j -0.00780796+0.00603815j -0.0156575+0.00131488j -0.0087941+0.00498078j -0.00726179+0.00201773j 0.00159733+0.00363231j -0.0057387+0.0155059j -0.00223642+0.0029436j -0.00808441+0.00706688j -0.00560385+0.00614113j -0.00513196+0.00804284j -0.00679155+0.00643339j 0.00186237-0.00423318j -0.00356187+0.00272624j 
0.00629552-0.00134965j 0.000687633+0.00063201j 0.0116505-0.00243425j -0.00424778-0.00288688j 0.00916591+0.00744973j 0.00877376+0.00947421j 5.90281e-05+0.00186043j -0.0156118-0.00415777j -0.0128529-0.0199987j -0.00872698-0.0172535j -0.0111922-0.0196758j -0.00255776-0.00691938j -0.00836226-0.0207901j 0.0112264+0.0178076j 0.00386297-0.0146098j 0.000613112-0.00116742j -0.000309414-0.0139187j 0.00190853-0.00730469j 0.00449644-0.00499592j 0.00697722-0.00587603j -0.000812954+0.0013501j 0.00332391-0.00422113j 
0.0035266-0.000869562j -0.00246131+0.00210401j 6.52019e-05-0.00064115j 0.00356099+0.000181529j -0.000983624+0.00267481j -0.00363855-0.00261687j 0.00181989+0.00473228j 0.00510864-0.00326994j 0.00173242+0.000941739j 0.00335152-0.000925797j 0.00220636-0.000911258j 0.00864518+0.000198412j 0.00375875-0.00102449j 0.000274548+0.000989164j 0.00164779+0.000648956j 0.00199131-0.0056338j 0.003303-0.000153653j 0.00136874+0.00330899j 0.00154818+0.000684358j -0.00175417-0.000957806j -0.00198402-0.00200658j -0.00274972-0.000556267j 
-0.000633817-0.00159362j 0.00787592-0.00974728j -0.00113487+0.00423255j 0.00735014-0.00529966j -0.000758701+0.0101945j 0.00831352-0.0141069j -0.0155654+0.0120471j 0.000581722+0.0024845j -0.00386553+0.00513284j -0.000547155-0.00489624j -0.00206381-0.0043551j -0.00252825-0.00423352j -0.0018557-0.00183195j -0.000366812+0.000861743j -0.00290314+0.00262656j 0.0230983-0.0106195j 0.00656812+0.00137616j -0.00864645-0.00288175j -0.00519631-0.00179869j 0.000179103-0.00130107j -0.00966708-0.00277267j 0.00139906+0.00204363j 
0.010366-0.00254072j -0.0135768+0.00262568j 0.0033014-0.00214335j 0.00757553-0.0103612j -0.0134927+0.00384122j -0.0118311-0.00553774j 0.00256951+0.0011104j 0.0218504-0.013312j 0.00383354+0.000357926j 0.0133523+0.00309034j 0.011327-0.00367652j 0.0286016-0.00616378j 0.0178126-0.00786988j 0.00230326+0.00071279j 0.0048018+0.00589291j 0.00431392-0.00862481j 0.0116633-0.000765796j 0.00673305+0.00152913j 0.00635177+0.00735966j -0.00734035-0.00344806j -0.00896719-0.00448578j -0.01061-0.00469599j 
-0.00152439+0.00141321j 0.00185535-0.000324182j 0.00134934-0.00412563j -0.00700124+0.00734543j -0.000116658+0.00905191j 0.0090386-0.00772035j -0.0142705+0.0112985j -0.00904386+0.00667191j -0.00620915+0.00548043j -0.00152012-0.00534355j -0.00670947+0.00199916j -0.00886735+0.00717137j -0.00882974+0.00178098j -2.81393e-05+0.000755039j 0.00206862-0.0011039j 0.017439-0.00563069j -0.000947441+0.00234884j -0.0124883+3.78065e-05j 0.00528884-0.00361253j 0.00310404+0.00148459j 0.00351005-0.000473234j 0.001509-0.000717655j 
-0.00775331+0.00457354j 0.000310729+0.00384547j -0.00961117+0.015848j 0.00157112-0.00478641j -0.00215464+0.0164034j -0.00696425+0.0053705j -0.00305202+0.00537653j 0.00894931-0.0231314j 0.0138128+0.000259889j 0.00520728-0.0105546j 0.00671028-0.01326j -0.00556377-0.0124464j 0.00471642-0.00647865j -0.0167853+2.57795e-05j -0.00443419+0.00344073j 0.000310533-0.0106359j 0.00219984-0.00459871j -0.00578377+0.000622477j -0.00366936-0.00197052j -0.00602319+0.00477478j -0.000277664+0.00423716j -0.00180254+0.00666935j 
-0.000527594+0.000571712j -0.00363924-0.00980884j 0.00614007+0.00615873j -0.00218727-0.0117079j -0.00753883-0.000893732j 0.00755311-0.00214696j -0.0162114-0.00295144j -9.40132e-05-0.00383859j -0.00729016-0.00414575j 0.00392135+0.0025678j -0.00105436-0.00857825j -0.00626244-0.000929185j -0.00106148-0.00670397j 0.000595569+0.00275034j -0.00144686+0.00547601j 0.0123564+0.0101033j 0.00445932-0.000549591j -0.00275698-0.00925261j -0.00407821+0.011682j -0.00203268-0.00332897j -0.00602974+0.0043933j 0.00152181-0.00252015j 
0.00433776+0.00770805j -0.00292146+0.00729765j -0.00148207+0.00439772j 0.00412903+0.00823537j -0.00707898+0.00754133j 0.00291426+0.00208421j -0.00674217+0.00291929j 0.00706943-0.00530555j 0.00213305-0.00127052j 0.00690031-0.00559735j 0.0055503-0.00357835j 0.00884536+0.00820471j 0.00555933+0.000561424j -0.00673822+0.00592684j -0.000764186+0.000588282j 0.0114718+0.000543804j 0.00217346+0.00420487j -0.00258122+0.00243494j 0.00467342-0.00160843j -0.00127354-7.5756e-05j 0.0068348-0.00914479j -0.00383489-0.00392702j 
-0.00381307+0.00363458j -0.00102245+0.00538751j -0.00293112+0.00900295j -0.00240241-0.00414885j -0.00928304+0.00305102j 0.00190377+0.0118459j -0.00556231-0.0107801j 0.00301762-0.0140613j 0.00301399-0.00450214j 0.00690689-0.0048622j 0.00492978-0.009086j -0.00489126-0.00882044j 0.00370084-0.0048036j -0.00832654+0.000568459j -0.00291344+0.00212754j 0.00224662+0.0123411j -0.00107326-0.00141644j -1.24517e-05-0.00933679j 0.00144085+0.00251439j -0.00422788+0.00358418j 0.00345319+0.000953063j -0.00235802+0.00173102j 
-0.00514726+0.0137801j -0.00338185-0.00421713j -0.012273+0.0097783j 0.00963788+0.010079j -0.00307398+0.00234767j -0.00705456-0.000283162j 0.00386697+0.00380171j 0.0178325+0.00278252j 0.014267-0.000746728j 0.00336258-8.31665e-05j 0.0153261+0.00195298j 0.00237082+0.00895308j 0.012341+0.00919917j -0.014821+0.00241371j -0.00472017-0.00140903j -0.000971098-0.00360003j 0.00272206+0.00706553j -0.00146962+0.00763992j -0.00591265-0.00350802j 0.00171924-0.00201906j 0.00879558-0.00854374j 0.000444216-0.00635069j 
0.00505355+0.0103931j 0.00380039-0.0106098j 0.0130654+0.0167353j 0.00813197-0.00821926j 0.00864765-0.000313931j 0.0104841-0.00178244j -0.00245241+0.00325352j -0.007823-0.00323042j -0.000434516-0.0112933j -0.0082956-0.00254859j -0.00676624-0.00912926j -0.00344436+0.00901255j 0.00194016-0.00234726j -0.000597238+0.0169788j -0.00223995+0.007813j 0.00326498-0.00170396j 0.00366241+0.000309715j 0.00121196+0.00223531j -0.00877393+0.00688791j 0.00292038+4.7783e-06j -0.004307-0.0058078j 0.00487486-0.00141188j 
0.00827365+0.0114787j -0.00591241+0.0200941j -0.00114203+0.00634359j 0.000602497+0.010727j 0.00153908+0.0108477j 0.000513106+0.0139094j 0.00114693-6.64909e-05j -0.00312619-0.0137547j 0.00305255-0.00694739j 0.002783-0.0097469j 0.00171351-0.00974634j 0.0046118+0.00140187j 1.8531e-05-0.00441725j -0.00551271+0.00973333j 0.000575381-0.0012784j -0.00524746+0.00261672j -0.000860949-0.00212092j 0.00237002+0.00486369j 0.00844416-0.00572054j -0.00119436+0.00565634j 0.00717146-0.0118688j -0.00932628+0.00290799j 
0.00830859-0.0117777j 0.0133593+0.0173492j -0.00110983-0.0110524j 0.000510032+0.00857701j 0.00256105-0.000151503j 0.00864719+0.00460531j 0.00277605-0.00554676j -0.00791547+0.00426232j -0.00519545+0.00573872j -0.005168-0.00335228j -0.00591812+0.00414676j 0.00310451-0.00564689j -0.00334622+0.00304919j 0.00974429-0.00510448j 0.00160754-0.00431021j -3.42221e-05+0.00494907j -0.00634562+0.000479213j 0.000770675-0.00325677j 0.00544398-0.0140049j 0.00361559+0.00395361j -0.00504643-0.00689112j -0.00457477+0.00957195j 
-0.00960785-0.00963115j 0.0180749-0.00585977j -0.0120667+0.00297154j 0.00945727+0.00281766j 0.000930762-0.000397927j 0.00376173-0.00220861j -0.00399714-0.000627831j 0.00200296+0.00185298j 0.0051874+0.00497304j -0.000905958+0.000197232j 0.00486608+0.00303848j -0.00569446-0.00304946j 0.00144438+0.00433332j -0.00644162-0.0063399j -0.00552577-0.00198203j 0.00566034+0.00199702j 0.000212946+0.00715605j -0.00225488-0.000505781j -0.0120509-0.0062382j 0.00224269-0.00290212j -0.00329738+0.00294942j 0.00709866+0.00341415j 
