-0.00669341+0.00638777j 0.00626059+0.00652218j 0.0129917-0.00868718j -0.0174719+0.00266674j -0.000527726+0.00193777j -0.00525946-9.95439e-05j 0.00472467-0.00935281j -0.0035764+0.00551077j -0.00983373-0.0010244j -0.00832975-0.00300943j -0.00182463+0.0125274j 0.0229146-0.0148398j 0.011648+0.00779004j -0.0107974-0.00910515j 0.00360278-0.0198286j -0.003462-0.00947245j 0.0105601-0.0110533j -0.000107748+0.00480379j -0.0103734+0.013937j 0.00343705-0.00102964j -5.11626e-05+0.0102942j -0.0091144+0.00472105j -0.0114977+0.00983174j -0.0121701-0.00177662j 0.0187747-0.0138141j -0.0122486-0.0147655j 
0.00311682+0.000999812j 0.00113883-0.000594519j -0.0101372+0.0109272j -0.00591331+0.0110125j 0.00707237+0.00529935j 0.00389454+0.0240304j 0.000648677+0.00704972j -0.00511948-0.00701295j -0.0200043+0.00911559j 0.00460225-0.0218068j 0.0032451+0.0141749j -0.00641558-0.00350303j -0.00997017+0.00466395j -0.000294773-0.00469631j 0.00176634+0.00123374j -0.00197593+0.00324437j -0.00653898-0.00369325j 0.0064832+0.00580708j -0.00721768-0.00185409j 0.00574273-0.0106457j -0.00868465-0.00150187j -0.00261584-0.00797125j -0.00808078-0.00522534j 0.00443261-0.00353814j -0.00415522-0.00256305j 0.00289503-0.00543776j 
9.66975e-05-0.00224571j 0.00322105-0.00348925j -0.00989519-0.000134599j 0.00143554-0.00207869j 0.00136698+0.002036j 0.0364544-0.00373894j -0.0149432+0.00353063j -0.0276328-0.00179844j -0.00906279-0.00250875j -0.0209016-0.00112429j 0.0185881+0.000650315j 0.00102036+2.98348e-05j 0.00971639-0.00186263j -0.00954117-0.00156547j 0.0020245-0.00536445j -0.0112562-0.00241209j -0.0152036-0.00271972j 0.0132804+0.0101679j -0.00616569+0.00388185j -0.00349202+0.00147027j -0.018433-0.0148993j -0.00513442-0.00575674j -0.00340124-0.00719869j -0.00389009-0.00113783j 0.00524462+0.00448518j 0.00086137+0.00253307j 
0.00300709-0.00464388j -0.00324392-0.019003j 5.89128e-05+0.00894148j 0.00140779+0.00447397j 0.000315148+0.000424066j 0.011793-0.00400515j 0.00458968+0.00563453j -0.00132205+0.00445943j -0.0180245+0.0214959j -0.00417093-0.00680002j 0.00133767-0.00295408j -0.00512607+0.00269718j -0.00354026-0.000589743j -0.000114036+0.00196998j 0.000843202-0.0148317j -0.00078118+0.001858j 0.00182741+0.0078218j 0.00196159-0.0125687j 0.00193647+0.00905105j -0.00227898+0.00512408j -0.00802408+0.0102586j -0.00420581+0.0076553j 0.00255122-0.000123505j -5.13051e-05+0.000832926j 0.0123036-0.000941435j 0.00539621-0.00186112j 
0.00124309-0.00182636j 0.000633056-0.00427439j -0.000219593+0.0167969j 0.00341896-0.00516334j 0.00221663-0.00870401j 0.00695888-0.034082j 0.00263367+0.00751022j -0.010426+0.0402566j 0.00197946-0.000591452j -0.00957495+0.0221116j 0.0107215-0.0180287j 0.00258259-0.00429101j 0.00420755-0.00483155j -0.000756256+0.00619665j -0.00458725+0.00538308j -0.000638928+0.0090635j -0.00602982+0.0112385j 0.00485765-0.00521512j 0.00140125+0.00487317j -0.0013335-0.00365202j -0.00660085+0.0108824j -0.00332003+0.00252014j -0.00820018+0.00788718j -0.00468947+0.00173092j -0.00543811+0.000258216j -0.00309956+0.00256922j 
-0.00527277+0.00204731j -0.00368677+0.00937636j -0.0024056+0.0153155j 0.00174523+0.0105866j 0.00226712+0.0041499j 0.000923176-0.0136411j 0.00310924+0.0131237j -0.00471965+0.0107326j -0.00402533+0.0148451j -0.000328116-0.00158996j 0.00243084+0.00334785j 0.00346484-0.00338911j -0.00516499+0.00271341j -0.00149834-0.0012158j -0.0004103-0.000211697j 0.00261619-0.00487489j 0.0127396-0.010203j 0.00304501+0.00400823j -0.000310365-0.00347811j -0.00233474+0.00206868j 0.00809897+0.000722669j -0.00110119-0.0036085j -0.00412113+0.00372653j 0.00986632-9.49336e-06j -0.00289184-0.00274646j 0.00523288-0.00339936j 
-0.00599366-0.00194718j -0.00284604+0.00209657j 0.000978501+0.00155524j 0.00964529+0.00661133j -0.00137893-0.00130709j 0.0102834+0.00345107j -0.00250707-0.00286007j -0.00751508-0.0062171j 0.00110158+0.00556635j -0.00713211-0.00149337j 0.000360842+0.000127901j 0.00464069+0.00766764j 0.00501116+0.0109967j -4.15981e-05+1.01458e-05j 0.00477048+0.00351102j 0.00827637+0.00798092j 0.0115247+0.0152931j 0.000181099+0.00310552j 0.00760553+0.00103617j -0.00887617-0.0147487j 0.00444556+0.0108058j -0.00130223-0.0012227j 0.00516474+0.00906234j -0.00408642+0.014328j -0.000621751+0.00268743j 0.000188324+0.00918707j 
0.00712777+0.000783457j -0.00744226-0.00928398j -0.0010113-0.00738824j -0.00214718-0.00962077j -0.00204972-0.00513405j 0.00417188+0.0221409j -0.002185-0.0170716j -0.00236084-0.000506691j 0.00294644-0.00637954j -0.00190977-0.00998491j 0.00187594+0.006354j 0.00354736+0.00748501j 0.0027162+0.00327151j 0.00989965-0.0109179j -0.0013375+0.00580274j 0.0046824-0.00589144j 0.00528703-0.00206168j -0.00919626+0.00614219j 0.000605379-0.00486361j 0.00131401-0.00126984j 0.0110013-0.00367698j 0.00505291-0.0019417j 0.00278318-0.00423757j 0.00268747-0.000612655j -0.00932097+6.53112e-05j -0.00158176+0.00107133j 
0.00542031+0.0101712j -0.00110504-0.00130056j -0.00806274-0.00413253j -0.00612275-0.00232262j -0.000311283-0.00768258j 0.00161615+0.00270011j 0.00151922+0.0102244j -0.000958864+0.0126068j -0.00172123-0.0010876j 0.00121172+0.00326007j 0.0023912-0.00791276j 0.00171354+0.00519689j -0.000491693-0.00715935j 0.00574519+0.00308736j -0.00412958+0.00483489j 0.00188537-0.000797408j 0.0025266+0.00472107j 0.00955094-0.0152443j 0.00144922-0.000493941j -0.000587818+0.0095173j -0.00319322+0.0172136j -0.00621529+0.00405908j -0.00974064+0.005041j 0.0067288-0.0039114j -0.00610417-0.00269323j 0.00247332-0.00542091j 
-5.50584e-05+0.00248241j -0.000640369-0.00242627j -0.00724606-0.00377503j 0.0166518+0.0157548j 0.00480132-0.00463716j 0.0271006+0.0260288j 0.00142302-0.00013304j -0.0246898-0.0224165j 0.0023772+0.0162295j -0.0209072-0.0214681j 0.0115154+0.0106108j 0.0061433+0.0152478j 0.00708033+0.021552j -0.00365043+0.00172107j -0.00137282-0.00707425j 0.00207131-0.00427166j 0.00571924+0.00100429j 0.00407171-0.00297808j 0.00372103+0.00500089j -0.00793829-0.00138798j 0.000886609+0.00796195j -0.0048728+0.00145709j -0.00124142+0.00851549j -4.06116e-06+0.000863782j -0.000382247-0.000667229j 0.00101282+0.000660758j 
-0.00513372-0.00231552j -0.00836961-0.00886986j 0.0182586+0.000948179j -0.004752+0.0057015j 0.00394586-0.00350312j -0.025765+0.00756875j 0.00388135-0.000770871j 0.024113+0.00180813j -0.00440388+0.0138078j 0.00997827-0.00765602j -0.00185409-0.00202605j -0.0139305+0.00748214j -0.00944716+0.0079597j 0.000496086+0.000574793j -0.00219596-0.00104546j 0.00286154+0.00476727j -0.00227595+0.00986525j 0.00819998+0.00523254j 0.000822265+0.00787889j -0.00145667-0.00652544j -0.0101651+0.0061729j -0.00356913-0.00365434j -0.00729052+0.00320977j -0.00312216+0.0042244j -0.00165902-0.00522379j -0.00315633+0.00211673j 
-0.00278855+0.000221707j -0.0116949-0.00321184j 0.00252484+0.00610876j 0.0089052-0.0103203j 0.00144485-0.00457982j 0.0147128-0.0109773j -0.00688836-0.000743873j -0.0127742+0.0225989j 0.00587114+0.00820517j -0.0156773+0.00605105j 0.0113413-0.00348073j 0.00892203-0.00250574j 0.0153641+0.000301703j 0.000343791-0.0021769j -0.00503596-0.00317254j 0.000353324-0.00608442j 0.0085221-0.0100595j 0.00870489+0.00585487j 0.00154401-0.00343222j -0.00758759+0.00566239j 0.00278599-0.00488625j -0.00351616-0.00262101j 0.00176579-0.00602462j 0.0104833+0.00144288j -0.00286222-0.00155026j 0.00622433-0.000663919j 
-0.00135891-0.00954724j -0.0076116-0.00239018j -0.00724875+0.00406201j 0.00771847+0.00288481j -0.00185057+0.00589565j 0.00690649-0.0194172j 0.00635003+0.00544868j -0.0149412-0.00746731j 0.00735077+0.00627766j -0.00272136+0.00687897j -0.00541179+2.43463e-05j 0.0047947-0.00325739j 0.000983431-0.00241051j -0.000431542+0.0122125j -0.00780356-0.00940962j 0.000273275-3.42817e-05j 0.00914862-0.000997699j -0.00957839-0.00315982j 0.00500869-0.00048j 0.00126664+0.0094605j 0.010487+0.00352473j 0.00636646+0.00481395j 0.00724392-0.00341729j 0.00331955+0.00701328j 0.00310439-0.0134125j -0.00205412+0.00294461j 
0.00589824-0.00119036j 0.00364852+0.00145469j -0.024394-0.0107647j -0.0185989+0.00670243j 0.00305493+0.0061863j 0.0100943+0.00965016j -0.0105694+0.00326051j -0.018193-0.0162914j -0.0122876-0.0157628j 0.00501406-0.00568484j -0.00257712+0.00756473j 0.00214829+0.00284412j -0.0106342-0.00694207j -0.0010722-0.00238177j 0.00319233+0.000923716j 0.000164429+0.00300402j 0.000647893+0.00871572j 0.000223762-0.00182964j -0.00557392+0.000302904j 0.00533298-0.00191865j -0.00409086+0.00526796j -0.000650904-0.00107908j -0.0105555-0.00669499j -0.000271352+0.00183736j -0.0038403-0.00516956j -0.00536026+0.00321435j 
0.00194238+0.0127049j -0.0115095+0.00108872j 0.00100326-0.0275398j -0.0143555-0.0103982j -0.00721887-0.00463305j 0.00472656+0.0167019j -0.0109708+0.00231302j 0.0114578-0.0105312j 0.00966201-0.00110548j -0.0017435+0.000451671j -0.000600392-0.00734474j 0.00427052+0.0123657j 0.00372949-0.0108596j 0.000834984-0.00380629j -0.00438808+0.00380171j -0.000777887-0.00496241j 0.003795+0.00472593j 0.00963885-0.00791502j 0.00529009-0.00298177j -0.00243643+0.01303j -0.00661829+0.0134217j -0.00382003+0.00241823j -0.00566625-0.00141682j 0.00270079+0.000510795j 0.00413205-0.00603396j 0.00157473-0.008005j 
0.0204136-0.00445183j -0.00627424-0.00477135j -0.0210015+0.0118726j -0.00851239+0.0119765j -0.00519995-0.00187474j 0.0196013-0.00235181j 0.00135442+0.00467703j -0.00209594+0.0113669j -0.00811219+0.00323863j -0.00484915-0.00298206j 0.000365647-0.00244228j 0.0143598+0.0015421j -0.0112355+0.00281856j -0.00174963-0.0119622j 0.0066175+0.00724136j -0.00343139-0.00324167j 0.00711883+0.000343649j -0.0113551-0.000981817j -0.00372854-0.00341484j 0.0117413-0.000986825j 0.0135278+0.00859092j 0.00309445-0.00016503j -0.00368191+0.0115738j -0.00391559-0.00388934j -0.00466218+0.000310446j -0.00745134-0.00622508j 
-0.00908215-0.015026j -0.029694+0.024116j 0.0010816-0.000615029j -0.00895687+0.0111654j -0.00373997+0.00172615j 0.000910033-0.00356544j -0.0110605+0.00896217j 0.0182086-0.0040144j 0.0136185+0.00340818j -0.00359058+0.00402445j -0.00283533-0.00612423j 0.00854524-0.00731754j -0.00163254+0.00532778j -0.0173809-0.00188217j -0.00302096+0.00100584j -0.00305913+0.00248144j 0.00334173-0.0103211j 0.0136257+0.00132991j 0.000499017+0.000279932j 0.000835243-0.00637232j 0.000702695-0.0032485j -0.00419944-0.00145052j -0.00828369-0.00167121j 0.00862145-0.000664327j -0.0135984+0.00165849j 0.000333344+0.00793139j 
0.0144202-0.0160183j -0.0225206-0.0274649j 0.00327577+0.00302988j -0.00803198-0.00930377j -0.000207772-0.00237211j 0.00123487-0.00138624j -0.00772198-0.0147361j 0.00510856+0.0133567j -0.001474+0.0113159j -0.00295892-0.00246519j 0.00465368-0.00151865j 0.00479929+0.00575953j -0.00315634-0.00146313j -0.00176215-0.0137727j 0.000772325-0.00564394j -0.00104047-0.00248272j 0.00447496+0.00564001j -0.00108672+0.0138025j -0.00270943+0.0025151j 0.00213411-2.14306e-05j -9.32486e-06-0.00315601j 0.00207842-0.00462714j 0.00351128-0.0115565j 0.00131074+0.00691996j -0.00185104-0.00913044j -0.00637859+0.00232411j 
