0.00992485+0.0519974j 0.0296388+0.0386419j -0.0127595-0.0376485j -0.0156063-0.00782767j 0.0259959+0.00960544j 0.0184039+0.0242795j 0.00753002-0.00933036j -0.014397-0.00504515j 0.00333516-0.0120068j -0.0018751-0.00450462j -0.00193152-0.00357454j -0.0127377-0.00472704j -0.000158437+0.00981563j -0.00195776+0.0095299j -0.00860312-0.00828424j 0.0191476+0.00600841j 0.00130985+0.000642298j 0.00800008+0.00842164j 0.00383734+0.00959376j 0.00232628+0.00991518j -0.000373457+0.00496354j 0.00683019-0.00419004j 0.000118595-0.00224825j -0.00153417-0.00580043j -0.0038399-0.00179865j 0.00043309-0.00535572j -0.00399307-0.0103343j -0.00367029-0.00249435j -0.00323583-0.00147939j -0.00238592+0.00536703j 0.0053209+0.00210859j 0.00368414-0.00321208j -0.005071-0.00628454j 0.00336657+0.0138123j 0.0138214-0.00299713j 0.00451512+0.0159533j 
-0.0165663+0.012596j 0.00285654-0.00152058j 0.0203679-0.0179055j -0.00243806-0.00432472j -0.00815005-0.0111176j -0.0193777+0.00707579j 0.00325206+0.000775626j 0.00669814+0.00158899j -0.0156802+0.00551769j -0.00123551-0.000917309j -0.00394567-0.00631754j 0.00924812-0.00138985j 0.0137874-0.00487184j 0.0082126+0.0114983j -0.000833719+0.00893323j -0.00353027-0.00289886j 0.0147692+0.000466437j -0.00247124-0.00518876j 0.00692606-9.62073e-05j -0.00403715+0.0038096j -0.00699798+0.0102615j 0.00178262-0.00751303j 0.000842252+0.00093919j 0.0133225-0.00118862j -0.01007-0.00404231j 0.00277632+0.00565079j 0.00504931+0.0010454j 0.00218251+0.00329348j 0.00447742+0.00978657j -0.0100322-0.00369399j 0.00871227-0.00702388j -0.00295932+0.000778979j 0.000706024-0.000469539j -0.00446248+0.000904632j 0.0129608-0.00658144j -0.00141097+0.00193072j 
0.0120047+0.030933j -0.00786585-0.0024754j -0.00872096-0.00561375j 0.00278595-0.00279609j -0.00337955+0.0131624j 0.00829755-0.0216007j -0.00847812+0.00583124j -0.000749433+0.00696908j -0.006412-0.00708847j 0.00432669-0.00412956j -0.0011601+0.00141417j -0.00670808-0.006814j 0.00864038-0.00106617j 0.00244283+0.00618943j -0.00615529-0.00244094j 0.0106953+0.00587495j -0.00586227-0.0250798j 0.00132451+0.0042918j 0.00177183-0.00341618j -0.00432656+0.00695328j -0.00961039+0.00715954j 0.00283828+0.00880421j -0.00192269-0.0105564j 0.00286125-0.00604231j -0.01369+0.0225395j -0.00420803-0.00368282j 0.00742844+0.00448284j 0.00377797+0.000278744j 0.0114249-0.00519935j -0.0136857+0.00940535j 0.00418828+0.00480907j 0.00821244-0.012028j -0.00342501+0.00465548j 0.00415037-0.0133202j -0.0048396+0.00486131j 0.00370242-0.00462509j 
0.00574216-0.0146495j 0.000315057+0.00118819j -0.00157541+0.0124045j -0.0057452-0.00261178j 0.00757393-0.00348374j 0.00464659-0.00544713j -0.00404241-0.00207733j 0.00179393+0.00883697j -0.0103418-0.0146557j 0.00158253+0.00247044j -7.09393e-05-0.00166446j -0.00786025-0.00510705j 0.00221606+0.0167814j -0.00118283+0.00982012j -0.00446782-0.00433537j 0.00383698+0.0168443j -0.00522008+0.00734361j 0.000525219+0.0034088j -0.0044286+0.00723238j -0.00842929-0.00377225j -0.0176464-0.013563j -0.000795574+0.00510818j -0.00565262-2.16254e-05j 0.00303976+0.00859645j 0.00260248-0.00518183j -0.00883197-0.00413086j 0.0123134+0.013323j 0.00346425+0.00142592j 0.00040636+0.00688428j 0.00358944-0.00317638j 0.000518344+0.0073602j -0.00248225-0.00353183j 0.00342676+0.00717992j -0.00667726-0.0123782j -0.00828778+0.00459036j -0.00225321-0.00582096j 
0.00953507+0.0463395j -0.00450907+0.0140006j 0.00846373-0.0372823j -0.00855455-0.0117301j -0.00342385+0.000484383j -0.0284364+0.0102854j 0.00601717+0.00364877j 0.0113827+0.00790977j -0.016477-0.00449503j 0.000660417-0.00354483j 0.00032062-0.00145355j 0.00511922-0.00395896j 0.00460741+0.00292572j -0.000531941+0.00794283j -0.000769923+0.000571733j -0.00521308-0.00163714j -0.0144028-0.00590383j -0.00279785-0.000390744j -0.0077913-0.00129507j 0.00446422-0.00177349j 0.0133312-0.0146402j 0.0035733-0.0040932j -0.00533918-0.00388573j -0.00350647+0.000920998j 0.018091+0.0119918j 0.0075796-0.00847918j -0.0090254+0.0120102j -0.00228726+0.00230968j -0.0140144-0.00489708j 0.000377016+0.0136264j -0.005704-0.00230498j -0.00526247-0.0116359j -0.0100452+0.00339184j -0.0010081-0.0135832j 0.00929003-0.00399961j -0.00121516-0.00204832j 
-0.00764866-0.0107489j -0.000827637+0.000158531j 0.00346771-0.00249768j -0.0040956+0.00122657j -0.00385856+0.000199578j -0.000120662+0.0199696j 0.00336421-0.00416128j -0.00145673+0.00121559j 0.00919562+0.0110795j -0.000371361+0.00778589j -0.00357415+0.0107822j 0.00749914-0.010971j -0.00438976-0.00479865j 0.00949937-0.0157916j 0.000972635-0.00482981j -0.0119411+0.00572816j 0.00249176-0.0252407j -0.00852281+0.00460809j 0.000300236-0.00952322j -0.000996344+0.000919485j 0.00181978+0.00123986j -0.00412193+0.00323606j 0.00526528-0.00811206j 0.00391729-0.01216j -0.0128076+0.0123617j 0.00632446-0.0057307j 0.000238948+0.00398703j 0.00200097+0.00105819j 0.00837836-0.00115057j -0.0129179+0.00663697j -0.000997853-0.00200035j 0.00706938+0.00186954j -0.00472303+0.00412305j 0.00601878-0.00199526j 4.94846e-05-0.00754693j 0.00197472+0.000185649j 
-0.00597034+0.0256045j 0.00417939+0.00787994j -0.0071094-0.0297178j 0.00465128+0.00341177j -0.0105188+0.00353553j 0.00198788+0.0194205j 0.00340998-0.00386425j -0.000506651+0.00204212j -0.00571376-0.00927244j -0.000808711+0.00585736j -0.00687038-0.011231j 0.00187226-0.00308221j -0.0015679+0.00166231j 0.00585002+0.0112045j 0.00596711+0.00364107j -0.00467228+0.00732756j 0.00832818-0.00520093j -0.00442662-0.000875298j 0.0018536+0.00100151j -0.0103863-0.00107843j -0.022182-0.00936066j -0.00475289-0.00196121j -0.000249779+0.00136667j 0.0106025-0.00354728j -0.0114678-0.00138806j -0.00470766-0.0100968j 0.0133989+0.0180465j 0.00405684+0.00436767j 0.00947123+0.0120068j -0.00750885+0.00265232j 0.00479903-0.000234774j -2.06761e-05+0.0015955j 0.0011348+0.0101289j -0.00358353-0.00936815j -4.17131e-05-0.0158561j 0.00215578-0.00293066j 
-0.0275216-0.0144376j -0.00369843-0.00568139j 0.0043267+0.00827728j 0.00757578-0.00211049j 0.00374025-0.00243205j 0.0217893+0.00619464j -0.00257238-0.010486j -0.00727131+0.00320279j 0.0187798-0.0136818j 0.000681921+0.00871749j 0.00641714-0.00149641j 0.000747538-0.0101936j -0.0140282+0.0068468j -0.0144207-0.00157821j 0.00442042+0.000227307j -0.012087+0.0107822j -0.00414318-0.00138497j -0.00305444+0.00352956j -0.00689747-0.00471051j -0.000200637-0.0105445j 0.00578565-0.0100002j -0.00438751-0.00099473j 0.00109725-0.00327956j -0.00738804-0.00257566j 0.00248595-0.00261907j 0.00326409-0.00794498j -0.00533245+0.00682374j -0.00297254+0.00542553j -0.0039403+0.00110887j 0.00318494+6.183e-05j -0.0064316-0.0044182j 0.00397953+0.00675382j -0.001388+0.00271851j 0.00525712+0.000265143j -0.00121682-0.0125935j 0.00356054+0.000269561j 
0.0487883+0.0287858j 0.0156152+0.0140395j -0.0365995-0.0335868j -0.0145497+0.0144703j -0.00487165+0.0131106j 0.00248403+0.0156521j -0.00122308+0.00100471j 0.0048077-0.012983j 0.0180525+0.0136605j 0.000970679-0.0144807j 0.0106446+0.00161809j 0.00124643+0.00765781j -0.00721447-0.0152836j -0.00948031-0.00750496j 0.010298+0.00228645j -0.00506711-0.0186565j -0.0122584+0.00809783j 0.000956626-0.0047441j -0.00339043-0.00103445j -0.00227175+0.00105701j -0.00365329+0.00036865j -0.000945671+9.5168e-05j -0.00141997+0.00125401j -0.00634606+0.000667004j 0.000892028-0.0045091j -0.00650188+0.00197789j 0.00569348+0.00266358j 0.00555003+0.00163749j 0.00169355+0.00586937j 0.00550793-0.000207434j -0.00206486+0.0024546j 0.00104816+0.00097848j 0.00381571+0.00166872j -0.00201127-0.00238182j -0.0120516-0.00280914j 0.000279967-0.00468852j 
-0.0424124+0.0282563j -0.016789+0.00720469j 0.029338-0.0168629j -0.0200286-0.0131071j -0.00784054-0.00378915j 0.00951318-0.00598094j -0.0126401-0.00583203j 0.0148903-0.0017838j -0.00388661+0.021647j 0.0178963-0.00421304j 0.00288386+0.0152698j -0.0121834-0.000781291j 0.0163784-0.00305723j 0.00507408-0.0146314j 0.00157673+0.00393548j 0.0200429+0.00161897j -0.00141984+0.00548667j 0.00554241+0.00149903j -0.0032164+0.00382185j -0.00391014+0.000482241j 0.00678176-0.00258575j -0.00448063-0.00264936j 0.000323225+0.00193191j -0.00905735+0.00377495j 0.00277746-0.0135243j -0.00175864+0.00161347j -0.00401108-0.00322912j 0.00389773+0.000138853j -0.00639759+0.00661117j 0.00532864-0.00413962j -0.0136805-0.0026342j 0.00817397+0.00358561j 0.000979762-0.00563276j 0.00558174+0.00691444j -0.0122943-0.0079341j 0.00306723+0.00127348j 
0.0888405+0.0200349j 0.0218152-0.00260659j -0.0165631-0.00116309j -0.03352-0.0386238j -0.00778305-0.00826219j -0.0131753-0.011342j -0.0120668-0.00270065j -0.00272791+0.00570349j -0.000360706-0.00698565j -0.00248205+0.00217775j 0.00910547+0.010565j -0.00201571-0.013127j -0.00309748+0.00633512j -0.00951133-0.00718559j 0.00277854+0.000226801j -0.00267092+0.00884486j -0.00494742-0.00203822j -0.00648877+0.00330974j -0.000449519-0.000851343j 0.00237999-0.00223388j 0.00120641+0.0020003j -0.0019342-0.000557583j 0.00257598+0.00224912j 0.00307301-0.00085616j -0.00473136-0.00662488j 0.00385114+0.00104584j 0.00322959-0.000719014j 0.00228776-0.0016879j 0.00109945+0.00293443j -0.00443459-0.00687608j -0.00284097-0.0042921j -0.00463743+0.00456417j -0.000725471-0.000627996j -0.00602986+0.00411014j 0.000854239-0.00162141j -0.00082012+0.00238306j 
-0.0214003+0.0906208j 0.00222563+0.0214464j 0.000816463-0.014175j 0.0373716-0.0335824j 0.0087889-0.00819946j 0.0136243-0.0153886j 0.00144804-0.0106014j -0.00632967-0.00435787j 0.00725171-0.00124089j -0.00227729-0.00087111j -0.0109557+0.00898012j 0.0124211-0.00299058j -0.00643944-0.00233703j 0.00736014-0.0100845j -0.000687578-0.00101046j -0.00934899-0.00138659j 0.00431219-0.00799006j -0.00364631-0.00388649j 0.00167193-8.12414e-05j 0.00273961+0.00220506j -0.00246252+0.000973261j -0.00222109-0.000329022j -0.000670294+0.00158811j 0.00111801+0.00239071j 0.00483119-0.00513843j -0.00128199+0.0013116j 0.00104764+0.00135827j 0.000394295+0.00252792j -0.00116332+0.00102667j 0.00763165-0.00435957j 0.0018917+0.000315849j -0.00432114-0.00409548j 0.000659085+0.000378462j -0.00360795-0.00278867j -0.00141593+4.53526e-05j -0.00228615+0.000606347j 
