-0.328373-0.139949j -0.0187221+0.0408064j -0.0208998-0.0363924j -0.011154-0.0155284j 0.0204327+0.00719745j -0.00873235+0.0228903j 0.0066198+0.0197342j -0.01312-0.00590051j -0.00635045-0.00618993j 0.0173899+0.019362j -0.0121885-0.00126957j -0.00675668+0.00674476j -0.00731789-0.00870797j -0.00524951+0.0102333j 0.00876582+0.0161126j -0.004087-0.000695532j -0.000441917-0.00573748j -0.00015624+0.00549677j -0.00217411-0.0079839j -0.00303223-0.00205475j 0.00048494-0.0058732j -0.00369125+0.00135442j 0.00730328+0.00512821j -0.00235529-0.000703918j -0.00181543-0.00130438j -0.00204644-0.00718811j 0.00421191+0.00246513j -0.00129693-0.00109664j -0.00405244+0.000828163j -0.00204047+0.000172345j 9.22586e-08-0.00118034j 0.00570097+0.00963232j -0.00086703+0.0015201j -0.00206788-0.00182064j 0.00280863+0.00563159j -0.00610648-0.00720257j 0.00603059+0.011057j 0.000337817+0.00880227j 0.00593823+0.00543966j -0.00273087-0.0102402j 
-0.0076132+0.0100198j -0.00624972-0.00556434j 0.000268874+0.0095835j -0.0143836+0.00258575j 0.00704819-0.0139685j 0.0147104+0.0192399j 0.0190747+0.00760661j -0.00739875+0.00412546j -0.0134631+0.00218975j -0.00819594+0.0105595j 0.00676831-0.0232683j 0.00426709+0.00646022j 0.000979652-0.00228409j -0.0173145-0.00114526j -0.0118409+0.000409506j 5.49371e-06-0.000122468j 0.00144519-6.88409e-05j 0.00499098+0.00305232j -0.00505723+0.00204533j -0.00626697-0.016638j -0.00179645+0.00061073j 0.00296026-0.0066488j 0.00395499+0.018512j 0.000773003-0.00365933j -0.00589323-0.00293704j -0.000771288+0.0298896j -0.00273656+0.00486073j -0.000384643-0.00211427j 0.00627651-0.00512803j 0.00174869-0.00881997j -0.00583882+0.00474718j -0.00153702-0.00926305j -0.00101674+0.00146007j -0.000748684+8.86356e-05j 0.00617369-0.00464139j 0.000239232+0.000892528j -0.00071592-0.00113446j 0.00219793-0.00226573j -0.000788976-0.000820314j -0.00084025+0.000883774j 
0.0713299-0.0175324j -0.000779972-0.00917752j 0.00214889-0.000311823j -0.00324119-0.00504944j -0.00550015+0.00206393j 0.0145793+0.00950353j 0.000437153+0.0119854j -0.00387499-0.00713187j -0.000546316-0.00980172j -0.00213306+0.00945618j 0.00269998-0.0153261j -0.0156314-0.00722711j 0.0169256-0.007464j -0.0121209-0.00955273j -0.0202499-0.00321256j 0.00388976+0.00187741j -0.00302488+0.000973247j -0.00166323-0.00377691j 0.00101722+0.00617248j -0.00399244+0.0129753j -0.00683665-0.000401625j 0.00804652-0.00105028j 0.00203961-0.0141992j -0.004422-1.90629e-05j -0.00269403+0.00375564j -0.0111409-0.00729669j 0.0154029-0.0147898j -0.00183641+0.00259493j 0.00886844+0.00136808j -0.00587635+0.0131521j -0.00298845-0.00371494j 0.00541047+0.00277583j 0.00488358+0.00313609j -0.00756424+0.00450481j 0.00934354+0.00576302j -0.0128076+0.00395192j 0.00597261-0.00366324j 0.00410199+0.011679j 0.00516915-0.00756788j -0.00252868-0.00355824j 
-0.164677+0.144858j -0.0477574+0.032141j 0.0182334-0.00781497j 0.006281+0.00963148j -0.00417309-0.0126968j 0.00200352-0.00120321j 0.0119656-0.000513481j -0.00360512+0.00459054j -0.00903903+0.00134272j 0.000290455+0.00680929j 0.0127342-0.000529254j 0.00798959-0.0265598j -0.00434085-0.00446967j 0.0122232-0.0220439j 0.00888148-0.00739002j 0.00278939+0.000340173j -0.00604833+0.00342623j -0.00733776+0.00210319j -0.0107968+0.00298995j 0.00901623+0.0083766j -0.0102136+0.00241094j -0.00138875+0.00239447j -0.00447258-0.006424j -0.00715295+0.00565532j 0.000690013+0.0060198j -0.00117872-0.00996983j -0.0175798+0.00649215j -0.00295481+0.000789247j 0.00532054-0.00799206j -0.00933423+0.00221374j 0.00470826+0.00512117j -0.011529-0.00477728j 0.00648054-0.00267006j -0.00499526+0.00609967j -0.0018088-0.00502792j -0.0048159-0.00076353j -0.00334043-0.00619155j 0.00643385+0.00283417j -0.00313536-0.00406538j -0.00275+0.00153768j 
0.0622663-0.0150414j 0.007525-0.0246712j 0.00195053+0.0150977j -0.000647784+0.0034409j -0.00311669-0.00688732j 0.00704935+0.00148412j 0.00288294+0.00123148j -0.000418468-0.00246887j -0.00281577-0.00359591j -0.00413739+0.00262447j 0.000444498-0.00233039j 0.011598+0.016236j 0.0048846-0.0108402j -0.00158261+0.00141485j -0.00307756+0.0109304j -0.00402019-0.0019334j 0.00354859+0.00389234j 0.00749587+0.00696138j -0.00665161+0.0117142j -0.0150891-0.0116056j 0.000376397+0.0070319j 0.00252361+0.0018685j 0.0141608+0.0114023j 0.00289544-0.00339369j -0.00670673+0.000773966j 0.00799168+0.0082368j 0.015523+0.019388j -0.00226232+0.0007806j -0.00119907-0.00728046j -0.0100974+0.00282775j -0.00047175-0.00124752j -0.0066102+0.0101962j -0.00303547+0.00568984j -0.000820522+0.00118883j -0.00092083+0.00474786j -0.00376254-0.00144465j 0.00151788+0.00590254j -0.00438078-0.00128098j 0.00351229+0.00408125j 0.00186705-0.0012327j 
-0.0116667-0.0266654j 0.00903738+0.0141776j -0.0148964-0.0148977j 0.000467881-0.0147146j 0.0220963+0.0163661j -0.0308773-0.00857878j -0.00736195+0.00840084j -0.00135705-0.000928596j -0.00538246-0.0034974j -0.0155731-0.00745701j 0.0166641+0.00591182j 0.0200116+0.00431765j 0.000539336+0.00892443j 0.00844162-0.000792758j -0.00115864-0.0119312j 0.00260999+0.00348832j -0.00457993-0.00191112j 0.00402766+0.00356521j -0.00576686-0.000439844j -0.0103004-0.00278949j -0.00762214-0.0037624j 0.012036-0.00653787j -5.12146e-05+0.00560534j 0.00652937-0.00871872j -0.0120475-0.00354453j -0.000681259+0.0075874j 0.00551068-0.00086717j 0.000441543-0.000305037j 0.0223601+0.00288182j 0.00146731+0.00108046j -0.0124088-0.00632437j -0.00157881-0.00619987j -0.00582636+0.00549896j -0.00514767+0.00131745j 0.00607807+0.00596563j 0.00132747+0.00300542j 0.00076358-0.00297949j 0.00584608+0.006163j -0.00188397-0.00542689j -0.00331864-0.000721834j 
0.135482-0.116438j -0.00706654-0.0244974j 0.0086088+0.00340287j -0.00250588+0.00350303j 0.00370744+0.00184217j 0.00125322-0.0189478j 0.00673516+0.00370911j -0.00365279-0.00336749j -0.00460363-0.00333685j 0.00285378+0.0183666j -0.025678+0.0144471j 0.0252401-0.00106523j -0.004798-0.0254333j 0.0223381+0.0116943j 0.0121898+0.0276062j -0.00020793+0.000102781j -0.000761095-0.000875867j -0.00732139+0.00562325j -0.00359514+0.00298873j 0.0152321-0.00576986j -0.00183131+0.00147787j 0.00495396+0.00121088j -0.0160389-0.0016263j -0.000773808+0.00208506j 0.00349139-0.000785355j -0.0138658-0.00696893j -0.00491063+0.010798j 0.00124559+0.00311262j 0.0058011+0.00105193j 0.00548649+0.0125279j -0.000522628-0.00836421j -0.00352169+0.0102406j 0.0029625-0.00132785j -0.0037966+0.00139466j -0.00222016+0.00834116j 0.000530957+0.00360818j -0.00556776-0.000193321j 0.0017111+0.012354j -0.00141268-0.00636654j -0.000901128-0.00426274j 
-0.0223081+0.177181j -0.0175487+0.0403668j 0.0101882-0.0134419j 0.00995066+0.0116221j -0.00527813+0.00688841j 0.00399933-0.0332674j 0.00780289-0.00514581j -0.00582497+0.00779961j -0.0138051-0.00297846j 0.00246071-0.0121354j 0.00098668-0.00921672j -0.00791982+0.0212594j -0.00647214-0.00669826j -0.0197809+0.000122143j -0.00524881-0.000122347j 0.00195093-0.00211858j -0.000223907-0.000810697j 0.00402583-0.00686701j 0.00819966-0.00481453j -0.00863052-0.0010032j -0.00112311-0.00477436j 0.00884637+0.00116546j 0.00763665-0.00530139j 0.0077253+0.0123064j 0.00446093-0.0125938j 0.00922509+0.00577743j 0.00589992-0.000784892j -0.000666255-0.000222557j 0.00253133+0.0163577j -0.000748154-0.00447703j 0.00980236-0.00846125j 0.00330374-0.0112853j -0.00522245-0.0147081j -0.00398453-0.00130439j -0.00432773-0.00212569j -0.00602332+0.00126862j -0.00308678-0.00312179j 0.00600224+0.00145188j -0.00224325-0.00231359j -0.00149981+0.000581851j 
-0.116148-0.257736j -0.025916-0.0396874j -0.00143594-0.000126916j -0.0148349-0.0149457j -0.0098166+0.0360006j 0.0441041+0.000653445j 0.00511626+0.00923969j -0.0115207-0.00393466j -0.00491735-0.000549336j 0.00172926-0.000676262j 0.00669735-0.000778278j 0.0131975-0.00492438j -0.00640992+0.0151831j 0.00815261+0.00586175j 0.00532886-0.00643593j 0.00728065+0.000790773j -0.00529294-0.00405444j 0.00755564-0.00245427j 0.00613578-0.0042471j -0.00589706-0.00801243j -0.0013036-0.00437359j 0.00366962-0.00262447j 0.00332837+0.00696318j -0.00229419+0.00872823j 0.00563319-0.00501491j -0.000344206-0.000907844j 0.00242058+0.00200401j 0.00113799-0.00153925j 0.00116058+0.0051549j 0.00995401-0.00296272j 0.0025933-0.00179259j 0.00700477+0.00537908j 0.00260233-0.0118526j -8.86587e-05+0.000177069j 0.00409589+0.00508633j -0.0013254-0.00342677j -0.00234895+0.00440166j 0.010377+0.00519885j -0.00586907-0.00156144j -0.00314197-0.000919472j 
-0.205677+0.0528891j -0.024583+0.00485069j -0.00458942+0.0053055j -0.0255258+0.00808495j 0.0380337+0.00868811j 0.00766391-0.0358608j -0.00229954-0.00265461j 0.00158517+0.000728873j 0.0166353-0.000413482j 0.00126113+0.0137881j -0.0161122-0.00372147j -0.00461454-0.0189035j 0.0271986-0.00168193j 0.016655-0.00278333j -0.00968649+0.00188483j -0.000658118-0.000842115j 0.0016406+0.00219278j 0.00421862+0.00246621j -0.00103508+0.00870955j -0.00241037-0.00628276j 0.00523082+0.00224196j 0.00339525+0.00105547j -0.00158442+0.002571j 0.00504247-0.00665396j -0.000932147+0.000469072j -0.00603302+0.00785511j 0.000903502+0.0126378j 0.00210702+0.0021373j -0.00365117+0.00217272j 0.00855984+0.00628265j -0.00545304-0.00384346j 0.00595217+0.00393814j -0.00163489+0.00532942j 0.00742105-0.0079177j 0.00177839+0.000679276j 0.0112813+0.00549385j 0.00383696-0.00417907j -0.0080534-0.0016165j 0.00119096-0.00109068j 0.00212667+0.000791243j 
-0.215253-0.263026j 0.047305-0.0243183j -0.029474-0.00853602j 0.0237+0.0189233j -0.0178085-0.000725853j 0.0031494-0.0256041j -0.00559411-0.00947139j 0.00452826-0.00430601j -0.00163845-0.00248811j 0.0104041+0.0146854j 0.00785133-0.0114903j 0.00975508-0.0049409j 0.0041492-0.01124j -0.00021118-0.00929336j -0.000299544+0.00603559j -0.00135585-0.0011232j 0.00010967-0.000693816j 0.00811833-0.00101354j 0.00257698+0.00121145j -0.00280986-0.00345902j -0.00320141-0.000922138j 0.000265373-0.000436081j 0.00155626+0.00381149j 0.000659143-0.00171026j -0.00117675-0.00172938j -0.00694717-0.00271825j -0.00440739+0.000276384j 0.000633172-0.000632225j 0.00158618+0.00113299j 0.000238431-0.00317087j -0.00363199-0.00119147j 0.00538545+0.00183216j -0.00061805+0.000225623j -0.00283463-0.00259992j 0.002384+0.00223699j 0.00339669-0.00300516j 0.00378307+0.00221162j 0.0061537+0.00424114j -0.00161844+0.000499625j -0.0044122-0.00207079j 
-0.260686+0.213566j -0.0228195-0.0481325j -0.00889651+0.0287235j 0.0185126-0.0249984j -0.00115958+0.0189418j -0.0248338-0.00197268j -0.0114453+0.00594855j -0.0035647-0.00542593j -0.000779534+0.00121569j 0.013673-0.0105156j -0.0118892-0.00856328j -0.00463817-0.00943683j -0.0100399-0.00234681j -0.0092766+0.00204504j 0.00498875-0.0010777j -0.000973616+0.0026825j -0.00052556-0.00149238j -0.00037677-0.00862895j 0.00194653-0.00272916j -0.00410721+0.00316908j -0.00018407+0.0016052j 0.000140039+8.77895e-06j 0.0040001-0.00198254j -0.00235817-0.00203619j -0.00181841+0.00156753j -0.00171102+0.00667093j 0.000324328+0.00373892j -0.000399114-0.000714357j 0.00108797+0.000489891j -0.00253071+4.44762e-06j -0.00156598+0.00373079j 0.00214285-0.0057712j 0.00107751+0.0014826j -0.00262772+0.00125364j 0.00192806-0.00200438j -0.00177254-0.00391011j 0.00248629-0.00472774j 0.00239581-0.00467209j 0.00121526+0.00074673j -0.00173263+0.00404834j 
