-0.0118779-0j 0.0993231-0j 0.0251807-0j -0.0103281-0j 0.0814241-0j -0.00105411-0j 0.0205712-0j 0.00243702-0j -0.00649114-0j -0.00655841-0j 0.0495496-0j 0.0500631-0j -0.000855283-0j -0.000864146-0j 0.0118024-0j 0.00505713-0j 0.0119247-0j 0.00510954-0j 0.00181317-0j 0.00183196-0j 0.000138316-0j 0.000139749-0j -0.00480791-0j -0.00594948-0j -0.00347053-0j 0.0359593-0j 0.0444973-0j -0.000600989-0j 0.0259568-0j -0.000400659-0j 0.00829328-0j -0.000743685-0j -0.00049579-0j 0.00473805-0j -0.000433816-0j 0.0102624-0j -3.54136e-05-0j -0.000289211-0j 0.00120121-0j 0.00598641-0j 0.00084643-0j 0.00586303-0j -4.38221e-05-0j 0.0034201-0j 0.00148642-0j 0.000141809-0j -2.55629e-05-0j 0.0010474-0j 0.000867076-0j 7.94113e-06-0j 0.00017548-0j 0.000610985-0j 9.82665e-06-0j 0.000102363-0j 5.73221e-06-0j 
-0.102186-0j -0.00586303-0j -0.00148642-0j 8.67789e-06-0j 0.00997071-0j 8.85683e-07-0j -1.72844e-05-0j -2.04764e-06-0j -0.000377025-0j -0.000376122-0j 0.00287799-0j 0.00287109-0j 0.00723999-0j 0.00722264-0j -0.0999076-0j 0.000293734-0j -0.0996681-0j 0.00029303-0j 0.000105314-0j 0.000105062-0j 8.03379e-06-0j 8.01453e-06-0j 0.000283811-0j -4.9187e-06-0j -0.000400983-0j -0.00212267-0j 3.67879e-05-0j 3.54763e-05-0j 0.00299902-0j -0.00691741-0j -0.000489552-0j -6.14837e-07-0j 0.000119885-0j 0.0407616-0j -5.01228e-05-0j 8.48439e-06-0j 2.09046e-06-0j 0.00977329-0j 0.010334-0j 0.000691665-0j -4.99647e-05-0j -0.000706435-0j -3.62296e-08-0j -0.0575901-0j -0.000179098-0j -8.371e-06-0j -2.95352e-06-0j 8.65934e-07-0j -0.0146004-0j -4.68765e-07-0j 1.45077e-07-0j 7.05928e-05-0j 8.12413e-09-0j 1.1827e-05-0j 6.62296e-07-0j 
7.08272e-05-0j 0.115171-0j 0.0143048-0j 6.15856e-05-0j -0.000981316-0j -0.0012158-0j -0.552304-0j 0.00208758-0j 3.87062e-05-0j 3.91073e-05-0j -0.000597167-0j -0.000603355-0j -0.00049069-0j -0.000495775-0j 0.00329345-0j 0.0117891-0j 0.00332758-0j 0.0119112-0j -0.0991034-0j -0.10013-0j 0.000158363-0j 0.000160004-0j -5.71863e-05-0j 3.54763e-05-0j 2.06945e-05-0j 0.000864456-0j -0.000536277-0j 0.000687765-0j -0.000312828-0j -4.76553e-06-0j -0.00461619-0j -0.000426665-0j 2.95636e-06-0j -0.010959-0j -0.000248888-0j 0.00286372-0j 0.000122423-0j 1.72454e-06-0j -0.00136115-0j 0.0016705-0j 0.0911312-0j 0.00679855-0j -7.5947e-05-0j 0.00396582-0j 0.00084441-0j 0.0233133-0j -4.43024e-05-0j -0.0565345-0j 0.000492573-0j -2.27015e-05-0j -0.0144627-0j -0.0329785-0j 1.40832e-05-0j -0.00843659-0j 8.21519e-06-0j 
0.000429367-0j -0.0146816-0j 6.32517e-06-0j 5.3141e-06-0j 8.85683e-07-0j 0.010041-0j -2.14145e-05-0j 6.52367e-09-0j -0.00023088-0j -0.000230326-0j -3.72581e-05-0j -3.71688e-05-0j 0.00588429-0j 0.00587019-0j -4.39091e-06-0j -0.0703992-0j -4.38038e-06-0j -0.0702305-0j 8.66838e-05-0j 8.6476e-05-0j -2.04549e-08-0j -2.04059e-08-0j 0.000173798-0j -3.01208e-06-0j -0.000245551-0j 2.74798e-05-0j -4.76251e-07-0j -0.00420217-0j -3.8825e-05-0j 1.44831e-05-0j 3.13569e-06-0j 7.28275e-05-0j -2.51006e-07-0j -0.000700361-0j 0.00593704-0j -5.43445e-08-0j 0.0718429-0j -2.04626e-05-0j 3.01732e-07-0j -4.43027e-06-0j 0.0059249-0j 1.21379e-05-0j -0.0012451-0j 0.000989507-0j -5.2293e-09-0j -5.15865e-06-0j -0.101503-0j -0.000102684-0j -4.26303e-07-0j 9.93918e-10-0j 8.94041e-08-0j -0.00837101-0j -1.72255e-11-0j 7.28841e-06-0j -1.40426e-09-0j 
0.0596086-0j 0.0034201-0j 0.000867076-0j 0.000696091-0j 0.799794-0j 7.10445e-05-0j -0.00138646-0j -0.00016425-0j -0.000223517-0j -0.000206821-0j 0.0017062-0j 0.00157875-0j 0.00429218-0j 0.00397157-0j -0.0592296-0j 0.000174138-0j -0.0548053-0j 0.00016113-0j 6.24348e-05-0j 5.77711e-05-0j 4.76278e-06-0j 4.40701e-06-0j -0.000165556-0j 0.000400983-0j -0.000462712-0j 0.00123823-0j -0.00299902-0j -2.06945e-05-0j 0.00346071-0j 0.00403516-0j 0.000285572-0j 5.01228e-05-0j -0.00977329-0j -0.0237776-0j -5.7839e-05-0j -0.000691665-0j -1.21944e-06-0j 0.0112778-0j -0.00602817-0j 0.000798144-0j 2.91461e-05-0j 0.0575901-0j 2.95352e-06-0j -0.0664558-0j 0.0146004-0j 4.88308e-06-0j -3.4082e-06-0j -7.05928e-05-0j -0.0168481-0j 2.73446e-07-0j -1.1827e-05-0j 8.14602e-05-0j -6.62296e-07-0j 1.36477e-05-0j 7.64253e-07-0j 
-4.17353e-06-0j 0.000141809-0j 0.161163-0j -3.62897e-06-0j 0.000116254-0j -3.7038e-07-0j -0.00208758-0j -0.534566-0j -2.28078e-06-0j -2.30442e-06-0j 7.07449e-05-0j 7.1478e-05-0j -3.0052e-07-0j -3.03634e-07-0j -0.00119772-0j 7.22037e-06-0j -0.00121013-0j 7.29519e-06-0j 0.0116047-0j 0.0117249-0j -0.126586-0j -0.127898-0j 3.36974e-06-0j -2.09046e-06-0j -1.21944e-06-0j -0.00010241-0j 6.35314e-05-0j 4.21217e-07-0j 3.706e-05-0j 2.80811e-07-0j 0.00167875-0j -2.61308e-07-0j -1.74205e-07-0j -1.34937e-05-0j -1.5243e-07-0j -0.00104144-0j 2.48204e-08-0j -1.0162e-07-0j -0.0153352-0j -0.000607505-0j 0.000171337-0j 8.371e-06-0j -1.53977e-08-0j 4.88308e-06-0j 0.00951341-0j 0.0620474-0j -8.982e-09-0j -0.000106291-0j 0.00554949-0j 0.0367302-0j -0.038492-0j -6.20032e-05-0j -0.0227861-0j -0.0224537-0j -0.0132919-0j 
-0.000250464-0j 0.00856426-0j -3.68968e-06-0j 0.000426267-0j 7.10445e-05-0j 0.805432-0j -0.00171775-0j 5.23292e-07-0j -0.000136876-0j -0.000126651-0j -2.20882e-05-0j -2.04383e-05-0j 0.00348846-0j 0.00322788-0j -2.60312e-06-0j -0.0417357-0j -2.40867e-06-0j -0.0386182-0j 5.13899e-05-0j 4.75512e-05-0j -1.21266e-08-0j -1.12208e-08-0j -0.000101382-0j 0.000245551-0j -0.000283352-0j -1.60299e-05-0j 3.8825e-05-0j 0.00245126-0j -4.48019e-05-0j -8.4485e-06-0j -1.82915e-06-0j -0.00593704-0j 2.04626e-05-0j 0.000408544-0j 0.00685103-0j 4.43027e-06-0j -0.0419084-0j -2.36127e-05-0j -1.7601e-07-0j -5.11229e-06-0j -0.00345619-0j -0.000989507-0j 0.101503-0j 0.00114184-0j 4.26303e-07-0j 3.00921e-06-0j -0.117129-0j 0.00837101-0j -4.91931e-07-0j -5.79785e-10-0j -7.28841e-06-0j -0.00965969-0j 1.40426e-09-0j 8.41043e-06-0j -1.62044e-09-0j 
-8.76442e-05-0j -0.142517-0j -0.0177013-0j -1.08474e-06-0j 1.72844e-05-0j 2.14145e-05-0j 0.00972799-0j -3.67695e-05-0j 4.71282e-05-0j 4.70152e-05-0j -0.000727103-0j -0.00072536-0j -0.000597458-0j -0.000596026-0j 0.00401006-0j 0.0143542-0j 0.00400044-0j 0.0143198-0j -0.120667-0j -0.120378-0j 0.00019282-0j 0.000192358-0j -3.54763e-05-0j 6.14837e-07-0j 5.01228e-05-0j 0.000536277-0j -9.29418e-06-0j 0.000426665-0j -0.000757681-0j -2.95636e-06-0j -0.00286372-0j -7.39449e-06-0j 5.12364e-08-0j -0.00679855-0j -0.000602814-0j 4.96308e-05-0j 7.5947e-05-0j 4.1769e-06-0j -0.00084441-0j 0.00404601-0j 0.0565345-0j 0.000117825-0j -1.31623e-06-0j 0.00960535-0j 1.46344e-05-0j 0.0144627-0j -0.000107302-0j -0.000979795-0j 0.00119303-0j -1.40832e-05-0j -0.000250653-0j -0.0798749-0j 2.44075e-07-0j -0.0204337-0j 1.98975e-05-0j 
5.11258e-05-0j 0.083135-0j 0.0103257-0j -8.70114e-05-0j 0.00138646-0j 0.00171775-0j 0.780324-0j -0.00294944-0j 2.79396e-05-0j 2.58526e-05-0j -0.000431058-0j -0.000398859-0j -0.000354199-0j -0.000327741-0j 0.00237733-0j 0.0085098-0j 0.00219976-0j 0.00787414-0j -0.0715366-0j -0.0661931-0j 0.000114312-0j 0.000105773-0j 2.06945e-05-0j -5.01228e-05-0j 5.7839e-05-0j -0.000312828-0j 0.000757681-0j -0.000248888-0j -0.000874323-0j 1.72454e-06-0j 0.0016705-0j 0.000602814-0j -4.1769e-06-0j 0.00396582-0j -0.000695615-0j -0.00404601-0j -4.43024e-05-0j 4.81992e-06-0j 0.000492573-0j 0.00466887-0j -0.0329785-0j -0.00960535-0j 0.000107302-0j 0.0110841-0j -0.00119303-0j -0.00843659-0j -0.000123821-0j 0.0798749-0j 0.00137669-0j 8.21519e-06-0j 0.0204337-0j -0.0921713-0j -1.98975e-05-0j -0.0235794-0j 2.29606e-05-0j 
5.16448e-06-0j -0.00017548-0j -0.199428-0j 6.39187e-08-0j -2.04764e-06-0j 6.52367e-09-0j 3.67695e-05-0j 0.00941555-0j -2.77705e-06-0j -2.7704e-06-0j 8.6138e-05-0j 8.59316e-05-0j -3.65909e-07-0j -3.65032e-07-0j -0.00145832-0j 8.79143e-06-0j -0.00145483-0j 8.77035e-06-0j 0.0141297-0j 0.0140958-0j -0.154129-0j -0.15376-0j 2.09046e-06-0j -3.62296e-08-0j -2.95352e-06-0j -6.35314e-05-0j 1.10106e-06-0j 2.61308e-07-0j 8.97606e-05-0j 1.74205e-07-0j 0.00104144-0j -4.5287e-09-0j -3.01914e-09-0j -8.371e-06-0j -3.69189e-07-0j -1.80491e-05-0j 1.53977e-08-0j -2.46126e-07-0j -0.00951341-0j -0.0014714-0j 0.000106291-0j 1.45077e-07-0j -2.66856e-10-0j 1.1827e-05-0j 0.000164876-0j 0.038492-0j -2.17547e-08-0j -1.84212e-06-0j 0.0134411-0j 0.0227861-0j -0.000667102-0j -0.000150174-0j -0.000394904-0j -0.0543835-0j -0.0321934-0j 
-3.01261e-06-0j 0.000102363-0j 0.116333-0j 5.1272e-06-0j -0.00016425-0j 5.23292e-07-0j 0.00294944-0j 0.755262-0j -1.64636e-06-0j -1.52338e-06-0j 5.10664e-05-0j 4.72519e-05-0j -2.16927e-07-0j -2.00723e-07-0j -0.000864556-0j 5.21194e-06-0j -0.000799977-0j 4.82262e-06-0j 0.0083767-0j 0.00775099-0j -0.0913746-0j -0.0845492-0j -1.21944e-06-0j 2.95352e-06-0j -3.4082e-06-0j 3.706e-05-0j -8.97606e-05-0j -1.5243e-07-0j 0.000103579-0j -1.0162e-07-0j -0.000607505-0j 3.69189e-07-0j 2.46126e-07-0j 4.88308e-06-0j -4.26024e-07-0j 0.0014714-0j -8.982e-09-0j -2.84016e-07-0j 0.00554949-0j -0.00169791-0j -6.20032e-05-0j -1.1827e-05-0j 2.17547e-08-0j 1.36477e-05-0j -0.0134411-0j -0.0224537-0j -2.51037e-08-0j 0.000150174-0j 0.0155102-0j -0.0132919-0j 0.0543835-0j -0.000173292-0j 0.0321934-0j -0.0627556-0j -0.0371494-0j 
