-0.166168-0j -0.187707-0j -0.153262-0j -0.15485-0j -0.134104-0j -0.110631-0j -0.035347-0j -0.0217575-0j -0.0240811-0j -0.0190378-0j -0.0126919-0j -0.0192351-0j -0.0222107-0j -0.00785268-0j -0.0129563-0j -0.0137422-0j -0.00801628-0j -0.00209124-0j 0.0872684-0j 0.0125961-0j -0.0154469-0j -0.00222957-0j -0.0119651-0j -0.0120891-0j -0.00172702-0j -0.0109226-0j -0.00174492-0j -0.00157654-0j -0.0135161-0j -0.00901071-0j -0.00788437-0j -0.00195087-0j -0.0078035-0j -0.00130058-0j -0.00113801-0j -0.00112634-0j -0.0111502-0j -0.00557509-0j -0.00160939-0j -0.00459921-0j -0.000804695-0j -0.00563286-0j -0.000663839-0j -0.0025452-0j -0.000813034-0j -0.000367368-0j -0.000561164-0j -8.0997e-05-0j 
-0.0539934-0j 0.179504-0j 0.0993354-0j 0.479211-0j 0.128244-0j -0.0418277-0j 0.214681-0j -0.0070697-0j 0.0230287-0j -0.00618598-0j 0.0205762-0j -0.0298422-0j -0.0423674-0j -0.00255159-0j 0.00977115-0j -0.0213203-0j 0.0367364-0j -0.0220142-0j -0.00459921-0j -0.000663839-0j 0.0147718-0j 0.00213213-0j -0.00388786-0j -0.0187557-0j -0.000561164-0j 0.00707939-0j -0.00270715-0j 0.00102182-0j 0.0129253-0j -0.0429931-0j -0.00298096-0j 0.00186561-0j 0.00505776-0j -0.00620552-0j -0.000430264-0j 0.000730025-0j 0.0345061-0j 0.00533143-0j 0.00498053-0j -0.042042-0j 0.000769526-0j -0.0021297-0j -0.00606824-0j 0.0154583-0j -0.000307396-0j 0.00223122-0j -0.037712-0j -0.00544326-0j 
-0.0661282-0j 0.14621-0j 0.181019-0j -0.0564361-0j 0.0978085-0j 0.50593-0j 0.182256-0j -0.00865857-0j 0.0187574-0j 0.0224857-0j -0.00505084-0j -0.00701033-0j -0.0513464-0j -0.0397281-0j -0.0199638-0j -0.00468964-0j 0.0110169-0j 0.0368145-0j -0.00563286-0j -0.000813034-0j 0.012032-0j 0.00173667-0j 0.0141321-0j -0.00440595-0j 0.0020398-0j -0.00434675-0j -0.000635944-0j -0.0006274-0j -0.0312462-0j 0.00701866-0j -0.0121487-0j -0.00451-0j -0.00290781-0j 0.00101306-0j -0.00175352-0j -0.000419706-0j 0.0120609-0j 0.0552063-0j 0.00174084-0j -0.0021297-0j 0.00796834-0j -0.00812702-0j -0.000307396-0j -0.0389496-0j -0.00117303-0j -0.00562189-0j 0.0219796-0j 0.00317249-0j 
0.0298799-0j -0.132609-0j -0.0271171-0j 0.294515-0j 0.281183-0j 0.253614-0j 0.323028-0j 0.00391236-0j -0.0170126-0j -0.0033684-0j 0.00228221-0j 0.0365838-0j 0.0154395-0j -0.00699227-0j -0.0301857-0j -0.0775716-0j 0.0265112-0j 0.0537554-0j 0.0025452-0j 0.000367368-0j -0.0109128-0j -0.00157513-0j -0.00211702-0j 0.0229927-0j -0.000305566-0j 0.00196407-0j 0.00331871-0j 0.000283489-0j 0.00939552-0j -0.00636579-0j -0.0183691-0j 0.00135613-0j -0.00416459-0j -0.000918823-0j -0.00265135-0j -0.000601106-0j -0.0208667-0j 0.0195036-0j -0.00301185-0j -0.0154583-0j 0.00281511-0j 0.0389496-0j -0.00223122-0j -0.0228869-0j 0.00562189-0j -0.00330344-0j -0.00168802-0j -0.000243645-0j 
-0.00658789-0j 0.0439094-0j -0.00607622-0j -0.171972-0j 0.0313704-0j 0.431684-0j 0.0234428-0j -0.000862594-0j 0.00563318-0j -0.00075477-0j -0.00050318-0j -0.0213618-0j 0.00519565-0j -0.000311327-0j 0.0505558-0j -0.0152616-0j -0.0657309-0j 0.0831697-0j -0.000561164-0j -8.0997e-05-0j 0.00361342-0j 0.000521553-0j -0.000474369-0j -0.0134258-0j -6.84692e-05-0j -0.000433037-0j -0.00193784-0j -6.25035e-05-0j 0.00316175-0j 0.00210783-0j 0.0307651-0j 0.000456359-0j -0.000309377-0j 0.000304239-0j 0.00444056-0j -4.46547e-05-0j -0.012383-0j 0.00130415-0j -0.00178733-0j -0.037712-0j 0.000188238-0j 0.0219796-0j -0.00544326-0j 0.00168802-0j 0.00317249-0j 0.000243645-0j -0.00188359-0j -0.000271873-0j 
0.0222948-0j 0.0251846-0j 0.0205632-0j 0.0207763-0j 0.0179928-0j 0.0148433-0j 0.0047425-0j -0.138085-0j -0.152832-0j -0.120825-0j -0.0805498-0j -0.122077-0j -0.140962-0j -0.0498376-0j -0.0822279-0j -0.0872158-0j -0.0508759-0j -0.0132722-0j 0.00189909-0j -0.0262063-0j 0.00207251-0j -0.0285994-0j 0.00160536-0j 0.001622-0j -0.022153-0j 0.00146549-0j -0.0223826-0j -0.0202228-0j 0.00181345-0j 0.00120896-0j 0.00105784-0j -0.0250245-0j 0.00104699-0j -0.016683-0j -0.0145976-0j -0.0144479-0j 0.00149602-0j 0.000748008-0j -0.0206441-0j 0.000617075-0j -0.0103221-0j 0.00075576-0j -0.00851527-0j 0.000341489-0j -0.010429-0j -0.00471234-0j 7.52912e-05-0j -0.00103897-0j 
-0.0240811-0j -0.000387196-0j -0.0222107-0j 0.0218021-0j -0.000276626-0j 0.0313805-0j 0.0201254-0j 0.149149-0j 0.00234969-0j 0.130506-0j 0.0870037-0j -0.128104-0j 0.00216719-0j 0.0538308-0j -0.17384-0j -0.0915221-0j -0.161728-0j -0.0704539-0j 0.0126469-0j -0.17452-0j -3.18634e-05-0j 0.000439696-0j -0.00173399-0j 0.00170208-0j 0.023928-0j -0.00158291-0j -0.0234877-0j 0.0218432-0j -2.78805e-05-0j -1.8587e-05-0j 0.00223641-0j 0.000384734-0j -0.00113088-0j 0.000256489-0j -0.0308612-0j 0.0156055-0j 0.00156988-0j -1.15001e-05-0j -0.0216634-0j 0.0019616-0j 0.000158695-0j 0.00159777-0j -0.027069-0j 0.00144915-0j -0.0220483-0j -0.0199974-0j 0.00047984-0j -0.0066215-0j 
-0.0183922-0j -0.0207763-0j 0.0166916-0j -0.0171395-0j 0.0440536-0j 0.0120486-0j -0.00391236-0j -0.581347-0j 0.12608-0j -0.0980763-0j 0.0664502-0j 0.100708-0j -0.114422-0j -0.203591-0j 0.0678345-0j -0.21354-0j -0.0412972-0j 0.010949-0j -0.00156667-0j 0.0216191-0j 0.00872538-0j -0.120405-0j 0.00130311-0j -0.00133808-0j -0.0179821-0j -0.00120896-0j 0.0184647-0j 0.016683-0j 0.00147202-0j -0.000997345-0j -0.000872676-0j -0.020313-0j 0.00256347-0j 0.0137628-0j 0.0120424-0j -0.0353743-0j 0.00121435-0j 0.00305568-0j -0.0167574-0j -0.000509061-0j -0.0421666-0j 0.00185041-0j 0.00702474-0j 0.000277195-0j -0.0255345-0j -0.00382512-0j -6.21121e-05-0j 0.000857109-0j 
0.0185828-0j -0.020394-0j 0.0171395-0j -0.0173101-0j -0.0145702-0j 0.0113304-0j 0.04181-0j 0.587371-0j 0.12376-0j -0.100708-0j -0.0671388-0j 0.101711-0j 0.114148-0j -0.04154-0j -0.0627675-0j 0.0726655-0j -0.202473-0j -0.202697-0j 0.00158291-0j -0.0218432-0j 0.00856484-0j -0.11819-0j 0.00133808-0j -0.0013514-0j -0.0184647-0j 0.00122149-0j 0.0186485-0j -0.0168559-0j -0.00146849-0j -0.000978994-0j 0.00080749-0j 0.0202643-0j 0.000872676-0j 0.0135095-0j -0.0111429-0j -0.0120424-0j -0.00124644-0j -0.000605721-0j 0.0172001-0j 0.0024558-0j 0.0083586-0j 0.000576899-0j -0.0338886-0j 0.00301058-0j -0.00796086-0j -0.0415442-0j 0.00175792-0j -0.0242583-0j 
0.066695-0j -0.0185828-0j 0.0302652-0j 0.0305788-0j -0.0132762-0j -0.0109523-0j -0.00349932-0j 0.101888-0j -0.457199-0j 0.0891522-0j -0.296544-0j 0.0900761-0j -0.20747-0j 0.0367734-0j -0.121024-0j 0.0643535-0j 0.0375395-0j 0.00979311-0j -0.00140127-0j 0.0193367-0j -0.00152923-0j 0.0211025-0j 0.00480244-0j 0.00485221-0j -0.0662709-0j 0.00215692-0j -0.0669576-0j -0.0297643-0j -0.00133808-0j 0.0044508-0j -0.000780546-0j 0.0184647-0j 0.00154098-0j -0.0614183-0j 0.0107711-0j -0.0212646-0j 0.00220186-0j -0.000551929-0j -0.0303844-0j 0.000908221-0j 0.00761629-0j -0.000557649-0j -0.0125329-0j -0.000251972-0j 0.00769522-0j 0.00347707-0j -5.55547e-05-0j 0.000766622-0j 
-0.0112629-0j 0.0895201-0j -0.0103881-0j -0.0104958-0j -0.00908961-0j -0.00749855-0j -0.00239582-0j 0.0697581-0j 0.0772081-0j -0.429478-0j 0.0406922-0j -0.433928-0j 0.0712114-0j 0.025177-0j 0.04154-0j 0.0440598-0j 0.0257016-0j 0.00670489-0j -0.000959386-0j 0.013239-0j -0.00104699-0j 0.0144479-0j -0.000810998-0j -0.000819402-0j 0.0111913-0j 0.00520915-0j 0.0113073-0j -0.0718831-0j 0.00644599-0j -0.000610746-0j 0.00376016-0j -0.0889508-0j -0.000528922-0j 0.00842794-0j -0.051888-0j 0.00729881-0j -0.00075576-0j -0.00037788-0j 0.010429-0j -0.000311735-0j 0.00521452-0j -0.000381796-0j 0.00430176-0j -0.000172514-0j 0.00526856-0j 0.00238059-0j -3.80357e-05-0j 0.00052487-0j 
-0.0825308-0j 0.000327308-0j -0.0184742-0j -0.01843-0j -0.000694019-0j 0.0261014-0j -0.0170126-0j -0.12608-0j 0.00805286-0j 0.108551-0j -0.0735469-0j 0.10829-0j 0.00180261-0j 0.225334-0j 0.146952-0j -0.229617-0j -0.134521-0j 0.0595568-0j 0.00173399-0j -0.023928-0j 2.69351e-05-0j -0.000371688-0j 0.00584739-0j 0.00583338-0j -0.0806906-0j 0.00133808-0j -0.0804971-0j -0.0184647-0j -2.31901e-05-0j 1.57121e-05-0j -0.00189051-0j 0.00032001-0j -0.00283724-0j -0.000216818-0j 0.0260879-0j 0.0391522-0j 0.00130578-0j -4.81391e-05-0j -0.018019-0j -0.0016582-0j 0.000664291-0j 0.0040086-0j 0.0228822-0j 0.00120536-0j -0.0553163-0j -0.0166332-0j -0.000405623-0j 0.00559736-0j 
0.048143-0j 0.0262548-0j -0.0109523-0j -0.0101342-0j 0.0187574-0j -0.0306106-0j 0.0327276-0j 0.0735469-0j 0.645955-0j 0.0643535-0j 0.0429023-0j 0.0595465-0j -0.146952-0j 0.0265445-0j 0.169575-0j 0.0425421-0j 0.0315301-0j -0.312707-0j -0.00101149-0j 0.013958-0j 0.00216058-0j -0.0298147-0j 0.00346659-0j 0.00320764-0j -0.0478368-0j -0.000780546-0j -0.0442636-0j 0.0107711-0j 0.00189051-0j 0.00126034-0j -0.00218154-0j -0.0260879-0j -0.000557649-0j -0.0173919-0j 0.030104-0j 0.00769522-0j -0.000729726-0j 0.000779795-0j 0.0100698-0j -0.00038243-0j -0.0107607-0j -0.00155857-0j 0.0052773-0j 0.00235659-0j 0.0215073-0j -0.0325195-0j 0.00394688-0j -0.0544646-0j 
0.0185828-0j -0.000901777-0j -0.0341881-0j 0.0335591-0j 0.000213466-0j -0.0242156-0j -0.0155303-0j -0.115095-0j -0.0018132-0j 0.303947-0j 0.334982-0j -0.298354-0j 0.00333588-0j -0.04154-0j -0.267585-0j 0.0706255-0j 0.124802-0j 0.0543677-0j 0.00158291-0j -0.0218432-0j 2.45882e-05-0j -0.000339303-0j 0.00133808-0j -0.00131346-0j -0.0184647-0j 0.00735361-0j 0.0181249-0j -0.101475-0j -6.49335e-05-0j -7.15636e-05-0j 0.0052086-0j 0.000896043-0j -0.00174072-0j 0.000987535-0j -0.0718755-0j 0.024021-0j 0.00241646-0j 8.87437e-06-0j -0.0333457-0j 0.00301942-0j -0.000122461-0j -0.00123296-0j -0.0416662-0j -0.00111828-0j 0.0170142-0j 0.0154315-0j -0.000370282-0j 0.00510967-0j 
0.0113796-0j -0.0387965-0j -0.0311506-0j 0.0106045-0j 0.00859926-0j -0.0224857-0j 0.00242065-0j -0.070481-0j -0.0780082-0j -0.552414-0j -0.0411139-0j 0.188057-0j 0.21354-0j -0.323388-0j -0.0419705-0j -0.0416829-0j 0.0770706-0j -0.00677437-0j 0.000969328-0j -0.0133761-0j 0.00105784-0j -0.0145976-0j -0.00243192-0j 0.000827894-0j 0.033559-0j -0.00225756-0j -0.0114244-0j 0.031153-0j 0.00829114-0j 0.000617075-0j -0.00162959-0j -0.114413-0j 0.000500388-0j -0.00851527-0j 0.0224874-0j -0.00690506-0j -0.00226628-0j 0.0048537-0j 0.0312733-0j 0.000314966-0j -0.0669781-0j 0.000361199-0j -0.00434634-0j -0.000517313-0j -0.00498434-0j 0.00713861-0j 3.84299e-05-0j -0.000530309-0j 
0.0107288-0j 0.0121195-0j 0.0485806-0j -0.0498842-0j -0.0256979-0j -0.00702838-0j 0.00228221-0j -0.0664502-0j -0.0735469-0j 0.0572112-0j -0.269695-0j -0.0587464-0j -0.333024-0j 0.118762-0j 0.197431-0j 0.124565-0j 0.02409-0j -0.00638694-0j 0.000913891-0j -0.0126112-0j 0.000997345-0j -0.0137628-0j -0.000760147-0j 0.000780546-0j 0.0104896-0j -0.00351866-0j -0.0107711-0j 0.0485555-0j -0.000858678-0j 0.00404783-0j 0.000509061-0j 0.0118492-0j 0.00746091-0j -0.0558577-0j -0.00702474-0j -0.102956-0j 0.00353435-0j -0.00178248-0j -0.0487719-0j -0.00148161-0j 0.0245972-0j -0.0010794-0j 0.0204454-0j -0.000161697-0j 0.0148951-0j 0.00223132-0j 3.6232e-05-0j -0.00049998-0j 
-0.01626-0j -0.0538571-0j 0.0147565-0j 0.0151464-0j -0.0378377-0j 0.00975507-0j -0.0365838-0j 0.100708-0j -0.10829-0j 0.261687-0j 0.0587464-0j 0.268601-0j 0.0982774-0j -0.179988-0j 0.0549216-0j 0.188707-0j -0.174322-0j 0.177359-0j -0.00138504-0j 0.0191128-0j 0.00146849-0j -0.0202643-0j 0.00115204-0j 0.00118247-0j -0.0158974-0j 0.00322576-0j -0.0163174-0j -0.0445135-0j 0.00381583-0j 0.00085662-0j 0.00213245-0j -0.0526562-0j 0.00226628-0j -0.0118208-0j -0.0294265-0j -0.0312733-0j -0.00107314-0j -0.00262453-0j 0.0148086-0j -0.00214882-0j 0.0362169-0j 0.00149817-0j 0.0296525-0j 0.002592-0j -0.0206738-0j -0.035768-0j -0.00153818-0j 0.021226-0j 
-0.01084-0j 0.0118965-0j 0.0498842-0j -0.0503808-0j 0.00849926-0j -0.0066094-0j -0.0243892-0j 0.0671388-0j -0.0721936-0j 0.0587464-0j 0.27249-0j -0.0593312-0j 0.332226-0j 0.0242317-0j -0.182683-0j -0.0423882-0j 0.118109-0j 0.11824-0j -0.000923362-0j 0.0127418-0j 0.000978994-0j -0.0135095-0j -0.000780546-0j 0.000788315-0j 0.0107711-0j 0.00355513-0j -0.0108783-0j -0.0490586-0j 0.00085662-0j 0.00397336-0j -0.000471036-0j -0.0118208-0j 0.00253991-0j -0.0548299-0j 0.00650002-0j -0.0350492-0j -0.00362772-0j 0.000353338-0j 0.0500604-0j 0.00714755-0j -0.00487585-0j -0.000336524-0j -0.0986319-0j -0.00175617-0j 0.00464384-0j 0.0242341-0j -0.00102545-0j 0.0141507-0j 
0.0067069-0j 0.0672957-0j 0.00618598-0j 0.0298422-0j -0.01593-0j 0.00519572-0j -0.026667-0j -0.04154-0j 0.135311-0j 0.1097-0j -0.0242317-0j 0.529212-0j 0.124802-0j -0.0149926-0j -0.0287829-0j -0.125274-0j 0.215855-0j -0.12935-0j 0.000571301-0j -0.00788361-0j -0.00183491-0j 0.0253207-0j 0.000482938-0j 0.00232977-0j -0.00666426-0j -0.00133056-0j -0.0321495-0j 0.0183609-0j 0.0048457-0j -0.00107037-0j -0.00111756-0j -0.0668678-0j 0.000314966-0j 0.0147704-0j 0.0154216-0j -0.00434634-0j 0.00214882-0j -0.000662255-0j -0.0296525-0j -0.00261811-0j 0.00913873-0j 0.000264545-0j 0.0361284-0j -0.00192019-0j -0.00365057-0j 0.0264975-0j 0.00468448-0j -0.064643-0j 
-0.0132762-0j -0.000213466-0j -0.072492-0j -0.0239758-0j -0.0001428-0j -0.0513464-0j 0.0110954-0j 0.0822279-0j 0.00129541-0j -0.21354-0j -0.239322-0j -0.0706255-0j 0.00707333-0j 0.377286-0j 0.191172-0j -0.0472457-0j 0.264628-0j -0.0388422-0j -0.00113088-0j 0.0156055-0j -1.75667e-05-0j 0.00024241-0j 0.00283724-0j 0.00093838-0j -0.0391522-0j 0.00174072-0j -0.0129491-0j -0.024021-0j 4.56194e-05-0j 5.11275e-05-0j 0.00123296-0j -0.000629521-0j 0.00116448-0j -0.000705529-0j -0.0170142-0j -0.0160691-0j 0.00512382-0j -8.06011e-05-0j -0.0707057-0j -0.00215718-0j 0.00111225-0j 0.000824804-0j 0.0297678-0j -0.00237117-0j -0.0113818-0j 0.0327208-0j 0.000264542-0j -0.00365052-0j 
-0.00331906-0j -0.00374927-0j 0.0212325-0j -0.00309299-0j -0.0866837-0j 0.0153264-0j -0.000706023-0j 0.020557-0j 0.0227524-0j -0.124757-0j 0.0119916-0j 0.0181738-0j -0.14555-0j -0.508417-0j 0.0122414-0j 0.420179-0j -0.0525318-0j 0.00197586-0j -0.000282721-0j 0.00390138-0j -0.000308538-0j 0.00425764-0j 0.00165761-0j -0.000241469-0j -0.022874-0j -0.000218169-0j 0.00333213-0j 0.0030106-0j 0.00187247-0j -0.00017998-0j -0.000157483-0j -0.025839-0j -0.0050441-0j 0.00248362-0j 0.00217317-0j 0.0696056-0j 0.00154471-0j 0.00763078-0j -0.0213161-0j -9.1865e-05-0j -0.1053-0j -0.00364102-0j 0.00126768-0j 0.000352604-0j 0.050244-0j -0.00486572-0j -1.12087e-05-0j 0.000154674-0j 
