0.0344291-0.0651099j -0.00196728+0.045673j -0.0157981-0.0123944j -0.141843+0.0168742j 0.0535956-0.0261233j 0.146423+0.0483249j -0.00434713-0.0310602j -0.0562121-0.0821718j 0.213304+0.00424313j 0.0468589-0.0629727j 0.249579+0.212993j 0.0593868-0.0870638j 0.127936-0.240304j -0.0938805+0.0845631j 0.231261-0.203115j -0.138102-0.212687j -0.0699028+0.169384j -0.405444-0.167719j -0.173444+0.117057j -0.124149+0.267552j -0.435543+0.28296j -0.195255+0.216889j 
0.0230248+0.00715914j 0.0171404+0.0346095j -0.0416295-0.0416815j -0.0289317-0.0349257j -0.0216553-0.0306842j -0.0423138-0.0177829j -0.00424836-0.0836407j -0.0222023-0.0323258j -0.02601-0.0517514j 0.100221+0.0663449j 0.0208273-0.0531183j 0.0763219+0.0663873j 0.0782697-0.156283j 0.0241388+0.0628411j -0.121611-0.050467j 0.116349-0.0355101j -0.102039-0.017169j 0.0812382+0.104344j -0.0709798-0.0130101j -0.0642118-0.0527727j -0.0548028-0.0362115j 0.0323441+0.0192397j 
-0.0916844-0.000705258j 0.0318563-0.02525j 0.0124871+0.0504718j -0.00634751+0.0601597j -0.0480582-0.0176873j -0.0430299+0.0696566j -0.0577605-0.0432437j -0.023679+0.0146509j -0.0245357+0.109404j -0.0368547+0.0628492j 0.0564881+0.144305j -0.0551928+0.109622j -0.0690843+0.175984j -0.0686513+0.0791553j -0.144155-0.104221j 0.0528726-0.138069j -0.0984424+0.0145032j -0.0927677-0.035158j 0.0285845-0.14304j -0.0383131+0.0768586j 0.0798182-0.0287875j -0.0114081-0.067091j 
0.0134635+0.0338008j -0.0542552+0.0165005j 0.0144477-0.00612556j -0.0584438+0.0387534j 0.0889455-0.0277151j -0.0229248+0.0513537j -0.0160662-0.00943125j 0.00678877+0.0889019j -0.092703+0.036884j 0.201138+0.0848314j 0.11891-0.0596536j -0.0164441-0.0357531j -0.0831546-0.0355244j 0.0216777-0.020792j -0.13713+0.108233j 0.00940216-0.101907j -0.0383989+0.0331461j 0.0297024-0.0251464j -0.00970255-0.00706882j -0.025235+0.0318907j -0.0316739-0.017357j -0.0473793+0.0301182j 
-0.0488847+0.0321489j -0.0039279+0.0757813j -0.0435367-0.038177j -0.0906433+0.0183116j -0.0129557-0.0747652j -0.0341326-0.109101j 0.0127426+0.0246057j 0.092272-0.0685013j -0.0688877-0.0306076j -0.0665592-0.0794626j -0.132714+0.00258013j 0.0247635-1.47901e-05j 0.0678326-0.0804298j -0.0671036+0.0295673j -0.0940561-0.0684569j -0.0126085+0.0237068j -0.027881+0.108536j 0.0135846-0.0717535j -0.0964091-0.0126731j -0.0407167+0.0443633j -0.0028635-0.0736323j 0.0466034+0.0401279j 
-0.0495346-0.0289202j 0.0275858-0.0200995j 0.026114+0.0319736j 0.00709882-0.0085736j 0.0279357+0.0270288j 0.0365431+0.0339138j 0.0124349+0.0998133j -0.138454-0.109111j -0.0208095-0.0201166j -0.0826849+0.0369128j -0.117082-0.0571334j 0.0192236-0.0331986j 0.19793-0.0870376j 0.0939553+0.0385375j 0.00685171-0.0886885j -0.0109564+0.00763869j 0.0218162+0.0500289j 0.0923249+0.0302911j 0.058064+0.0398106j -0.0184893-0.00716949j 0.0546591+0.01432j 0.0084596-0.034278j 
-0.00414962+0.0704568j -0.0826514-0.0261624j 0.0351565+0.0700275j -0.0325943-0.147843j -0.0913639+0.0389509j 0.0999802+0.0128903j 0.0564754+0.141233j -0.14106+0.109668j 0.0683064+0.0700495j -0.069504-0.175659j -0.0564567+0.14154j 0.0571962+0.104338j -0.0371615-0.0685652j 0.0264252+0.105985j -0.0233777-0.00746356j -0.0577236+0.0487672j 0.0453962+0.0661937j -0.0448361+0.0196379j 0.00652066+0.0647069j -0.0101573+0.0466915j -0.0392331-0.0230165j -0.0882078+0.00199136j 
0.0309659-0.0145654j 0.0550644-0.0357352j 0.0661724-0.057281j 0.0635219-0.00775432j 0.0838048-0.10354j 0.103449-0.0173828j 0.115842+0.0348022j -0.122238+0.0508277j -0.0243961+0.0660395j 0.0809288+0.156493j -0.0215221-0.0576182j -0.0731412+0.0631713j 0.0992177-0.0686475j 0.0290079-0.0519563j -0.0250283+0.0330969j -0.0039799+0.0803936j 0.040187-0.0132226j -0.0188637+0.0251552j 0.0321752-0.0384262j 0.0396935-0.041588j -0.0139751+0.0324907j 0.0240092-0.0106387j 
0.0575196+0.150056j -0.145258-0.0513401j 0.00234979-0.149019j -0.186871+0.0822342j -0.0100537+0.0639163j 0.0358739+0.0137276j -0.0034431+0.0692953j 0.00588682-0.152229j -0.108457+0.0842651j -0.0766622+0.0641804j -0.00534451-0.0775776j -0.0578452-0.0830636j -0.0350043+0.00086577j -0.0978873-0.0428559j 0.00675842+0.0695154j 0.043242+0.0383228j -0.0105555+0.0898862j 0.0582549-0.0745744j -0.0326938+0.00817811j -0.0304992-0.00314255j -0.0772975-0.000151411j -0.0740106-0.00155605j 
0.236668+0.0349236j 0.078804+0.129198j -0.024052+0.123043j -0.0419529-0.15271j -0.0533717-0.00978514j 0.0916738+0.0882408j -0.156672+0.0358806j -0.0604001-0.0278602j -0.0878934-0.0930817j 0.0554794-0.0452768j 0.113844+0.088945j -0.107582-0.00746214j -0.027988-0.0245282j -0.00112798-0.0414398j -0.0220544-0.0691372j -0.0374452-0.0464246j 0.0224703-0.0703591j 0.03547-0.00929115j 0.0110927+0.0267255j 0.0424254-0.0566824j -0.084818+0.05343j 0.0232619-0.00302047j 
-0.102763-0.102814j -0.0118907+0.070082j 0.0352909+0.128671j 0.0415061+0.0378775j 0.157649-0.10535j -0.0933286+0.00492607j 0.0685591+0.105969j 0.0528775-0.006185j -0.179132-0.0354192j 0.0305941-0.0422915j 0.00538911+0.030363j -0.0467875+0.0442686j -0.0242408+0.0153114j 0.0424177-0.0353444j 0.00566506+0.0194008j 0.00966523+0.027534j -0.0287968-0.0423615j -0.0163682+0.0298619j 0.0155619+0.10234j -0.0104957+0.0687905j 0.00645981-0.0192177j -0.0447532+0.0558034j 
-0.118239-0.109977j -0.15066-0.156556j -0.0552681-0.00600209j 0.10299-0.0272489j 0.0160284+0.235498j -0.0731777-0.0172059j -0.11299+0.085191j -0.0118966+0.066293j 0.0475437+0.0410275j 0.045847+0.0461553j -0.0848408+0.020104j -0.0166355-0.00864236j -0.00598399+0.0258025j -0.0709545-0.0714602j -0.043767-0.0133897j -0.0212561+0.00208232j -0.0445703-0.0695665j 0.0211787+0.0159507j 0.025406+0.046542j 0.00969622-0.0300386j -0.0355122+0.0481834j -0.00394967+0.0182615j 
