-0.609783-0.555791j 0.615193-0.550985j -0.0519981+0.290729j 0.39443+0.00149737j -0.0502989-0.290332j 0.0924988+0.0253912j 0.0267325+0.0372864j -0.0335875+0.224414j -0.17314+0.0273652j -0.113932-0.0199126j 0.119311-0.0178066j 0.16747+0.0308458j 0.0312373+0.22446j -0.0277177+0.0386211j -0.092487+0.0250712j -0.0152254+0.0218486j -0.0076081+0.0247387j -0.102341-0.0375481j 0.0170356-0.0597564j -0.0326761+0.0616322j 0.00257481+0.150279j 0.0380529-0.0689553j 0.00531934-0.0468576j -0.150332+0.0256286j 0.0203035+0.0350522j 0.0995323+0.00171438j -0.0221688+0.0343981j -0.148454-0.031067j -0.00537011-0.05214j 0.0354459+0.0678374j -0.00765374+0.148242j 0.0303759+0.0648798j -0.0157447-0.0596215j 0.10282-0.035438j -0.00585497-0.0251168j -0.0153998-0.0218363j 
0.0339291+0.118277j -0.123308+0.00549065j -0.0660939+0.0630549j -0.0798188-0.0561273j 0.0380876-0.0842313j 0.0223518-0.0413583j 0.0213764-0.0175437j 0.0550069-0.0208801j -0.125703-0.108546j -0.0202729+0.0434314j -0.0280926+0.0357195j 0.14554+0.0826696j -2.76725e-05-0.0608846j 0.00869284-0.0267829j 0.0309436-0.0330734j -0.0347108-0.0236876j 0.0238826+0.0240906j -0.0708873-0.0585036j -0.0418341+0.0276262j -0.0204659+0.0396721j 0.140348+0.245857j -0.0806814+0.162694j -0.131705+0.134998j 0.0373281-0.0745265j -0.163761-0.249504j -0.0351805-0.0273458j 0.290648+0.0727341j -0.056316+0.0651753j -0.0913442+0.177856j 0.118994-0.116849j -0.279601-0.047703j -0.0350568+0.0308018j -0.0108811+0.0481651j 0.0779501+0.046412j 0.0331547+0.0163158j -0.0330327-0.0240735j 
-0.0640247-0.078788j 0.0700786-0.04792j -0.0373056+0.00664268j 0.0719343+0.0392541j -0.0141688+0.109381j 0.0999731-0.0667173j 0.122438-0.0306237j -0.0822753+0.0176077j -0.0377622-0.233447j -0.199852-0.0180301j -0.0637444-0.0935629j -0.0842761+0.118186j 0.133327-0.119401j 0.0285471+0.0490643j -0.00751144-0.00517817j -0.0688185-0.0902362j -0.04119-0.0979869j -0.177944+0.178433j 0.104558+0.159608j -0.0513599+0.029354j 0.050802-0.0854584j -0.13208-0.0457319j -0.0318083+0.222994j -0.0253521+0.0265129j -0.188506-0.151208j -0.191661+0.00536847j -0.0273535-0.0443421j 0.0170932+0.0102577j 0.0719368+0.0498264j 0.0549253+0.0367041j -0.111408+0.231259j 0.0214367-0.0528764j -0.0329799-0.0641285j -0.0459149+0.0369435j 0.0369954+0.0259224j -0.0266756-0.0168762j 
0.0497247-0.00541922j 0.0611987+0.0677225j -0.11297-0.107687j -0.0464138-0.109051j -0.0387572-0.0770279j -0.103095+0.0368057j -0.16451-0.14572j 0.112092+0.209124j -0.137764-0.12678j 0.158507+0.0360689j -0.0280268-0.093956j 0.013171-0.021385j -0.00267721-0.0618344j -0.173775+0.0836953j 0.0791155-0.0956422j 0.107714+0.0363922j -0.025707+0.251246j 0.158038+0.102j 0.117922-0.114027j -0.0161383+0.121667j -0.0736093-0.0565893j -0.0667229-0.0796934j 0.0568685+0.140163j -0.0167678+0.107154j 0.0266769-0.0383741j -0.163161+0.0158311j -0.0339236-0.0531117j -0.114501-0.26449j 0.0421928+0.0191995j 0.026415-0.0165551j 0.173818-0.0858427j -0.0815407+0.0534974j -0.00913251-0.0872824j 0.0413301-0.0423145j -0.000190651+0.0614089j -0.00345244-0.0180066j 
0.00841537+0.0159719j -0.0526483+0.00863175j 0.135797-0.195096j 0.13485+0.0663282j -0.042499-0.0141178j 0.0386888-0.0497949j -0.0582171-0.128981j 0.108972+0.168123j -0.0496903-0.0502393j 0.0317397+0.156609j -0.0754472+0.0454349j -0.102926+0.212761j 0.0205244-0.0342111j -0.00138877+0.114518j -0.0196696-0.0331284j 0.0674544-0.189098j 0.161101-0.0371748j -0.0755396-0.227969j -0.0891811-0.0708023j 0.0405387-0.248824j 0.0470766-0.018228j 0.190077-0.0133044j 0.0923936-0.0350355j 0.00804773-0.0208617j 0.152393+0.178287j 0.0200737+0.00466632j 0.00518244+9.26065e-05j 0.0233778+0.244346j 0.031032+0.0903364j 0.00767999+0.0672413j -0.0865081-0.0335169j 0.0280578+0.0535812j -0.00230261-0.0626189j -0.0339748-0.022471j 0.0132852+0.0172097j -0.0125056-0.0039193j 
0.0122475+0.0218452j -0.0373492-0.0136592j 0.00443327+0.00241243j 0.0382693+0.0731544j -0.0466173+0.00525436j -0.00961661+0.00801026j -0.0184946-0.0122566j 0.0250124-0.00209738j -0.0773504-0.0247777j -0.00419869+0.0227286j -0.0601502-0.0578433j 0.0105915+0.0239077j 0.0827789-0.0243052j -0.0857994-0.00982364j -0.0403948-0.238774j 0.00574567+0.0183859j -0.0211753-0.00579906j -0.0161874-0.0117602j -0.0466599+0.039683j 0.0164634-0.0144092j -0.028502-0.0090975j -0.0284302+0.0450732j 0.0621678-0.0835365j -0.034969+0.0963466j 0.0010298-0.00970561j -0.0284911+0.0972783j 0.0532804-0.0956405j -0.0140261+0.0198432j 0.0676258+0.130317j -0.0366571-0.243568j -0.0191863+0.0494278j -0.0899859+0.0979326j -0.0986302-0.0359594j 0.0390572-0.0843958j 0.0765782-0.245632j 0.0461014-0.142529j 
-0.0555172-0.00725252j 0.0580187-0.0413723j -0.0517596-0.0118084j -0.0797799-0.0115292j 0.0660769-0.0294011j 0.0279145-0.00857332j -0.0705494+0.0295601j 0.0303448-0.000432837j -0.0366929+0.0211877j -0.0112592+0.0378202j 0.07889-0.0611784j -0.0830578+0.0470496j -0.0232722+0.023388j 0.0500785+0.0621081j 0.0661113-0.146739j 0.0262767-0.006301j -0.00554655+0.0711403j -0.0035132+0.031637j 0.0344492+0.131109j -0.0574739-0.030872j 0.0227558+0.0515294j 0.00608408+0.0257179j -0.000720133-0.11014j 0.134945-0.00834944j -0.00119532-0.0149507j 0.0678548+0.120456j 0.0711586+0.0264444j -0.0111191+0.0273709j 0.0408339-0.073658j 0.132203+0.00849443j -0.0178206+0.00209606j -0.0831411+0.0349899j -0.0762174+0.164238j 0.0738883-0.106471j 0.182038-0.0887372j 0.0819476-0.0614988j 
-0.0207334+0.0447589j -0.0473246-0.036729j -0.0733297+0.0224884j 0.0343606+0.0323932j 0.0408667-0.0213308j 0.00557945+0.00536751j -0.0125959+0.0270848j -0.0322707-0.00170841j -0.00809138+0.0942927j -0.0129118-0.00740255j 0.048532-0.0608605j -0.00613976+0.0312305j -0.0700506-0.0674696j 0.0408011-0.0615875j -0.0656413+0.0273667j 0.0108912+0.0116735j -0.0430667-0.0246577j -0.00195522+0.0223945j -0.0113502-0.0361681j 0.0286049-0.0686633j 0.0147055+0.0594069j 0.0423801-0.0234026j -0.0576239+0.104363j 0.0805217+0.0708233j -0.0205231+0.0264551j -0.0248337-0.136355j 0.0704954+0.00516411j 0.00777084-0.0462928j -0.146532+0.0545562j 0.0482522+0.10161j -0.0633869+0.0419596j -0.109652+0.0317957j 0.185392-0.224042j 0.0316726+0.0660087j 0.135569+0.104591j -0.0162196+0.128636j 
-0.0459857+0.0253704j 0.0286627-0.0722776j -0.00442753+0.0401546j 0.0108288+0.0193182j -0.0192906-0.049164j -0.0538037+0.0495095j 0.0456279-0.0202589j -0.0193645-0.0020951j 0.00456163+0.00979236j 0.112405-0.0182553j -0.062786-0.0455948j -0.0364247+0.0359745j 0.0735941+0.0767193j 0.056799-0.0272516j -0.0672943+0.0653423j 0.0402584+0.0878391j -0.132464-0.0939876j -0.0410138-0.0208165j -0.146915-0.0111703j 0.074225-0.00109056j -0.0210559+0.00657951j 0.0613286+0.0126565j -0.0521559-0.0733062j -0.0303237-0.00181189j -0.0113543-0.00310926j 0.0875426+0.160139j -0.081235+0.0332385j 0.0483961+0.0312927j -0.00813469+0.0971086j -0.164645-0.112333j 0.0284684+0.00997446j 0.0803718-0.0700163j 0.137223-0.0614826j -0.0492316-0.0218181j -0.163096+0.0585225j -0.200292-0.044103j 
0.0141732-0.0151931j -0.0702451-0.0049801j 0.0396277+0.00449533j 0.025672-0.00549975j -0.0690464-0.0134995j 0.0124952+0.0403937j -0.0381834-0.0562019j -0.00427849+0.0187041j 0.0272755+0.102069j -0.0715822+0.0306387j 0.00560034-0.111555j -0.00362828-0.00113721j -0.137277-0.0131825j -0.142787-0.0217773j -0.000444303+0.026891j -0.0114216+0.00620301j 0.0231096+0.0179073j -0.0460724-0.0277795j 0.0232137+0.0545995j 0.0298699+0.047481j -0.0828197+0.00958172j -0.0295687-0.000680564j -0.0298642-0.0445615j 0.0382235-0.0696486j 0.0148855-0.0317255j 0.0431728-0.0146567j -0.0747027+0.0901538j 0.0117266-0.0265162j 0.00928928-0.0807589j 0.107992-0.145131j 0.00371759-0.0548285j 0.105855-0.162766j 0.0508224+0.155987j 0.101661-0.0518052j -0.00692847+0.0793731j -0.0387883-0.0356451j 
0.0196748+0.0840055j 0.0148519+0.0343156j -0.0403532+0.0175065j -0.0998432-0.0338124j 0.0716959-0.0321775j -0.019864-0.00299759j 0.0549151+0.00128477j -0.0109762+0.103478j -0.0150442+0.0076129j -0.0126701-0.0133917j -0.0858788+0.013926j 0.0349433-0.0696983j -0.0719688-0.0827655j -0.189278-0.0938595j -0.0466414-0.0502046j 0.00879363+0.0210774j -0.0176778-0.0303462j -0.010938-0.000274278j -0.0555651+0.0135751j 0.0386733+0.0328418j 0.0514094-0.00812311j -0.022684+0.0263866j -0.00615657-0.0774226j -0.0890558-0.00882325j -0.014795-0.0455521j 0.0768569+0.149141j 0.0101719+0.0232787j -0.00509912-0.0365431j 0.00478762-0.0402413j -0.0853374+0.0184394j 0.00594355-0.0378704j -0.0518124-0.0488611j -0.00130805+0.102322j -0.087513-0.0249315j -0.0511641+0.0210804j -0.0320844-0.046782j 
-0.0259384-0.0831307j -0.0147267-0.0239682j 0.0451556-0.0922468j -0.0182758+0.118318j -0.0277507+0.0395503j -0.0051063-0.00474921j 0.0275018+0.043099j -0.0363501+0.0233571j -0.00217625+0.0686265j -0.0179007+0.00303759j 0.0193405-0.0172474j 0.0223402-0.0202633j -0.101174-0.0995728j -0.0244185-0.0757359j -0.113639+0.0474117j 0.0295036-0.00138115j -0.0298122-0.00944052j 0.027848+0.0407123j 0.011874-0.0149487j 0.00950044-0.0830295j 0.0582744-0.0163192j 0.0162015+0.0535759j 0.0173718+0.0406517j -0.0259677-0.0233206j -0.0676489+0.0464293j -0.018925+0.0805784j 0.0758516+0.0542531j -0.137868+0.120289j -0.0197983+0.0306259j -0.0482414+0.146705j -0.0140099+0.0203271j -0.0390114+0.0235838j -0.000986636-0.0317449j -0.0507854+0.0307999j 0.0849919+0.0260422j 0.0344282+0.0566562j 
-0.0259819+0.0230684j 0.0847686-0.0295995j -0.0349875+0.0470256j -0.0326255-0.0889993j 0.0106989-0.0245601j -0.0204808+0.00296691j 0.0153279+0.00259235j -0.0231986-0.0283582j 0.00640098+0.075574j -0.0290219+0.0172254j -0.0575438-0.0336644j 0.0774416-0.00372119j -0.0419026-0.0638199j -0.0537307-0.0424318j -0.177512+0.0354434j 0.00116822+0.0019115j -0.0162346-0.0131194j 0.0141657+0.00507425j 0.0255142-0.00789505j 0.0253472-0.0945214j -0.0622664-0.043529j -0.004932+0.0592239j 0.0449958+0.0453978j 0.0368631+0.00343863j -0.0660753+0.0824851j -0.0530189-0.0679367j -0.0685488-0.0217871j -0.147512+0.171847j -0.0636221+0.0978138j 0.0782799-0.05377j -0.0540146+0.0431165j 0.0155291-0.0266981j -0.0240649-0.0906879j 0.0907299+0.024811j 0.056291-0.0139738j 0.010498+0.0175604j 
-0.0576045-0.0242291j -0.071448-0.0283912j 0.0362137-0.0495901j 0.0628298-0.041428j -0.0406693+0.0824921j -0.00449676-0.0174274j 0.0075869-0.00133769j -0.0175325+0.148066j -0.00569359+0.0566184j 0.123795-0.135144j -0.0692914-0.0181187j -0.0860956+0.0521459j 0.0095153+0.0174539j 0.0109539-0.0450674j 0.0280255-0.0489192j -0.115138-0.01156j 0.055424-0.0275509j 0.0297495+0.00690347j -0.0384694+0.0174946j -0.0149762-0.00716137j -0.0373199-0.0480772j -0.0163805+0.0172779j 0.0806506-0.000552624j -0.0456523+0.0584279j 0.00868221+0.0245427j -0.0176529-0.149912j -0.0400304-0.0519213j -0.0443523+0.0147623j 0.159621-0.0747482j -0.0100305-0.0023989j -0.00874167-0.00790641j -0.0355741+0.026824j -0.12333+0.0849501j 0.01177+0.0185319j -0.117385-0.0293853j 0.094287-0.04638j 
0.0722112+0.0505902j 0.0793509-0.010389j 0.0421254-0.0220581j 0.0226099-0.0299499j -0.032907+0.0467596j 0.0458774+0.0688178j 0.0341793+0.0703367j 0.0210152+0.0103535j -0.0253547+0.0309386j 0.00286002+0.0246497j 0.0896094-0.0304676j -0.0634488+0.0553436j -0.0778881-0.0436217j 0.0351926-0.0733755j -0.00178565+0.0199956j -0.00636599-0.0281518j 0.0628894+0.0364262j -0.041008+0.0551733j 0.0928386-0.0217836j -0.0365273-0.0101181j -0.0896386+0.00746465j 0.00923654-0.0286487j 0.0724769+0.0764722j 0.0256724+0.0131332j 0.0125287-0.0284165j -0.126016-0.110648j -0.0384768+0.0355796j -0.0507733-0.0206233j 0.00376777-0.00052938j -0.0186378-0.0442934j 0.0125134-0.0437067j 0.0571251-0.0665498j -0.0704356-0.0394017j 0.0972889-0.0127642j 0.0525258+0.0335873j 0.0359648+0.0693603j 
-0.0557895-0.0520271j 0.0566089-0.0517146j 0.00363002+0.0507257j 0.077483+0.000990269j 0.00436284-0.0510123j -0.00103688-0.035194j 0.092421+0.00606006j 0.0967951+0.0545753j 0.0251803+0.00746519j -0.00891922-0.00742795j 0.0089716-0.00628393j -0.0276088+0.00831868j -0.0958466+0.0532365j -0.0935665+0.00534053j 0.00324648-0.0365002j -0.0164464+0.00137725j 0.00951269-0.0248851j 0.000391658+0.000177545j -0.063466-0.0015813j 0.0494907+0.0574765j 0.0255137-0.00178794j -0.0334562-0.0341042j -0.0137207-0.0357892j 0.0309457+0.171151j -0.0105082-0.0734141j 0.0394176+0.00336578j 0.0132462-0.071107j 0.0334242-0.174474j 0.0158762-0.0391275j -0.0348198+0.0327018j -0.0219848-0.00685009j -0.0506329+0.0557084j 0.0628218+0.00040273j -0.00299939-0.000539259j 0.00861141+0.0259131j -0.0164734-0.00113505j 
0.0489823-0.0608701j 0.0317233+0.0717161j -0.00845961-0.0142419j -0.0056811+0.0407296j 0.0118473-0.0107344j -0.0301466-0.0482291j 0.101798+0.0388291j 0.0539115-0.0353709j 0.0157048-0.0315159j 0.0377375-0.021944j 0.0321679+0.0324731j 0.00766766+0.0326477j 0.0428979+0.0474753j 0.109269-0.011053j -0.0414717+0.0382582j 0.00388438-0.00669166j -0.00729099-0.0193239j 0.0476654+0.00457392j -0.0316891-0.0161074j 0.0231272-0.0407562j -0.0209969-0.05796j 0.0005192+0.0390875j 0.0566955-0.0353609j 0.0351701+0.147674j -0.0666445+0.052431j -0.00509036+0.0404331j -0.0495189-0.0664188j -0.0711661+0.133331j 0.046028+0.0451119j -0.00835712+0.0441665j -0.0372916+0.0520069j 0.00974154+0.0463291j -0.0345389+0.00633801j 0.0452826+0.00887695j 0.0133013-0.0171535j -0.00132677-0.0067297j 
-0.0135824-0.00988839j 0.0138552-0.00959896j -0.00420738+0.0435979j 0.0285398-0.000111782j -0.00459422-0.0434056j 0.0231005+0.0307662j 0.00487417+0.00151142j 0.0124464-0.0101312j 0.00269071+0.0376608j 0.0083652-0.0197135j -0.00980442-0.0186394j -0.00142174+0.0391247j -0.0120646-0.0102608j -0.00492746+0.0014562j -0.0235093+0.0315114j -0.0370833-0.0054404j 0.0398145+0.012425j -0.147748-0.0504526j 0.0337938-0.0473242j -0.0273653-0.0398305j -0.0808418+0.0193029j 0.0454923+0.172498j 0.0204062+0.0530893j 0.0740268+0.0500091j 0.117299-0.0117364j -0.154867-0.00288779j -0.119534-0.0130981j 0.0692675-0.0460089j -0.0249527+0.0655992j 0.0478234-0.167207j 0.0788525+0.0224808j 0.0262779-0.0353926j -0.0341113-0.0500452j 0.1495-0.0518855j 0.0434909-0.014289j -0.0349397+0.00549339j 
-0.0532078-0.0845178j -0.05025+0.0879321j -0.016125+0.00742036j -0.000989457-0.0452285j 0.016049+0.00467446j -0.0648254+0.0525304j 0.0564683+0.0831405j -0.00123203-0.00735379j -0.0546054-0.0146213j 0.0453065+0.0684579j 0.0423126-0.0674474j -0.0545995+0.0149006j -0.00104158+0.00742655j 0.0552897-0.0830524j -0.0640695-0.0525327j 0.13472+0.0441894j -0.0683163+0.0297308j 0.00144469+0.0697664j 0.033343+0.0732257j 0.0236641+0.0561308j -0.0483057+0.0428678j 0.052087-0.100345j -0.0892444-0.0848245j 0.0468157-0.00765426j -0.074133-0.0481783j 0.00223441+0.0888816j -0.0723215+0.0502206j -0.0435263-0.00743679j -0.0829448+0.0953119j -0.0606192-0.0927557j -0.0493969-0.0388724j 0.0218284-0.055532j 0.0312219-0.0753614j -0.000568109-0.0723163j 0.0720849+0.0234431j -0.132737+0.0483642j 
-0.00111778-0.012014j 0.000417761-0.0116183j -0.0221758-0.0523255j 0.114436-0.00033681j -0.0208749+0.0524107j 0.0403829-0.00281436j 0.0997408+0.0169461j 0.00980883-0.0886219j -0.0849709-0.116814j -0.0410099+0.132066j 0.0424952+0.126467j 0.0830774-0.122677j -0.0105113-0.0891596j -0.101675+0.0183668j -0.0416736-0.00148066j -0.02046+0.0397226j -0.0028055+0.01013j -0.0109668-0.0584237j -0.0681168+0.0100687j 0.0317979-0.0302811j 0.014584+0.0278203j 0.0464143+0.0857171j -0.0406432-0.0285481j 0.021314-0.0458529j -0.00292682+0.0114891j 0.023534-0.000119293j 0.00258831+0.0108913j 0.0216653+0.0465194j 0.0364638-0.0213846j 0.0498888-0.0865798j -0.0138878+0.0305921j -0.0329126-0.0274639j 0.0674017+0.00975407j 0.0105086-0.0574939j -0.0026639-0.0109755j -0.0208834-0.0404886j 
