-0.0663005-0.0729902j 0.00277401+0.0764433j -0.190897-4.69027e-06j -0.072605-0.267056j 0.026521+0.00543847j 0.030436+0.00743509j 0.0172741+0.0180006j 0.0241208-0.0163254j 0.0352857+0.0321295j -0.00764302-0.0239756j 0.00690533-0.0200219j -0.00815346-0.000691521j -0.000488168+0.00232506j 0.00420687+0.00829298j 0.0018483-0.00778586j 0.0117483+0.00190211j 0.0041518-0.000536276j -0.0107507-0.00262843j 0.00144707+0.00857876j 0.00910638+0.030932j 0.0204909-0.00666208j -0.00806373-0.00756336j 0.00475177+0.0212126j 0.0013597-0.0122966j 0.00216915+0.00297485j 0.000612538-0.0077297j 0.00309545+0.0069597j -0.0081917+0.00978593j 0.00165756+0.000817643j 0.00183002-0.00727749j 0.00537105+0.0024594j -0.0162589-0.00864507j 0.00679197+0.0157038j 0.0114209-0.00197932j 0.0119424+0.0135817j 0.00186535+0.0208413j 
-0.0519012+0.0133114j 0.0221778+0.0334319j -0.0799125+0.206421j -0.130345-0.12688j 0.00471318-0.0673486j 0.0118376-0.0355798j 0.0200928+0.00259315j -0.0084695+0.0213312j -0.0031232+0.00124831j -0.0193752-0.00396012j -0.0148982-0.000898899j -0.00413196-0.00652578j -0.0153306-0.00763083j 0.00318598-0.0128129j -0.0394474+0.0018039j -0.0233682-0.0139989j -0.0200824-0.00415003j 0.00795317+0.0031354j 0.0113796+0.00214919j 0.0336035+0.0016836j -0.00335526-0.0116979j 0.00960192+0.00170433j -0.0029522+0.00602052j -0.0198911-0.00206752j -0.000703595+0.00254632j 0.011134+0.000815015j -0.0115879-0.0056991j 0.00225219+0.00463646j -0.0123648+0.00640042j -0.014095-0.0122845j 0.0151001-0.00150773j -0.00763338+0.00826259j 0.00882322+0.00299562j -0.0157064-0.0080362j 0.00125948-0.00429557j 0.0106058-0.0011819j 
-0.00560015-0.0338892j 0.0238806+0.0264142j 0.0416653-0.0217521j -0.111596-0.128384j -0.00420435-0.00421593j -0.0111693+0.015733j 0.0384554+0.0109709j -0.0164003+0.0373448j -0.00156261+0.00235646j 0.00345592-0.0024953j 0.00981019+0.00871329j 0.0147174-0.00416925j 0.0109315+0.00428398j 0.00712164-0.00372941j 0.0122626-0.00710183j 0.0141951-0.0168311j -0.00709261-0.000179693j -0.015199+0.0209943j 0.00620212+0.00297028j 0.0172984+0.0203299j -0.00432041-0.0273568j -0.00202749+0.00684102j 0.0279642+0.0319664j -0.0068181+0.0128256j 0.0202895+0.00405865j -0.00686041-0.0114549j 0.0160365+0.00628021j 0.0101566+0.0026645j 0.0018485+0.00728644j 0.00114184+0.00438743j -0.00209983-0.0025593j -0.0026053-0.00902973j 0.0051202+0.0117345j 0.00158831+0.00382886j 0.00393588+0.00754429j 0.00482434+0.00622342j 
-0.00212234+0.0426339j 0.00556732-0.0161573j -0.0132251+0.119398j -0.0447087+0.0825806j 0.0176872-0.0147508j -0.0115327-0.0484626j 0.0337351-0.013462j -0.0169919-0.00841025j -0.0121414-0.036609j 0.00992648+0.0214817j 0.00641762-0.0140684j -0.000384377+0.00343059j 0.00652458-0.00534619j -0.0144844-0.0198748j -0.00406766-0.00388756j 0.00845351+0.0284424j -0.00824711+0.00238964j -0.00749999+0.00558118j 0.0107143+0.00617297j 0.00339665+0.00259698j 0.0107843+0.0128294j -0.00188229+0.0117287j -0.00735566-0.00424079j 0.000386136-0.00907526j 0.00357881+0.00861283j -0.0084731+0.00479943j 0.00168087+0.0118271j -0.0105514-0.00700821j 0.0100795-0.00104958j -0.00623397+0.00683286j 0.00277188+0.00370464j -0.000862163+0.00322027j 0.00897972-0.00239427j -0.00176275-0.00215289j -0.00208773-0.00562275j 0.00396685-0.00258823j 
0.00485607-0.00331095j -0.019759-0.00367884j -0.0134275-0.0222789j 0.0512091+0.0337371j 0.00133979+0.0162658j -0.0197221+0.00200586j 0.0147166-0.0152866j -0.0234827-0.00300449j 0.0263389-0.015192j 0.0124678-0.00940495j 0.0248292-0.0224384j 0.0198339-0.0130986j 0.00758556-0.00598154j 0.0136741+0.00117785j 0.00905534-0.0122347j -0.0110209-0.00725034j -0.000862191+0.00196989j 0.0115547+0.00233837j -0.00370023-0.00292546j 0.00194731-0.0231696j -0.0244328+0.00704842j 0.0166115-0.00526429j 0.00465212-0.016484j -0.0127373+0.0171796j -0.00521232-0.0211107j 0.00458431-0.00332705j -0.00227321-0.0071462j -0.00727835-0.0139587j -0.00795798+0.0037702j -0.00252614-0.00200736j 0.00743855-0.00523187j -0.00119858-0.00145712j 0.00186479+0.00434707j -0.0074113-0.000174957j -0.00320748-0.00185822j 0.00401911+0.00111553j 
-0.0211916-0.0606849j -0.039453-0.00961601j -0.21706-0.217854j 0.166524-0.0191529j 0.0566343+0.0523477j 0.040671+0.00204865j -0.0220845+0.0344954j -0.0248108-0.00178765j 0.0140054+0.0260961j -0.00126835+0.0183105j 0.0124001+0.0185298j 0.00104709-0.0139825j -0.00286479+0.00402909j 0.0217574-0.0236546j -0.00597871+0.00663816j 0.00542708-0.00121582j -0.00762168+0.00338286j -0.00272117-0.00215864j 0.0114975-0.00310318j 0.00390822+0.0141801j 0.0313248-0.00122566j -0.00476864-0.00396265j -0.0126664-0.00133263j 0.0149141-0.00917291j 0.00390685-0.012837j -0.0119195+0.00549608j 0.00243819-0.0033134j -0.0109941-0.0115531j -0.00853798-0.00032349j 0.0196408-0.00295418j 0.018813-0.00119771j -0.0155182-0.00914306j -0.00776344+0.00888335j 0.00196409+0.0060365j 0.00303138+0.00510164j -0.00111073+0.00445902j 
-0.0214137+0.00751567j -0.00172106-0.0310929j -0.0300683-0.0793072j -0.0946746+0.145043j -0.029342+0.038342j 0.0197393-0.018569j 0.0174638-0.00729428j 0.0456038-0.0172826j -0.00731015-0.0139102j -0.0159448+0.0136772j 0.0103085-0.0158194j 0.0102497-0.00918108j -0.00357365-0.00635584j 0.0194385-0.00265133j -0.00742124+0.00313325j 0.0200163-0.00431433j -0.00812027+0.00452523j -0.0153412+0.00624622j 0.00361313-0.00845829j 0.0184835-0.0166012j 0.0204933-0.00397975j 0.000139736-0.00104947j 0.00515135-0.00420944j -0.0091062-0.00341773j 0.000458033-0.00491122j 0.0103965+0.00876066j -0.0105326+0.00942055j -0.0062452-0.00210316j -0.00876145-0.0133585j -0.0067134+0.0152843j 0.00119881-0.010865j -0.0132508+0.00853972j 0.00129811-0.0115624j 0.00706797+0.00541487j 0.00627848-0.00434246j -0.00305582-0.0044307j 
-0.016031+0.00105479j -0.0206048+0.0578437j -0.0801394+0.119177j 0.0303775-0.214409j 0.00866517-0.0102897j -0.00742559-0.0166348j 0.00278097+0.0489377j -0.00164129-0.0408091j 0.0027141-0.0263153j 0.0185506-0.0229365j 0.0318686-0.0142928j -0.0110726-0.00719761j 0.000396957-6.92954e-05j -0.024563-0.0235943j -0.00235786-0.0147146j 0.018004-0.0158706j 0.000382926-0.00640114j -0.000909935-0.015963j 0.000261421+0.0119018j 0.00422883+0.00702904j 0.0045539+0.00316019j 0.006769-0.00259547j 0.00116473-0.00269305j 0.000775485-0.00258933j 0.0094775-0.00129409j -0.00248054-0.0192374j 0.0014232-0.00135763j -0.00564663+0.00384999j -0.00554771+0.00559447j 0.00811622-0.00463465j 0.00455923-0.00312355j -0.0058626+0.00553134j -0.00201523+0.00788208j 0.00575739-0.0103076j 0.00166237-0.00288092j -0.00271827+0.0105274j 
-0.0383592-0.0823235j 0.0932764+0.0252217j 0.184459-0.20115j -0.315832-0.159284j -0.0400497+0.0465528j -0.0313584+0.00971133j 0.0229412+0.0580642j -0.0300651+0.00427056j 0.0167327+0.0538397j -0.0351225-0.00389932j -0.0414526-0.0252392j -0.000828149-0.0024684j -0.00514889-0.0020293j 0.00390205+0.0145505j -0.0048109-0.00595213j -0.00182922+0.00485912j 0.00307792+0.00536127j 0.0129155+0.00707566j -0.00585344+0.0082968j 0.00926956+0.0227307j -0.0392967+0.00912228j 0.00159484+0.0208018j 0.0172138+0.0142829j -0.0103861-0.0120104j -0.0101287+0.00147288j -0.0115115-0.00218089j -0.000289543+0.00514568j -0.00595936-0.00457422j 0.00297854+0.00103908j -0.0137107-0.000162446j -0.000308802+0.0106027j -0.00449736-0.0159775j 0.0226157+0.0129138j -0.0108252+0.00215976j 0.00831326+0.0102435j 0.0250842+0.010331j 
-0.0856811+0.0395091j 0.0139967-0.0753351j -0.178989-0.16661j -0.146786+0.205781j 0.0212826+0.0161047j -0.00834359+0.0439319j 0.029649+0.015241j 0.00417212+0.0105612j 0.00894918-0.0223561j -0.000839303-0.00326592j -0.00161433+0.0324623j 0.00235003-0.0043745j -0.0115498-0.00317431j 0.0133277+0.000143088j -0.0109942+0.0110179j 0.00648703-0.00238439j -0.00573716-0.00512633j -0.0115325-0.0145195j 0.00614332-0.0159813j 0.00648162-0.0315838j 0.00592911+0.00353376j -0.0226348+0.00382794j -0.00456315-0.00951329j -0.000478031+0.011914j 0.0023998+0.00283101j 0.00428786+0.00109214j 0.0118932-0.00591434j -0.00694064-0.00934678j 0.00666351-0.0051756j -0.00661302+0.0105384j 0.00944787-0.00366833j -0.0156556-0.00279951j 0.0124829-0.0133902j 0.00175177+0.0106789j 0.0080892-0.00536404j 0.0069998-0.0175259j 
-0.0980234-0.0198184j 0.0294288+0.0593152j -0.219876+0.050131j -0.109933-0.192944j 0.0498489+0.00498962j 0.0314265+0.0151409j 0.00173373+0.0265537j -0.00667405-0.0155987j 0.0474314+0.0105616j -0.00896491-0.0175034j -0.000175532-0.018379j -0.0039399+0.00349763j -0.000983049+0.00949944j 0.00731266+0.00520738j -0.00433829+0.00116906j 0.00950507-0.00219713j 0.00341092+0.00573678j 0.00503146+0.00526614j 0.00647294+0.00525227j 0.0223565+0.0161418j 0.00597249-0.0160502j -0.0110782+0.00728989j 0.00723479+0.00848095j -0.00103763-0.0083715j -0.000235258-0.00113108j -0.00449202-0.00535548j 0.00355604+0.00213944j 0.000935537-0.00360427j -0.000971411-0.00015441j -0.00235984-0.0106794j 0.0144247+0.00266856j -0.0160297-0.00627772j 0.00981618+0.0128789j 0.000376013-0.0106328j 0.0133407+0.00250367j 0.0134951+0.0133832j 
0.0273061-0.101672j -0.0631795+0.0325538j -0.0334958-0.224863j 0.205252-0.12897j -0.0147437+0.0512391j -0.0133321+0.0332024j -0.0292327+0.00961835j 0.00697047-0.00346303j -0.00653324+0.0536443j 0.0136891-0.0112191j 0.0215301-0.000943992j -0.00064655-0.00622608j -0.0116292-0.000554278j -0.00486875+0.0066771j -0.00489104-0.00625484j 0.00742323+0.0120052j -0.00784005+0.0018768j 0.00191378-0.00209937j -0.00629601+0.0118507j -0.013043+0.0323564j 0.00973928+0.0172688j 0.00637371-0.00446269j -0.00774314+0.0151643j 0.00637791-0.00517057j 0.00196334-0.000420231j 0.00295054-0.00675808j -0.00945463+0.0035479j -0.00140014-0.00191327j -0.00392217-0.000495007j 0.00808123-0.00181497j 0.00564038+0.0110049j 0.00199925-0.0191661j -0.0118129+0.0132111j 0.00505127+0.00496231j -0.0034228+0.0161731j -0.0122659+0.0152459j 
