-0.131786-0.140778j -0.123045-0.0592332j 0.0108349+0.00954991j -0.194814-0.204922j 0.0450702+0.012953j -0.0769202-0.056091j -0.000503906+0.0269977j 0.0235078+0.014816j 0.0241826-0.00526219j -0.0340906-0.0668459j -0.0041497-9.27181e-05j 0.000857466+0.00639597j -0.00123848+0.00567128j 0.00361471+0.00327303j 0.000743038+0.00870323j 0.00184982+0.0094114j -0.00225523-0.00470676j 0.0149488+0.0377152j 0.000993677+0.00769483j 0.00312736+0.00588653j 0.0110252-0.00352838j 0.00114415+0.00146092j 0.00669722-0.00380477j 0.00884637+0.0303605j -0.00419884-0.00628348j -0.00256909-0.00175113j 0.00711188+0.00154486j 0.00139822+0.000639448j -0.00451136-0.0062513j 0.00322467+0.0148686j -0.00548458-0.00378641j -0.00762172-0.00630243j 0.0029133+0.00247074j -0.00573721-0.00281764j 0.00470412-0.00031333j 0.000178552-0.00518073j 0.0130212+0.0103745j -0.00506731-0.024915j -0.0131908+0.000315772j 0.0129169+0.032948j 
-0.000901886-0.0380722j 0.0305659-0.175891j 0.00753579-0.00418551j -0.00277425+0.0349435j -0.0074189+0.0107154j 0.0248961-0.029183j 0.00515727+0.00470291j 0.0143635-0.0117834j -0.00126217+0.0116651j -0.0198849+0.0254076j -0.0120338+0.0030301j 0.000264549+0.00765956j 0.0135459+0.00163591j -0.000683224+0.00116866j -0.0126385+0.0131935j -0.0265637-0.00425197j -0.0170192+0.00792608j 0.0105826-0.0060591j 0.00388121-0.00309078j -0.0168502+0.0096447j 0.0121753-0.0102406j -0.00805549+0.00761284j -0.0109782+0.0070949j -0.00303057-0.00578446j 0.00554528+0.00978078j 0.016891+0.00268101j 0.0130107-0.00942497j -0.00657539-0.0018781j -0.00147533-0.00951739j 0.00435679-0.0047662j 0.00629717-0.00822229j -0.00560649-0.00980024j -0.0108948+0.00141823j -0.0083654+0.0034407j -8.70934e-05-0.00642576j 0.00387749-0.000590442j 0.00241124+0.00895596j -0.000871971+0.00128501j 0.000904772+0.000528844j 0.00149765-0.00922231j 
-0.0845631-0.0845395j -0.138743-0.185123j -0.00969107+0.00318133j -0.108097-0.00972127j 0.0233371+0.00710058j -0.0577896-0.0136791j -0.00903982-0.00426822j 0.0386078-0.0297805j -0.00145838+0.028001j -0.00935916-0.0318196j 0.00176228+0.00394342j 0.0164438+0.00909377j 0.000149337-2.80532e-05j -0.00336899+0.00293206j -0.016502+0.00379491j -0.00275164-0.00167551j 0.00896414-0.0233571j 0.00937886-0.0032212j -0.0109248+0.00999161j 0.00953928+0.015587j -0.0091563+0.0120035j 0.00760982+0.00884894j 0.00650531-0.00190901j 0.00515709+0.00639483j 0.00868936+0.00795892j 0.0090986-0.000724463j -0.0124547-0.00114303j 0.00152426-0.0191559j 0.000581687+0.00170618j 0.003153-0.00848941j -0.00771107-0.00750308j -0.0079939+0.000410289j 0.00666426+0.0090075j 0.00766441-0.0142963j -0.0195329+0.00617331j -0.00401335+0.0110479j 0.0195877-0.000660057j -0.0188426-0.0107402j 0.00836072+0.0021564j 0.0118486+0.000521933j 
0.0225939+0.0358742j 0.075303+0.011661j -0.014491+0.0101642j 0.0416408+0.0815695j 0.0183517-0.0169862j 0.0455416+0.0321098j -0.0417363+0.0045501j -0.0167349-0.00832881j 0.0101252-0.00860153j -0.00949072+0.0042114j 0.0204067+0.0251413j -0.00934473-0.00720939j 0.0261194+0.0105782j 0.026777-0.0108771j -0.0164155+0.00166364j -0.00526081-0.0031787j 0.011952+0.0120888j -0.00756433-0.0100871j -0.00213334+0.00864359j 0.00175297-0.00172897j -0.00768158-0.0110265j 0.0113003+0.0113344j -0.0111519-0.00491344j -0.00704722-0.011741j 0.00659597+0.00829302j -0.0100636+0.00368722j -0.000133863+0.00617192j -0.00444583-0.0109695j 0.00127756-0.00478029j 0.000774579-0.00883619j -0.00412178-0.00133707j -0.0022861+0.00259621j 0.0032041+0.00507206j 0.000514746-0.00352536j 0.00259961+0.0109354j -0.00297789+0.00951073j -0.00565956+0.000127289j -0.00180791-0.00423343j -0.00226852+0.0023616j 0.00147495-0.00448887j 
-0.0118466-0.0210096j -0.187719-0.123343j -0.0158002-0.00694825j 0.135984+0.0771887j 0.0134171-0.0285104j 0.037528+0.0118324j 0.0185568-0.00819978j -0.0248032-0.0432507j -0.00338031-0.00510762j 0.0296748+0.000644905j -0.0087026-0.0135032j -0.0148492-0.00178697j 0.00899524+0.00138769j -0.00312483+0.00826618j 0.000368648-0.0011541j -0.0144073+0.00852068j -0.0034748+0.00378958j 0.00095644+0.00265554j -0.00195417-0.00536992j 0.00881683-0.0148396j 0.00651831+0.0132032j -0.0075707-0.00758516j 0.000684385-0.00178926j -0.00527941+0.00201042j 0.00734345-0.00462374j 0.00158113+0.0128255j -0.0122152+0.0132106j -0.00150181+0.00737083j -0.00198887+0.00178047j -0.00926935+0.00725257j -0.00374959-0.00090613j 0.00677156+0.00576382j -0.0115508-0.0130343j 0.00323452+0.00635169j -0.00276143-0.00754429j 0.0102936+0.000937424j -0.0083354-0.00320634j 0.00108969+0.0064432j 0.0045327-0.0056795j -0.0114743+0.000942511j 
-0.110908+0.0256132j -0.389438+0.0866075j 0.0120059+0.010937j 0.0862748-0.0176017j -0.0161396+0.0107306j -0.0109767-0.017803j -0.0167947+0.0374097j -0.0145362-0.0144099j 0.0108398-0.00480727j -0.0302747+0.00771076j 0.00111673+0.0106929j 0.00786312+0.00833794j -0.00446439+0.00755879j 0.00342267+0.0110083j -0.00307648-0.00189064j 0.00214961+0.00287911j -0.0169546+0.0144333j -0.00986063-0.00309868j 0.00650868+0.0068077j 0.0163717-0.00932244j 0.00373421-0.00534093j 0.00234594-0.000460995j 0.000748843-0.00137363j 0.00550718-0.0023894j -0.00542201-0.000347749j -0.00884548-0.00542353j -0.00173317-0.000320753j -0.00229264+0.00331946j 0.00350792+0.00319493j 0.00364929-0.00615393j -0.00983225+0.00406489j -0.0293597-0.0044339j -0.00149474-0.00510983j 0.00129628+0.00548372j -0.00676469+0.00860212j -4.46057e-05+0.00593627j 0.00330412+0.00787221j -0.00605026-0.00337315j -0.0102206-0.0071251j 0.00510826+0.00759053j 
0.0244296-0.111597j -0.0876225-0.187639j -0.00907199+0.00688344j 0.10142-0.108558j -0.0259795+0.029208j 0.0324058-0.0556222j -0.00276797-0.0181402j -0.00552469+0.020138j 0.0054634+0.0238799j -0.012594-0.0054656j 0.0162413+0.0119015j -0.0148814+0.00661275j 0.00614686+0.0087377j 0.00666153-0.00659271j 0.0226767-0.00593786j 0.0125149-0.00775297j -0.0123479-0.0196067j -0.0275151+0.004447j 0.00143528+0.00831387j -0.0111053+0.00820454j 0.000748963+0.00101209j 0.00484217+0.00410679j 0.00792114-0.0088342j 0.000213503+0.0038205j -0.00775512+0.00295322j -0.000180381+0.00631556j 0.0133731-0.0107965j 0.00851116-0.00423203j 0.00501924+0.00212369j -0.0042807-0.00178534j 0.00581191-0.0086672j -0.00406946-0.0057374j 0.00588925+0.010831j 0.0101207-0.0100643j 2.90798e-05-0.000829002j -0.00255114-0.00533614j 0.00453927+0.0121221j 0.00609649+0.000186836j -0.00810135-0.00885918j 0.000172447+0.0106819j 
-0.0352309+0.0234664j -0.0626411+0.147799j 0.00253837-0.00333781j 0.00179027-0.0571626j -0.0272566+0.0066192j -0.00356893-0.00646076j -0.002698-0.0303743j -0.0111959+0.00449281j -0.0301478-0.0106904j -0.0190836+0.0128476j -0.0196699+0.0156469j -0.0149+0.0132593j 0.0091789+0.0117396j 0.012155-0.0059764j 0.000299564+0.00232861j -0.000119386+0.00258351j 0.0125896-0.00815511j 0.000436831+0.0146458j -0.0103395+0.00267316j -0.0181401+0.00368923j 0.00300852+0.00348658j -0.0151384-0.0036077j 0.0106963-0.0161253j 0.00686385+0.00702857j 0.00421572+0.00620588j 0.00350536+0.00115452j -0.015286-0.00813007j 0.00372498-0.000437309j 0.00412433-0.00573755j 0.0116825-0.00515733j 0.00797809+0.00243998j 0.00886605+0.0212578j 0.00339024+0.00861881j 0.000212424-0.00226953j -0.0102811-0.000261236j -0.00174636+0.0122125j -0.00375458-0.00304972j -0.0131526-0.00518478j 0.0145741+0.00168378j 0.00426482-0.00189639j 
0.0943331+0.0497309j -0.0156418+0.103751j 0.00232011-0.000329182j 0.239051-0.00759633j -0.0353405-0.00684052j 0.0816797-0.00443877j 0.00737757+0.022237j -0.0346466-0.00773372j -0.0215179+0.00596947j 0.0539914+0.00926337j 0.00856975+0.0167114j 0.0156195+0.013144j -0.00474998+0.0115365j -0.0161257+0.000139036j 0.011603+0.00366053j 0.0032535-0.00621389j 0.00152491-0.0292786j -0.00643401-0.0013505j -0.000102637-0.00296985j 0.00669961-0.00747577j 0.00314472-0.00600505j 6.53767e-05-0.00125034j -0.0129787-0.0147916j -0.0196221-0.00138826j 0.00342739+0.00293054j 0.00288549-0.00110858j -0.00237005-0.0139309j 0.00645293+0.00244716j 0.00306743+0.00229473j -0.00513345+0.00268798j -0.00477192+0.000328834j 0.0114+0.00494785j 0.0055139+0.00223844j 0.00189237-0.00595128j -0.00519652-0.00370479j -0.00643392-0.00775875j -0.00639211-0.0030294j 0.0239309+0.0108994j -0.00876596+0.00134995j -0.0135277+0.00124469j 
0.0237808-0.0489677j -0.044349-0.0257355j -0.0150261-0.00808105j 0.0365906-0.120617j -0.00602314+0.0324901j -0.00549285-0.0427318j 0.00291241-0.0313014j 0.0340041+0.0324677j -0.0300838+0.00964026j 0.03833+0.00526389j -0.022972-2.15574e-05j -0.000387997+0.0192271j -0.002818-0.00402176j 0.00896121+0.00361615j -0.00970894-0.0185243j -0.00279626-0.00169264j 0.00678355+0.0107386j 0.0116099+0.0224513j 0.00552336+0.00403278j 0.0130389+0.0107601j 0.00371964+0.000599507j 0.0108221+0.00821469j -0.00884325+0.00648494j -0.00471927+0.00791735j 0.0029973-0.00168956j -0.00663103+0.00309071j 0.00852696+0.0170993j -0.00289745-0.00790719j -0.00516005+0.000580892j -0.00154421+0.00198986j -0.00820952-0.00201278j -0.00162708-0.0154333j -0.000546368-0.00725077j 0.00569158-0.00154208j 0.00461877+0.00546322j -0.00290758-0.00141491j 0.00550958+0.0161406j 0.0179581-0.0107777j -0.0141923-0.000881097j 0.000710111+0.01613j 
-0.0169726-0.0332282j -0.0686798+0.0918169j 0.0267049-0.0016683j 0.0111173-0.143428j 0.00849994+0.0251154j 0.0108363-0.0437203j 0.00056216+0.00438385j -0.0174905+0.0318823j 0.0221573-0.011519j 0.00894152-0.000987993j 0.00266125-0.0310412j 0.0231017-0.0151189j 0.00935722-0.007684j 0.00611444+0.0182692j -0.00357452-0.00472442j -0.00910884+0.0109041j -0.00383933+0.000245261j 0.0333956-0.00255594j 0.0187969+0.00863523j 0.00809936-0.00156029j -0.00128682+0.0069863j 0.00569366-0.00136361j 0.00968084-0.00563905j 0.0148174+0.00621065j 0.00425912-0.00515631j 0.00345528-0.000497115j 0.0179384-0.00340816j -0.00306843-0.00432619j 0.00157565+0.00689429j 0.00378418+0.000979508j 0.00697918+0.00178748j -0.000211677-0.00890773j -0.00073227+0.0122641j 0.00301918+0.00164414j -0.00835887+0.00885287j 0.00938983+0.0017608j 0.0147698+0.0102904j -0.0173154-0.00575421j 0.0070807+0.000954843j 0.00919122+0.0106861j 
-0.0749881-0.0223272j -0.0313045-0.0236294j 0.0103259+0.0105104j -0.174418-0.000265975j 0.0411291+0.0353703j -0.0553567-0.000363522j -0.0470913+0.00560693j 0.0303492-0.0121422j 0.0235235+0.0337546j 0.000100903+0.00551355j 0.0188083+0.0105714j 0.0103499+0.00752255j 0.0118975+0.00994625j 0.00421756-0.0169828j 0.00980239-0.011152j 0.00406994-0.00706753j -0.0109277+0.00163943j 0.0200485+0.0035038j 0.00923233-0.0088215j 0.00238909-0.00351528j 0.00435167-0.00717737j -0.00534783-0.00943748j 0.00743022-0.00437818j 0.0218148-0.00456557j -0.000696171-0.00503393j -0.00124634-0.00380188j -0.00417042-0.00374259j 0.00333232+0.0234202j 0.00387992+0.00222974j 0.00563897+0.00151962j 0.000536837-0.00487293j -0.00689088+0.00480783j -0.0103963+1.59483e-05j -0.00506823+0.0113967j -0.00405339-0.0135659j 0.0076363-0.00826174j 0.0123512+0.0010612j -0.0167307+0.00351597j -0.000423178-0.00445695j 0.010866-0.00118178j 
0.00708855-0.0734636j 0.051584+0.099632j -0.0157737+0.00876791j 0.026729-0.234236j -0.0442066+0.063149j 0.0148449-0.0722496j -0.0360184-0.0231622j -0.0166679+0.0101227j -0.0334825+0.0429848j -0.0241205-0.051267j -0.00133435-0.00359482j -0.00618529-0.00256335j -0.0010093-0.00630657j -0.00330021-0.00802505j -0.00771395-0.0118907j 0.00277791+0.00763078j -0.0046517+0.0139263j -0.00207988+0.018208j -0.0112595-0.00678707j -0.011417-0.00768176j -0.0130839+0.00259675j -0.00182611-0.00255582j -0.0224824+0.00751684j 0.00653462+0.00911454j 0.0067587-0.0069427j -0.012027+0.00355274j -0.00721202+0.00369108j 0.000379513+0.00611387j 0.00595517-0.000718365j -0.00111747+0.00407038j 0.00210945-0.00625483j -0.0063814+0.0008428j -0.00599577-0.00377858j 0.00222325+0.0100404j 0.00733793+0.00896131j -0.00485305+0.00815927j 0.00497248+0.0127865j -0.0110437-0.0210779j 0.0114535-0.00742363j 0.0121839+0.0192237j 
-0.0441671+0.0131576j 0.086428-0.024983j -0.00116962+0.0336852j -0.0960211-0.0633733j 0.0427848+0.0272365j -0.00106315-0.009809j -0.015124+0.0352845j -0.0192032+0.0223904j -0.00110019+0.0282766j -0.0104809+0.0463272j -0.00283094-0.00706546j 0.00405352-0.0104156j -0.00637514+0.00770947j 0.00427021+0.0109327j 0.000989581+0.00901165j 0.00558924+0.0100563j 0.00356362-0.00926396j 0.0154746-0.00505719j -0.00894303+0.0105621j 0.0109103+0.00137042j 0.015563+0.00160853j -0.00744661-0.0128382j -0.00394182-0.00489159j -0.00273684-0.0060888j -0.00383792+0.00909177j -0.00577031-0.00931571j -0.0019915-0.00789089j 0.00219709-0.00299324j 0.00498844+0.00702327j 0.00226737+0.00547197j -0.00139383+0.000915753j -0.0126347-0.00261274j -0.00268634-0.00193747j -0.00465547+0.000849462j -0.00397147-0.00189583j -0.0075395+0.00947594j 0.00123552+0.00423772j -0.00514771+0.00227237j -0.00227072-0.00540169j 0.00292133-0.00557455j 
-0.153731-0.0842878j -0.0325955-0.0375967j -0.0106829-0.0147735j -0.226053-0.192855j 0.0286649+0.014146j -0.0630531-0.0755184j 0.0308984-0.000911289j 0.0078159+0.0407179j -0.0067088+0.00193046j -0.0669197-0.0372573j 0.0054022+0.00122474j 0.00589796+0.00693818j -0.00159584-0.00373672j -0.000529968-0.00386268j -0.00105458+0.00694449j 0.00913868-0.000897591j 0.0001158-0.00818208j 0.0285531+0.0141489j -0.00187396-0.0116766j 0.00703284-0.00573943j -0.00334084-0.00678368j -0.00190968+0.00347359j -0.00622346+0.00544617j 0.0291218+0.0131771j -0.00666219+0.000894516j -0.0010678+0.000944523j -0.00358658+0.00442927j 0.00319055+0.000955696j 0.000884092+0.00115085j -0.000717656+0.00330997j -0.00164311+0.00107334j -0.0111928-0.0110742j -0.00245189-0.00392371j 0.000300636-0.00130411j 0.000837453-0.00138951j 0.000568379-0.00608895j 0.0163037+0.0171394j -0.0288009-0.0142237j 0.00150409+0.0066482j 0.0314398+0.0137818j 
-0.0904305+0.151602j -0.0383042+0.0311153j -0.0216982-0.00175392j -0.205495+0.229929j 0.0324043-0.0232217j -0.0895899+0.0679051j 0.000944476-0.022357j 0.0497017-0.00803973j -0.00098453-0.00189943j -0.0384377+0.0755171j 0.00153566+0.00271164j 0.00691457-0.00869721j 0.00269817+0.00293661j 0.00276203+0.000810346j 0.00840192-0.00480143j 0.00158251-0.0088589j -0.0127956-0.00461922j 0.015352-0.0398185j -0.00731241+0.000970185j 0.00225997-0.0063494j -0.0026004+0.00969372j 0.00587739-0.00429488j 0.0091078+0.00119438j 0.0183317-0.0292282j -0.0073396+0.00589104j -0.00119693+0.000631391j -0.00189015+0.00303997j 0.00442801+0.000263937j -0.00379877+0.00318225j 0.00525162-0.0101263j -0.00249903+0.00422942j -0.0152622+0.00974496j 0.000592544-0.00453631j 0.00371166+0.000421879j -0.00343172-0.00265802j -0.00691343+0.00112569j 0.0156012-0.0179913j -0.014864+0.0322715j 0.00201511-0.00387899j 0.018242-0.0335049j 
